NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-16 06:41:33

BUY SIGNALS (432):
  COALINDIA.NS    | Price:  421.15 | Entry:  412.73 | Target:  463.80 | Risk: LOW       
  ACMESOLAR.NS    | Price:  417.20 | Entry:  408.86 | Target:  495.77 | Risk: LOW       
  ABDL.NS         | Price:  633.60 | Entry:  620.93 | Target:  715.76 | Risk: LOW       
  GESHIP.NS       | Price: 1377.70 | Entry: 1350.15 | Target: 1544.24 | Risk: LOW       
  SYRMA.NS        | Price: 1492.50 | Entry: 1462.65 | Target: 1795.07 | Risk: LOW       
  SPLPETRO.NS     | Price:  778.00 | Entry:  762.44 | Target:  926.73 | Risk: LOW       
  TEGA.NS         | Price: 1685.00 | Entry:  1651.3 | Target: 2033.09 | Risk: LOW       
  FINCABLES.NS    | Price: 1360.80 | Entry: 1333.58 | Target: 1699.34 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  198.96 | Entry:  194.98 | Target:  235.15 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1456.00 | Entry: 1426.88 | Target: 1801.79 | Risk: LOW       
  ALIVUS.NS       | Price: 1363.80 | Entry: 1336.52 | Target: 1646.31 | Risk: LOW       
  GRAPHITE.NS     | Price:  796.30 | Entry:  780.37 | Target:  986.84 | Risk: LOW       
  BLACKBUCK.NS    | Price:  605.10 | Entry:   593.0 | Target:  705.03 | Risk: LOW       
  PVRINOX.NS      | Price: 1250.10 | Entry:  1225.1 | Target: 1483.03 | Risk: LOW       
  NESCO.NS        | Price: 1073.80 | Entry: 1052.32 | Target: 1237.51 | Risk: LOW       
  VARROC.NS       | Price:  843.05 | Entry:  826.19 | Target: 1041.78 | Risk: LOW       
  LOTUSDEV.NS     | Price:  202.87 | Entry:  198.81 | Target:  249.67 | Risk: LOW       
  PCJEWELLER.NS   | Price:   12.00 | Entry:   11.76 | Target:   16.40 | Risk: LOW       
  CORONA.NS       | Price: 2162.70 | Entry: 2119.45 | Target: 2528.88 | Risk: LOW       
  MANORAMA.NS     | Price: 1897.20 | Entry: 1859.26 | Target: 2278.87 | Risk: LOW       
  ARVIND.NS       | Price:  558.15 | Entry:  546.99 | Target:  672.30 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  689.45 | Entry:  675.66 | Target:  822.42 | Risk: LOW       
  STAR.NS         | Price: 1142.70 | Entry: 1119.85 | Target: 1379.56 | Risk: LOW       
  DIACABS.NS      | Price:  376.65 | Entry:  369.12 | Target:  457.85 | Risk: LOW       
  MAXESTATES.NS   | Price:  566.75 | Entry:  555.41 | Target:  701.87 | Risk: LOW       
  PRSMJOHNSN.NS   | Price:  112.99 | Entry:  110.73 | Target:  125.14 | Risk: LOW       
  PFOCUS.NS       | Price:  326.90 | Entry:  320.36 | Target:  387.65 | Risk: LOW       
  WELENT.NS       | Price:  748.00 | Entry:  733.04 | Target:  925.21 | Risk: LOW       
  YATHARTH.NS     | Price:  983.50 | Entry:  963.83 | Target: 1168.55 | Risk: LOW       
  ELLEN.NS        | Price:  362.20 | Entry:  354.96 | Target:  455.65 | Risk: LOW       
  JKPAPER.NS      | Price:  411.20 | Entry:  402.98 | Target:  485.52 | Risk: LOW       
  IONEXCHANG.NS   | Price:  425.85 | Entry:  417.33 | Target:  520.93 | Risk: LOW       
  AXISCADES.NS    | Price: 1683.60 | Entry: 1649.93 | Target: 2091.81 | Risk: LOW       
  SHARDAMOTR.NS   | Price:  926.85 | Entry:  908.31 | Target: 1064.94 | Risk: LOW       
  MANINFRA.NS     | Price:  124.06 | Entry:  121.58 | Target:  145.82 | Risk: LOW       
  SUPRIYA.NS      | Price:  870.00 | Entry:   852.6 | Target: 1028.65 | Risk: LOW       
  EMUDHRA.NS      | Price:  657.50 | Entry:  644.35 | Target:  805.75 | Risk: LOW       
  STLTECH.NS      | Price:  809.95 | Entry:  793.75 | Target: 1042.88 | Risk: LOW       
  UNIMECH.NS      | Price: 1480.90 | Entry: 1451.28 | Target: 1827.90 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1339.00 | Entry: 1312.22 | Target: 1621.37 | Risk: LOW       
  DYNAMATECH.NS   | Price: 12011.00 | Entry: 11770.78 | Target: 14051.00 | Risk: LOW       
  OPTIEMUS.NS     | Price:  600.00 | Entry:   588.0 | Target:  715.96 | Risk: LOW       
  EMIL.NS         | Price:  181.05 | Entry:  177.43 | Target:  227.64 | Risk: LOW       
  SMLMAH.NS       | Price: 6005.00 | Entry:  5884.9 | Target: 7607.86 | Risk: LOW       
  SKYGOLD.NS      | Price:  797.60 | Entry:  781.65 | Target:  983.64 | Risk: LOW       
  TARC.NS         | Price:  128.00 | Entry:  125.44 | Target:  154.25 | Risk: LOW       
  INNOVACAP.NS    | Price: 1144.20 | Entry: 1121.32 | Target: 1387.95 | Risk: LOW       
  NEPHROPLUS.NS   | Price:  729.95 | Entry:  715.35 | Target:  871.33 | Risk: LOW       
  INDIQUBE.NS     | Price:  195.30 | Entry:  191.39 | Target:  235.15 | Risk: LOW       
  SHREEJISPG.NS   | Price:  679.90 | Entry:   666.3 | Target:  804.45 | Risk: LOW       
  CEIGALL.NS      | Price:  380.10 | Entry:   372.5 | Target:  444.26 | Risk: LOW       
  HERITGFOOD.NS   | Price:  389.55 | Entry:  381.76 | Target:  469.78 | Risk: LOW       
  AARTIDRUGS.NS   | Price:  425.75 | Entry:  417.24 | Target:  496.59 | Risk: LOW       
  63MOONS.NS      | Price:  848.40 | Entry:  831.43 | Target: 1060.95 | Risk: LOW       
  SHANTIGEAR.NS   | Price:  704.00 | Entry:  689.92 | Target:  912.32 | Risk: LOW       
  BOROLTD.NS      | Price:  245.48 | Entry:  240.57 | Target:  316.64 | Risk: LOW       
  RAYMOND.NS      | Price:  965.00 | Entry:   945.7 | Target: 1310.50 | Risk: LOW       
  GOODLUCK.NS     | Price:  499.60 | Entry:  489.61 | Target:  613.64 | Risk: LOW       
  EBGNG.NS        | Price:  650.35 | Entry:  637.34 | Target:  842.30 | Risk: LOW       
  NEOGEN.NS       | Price: 2295.50 | Entry: 2249.59 | Target: 2771.14 | Risk: LOW       
  JINDWORLD.NS    | Price:   48.80 | Entry:   47.82 | Target:   72.19 | Risk: LOW       
  NPST.NS         | Price: 1836.10 | Entry: 1799.38 | Target: 2329.92 | Risk: LOW       
  CENTUM.NS       | Price: 4209.80 | Entry:  4125.6 | Target: 5181.44 | Risk: LOW       
  KSL.NS          | Price:  941.35 | Entry:  922.52 | Target: 1178.53 | Risk: LOW       
  SHAREINDIA.NS   | Price:  189.56 | Entry:  185.77 | Target:  232.49 | Risk: LOW       
  GUFICBIO.NS     | Price:  414.75 | Entry:  406.45 | Target:  496.09 | Risk: LOW       
  FOSECOIND.NS    | Price: 6466.00 | Entry: 6336.68 | Target: 7949.57 | Risk: LOW       
  VISHNU.NS       | Price:  688.55 | Entry:  674.78 | Target:  823.44 | Risk: LOW       
  SWANDEF.NS      | Price: 2650.00 | Entry:  2597.0 | Target: 3311.11 | Risk: LOW       
  HLEGLAS.NS      | Price:  425.85 | Entry:  417.33 | Target:  514.65 | Risk: LOW       
  PRABHA.NS       | Price:  225.46 | Entry:  220.95 | Target:  300.91 | Risk: LOW       
  PAISALO.NS      | Price:   83.68 | Entry:   82.01 | Target:   98.53 | Risk: LOW       
  WSTCSTPAPR.NS   | Price:  712.70 | Entry:  698.45 | Target:  869.38 | Risk: LOW       
  DEEPINDS.NS     | Price:  740.40 | Entry:  725.59 | Target:  931.31 | Risk: LOW       
  NOCIL.NS        | Price:  184.11 | Entry:  180.43 | Target:  220.02 | Risk: LOW       
  MANINDS.NS      | Price:  791.20 | Entry:  775.38 | Target: 1063.02 | Risk: LOW       
  FCL.NS          | Price:   51.84 | Entry:    50.8 | Target:   68.10 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  934.20 | Entry:  915.52 | Target: 1119.79 | Risk: LOW       
  BCG.NS          | Price:    9.74 | Entry:    9.55 | Target:   11.82 | Risk: LOW       
  NRBBEARING.NS   | Price:  467.05 | Entry:  457.71 | Target:  568.48 | Risk: LOW       
  VENUSPIPES.NS   | Price: 1930.00 | Entry:  1891.4 | Target: 2397.96 | Risk: LOW       
  VSSL.NS         | Price:  396.60 | Entry:  388.67 | Target:  496.20 | Risk: LOW       
  BEPL.NS         | Price:  122.48 | Entry:  120.03 | Target:  150.26 | Risk: LOW       
  ROSSTECH.NS     | Price: 1253.60 | Entry: 1228.53 | Target: 1508.22 | Risk: LOW       
  FILATEX.NS      | Price:   83.94 | Entry:   82.26 | Target:  106.48 | Risk: LOW       
  JINDALPOLY.NS   | Price:  745.00 | Entry:   730.1 | Target:  896.66 | Risk: LOW       
  SMSPHARMA.NS    | Price:  397.00 | Entry:  389.06 | Target:  525.56 | Risk: LOW       
  KSHINTL.NS      | Price: 1030.35 | Entry: 1009.74 | Target: 1305.87 | Risk: LOW       
  SEAMECLTD.NS    | Price: 1718.00 | Entry: 1683.64 | Target: 2020.71 | Risk: LOW       
  RML.NS          | Price: 1257.00 | Entry: 1231.86 | Target: 1563.57 | Risk: LOW       
  GENESYS.NS      | Price:  283.91 | Entry:  278.23 | Target:  394.16 | Risk: LOW       
  SOLARA.NS       | Price:  696.25 | Entry:  682.32 | Target:  885.84 | Risk: LOW       
  SPECTRUM.NS     | Price: 3015.00 | Entry:  2954.7 | Target: 3717.68 | Risk: LOW       
  SYSTMTXC.NS     | Price:   70.50 | Entry:   69.09 | Target:   82.39 | Risk: LOW       
  HINDOILEXP.NS   | Price:  177.64 | Entry:  174.09 | Target:  222.92 | Risk: LOW       
  STOVEKRAFT.NS   | Price:  821.75 | Entry:  805.31 | Target:  971.02 | Risk: LOW       
  VENKEYS.NS      | Price: 1655.90 | Entry: 1622.78 | Target: 1997.98 | Risk: LOW       
  TIL.NS          | Price:  241.90 | Entry:  237.06 | Target:  288.69 | Risk: LOW       
  THEJO.NS        | Price: 2130.00 | Entry:  2087.4 | Target: 2456.96 | Risk: LOW       
  WHEELS.NS       | Price: 2161.20 | Entry: 2117.98 | Target: 2873.06 | Risk: LOW       
  GMBREW.NS       | Price:  912.10 | Entry:  893.86 | Target: 1011.80 | Risk: LOW       
  INDNIPPON.NS    | Price: 1231.40 | Entry: 1206.77 | Target: 1634.90 | Risk: LOW       
  WINDLAS.NS      | Price: 1091.90 | Entry: 1070.06 | Target: 1322.03 | Risk: LOW       
  WENDT.NS        | Price: 8491.00 | Entry: 8321.18 | Target: 10050.29 | Risk: LOW       
  UNITECH.NS      | Price:    4.29 | Entry:     4.2 | Target:    5.26 | Risk: LOW       
  RMDRIP.NS       | Price:   23.10 | Entry:   22.64 | Target:   28.20 | Risk: LOW       
  ASTEC.NS        | Price:  656.40 | Entry:  643.27 | Target:  862.85 | Risk: LOW       
  TALBROAUTO.NS   | Price:  419.35 | Entry:  410.96 | Target:  493.32 | Risk: LOW       
  GOCLCORP.NS     | Price:  424.85 | Entry:  416.35 | Target:  501.85 | Risk: LOW       
  QUICKHEAL.NS    | Price:  156.34 | Entry:  153.21 | Target:  192.21 | Risk: LOW       
  BLISSGVS.NS     | Price:  660.10 | Entry:   646.9 | Target:  851.15 | Risk: LOW       
  SESHAPAPER.NS   | Price:  242.98 | Entry:  238.12 | Target:  284.69 | Risk: LOW       
  DOLPHIN.NS      | Price:  638.85 | Entry:  626.07 | Target:  838.94 | Risk: LOW       
  RAJOOENG.NS     | Price:   52.80 | Entry:   51.74 | Target:   66.46 | Risk: LOW       
  AIMTRON.NS      | Price: 1772.95 | Entry: 1737.49 | Target: 2053.00 | Risk: LOW       
  MASTERTR.NS     | Price:   85.38 | Entry:   83.67 | Target:  109.91 | Risk: LOW       
  FINKURVE.NS     | Price:   74.25 | Entry:   72.77 | Target:  102.26 | Risk: LOW       
  QUADFUTURE.NS   | Price:  477.05 | Entry:  467.51 | Target:  605.92 | Risk: LOW       
  HMAAGRO.NS      | Price:   22.53 | Entry:   22.08 | Target:   27.73 | Risk: LOW       
  ANDHRAPAP.NS    | Price:   71.90 | Entry:   70.46 | Target:   93.21 | Risk: LOW       
  CONFIPET.NS     | Price:   85.68 | Entry:   83.97 | Target:  107.90 | Risk: LOW       
  SMCGLOBAL.NS    | Price:   80.77 | Entry:   79.15 | Target:   97.81 | Risk: LOW       
  RISHABH.NS      | Price:  757.00 | Entry:  741.86 | Target:  970.00 | Risk: LOW       
  GANDHAR.NS      | Price:  260.50 | Entry:  255.29 | Target:  306.40 | Risk: LOW       
  INDORAMA.NS     | Price:   88.04 | Entry:   86.28 | Target:  122.54 | Risk: LOW       
  JARO.NS         | Price:  472.00 | Entry:  462.56 | Target:  543.29 | Risk: LOW       
  MONTECARLO.NS   | Price:  544.50 | Entry:  533.61 | Target:  628.16 | Risk: LOW       
  SHANKARA.NS     | Price:  149.03 | Entry:  146.05 | Target:  160.81 | Risk: LOW       
  TAC.NS          | Price:  466.90 | Entry:  457.56 | Target:  558.94 | Risk: LOW       
  RGL.NS          | Price:  149.36 | Entry:  146.37 | Target:  200.37 | Risk: LOW       
  BALAJITELE.NS   | Price:   92.95 | Entry:   91.09 | Target:  109.77 | Risk: LOW       
  YUKEN.NS        | Price: 1114.55 | Entry: 1092.26 | Target: 1393.34 | Risk: LOW       
  TEXINFRA.NS     | Price:  113.66 | Entry:  111.39 | Target:  132.78 | Risk: LOW       
  WCIL.NS         | Price:   89.18 | Entry:    87.4 | Target:  103.38 | Risk: LOW       
  GPTHEALTH.NS    | Price:  161.17 | Entry:  157.95 | Target:  184.15 | Risk: LOW       
  SHREEPUSHK.NS   | Price:  486.45 | Entry:  476.72 | Target:  624.63 | Risk: LOW       
  TBZ.NS          | Price:  528.15 | Entry:  517.59 | Target:  730.76 | Risk: LOW       
  STLNETWORK.NS   | Price:   37.78 | Entry:   37.02 | Target:   46.13 | Risk: LOW       
  JINDALPHOT.NS   | Price: 1095.00 | Entry:  1073.1 | Target: 1306.68 | Risk: LOW       
  KROSS.NS        | Price:  226.25 | Entry:  221.72 | Target:  272.26 | Risk: LOW       
  RACLGEAR.NS     | Price: 1819.50 | Entry: 1783.11 | Target: 2271.18 | Risk: LOW       
  EIMCOELECO.NS   | Price: 2299.40 | Entry: 2253.41 | Target: 2707.01 | Risk: LOW       
  OAL.NS          | Price:  493.70 | Entry:  483.83 | Target:  682.99 | Risk: LOW       
  EXCELSOFT.NS    | Price:   79.60 | Entry:   78.01 | Target:   98.45 | Risk: LOW       
  ANTELOPUS.NS    | Price: 1134.40 | Entry: 1111.71 | Target: 1588.44 | Risk: LOW       
  MATRIMONY.NS    | Price:  522.05 | Entry:  511.61 | Target:  602.51 | Risk: LOW       
  PDMJEPAPER.NS   | Price:   96.92 | Entry:   94.98 | Target:  123.67 | Risk: LOW       
  AYMSYNTEX.NS    | Price:  263.65 | Entry:  258.38 | Target:  368.51 | Risk: LOW       
  BIL.NS          | Price: 1023.95 | Entry: 1003.47 | Target: 1333.27 | Risk: LOW       
  AVTNPL.NS       | Price:   86.38 | Entry:   84.65 | Target:  109.44 | Risk: LOW       
  ARIHANTCAP.NS   | Price:   81.01 | Entry:   79.39 | Target:   95.98 | Risk: LOW       
  SBC.NS          | Price:   46.41 | Entry:   45.48 | Target:   53.80 | Risk: LOW       
  SRHHYPOLTD.NS   | Price:  507.15 | Entry:  497.01 | Target:  596.97 | Risk: LOW       
  XCHANGING.NS    | Price:   63.35 | Entry:   62.08 | Target:   73.07 | Risk: LOW       
  KRISHIVAL.NS    | Price:  419.05 | Entry:  410.67 | Target:  454.10 | Risk: LOW       
  MVGJL.NS        | Price:  207.00 | Entry:  202.86 | Target:  288.33 | Risk: LOW       
  KODYTECH.NS     | Price: 1470.00 | Entry:  1440.6 | Target: 1764.23 | Risk: LOW       
  KUANTUM.NS      | Price:   76.32 | Entry:   74.79 | Target:   90.68 | Risk: LOW       
  TNPETRO.NS      | Price:  123.75 | Entry:  121.27 | Target:  169.61 | Risk: LOW       
  KARNIKA.NS      | Price:  119.25 | Entry:  116.86 | Target:  139.09 | Risk: LOW       
  COOLCAPS.NS     | Price:   25.40 | Entry:   24.89 | Target:   32.79 | Risk: LOW       
  ABCOTS.NS       | Price:  206.78 | Entry:  202.64 | Target:  256.05 | Risk: LOW       
  BESTAGRO.NS     | Price:   18.10 | Entry:   17.74 | Target:   23.13 | Risk: LOW       
  VALIANTORG.NS   | Price:  380.00 | Entry:   372.4 | Target:  468.46 | Risk: LOW       
  KABRAEXTRU.NS   | Price:  611.25 | Entry:  599.02 | Target:  826.11 | Risk: LOW       
  ARROWGREEN.NS   | Price:  870.00 | Entry:   852.6 | Target: 1038.04 | Risk: LOW       
  ANUHPHR.NS      | Price:   89.10 | Entry:   87.32 | Target:  115.51 | Risk: LOW       
  SVLL.NS         | Price:  819.40 | Entry:  803.01 | Target:  934.67 | Risk: LOW       
  CHEMCON.NS      | Price:  209.01 | Entry:  204.83 | Target:  253.45 | Risk: LOW       
  BHAGERIA.NS     | Price:  303.90 | Entry:  297.82 | Target:  396.70 | Risk: LOW       
  GKSL.NS         | Price:  170.19 | Entry:  166.79 | Target:  207.21 | Risk: LOW       
  UNITEDPOLY.NS   | Price:   41.87 | Entry:   41.03 | Target:   53.48 | Risk: LOW       
  SAKAR.NS        | Price: 1125.90 | Entry: 1103.38 | Target: 1476.38 | Risk: LOW       
  BODALCHEM.NS    | Price:  171.10 | Entry:  167.68 | Target:  241.50 | Risk: LOW       
  MUKKA.NS        | Price:   29.80 | Entry:    29.2 | Target:   40.41 | Risk: LOW       
  TECHLABS.NS     | Price:  130.25 | Entry:  127.64 | Target:  164.00 | Risk: LOW       
  SATIA.NS        | Price:   66.87 | Entry:   65.53 | Target:   80.27 | Risk: LOW       
  KAMDHENU.NS     | Price:   37.40 | Entry:   36.65 | Target:   47.43 | Risk: LOW       
  KOPRAN.NS       | Price:  241.97 | Entry:  237.13 | Target:  314.20 | Risk: LOW       
  RUBYMILLS.NS    | Price:  439.00 | Entry:  430.22 | Target:  581.09 | Risk: LOW       
  PROZONER.NS     | Price:   51.13 | Entry:   50.11 | Target:   66.43 | Risk: LOW       
  MVKAGRO.NS      | Price:  299.80 | Entry:   293.8 | Target:  360.01 | Risk: LOW       
  SHIVALIK.NS     | Price:  377.90 | Entry:  370.34 | Target:  498.77 | Risk: LOW       
  SUBEXLTD.NS     | Price:   19.83 | Entry:   19.43 | Target:   26.19 | Risk: LOW       
  SARVESHWAR.NS   | Price:    3.72 | Entry:    3.65 | Target:    4.74 | Risk: LOW       
  AHCL.NS         | Price:   19.84 | Entry:   19.44 | Target:   25.24 | Risk: LOW       
  NRAIL.NS        | Price:  629.35 | Entry:  616.76 | Target:  823.26 | Risk: LOW       
  SHREERAMA.NS    | Price:   44.15 | Entry:   43.27 | Target:   58.39 | Risk: LOW       
  JAYAGROGN.NS    | Price:  227.27 | Entry:  222.72 | Target:  297.33 | Risk: LOW       
  ACCENTMIC.NS    | Price:  725.75 | Entry:  711.24 | Target:  827.96 | Risk: LOW       
  MMP.NS          | Price:  446.95 | Entry:  438.01 | Target:  592.29 | Risk: LOW       
  GFLLIMITED.NS   | Price:   54.85 | Entry:   53.75 | Target:   70.65 | Risk: LOW       
  MENONBE.NS      | Price:  298.00 | Entry:  292.04 | Target:  392.01 | Risk: LOW       
  GCSL.NS         | Price:  585.85 | Entry:  574.13 | Target:  679.92 | Risk: LOW       
  CHEVIOT.NS      | Price: 1164.00 | Entry: 1140.72 | Target: 1326.93 | Risk: LOW       
  KILITCH.NS      | Price:  187.00 | Entry:  183.26 | Target:  225.14 | Risk: LOW       
  ASIANHOTNR.NS   | Price:  375.60 | Entry:  368.09 | Target:  504.89 | Risk: LOW       
  SHALPAINTS.NS   | Price:   80.50 | Entry:   78.89 | Target:   99.13 | Risk: LOW       
  CONSOFINVT.NS   | Price:  300.15 | Entry:  294.15 | Target:  358.99 | Risk: LOW       
  RBZJEWEL.NS     | Price:  159.60 | Entry:  156.41 | Target:  236.34 | Risk: LOW       
  BELLACASA.NS    | Price:  247.76 | Entry:   242.8 | Target:  317.84 | Risk: LOW       
  TRACXN.NS       | Price:   31.05 | Entry:   30.43 | Target:   36.42 | Risk: LOW       
  SREEL.NS        | Price:  300.78 | Entry:  294.76 | Target:  416.95 | Risk: LOW       
  MAZDA.NS        | Price:  254.05 | Entry:  248.97 | Target:  315.16 | Risk: LOW       
  DPEL.NS         | Price:  634.95 | Entry:  622.25 | Target:  705.77 | Risk: LOW       
  EFFWA.NS        | Price:  374.95 | Entry:  367.45 | Target:  469.38 | Risk: LOW       
  MEGATHERM.NS    | Price:  251.00 | Entry:  245.98 | Target:  321.57 | Risk: LOW       
  SOFTTECH.NS     | Price:  453.40 | Entry:  444.33 | Target:  531.56 | Risk: LOW       
  MEDICAMEQ.NS    | Price:  340.05 | Entry:  333.25 | Target:  451.28 | Risk: LOW       
  ABSMARINE.NS    | Price:  316.00 | Entry:  309.68 | Target:  417.80 | Risk: LOW       
  BIRLACABLE.NS   | Price:  371.30 | Entry:  363.87 | Target:  473.89 | Risk: LOW       
  NRL.NS          | Price:  133.00 | Entry:  130.34 | Target:  152.85 | Risk: LOW       
  CHEMBONDCH.NS   | Price:  267.95 | Entry:  262.59 | Target:  341.63 | Risk: LOW       
  PCCL.NS         | Price:  434.00 | Entry:  425.32 | Target:  544.36 | Risk: LOW       
  RBMINFRA.NS     | Price:  316.60 | Entry:  310.27 | Target:  410.15 | Risk: LOW       
  VALIANTLAB.NS   | Price:  118.00 | Entry:  115.64 | Target:  150.28 | Risk: LOW       
  MANAKSIA.NS     | Price:   64.70 | Entry:   63.41 | Target:   81.91 | Risk: LOW       
  KHADIM.NS       | Price:  120.97 | Entry:  118.55 | Target:  141.85 | Risk: LOW       
  PASUPTAC.NS     | Price:   68.50 | Entry:   67.13 | Target:   82.36 | Risk: LOW       
  HPAL.NS         | Price:   35.50 | Entry:   34.79 | Target:   44.34 | Risk: LOW       
  RHL.NS          | Price:  174.39 | Entry:   170.9 | Target:  204.21 | Risk: LOW       
  GICL.NS         | Price:   24.50 | Entry:   24.01 | Target:   30.11 | Risk: LOW       
  GOACARBON.NS    | Price:  397.00 | Entry:  389.06 | Target:  510.27 | Risk: LOW       
  RUCHIRA.NS      | Price:  106.89 | Entry:  104.75 | Target:  122.30 | Risk: LOW       
  SHIVAUM.NS      | Price:  469.00 | Entry:  459.62 | Target:  560.96 | Risk: LOW       
  MANAKSTEEL.NS   | Price:  106.44 | Entry:  104.31 | Target:  136.29 | Risk: LOW       
  IL&FSENGG.NS    | Price:   39.00 | Entry:   38.22 | Target:   46.53 | Risk: LOW       
  ZIMLAB.NS       | Price:  129.21 | Entry:  126.63 | Target:  170.27 | Risk: LOW       
  SYSTANGO.NS     | Price:  229.70 | Entry:  225.11 | Target:  280.24 | Risk: LOW       
  OILCOUNTUB.NS   | Price:   63.00 | Entry:   61.74 | Target:   74.74 | Risk: LOW       
  VGL.NS          | Price:   64.50 | Entry:   63.21 | Target:   87.40 | Risk: LOW       
  3IINFOLTD.NS    | Price:   24.10 | Entry:   23.62 | Target:   28.38 | Risk: LOW       
  RCOM.NS         | Price:    1.01 | Entry:    0.99 | Target:    1.17 | Risk: LOW       
  GLOBAL.NS       | Price:  127.16 | Entry:  124.62 | Target:  160.13 | Risk: LOW       
  URAVIDEF.NS     | Price:  113.86 | Entry:  111.58 | Target:  134.99 | Risk: LOW       
  KANORICHEM.NS   | Price:  183.00 | Entry:  179.34 | Target:  224.89 | Risk: LOW       
  GEEKAYWIRE.NS   | Price:   29.90 | Entry:    29.3 | Target:   41.00 | Risk: LOW       
  SKP.NS          | Price:  171.00 | Entry:  167.58 | Target:  201.36 | Risk: LOW       
  BHAGYANGR.NS    | Price:  421.00 | Entry:  412.58 | Target:  510.07 | Risk: LOW       
  SSDL.NS         | Price:   60.22 | Entry:   59.02 | Target:   76.97 | Risk: LOW       
  LYKALABS.NS     | Price:   79.93 | Entry:   78.33 | Target:   90.98 | Risk: LOW       
  FROG.NS         | Price:  263.10 | Entry:  257.84 | Target:  332.30 | Risk: LOW       
  ALMONDZ.NS      | Price:   18.23 | Entry:   17.87 | Target:   24.06 | Risk: LOW       
  VMSTMT.NS       | Price:   49.00 | Entry:   48.02 | Target:   56.28 | Risk: LOW       
  SHERA.NS        | Price:  195.05 | Entry:  191.15 | Target:  239.76 | Risk: LOW       
  AXITA.NS        | Price:    8.00 | Entry:    7.84 | Target:    8.98 | Risk: LOW       
  SAAKSHI.NS      | Price:  345.40 | Entry:  338.49 | Target:  419.42 | Risk: LOW       
  PRIZOR.NS       | Price: 1200.00 | Entry:  1176.0 | Target: 1341.11 | Risk: LOW       
  BAFNAPH.NS      | Price:  308.10 | Entry:  301.94 | Target:  360.85 | Risk: LOW       
  CINELINE.NS     | Price:   89.72 | Entry:   87.93 | Target:  111.44 | Risk: LOW       
  AIRAN.NS        | Price:   16.57 | Entry:   16.24 | Target:   21.38 | Risk: LOW       
  SAHYADRI.NS     | Price:  357.00 | Entry:  349.86 | Target:  457.34 | Risk: LOW       
  PODDARMENT.NS   | Price:  267.50 | Entry:  262.15 | Target:  352.95 | Risk: LOW       
