NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-06 19:11:00

BUY SIGNALS (85):
  SARDAEN.NS      | Price:  553.50 | Entry:  542.43 | Target:  652.32 | Risk: LOW       
  ENDURANCE.NS    | Price: 2451.80 | Trend:  -2.75% | Mom:   0.12% | Risk: LOW       
  WHIRLPOOL.NS    | Price:  896.50 | Trend:   3.83% | Mom:  -1.87% | Risk: LOW       
  NAVA.NS         | Price:  566.90 | Trend:   0.11% | Mom:   2.89% | Risk: LOW       
  DIVISLAB.NS     | Price: 6329.00 | Trend:   0.79% | Mom:   0.50% | Risk: LOW       
  TARIL.NS        | Price:  293.65 | Trend:   5.33% | Mom:  -3.47% | Risk: LOW       
  ASTRAZEN.NS     | Price: 8704.50 | Trend:   0.50% | Mom:  -2.23% | Risk: LOW       
  DELHIVERY.NS    | Price:  422.60 | Trend:   1.23% | Mom:  -1.24% | Risk: LOW       
  ACE.NS          | Price:  878.85 | Trend:  -0.97% | Mom:   0.19% | Risk: LOW       
  PVRINOX.NS      | Price: 1023.30 | Trend:   0.97% | Mom:  -0.02% | Risk: LOW       
  BHEL.NS         | Price:  258.95 | Trend:  -3.15% | Mom:   2.03% | Risk: LOW       
  HFCL.NS         | Price:   69.64 | Trend:   3.13% | Mom:  -2.44% | Risk: LOW       
  FIRSTCRY.NS     | Price:  214.72 | Trend: -17.62% | Mom:   0.45% | Risk: LOW       
  RADICO.NS       | Price: 2766.90 | Trend:  -4.17% | Mom:   1.52% | Risk: LOW       
  LAURUSLABS.NS   | Price: 1026.20 | Trend:  -1.30% | Mom:   0.49% | Risk: LOW       

SELL SIGNALS (314):
  IFCI.NS         | Price:   54.59 | Target:   42.85 | Risk: LOW        | Conf: 100%
  FORCEMOT.NS     | Price: 21345.00 | Target: 14499.64 | Risk: LOW        | Conf: 80%
  SBFC.NS         | Price:   93.96 | Target:   79.41 | Risk: LOW        | Conf: 80%
  PREMIERENE.NS   | Price:  723.65 | Target:  577.10 | Risk: LOW        | Conf: 100%
  IREDA.NS        | Price:  117.28 | Target:   99.23 | Risk: LOW        | Conf: 100%
  ANANTRAJ.NS     | Price:  489.15 | Target:  395.02 | Risk: LOW        | Conf: 100%
  SJVN.NS         | Price:   70.99 | Target:   59.65 | Risk: LOW        | Conf: 100%
  HOMEFIRST.NS    | Price: 1046.90 | Target:  802.01 | Risk: LOW        | Conf: 100%
  ABLBL.NS        | Price:  101.98 | Target:   85.10 | Risk: LOW        | Conf: 100%
  MANAPPURAM.NS   | Price:  262.75 | Target:  214.04 | Risk: LOW        | Conf: 100%
  GODFRYPHLP.NS   | Price: 2052.90 | Target: 1368.61 | Risk: LOW        | Conf: 100%
  IEX.NS          | Price:  121.76 | Target:  106.83 | Risk: LOW        | Conf: 80%
  ASIANPAINT.NS   | Price: 2279.50 | Target: 2025.07 | Risk: LOW        | Conf: 100%
  GMDCLTD.NS      | Price:  546.85 | Target:  433.15 | Risk: LOW        | Conf: 100%
  MUTHOOTFIN.NS   | Price: 3238.90 | Target: 2708.22 | Risk: LOW        | Conf: 100%
  BALKRISIND.NS   | Price: 2249.70 | Target: 1851.52 | Risk: LOW        | Conf: 100%
  EMAMILTD.NS     | Price:  458.45 | Target:  396.99 | Risk: LOW        | Conf: 100%
  3MINDIA.NS      | Price: 34320.00 | Target: 28430.71 | Risk: LOW        | Conf: 100%
  TRENT.NS        | Price: 3722.80 | Target: 3204.48 | Risk: LOW        | Conf: 100%
  DEVYANI.NS      | Price:  116.83 | Target:   97.39 | Risk: LOW        | Conf: 100%
  BRIGADE.NS      | Price:  665.55 | Target:  561.69 | Risk: LOW        | Conf: 100%
  RECLTD.NS       | Price:  339.15 | Target:  290.90 | Risk: LOW        | Conf: 100%
  JYOTICNC.NS     | Price:  802.30 | Target:  668.62 | Risk: LOW        | Conf: 100%
  WAAREEENER.NS   | Price: 2628.30 | Target: 2044.80 | Risk: LOW        | Conf: 100%
  LEMONTREE.NS    | Price:  110.49 | Target:   92.64 | Risk: LOW        | Conf: 100%
  AIIL.NS         | Price:  432.15 | Target:  350.36 | Risk: LOW        | Conf: 100%
  MEDANTA.NS      | Price: 1110.10 | Target:  952.10 | Risk: LOW        | Conf: 100%
  M&MFIN.NS       | Price:  363.50 | Target:  298.07 | Risk: LOW        | Conf: 100%
  ANGELONE.NS     | Price:  219.56 | Target:  166.62 | Risk: LOW        | Conf: 100%
  GAIL.NS         | Price:  155.71 | Target:  135.39 | Risk: LOW        | Conf: 100%
  GLAND.NS        | Price: 1669.00 | Target: 1393.39 | Risk: LOW        | Conf: 100%
  MRF.NS          | Price: 138780.00 | Target: 119892.50 | Risk: LOW        | Conf: 100%
  ULTRACEMCO.NS   | Price: 11987.00 | Target: 10622.00 | Risk: LOW        | Conf: 100%
  HINDUNILVR.NS   | Price: 2225.70 | Target: 2008.09 | Risk: LOW        | Conf: 100%
  DCMSHRIRAM.NS   | Price:  990.30 | Target:  822.34 | Risk: LOW        | Conf: 100%
  IRFC.NS         | Price:   99.47 | Target:   84.31 | Risk: LOW        | Conf: 100%
  BPCL.NS         | Price:  352.75 | Target:  300.16 | Risk: LOW        | Conf: 100%
  HAL.NS          | Price: 4023.70 | Target: 3476.11 | Risk: LOW        | Conf: 100%
  NETWEB.NS       | Price: 3222.30 | Target: 2035.80 | Risk: LOW        | Conf: 100%
  KAYNES.NS       | Price: 3746.80 | Target: 3038.12 | Risk: LOW        | Conf: 80%
  MANYAVAR.NS     | Price:  366.90 | Target:  282.15 | Risk: LOW        | Conf: 100%
  HUDCO.NS        | Price:  176.29 | Target:  148.26 | Risk: LOW        | Conf: 100%
  HYUNDAI.NS      | Price: 2094.20 | Target: 1718.81 | Risk: LOW        | Conf: 100%
  TATACONSUM.NS   | Price: 1116.70 | Target:  999.24 | Risk: LOW        | Conf: 100%
  LODHA.NS        | Price:  889.25 | Target:  710.73 | Risk: LOW        | Conf: 100%
  PIDILITIND.NS   | Price: 1433.80 | Target: 1285.98 | Risk: LOW        | Conf: 100%
  MMTC.NS         | Price:   57.04 | Target:   47.81 | Risk: LOW        | Conf: 100%
  ICICIBANK.NS    | Price: 1313.40 | Target: 1191.83 | Risk: LOW        | Conf: 100%
  SYNGENE.NS      | Price:  399.70 | Target:  344.40 | Risk: LOW        | Conf: 100%
  TCS.NS          | Price: 2557.60 | Target: 2233.53 | Risk: LOW        | Conf: 100%
  SAGILITY.NS     | Price:   39.21 | Target:   28.37 | Risk: LOW        | Conf: 100%
  IKS.NS          | Price: 1329.20 | Target: 1051.34 | Risk: LOW        | Conf: 100%
  ADANIENT.NS     | Price: 2039.90 | Target: 1731.36 | Risk: LOW        | Conf: 100%
  NESTLEIND.NS    | Price: 1252.40 | Target: 1123.08 | Risk: LOW        | Conf: 100%
  EXIDEIND.NS     | Price:  315.95 | Target:  276.18 | Risk: LOW        | Conf: 100%
  SBILIFE.NS      | Price: 1941.60 | Target: 1710.12 | Risk: LOW        | Conf: 100%
  AUBANK.NS       | Price:  964.25 | Target:  802.68 | Risk: LOW        | Conf: 100%
  CEATLTD.NS      | Price: 3457.80 | Target: 2750.55 | Risk: LOW        | Conf: 100%
  GRASIM.NS       | Price: 2718.40 | Target: 2377.86 | Risk: LOW        | Conf: 100%
  GODREJCP.NS     | Price: 1116.60 | Target:  974.67 | Risk: LOW        | Conf: 100%
  MGL.NS          | Price: 1049.30 | Target:  860.76 | Risk: LOW        | Conf: 100%
  ATHERENERG.NS   | Price:  674.05 | Target:  530.32 | Risk: LOW        | Conf: 100%
  GICRE.NS        | Price:  363.55 | Target:  318.84 | Risk: LOW        | Conf: 100%
  AIAENG.NS       | Price: 3674.50 | Target: 3092.82 | Risk: LOW        | Conf: 100%
  ICICIGI.NS      | Price: 1880.30 | Target: 1669.69 | Risk: LOW        | Conf: 100%
  DALBHARAT.NS    | Price: 1899.80 | Target: 1630.87 | Risk: LOW        | Conf: 100%
  COFORGE.NS      | Price: 1162.90 | Target:  878.54 | Risk: LOW        | Conf: 100%
  VBL.NS          | Price:  447.65 | Target:  387.74 | Risk: LOW        | Conf: 80%
  ADANIPOWER.NS   | Price:  138.99 | Target:  118.31 | Risk: LOW        | Conf: 80%
  CENTRALBK.NS    | Price:   37.12 | Target:   31.01 | Risk: LOW        | Conf: 100%
  ZENSARTECH.NS   | Price:  559.10 | Target:  444.71 | Risk: LOW        | Conf: 80%
  SAPPHIRE.NS     | Price:  193.37 | Target:  156.61 | Risk: LOW        | Conf: 100%
  BHARTIARTL.NS   | Price: 1870.80 | Target: 1647.26 | Risk: LOW        | Conf: 100%
  BANKBARODA.NS   | Price:  295.35 | Target:  254.80 | Risk: LOW        | Conf: 100%
  NCC.NS          | Price:  141.02 | Target:  113.80 | Risk: LOW        | Conf: 100%
  KPRMILL.NS      | Price:  840.45 | Target:  694.72 | Risk: LOW        | Conf: 100%
  IOB.NS          | Price:   34.08 | Target:   29.14 | Risk: LOW        | Conf: 100%
  KEC.NS          | Price:  546.55 | Target:  463.96 | Risk: LOW        | Conf: 100%
  CDSL.NS         | Price: 1224.10 | Target: 1047.64 | Risk: LOW        | Conf: 100%
  PNBHOUSING.NS   | Price:  772.95 | Target:  646.04 | Risk: LOW        | Conf: 100%
  NIACL.NS        | Price:  138.62 | Target:  119.56 | Risk: LOW        | Conf: 100%
  SHREECEM.NS     | Price: 24875.00 | Target: 21482.14 | Risk: LOW        | Conf: 100%
  MARUTI.NS       | Price: 14159.00 | Target: 12484.36 | Risk: LOW        | Conf: 100%
  HDFCLIFE.NS     | Price:  668.55 | Target:  587.44 | Risk: LOW        | Conf: 100%
  INDIAMART.NS    | Price: 2120.60 | Target: 1852.28 | Risk: LOW        | Conf: 80%
