NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-14 03:49:38

BUY SIGNALS (917):
  SBIN.NS         | Price: 1083.00 | Entry: 1061.34 | Target: 1184.04 | Risk: LOW       
  IPCALAB.NS      | Price: 1796.30 | Entry: 1760.37 | Target: 2089.62 | Risk: LOW       
  APARINDS.NS     | Price: 17225.00 | Entry: 16880.5 | Target: 20999.64 | Risk: LOW       
  AWL.NS          | Price:  192.11 | Entry:  188.27 | Target:  215.02 | Risk: LOW       
  CDSL.NS         | Price: 1350.00 | Entry:  1323.0 | Target: 1461.61 | Risk: LOW       
  ASTERDM.NS      | Price:  824.30 | Entry:  807.81 | Target:  967.60 | Risk: LOW       
  EXIDEIND.NS     | Price:  485.50 | Entry:  475.79 | Target:  569.00 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3614.60 | Entry: 3542.31 | Target: 4059.80 | Risk: LOW       
  COHANCE.NS      | Price:  444.20 | Entry:  435.32 | Target:  518.70 | Risk: LOW       
  GLAND.NS        | Price: 2967.60 | Entry: 2908.25 | Target: 3426.10 | Risk: LOW       
  APOLLOTYRE.NS   | Price:  443.05 | Entry:  434.19 | Target:  488.30 | Risk: LOW       
  NIACL.NS        | Price:  180.65 | Entry:  177.04 | Target:  209.51 | Risk: LOW       
  HINDCOPPER.NS   | Price:  544.45 | Entry:  533.56 | Target:  645.45 | Risk: LOW       
  SONACOMS.NS     | Price:  799.90 | Entry:   783.9 | Target:  917.01 | Risk: LOW       
  TATATECH.NS     | Price:  868.40 | Entry:  851.03 | Target: 1023.78 | Risk: LOW       
  PINELABS.NS     | Price:  166.58 | Entry:  163.25 | Target:  206.51 | Risk: LOW       
  SUMICHEM.NS     | Price:  543.00 | Entry:  532.14 | Target:  643.82 | Risk: LOW       
  AFFLE.NS        | Price: 1643.00 | Entry: 1610.14 | Target: 1987.57 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 8294.00 | Entry: 8128.12 | Target: 9728.11 | Risk: LOW       
  EMCURE.NS       | Price: 2009.60 | Entry: 1969.41 | Target: 2261.10 | Risk: LOW       
  LALPATHLAB.NS   | Price: 1968.40 | Entry: 1929.03 | Target: 2267.50 | Risk: LOW       
  PPLPHARMA.NS    | Price:  212.67 | Entry:  208.42 | Target:  251.30 | Risk: LOW       
  ZFCVINDIA.NS    | Price: 2616.20 | Entry: 2563.88 | Target: 2926.99 | Risk: LOW       
  MRPL.NS         | Price:  174.38 | Entry:  170.89 | Target:  211.25 | Risk: LOW       
  DEEPAKNTR.NS    | Price: 1701.80 | Entry: 1667.76 | Target: 1967.01 | Risk: LOW       
  PTCIL.NS        | Price: 19167.00 | Entry: 18783.66 | Target: 21223.07 | Risk: LOW       
  PFIZER.NS       | Price: 4990.40 | Entry: 4890.59 | Target: 5490.22 | Risk: LOW       
  ANANDRATHI.NS   | Price: 2198.80 | Entry: 2154.82 | Target: 2415.51 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1164.80 | Entry:  1141.5 | Target: 1343.86 | Risk: LOW       
  BRIGADE.NS      | Price:  589.65 | Entry:  577.86 | Target:  669.48 | Risk: LOW       
  HSCL.NS         | Price:  778.15 | Entry:  762.59 | Target:  896.72 | Risk: LOW       
  FORCEMOT.NS     | Price: 18525.00 | Entry: 18154.5 | Target: 21265.36 | Risk: LOW       
  WELCORP.NS      | Price: 1883.90 | Entry: 1846.22 | Target: 2141.90 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  901.00 | Entry:  882.98 | Target: 1013.84 | Risk: LOW       
  JYOTICNC.NS     | Price:  832.55 | Entry:   815.9 | Target: 1007.60 | Risk: LOW       
  IIFL.NS         | Price:  635.95 | Entry:  623.23 | Target:  713.97 | Risk: LOW       
  REDINGTON.NS    | Price:  346.00 | Entry:  339.08 | Target:  437.84 | Risk: LOW       
  HATSUN.NS       | Price:  963.95 | Entry:  944.67 | Target: 1077.86 | Risk: LOW       
  URBANCO.NS      | Price:  141.34 | Entry:  138.51 | Target:  170.27 | Risk: LOW       
  KPIL.NS         | Price: 1365.10 | Entry:  1337.8 | Target: 1575.14 | Risk: LOW       
  ATHERENERG.NS   | Price: 1526.50 | Entry: 1495.97 | Target: 1856.39 | Risk: LOW       
  SUNDRMFAST.NS   | Price: 1229.00 | Entry: 1204.42 | Target: 1401.25 | Risk: LOW       
  ABREL.NS        | Price: 1393.80 | Entry: 1365.92 | Target: 1600.66 | Risk: LOW       
  CHALET.NS       | Price:  823.75 | Entry:  807.27 | Target:  953.05 | Risk: LOW       
  CASTROLIND.NS   | Price:  187.42 | Entry:  183.67 | Target:  199.54 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1379.10 | Entry: 1351.52 | Target: 1654.92 | Risk: LOW       
  POLYMED.NS      | Price: 1812.80 | Entry: 1776.54 | Target: 2092.12 | Risk: LOW       
  BASF.NS         | Price: 4134.20 | Entry: 4051.52 | Target: 4831.40 | Risk: LOW       
  KANSAINER.NS    | Price:  209.12 | Entry:  204.94 | Target:  246.09 | Risk: LOW       
  DEVYANI.NS      | Price:  138.51 | Entry:  135.74 | Target:  170.33 | Risk: LOW       
  NEULANDLAB.NS   | Price: 23207.00 | Entry: 22742.86 | Target: 27919.50 | Risk: LOW       
  EIDPARRY.NS     | Price:  780.30 | Entry:  764.69 | Target:  888.14 | Risk: LOW       
  KAJARIACER.NS   | Price: 1260.90 | Entry: 1235.68 | Target: 1437.76 | Risk: LOW       
  ATUL.NS         | Price: 6903.00 | Entry: 6764.94 | Target: 7680.32 | Risk: LOW       
  SARDAEN.NS      | Price:  523.30 | Entry:  512.83 | Target:  602.32 | Risk: LOW       
  APLLTD.NS       | Price:  831.20 | Entry:  814.58 | Target:  938.26 | Risk: LOW       
  SAILIFE.NS      | Price: 1451.20 | Entry: 1422.18 | Target: 1688.16 | Risk: LOW       
  ARE&M.NS        | Price:  948.80 | Entry:  929.82 | Target: 1113.53 | Risk: LOW       
  GRINDWELL.NS    | Price: 2146.30 | Entry: 2103.37 | Target: 2456.48 | Risk: LOW       
  VINATIORGA.NS   | Price: 1344.60 | Entry: 1317.71 | Target: 1497.49 | Risk: LOW       
  SKFINDIA.NS     | Price: 1606.30 | Entry: 1574.17 | Target: 1788.37 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 13340.00 | Entry: 13073.2 | Target: 15667.50 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1184.60 | Entry: 1160.91 | Target: 1379.54 | Risk: LOW       
  RBLBANK.NS      | Price:  387.25 | Entry:   379.5 | Target:  426.45 | Risk: LOW       
  BEML.NS         | Price: 1910.60 | Entry: 1872.39 | Target: 2216.10 | Risk: LOW       
  MANYAVAR.NS     | Price:  523.00 | Entry:  512.54 | Target:  637.27 | Risk: LOW       
  NETWEB.NS       | Price: 5181.00 | Entry: 5077.38 | Target: 6214.45 | Risk: LOW       
  TBOTEK.NS       | Price: 1604.90 | Entry:  1572.8 | Target: 1922.26 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1454.50 | Entry: 1425.41 | Target: 1714.79 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1394.30 | Entry: 1366.41 | Target: 1644.76 | Risk: LOW       
  CPPLUS.NS       | Price: 3704.20 | Entry: 3630.12 | Target: 4530.06 | Risk: LOW       
  LMW.NS          | Price: 18747.00 | Entry: 18372.06 | Target: 22001.29 | Risk: LOW       
  ACMESOLAR.NS    | Price:  374.50 | Entry:  367.01 | Target:  435.37 | Risk: LOW       
  GMDCLTD.NS      | Price:  593.25 | Entry:  581.38 | Target:  686.20 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 10380.00 | Entry: 10172.4 | Target: 12268.04 | Risk: LOW       
  NATCOPHARM.NS   | Price:  951.70 | Entry:  932.67 | Target: 1050.50 | Risk: LOW       
  CHOICEIN.NS     | Price:  810.25 | Entry:  794.04 | Target:  886.59 | Risk: LOW       
  VGUARD.NS       | Price:  331.70 | Entry:  325.07 | Target:  402.40 | Risk: LOW       
  JMFINANCIL.NS   | Price:  129.37 | Entry:  126.78 | Target:  148.65 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4529.30 | Entry: 4438.71 | Target: 5347.34 | Risk: LOW       
  LTFOODS.NS      | Price:  418.95 | Entry:  410.57 | Target:  481.00 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1935.50 | Entry: 1896.79 | Target: 2255.07 | Risk: LOW       
  AGARWALEYE.NS   | Price:  508.50 | Entry:  498.33 | Target:  631.75 | Risk: LOW       
  RRKABEL.NS      | Price: 2834.20 | Entry: 2777.52 | Target: 3282.59 | Risk: LOW       
  CEATLTD.NS      | Price: 3696.50 | Entry: 3622.57 | Target: 4140.70 | Risk: LOW       
  SYRMA.NS        | Price: 1467.70 | Entry: 1438.35 | Target: 1740.06 | Risk: LOW       
  FINEORG.NS      | Price: 5159.60 | Entry: 5056.41 | Target: 5986.84 | Risk: LOW       
  BATAINDIA.NS    | Price:  727.65 | Entry:   713.1 | Target:  830.82 | Risk: LOW       
  BLS.NS          | Price:  270.67 | Entry:  265.26 | Target:  312.34 | Risk: LOW       
  AARTIIND.NS     | Price:  538.20 | Entry:  527.44 | Target:  611.33 | Risk: LOW       
  THELEELA.NS     | Price:  508.45 | Entry:  498.28 | Target:  599.20 | Risk: LOW       
  ZENTEC.NS       | Price: 1831.80 | Entry: 1795.16 | Target: 2129.73 | Risk: LOW       
  CYIENT.NS       | Price:  879.65 | Entry:  862.06 | Target:  993.47 | Risk: LOW       
  INDGN.NS        | Price:  569.80 | Entry:   558.4 | Target:  681.50 | Risk: LOW       
  BELRISE.NS      | Price:  254.42 | Entry:  249.33 | Target:  289.61 | Risk: LOW       
  CELLO.NS        | Price:  369.75 | Entry:  362.36 | Target:  443.81 | Risk: LOW       
  GRANULES.NS     | Price:  857.55 | Entry:   840.4 | Target:  976.18 | Risk: LOW       
  GRAVITA.NS      | Price: 1819.70 | Entry: 1783.31 | Target: 2107.13 | Risk: LOW       
  USHAMART.NS     | Price:  497.35 | Entry:   487.4 | Target:  564.62 | Risk: LOW       
  TEGA.NS         | Price: 1669.50 | Entry: 1636.11 | Target: 1948.75 | Risk: LOW       
  FINCABLES.NS    | Price: 1249.30 | Entry: 1224.31 | Target: 1484.43 | Risk: LOW       
  SKFINDUS.NS     | Price: 2723.40 | Entry: 2668.93 | Target: 3153.83 | Risk: LOW       
  JINDALSAW.NS    | Price:  264.40 | Entry:  259.11 | Target:  301.52 | Risk: LOW       
  NSLNISP.NS      | Price:   45.29 | Entry:   44.38 | Target:   50.10 | Risk: LOW       
  RITES.NS        | Price:  224.46 | Entry:  219.97 | Target:  253.74 | Risk: LOW       
  INGERRAND.NS    | Price: 4606.40 | Entry: 4514.27 | Target: 5200.94 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1341.80 | Entry: 1314.96 | Target: 1663.15 | Risk: LOW       
  SBFC.NS         | Price:   94.56 | Entry:   92.67 | Target:  104.29 | Risk: LOW       
  CANHLIFE.NS     | Price:  150.23 | Entry:  147.23 | Target:  174.55 | Risk: LOW       
  CLEAN.NS        | Price:  836.35 | Entry:  819.62 | Target:  958.65 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4487.70 | Entry: 4397.95 | Target: 5316.70 | Risk: LOW       
  ALIVUS.NS       | Price: 1374.60 | Entry: 1347.11 | Target: 1652.99 | Risk: LOW       
  ENGINERSIN.NS   | Price:  240.58 | Entry:  235.77 | Target:  275.67 | Risk: LOW       
  JUBLINGREA.NS   | Price:  736.30 | Entry:  721.57 | Target:  853.87 | Risk: LOW       
  RELAXO.NS       | Price:  419.45 | Entry:  411.06 | Target:  486.31 | Risk: LOW       
  PRUDENT.NS      | Price: 3325.00 | Entry:  3258.5 | Target: 4032.29 | Risk: LOW       
  BSOFT.NS        | Price:  313.55 | Entry:  307.28 | Target:  374.76 | Risk: LOW       
  GRAPHITE.NS     | Price:  734.85 | Entry:  720.15 | Target:  853.83 | Risk: LOW       
  BLACKBUCK.NS    | Price:  576.80 | Entry:  565.26 | Target:  679.05 | Risk: LOW       
  INOXINDIA.NS    | Price: 1941.90 | Entry: 1903.06 | Target: 2287.51 | Risk: LOW       
  HFCL.NS         | Price:  227.36 | Entry:  222.81 | Target:  274.37 | Risk: LOW       
  RUBICON.NS      | Price: 1620.70 | Entry: 1588.29 | Target: 1899.74 | Risk: LOW       
  PVRINOX.NS      | Price: 1176.10 | Entry: 1152.58 | Target: 1375.19 | Risk: LOW       
  VIJAYA.NS       | Price: 1486.50 | Entry: 1456.77 | Target: 1747.50 | Risk: LOW       
  SONATSOFTW.NS   | Price:  326.40 | Entry:  319.87 | Target:  410.15 | Risk: LOW       
  AETHER.NS       | Price: 1580.10 | Entry:  1548.5 | Target: 1868.35 | Risk: LOW       
  AZAD.NS         | Price: 2665.10 | Entry:  2611.8 | Target: 3169.74 | Risk: LOW       
  EDELWEISS.NS    | Price:  124.88 | Entry:  122.38 | Target:  144.44 | Risk: LOW       
  NAZARA.NS       | Price:  355.20 | Entry:   348.1 | Target:  417.04 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  619.65 | Entry:  607.26 | Target:  749.92 | Risk: LOW       
  WESTLIFE.NS     | Price:  588.75 | Entry:  576.98 | Target:  719.53 | Risk: LOW       
  RKFORGE.NS      | Price:  733.30 | Entry:  718.63 | Target:  859.87 | Risk: LOW       
  HEG.NS          | Price:  687.00 | Entry:  673.26 | Target:  784.75 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1923.10 | Entry: 1884.64 | Target: 2263.46 | Risk: LOW       
  SHAILY.NS       | Price: 3406.90 | Entry: 3338.76 | Target: 4045.61 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  649.45 | Entry:  636.46 | Target:  809.65 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1052.80 | Entry: 1031.74 | Target: 1281.67 | Risk: LOW       
  AEQUS.NS        | Price:  252.29 | Entry:  247.24 | Target:  299.66 | Risk: LOW       
  TDPOWERSYS.NS   | Price: 1481.60 | Entry: 1451.97 | Target: 1880.80 | Risk: LOW       
  SAPPHIRE.NS     | Price:  233.29 | Entry:  228.62 | Target:  293.09 | Risk: LOW       
  UJJIVANSFB.NS   | Price:   71.19 | Entry:   69.77 | Target:   82.64 | Risk: LOW       
  HCG.NS          | Price:  721.40 | Entry:  706.97 | Target:  831.76 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 2007.60 | Entry: 1967.45 | Target: 2378.71 | Risk: LOW       
  HONASA.NS       | Price:  479.45 | Entry:  469.86 | Target:  554.59 | Risk: LOW       
  KRBL.NS         | Price:  372.40 | Entry:  364.95 | Target:  434.99 | Risk: LOW       
  VARROC.NS       | Price:  841.95 | Entry:  825.11 | Target: 1022.68 | Risk: LOW       
  SANSERA.NS      | Price: 3786.00 | Entry: 3710.28 | Target: 4524.93 | Risk: LOW       
  BLUESTONE.NS    | Price:  874.30 | Entry:  856.81 | Target: 1128.32 | Risk: LOW       
  TI.NS           | Price:  553.70 | Entry:  542.63 | Target:  656.77 | Risk: LOW       
  MARKSANS.NS     | Price:  303.40 | Entry:  297.33 | Target:  360.88 | Risk: LOW       
  JAIBALAJI.NS    | Price:   68.87 | Entry:   67.49 | Target:   83.82 | Risk: LOW       
  SAREGAMA.NS     | Price:  531.65 | Entry:  521.02 | Target:  652.31 | Risk: LOW       
  PCJEWELLER.NS   | Price:    9.57 | Entry:    9.38 | Target:   11.13 | Risk: LOW       
  LUMAXTECH.NS    | Price: 1987.50 | Entry: 1947.75 | Target: 2382.68 | Risk: LOW       
  CORONA.NS       | Price: 2113.20 | Entry: 2070.94 | Target: 2492.81 | Risk: LOW       
  ARVIND.NS       | Price:  555.65 | Entry:  544.54 | Target:  646.36 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  612.00 | Entry:  599.76 | Target:  684.54 | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  394.80 | Entry:   386.9 | Target:  468.18 | Risk: LOW       
  BECTORFOOD.NS   | Price:  240.25 | Entry:  235.44 | Target:  285.50 | Risk: LOW       
  ESABINDIA.NS    | Price: 6222.50 | Entry: 6098.05 | Target: 6979.11 | Risk: LOW       
  VOLTAMP.NS      | Price: 10039.50 | Entry: 9838.71 | Target: 11619.32 | Risk: LOW       
  GALAXYSURF.NS   | Price: 2090.40 | Entry: 2048.59 | Target: 2510.93 | Risk: LOW       
  DODLA.NS        | Price: 1109.80 | Entry:  1087.6 | Target: 1264.80 | Risk: LOW       
  DIACABS.NS      | Price:  367.50 | Entry:  360.15 | Target:  463.80 | Risk: LOW       
  GRWRHITECH.NS   | Price: 7230.00 | Entry:  7085.4 | Target: 8687.50 | Risk: LOW       
  GARFIBRES.NS    | Price:  752.15 | Entry:  737.11 | Target:  918.88 | Risk: LOW       
  SHILPAMED.NS    | Price:  807.05 | Entry:  790.91 | Target:  975.51 | Risk: LOW       
  MAXESTATES.NS   | Price:  439.55 | Entry:  430.76 | Target:  506.87 | Risk: LOW       
  THOMASCOOK.NS   | Price:  108.00 | Entry:  105.84 | Target:  130.14 | Risk: LOW       
  SUDEEPPHRM.NS   | Price: 1100.80 | Entry: 1078.78 | Target: 1404.39 | Risk: LOW       
  AARTIPHARM.NS   | Price:  873.65 | Entry:  856.18 | Target: 1058.63 | Risk: LOW       
  GNFC.NS         | Price:  550.40 | Entry:  539.39 | Target:  614.44 | Risk: LOW       
  AKUMS.NS        | Price:  751.85 | Entry:  736.81 | Target:  868.92 | Risk: LOW       
  ETHOSLTD.NS     | Price: 2808.60 | Entry: 2752.43 | Target: 3474.24 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   91.15 | Entry:   89.33 | Target:  111.38 | Risk: LOW       
  GANESHHOU.NS    | Price:  816.80 | Entry:  800.46 | Target:  994.50 | Risk: LOW       
  MIDHANI.NS      | Price:  444.85 | Entry:  435.95 | Target:  524.80 | Risk: LOW       
  KTKBANK.NS      | Price:  312.75 | Entry:   306.5 | Target:  361.18 | Risk: LOW       
  EPL.NS          | Price:  247.24 | Entry:   242.3 | Target:  284.64 | Risk: LOW       
  THYROCARE.NS    | Price:  606.00 | Entry:  593.88 | Target:  718.05 | Risk: LOW       
  ELLEN.NS        | Price:  337.00 | Entry:  330.26 | Target:  414.48 | Risk: LOW       
  PGIL.NS         | Price: 2464.90 | Entry:  2415.6 | Target: 2935.65 | Risk: LOW       
  QPOWER.NS       | Price: 1278.10 | Entry: 1252.54 | Target: 1527.53 | Risk: LOW       
