NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-11 19:25:51

BUY SIGNALS (70):
  BSE.NS          | Price: 2837.40 | Entry: 2780.65 | Target: 3306.58 | Risk: LOW       
  NMDC.NS         | Price:   79.73 | Trend:  -0.42% | Mom:  -1.32% | Risk: LOW       
  JSWCEMENT.NS    | Price:  120.61 | Trend:   0.01% | Mom:  -5.39% | Risk: LOW       
  ALKEM.NS        | Price: 5544.50 | Trend:  -1.07% | Mom:   0.89% | Risk: LOW       
  SBIN.NS         | Price: 1091.10 | Trend:  -0.49% | Mom: -10.81% | Risk: LOW       
  PTCIL.NS        | Price: 17980.00 | Trend:   0.00% | Mom:   0.46% | Risk: LOW       
  HAL.NS          | Price: 4005.10 | Trend:  -5.41% | Mom:   1.33% | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4050.40 | Trend:   4.32% | Mom:  -0.84% | Risk: LOW       
  NETWEB.NS       | Price: 3278.60 | Trend:   0.06% | Mom:  -7.99% | Risk: LOW       
  UNIONBANK.NS    | Price:  180.92 | Trend:   1.28% | Mom:  -9.82% | Risk: LOW       
  GRSE.NS         | Price: 2449.10 | Trend:   0.03% | Mom:   1.36% | Risk: LOW       
  JINDALSTEL.NS   | Price: 1187.00 | Trend:   4.56% | Mom:  -3.75% | Risk: LOW       
  JSWENERGY.NS    | Price:  488.00 | Trend:   0.90% | Mom:  -0.46% | Risk: LOW       
  ENGINERSIN.NS   | Price:  199.02 | Trend:   2.66% | Mom:  -7.08% | Risk: LOW       
  SCI.NS          | Price:  240.05 | Trend:   2.52% | Mom:  -7.64% | Risk: LOW       
  CONCORDBIO.NS   | Price: 1158.40 | Trend:  -6.50% | Mom:   7.65% | Risk: LOW       
  ATHERENERG.NS   | Price:  702.00 | Trend:   2.98% | Mom:   0.45% | Risk: LOW       
  ABBOTINDIA.NS   | Price: 27200.00 | Trend:  -0.66% | Mom:   3.17% | Risk: LOW       
  BDL.NS          | Price: 1360.00 | Trend:  -1.76% | Mom:   9.67% | Risk: LOW       
  ZENSARTECH.NS   | Price:  564.50 | Trend: -11.56% | Mom:   5.04% | Risk: LOW       
  NCC.NS          | Price:  149.01 | Trend:  -1.00% | Mom:   0.01% | Risk: LOW       
  GLAXO.NS        | Price: 2486.00 | Trend:   0.37% | Mom:  -5.05% | Risk: LOW       
  IGIL.NS         | Price:  327.60 | Trend:   2.08% | Mom:  -0.73% | Risk: LOW       
  ONGC.NS         | Price:  270.75 | Trend:   5.90% | Mom:  -2.08% | Risk: LOW       
  BHARATFORG.NS   | Price: 1797.10 | Trend:  11.62% | Mom:  -3.29% | Risk: LOW       
  NTPC.NS         | Price:  379.90 | Trend:   6.41% | Mom:  -0.74% | Risk: LOW       
  WIPRO.NS        | Price:  202.23 | Trend: -12.06% | Mom:   1.04% | Risk: LOW       
  THELEELA.NS     | Price:  436.30 | Trend:   0.78% | Mom:  -0.34% | Risk: LOW       
  MARICO.NS       | Price:  761.60 | Trend:  -0.29% | Mom:  -6.02% | Risk: LOW       
  POWERGRID.NS    | Price:  298.80 | Trend:   7.61% | Mom:  -1.97% | Risk: LOW       
  HCLTECH.NS      | Price: 1350.30 | Trend: -13.27% | Mom:   0.83% | Risk: LOW       
  UPL.NS          | Price:  625.85 | Trend: -13.58% | Mom:  -0.75% | Risk: LOW       
  CLEAN.NS        | Price:  742.60 | Trend:  -7.80% | Mom:   2.33% | Risk: LOW       
  KPIL.NS         | Price: 1141.30 | Trend:   0.12% | Mom:  -5.32% | Risk: LOW       
  VOLTAS.NS       | Price: 1471.40 | Trend:   1.75% | Mom:  -4.33% | Risk: LOW       
  TECHM.NS        | Price: 1334.40 | Trend: -14.44% | Mom:  -0.82% | Risk: LOW       
  DEEPAKFERT.NS   | Price:  996.85 | Trend:  -8.90% | Mom:   0.27% | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7684.00 | Trend:   4.90% | Mom:  -0.47% | Risk: LOW       
  KARURVYSYA.NS   | Price:  304.95 | Trend:   2.78% | Mom:  -9.25% | Risk: LOW       
  OFSS.NS         | Price: 6792.00 | Trend:  -7.19% | Mom:   5.24% | Risk: LOW       
  KAJARIACER.NS   | Price:  957.95 | Trend:  -0.07% | Mom:   0.88% | Risk: LOW       
  SUNTV.NS        | Price:  578.00 | Trend:   1.06% | Mom:  -1.81% | Risk: LOW       
  CCL.NS          | Price: 1042.60 | Trend:   6.38% | Mom:  -1.80% | Risk: LOW       
  VGUARD.NS       | Price:  314.65 | Trend:  -2.32% | Mom:   0.72% | Risk: LOW       
  CIPLA.NS        | Price: 1329.50 | Trend:  -3.38% | Mom:   0.21% | Risk: LOW       
  EIHOTEL.NS      | Price:  320.05 | Trend:  -4.24% | Mom:  -0.12% | Risk: LOW       
  MAXHEALTH.NS    | Price: 1032.20 | Trend:  -0.49% | Mom:  -4.99% | Risk: LOW       
  GODREJAGRO.NS   | Price:  600.35 | Trend:   3.60% | Mom:  -5.95% | Risk: LOW       
  UNITDSPR.NS     | Price: 1382.10 | Trend:   0.85% | Mom:  -2.77% | Risk: LOW       
  TECHNOE.NS      | Price: 1105.70 | Trend:   4.87% | Mom:  -5.45% | Risk: LOW       
  MOTHERSON.NS    | Price:  121.39 | Trend:  -0.18% | Mom:  -7.73% | Risk: LOW       
  BLUESTARCO.NS   | Price: 1941.10 | Trend:   4.50% | Mom:  -0.94% | Risk: LOW       
  SUNDARMFIN.NS   | Price: 5324.50 | Trend:   0.83% | Mom:  -2.61% | Risk: LOW       
  RAINBOW.NS      | Price: 1203.90 | Trend:  -1.13% | Mom:   0.40% | Risk: LOW       
  ADANIENSOL.NS   | Price:  992.00 | Trend:   1.32% | Mom:  -4.35% | Risk: LOW       
  INDIANB.NS      | Price:  917.80 | Trend:   2.88% | Mom:  -6.90% | Risk: LOW       
  TORNTPHARM.NS   | Price: 4431.20 | Trend:   8.59% | Mom:   0.76% | Risk: LOW       
  SONACOMS.NS     | Price:  516.35 | Trend:   3.52% | Mom:  -2.47% | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1031.70 | Trend:   0.85% | Mom:  -2.83% | Risk: LOW       
  DIXON.NS        | Price: 10618.00 | Trend:  -4.04% | Mom:   0.88% | Risk: LOW       
  MFSL.NS         | Price: 1725.50 | Trend:   0.43% | Mom:  -6.32% | Risk: LOW       
  CASTROLIND.NS   | Price:  185.79 | Trend:  -0.61% | Mom:  -0.62% | Risk: LOW       
  CESC.NS         | Price:  154.29 | Trend:  -0.84% | Mom:  -0.92% | Risk: LOW       
  AARTIIND.NS     | Price:  430.15 | Trend:   6.15% | Mom:  -4.37% | Risk: LOW       
  HONASA.NS       | Price:  289.35 | Trend:  -0.08% | Mom:  -5.33% | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5575.00 | Trend:  -0.37% | Mom:   1.16% | Risk: LOW       
  KIMS.NS         | Price:  675.90 | Trend:   3.68% | Mom:  -8.15% | Risk: LOW       
  LLOYDSME.NS     | Price: 1185.60 | Trend:  -2.38% | Mom:   1.85% | Risk: LOW       
  SAMMAANCAP.NS   | Price:  145.72 | Trend:  -0.27% | Mom:  -5.02% | Risk: LOW       
  USHAMART.NS     | Price:  425.10 | Trend:   0.26% | Mom:   4.69% | Risk: LOW       
  INFY.NS         | Price: 1276.30 | Trend: -15.09% | Mom:   0.06% | Risk: LOW       
  GODIGIT.NS      | Price:  334.25 | Trend:   0.99% | Mom:  -1.04% | Risk: LOW       
  STARHEALTH.NS   | Price:  455.90 | Trend:  -0.04% | Mom:   0.05% | Risk: LOW       
  ELGIEQUIP.NS    | Price:  501.10 | Trend:   4.12% | Mom:  -7.32% | Risk: LOW       
  CGCL.NS         | Price:  169.24 | Trend:  -2.67% | Mom:   0.96% | Risk: LOW       
  ACMESOLAR.NS    | Price:  230.24 | Trend:   2.15% | Mom:  -0.59% | Risk: LOW       
  GRANULES.NS     | Price:  586.20 | Trend:   0.68% | Mom:  -2.23% | Risk: LOW       
  PERSISTENT.NS   | Price: 4747.70 | Trend: -17.23% | Mom:   1.84% | Risk: LOW       
  JSWINFRA.NS     | Price:  259.55 | Trend:  -1.91% | Mom:   1.19% | Risk: LOW       
  REDINGTON.NS    | Price:  247.30 | Trend:  -6.15% | Mom:   3.06% | Risk: LOW       
  POLYMED.NS      | Price: 1333.40 | Trend: -11.09% | Mom:   3.60% | Risk: LOW       
  CGPOWER.NS      | Price:  726.30 | Trend:  11.78% | Mom:   0.25% | Risk: LOW       
  BSOFT.NS        | Price:  381.90 | Trend:  -7.05% | Mom:   4.24% | Risk: LOW       
  WHIRLPOOL.NS    | Price:  891.45 | Trend:   3.49% | Mom:  -1.42% | Risk: LOW       
  SIEMENS.NS      | Price: 3272.20 | Trend:   4.68% | Mom:  -2.78% | Risk: LOW       
  NAVA.NS         | Price:  567.30 | Trend:   0.16% | Mom:  -1.78% | Risk: LOW       
  TIINDIA.NS      | Price: 2566.00 | Trend:   3.10% | Mom:   0.13% | Risk: LOW       
  TARIL.NS        | Price:  289.40 | Trend:   4.03% | Mom:  -4.34% | Risk: LOW       
  ASTRAZEN.NS     | Price: 8760.00 | Trend:   1.36% | Mom:  -0.46% | Risk: LOW       
  DELHIVERY.NS    | Price:  417.95 | Trend:  -0.08% | Mom:  -4.30% | Risk: LOW       
  PVRINOX.NS      | Price: 1028.30 | Trend:   1.38% | Mom:  -0.37% | Risk: LOW       
  LALPATHLAB.NS   | Price: 1404.70 | Trend:  -0.69% | Mom:  -0.31% | Risk: LOW       
  POWERINDIA.NS   | Price: 24955.00 | Trend:  20.37% | Mom:   0.21% | Risk: LOW       
  FIRSTCRY.NS     | Price:  224.86 | Trend: -12.30% | Mom:   5.74% | Risk: LOW       
  SAREGAMA.NS     | Price:  329.30 | Trend:  -3.48% | Mom:   0.40% | Risk: LOW       
  AFFLE.NS        | Price: 1411.40 | Trend: -11.57% | Mom:   0.92% | Risk: LOW       
  CUMMINSIND.NS   | Price: 4630.70 | Trend:   6.03% | Mom:  -5.70% | Risk: LOW       
  AMBER.NS        | Price: 7308.00 | Trend:   6.85% | Mom:  -7.84% | Risk: LOW       
  LAURUSLABS.NS   | Price: 1041.00 | Trend:   0.42% | Mom:   1.22% | Risk: LOW       
  APARINDS.NS     | Price: 9260.00 | Trend:   3.60% | Mom: -14.46% | Risk: LOW       

SELL SIGNALS (326):
  IFCI.NS         | Price:   53.61 | Target:   41.60 | Risk: LOW        | Conf: 100%
  SBFC.NS         | Price:   92.34 | Target:   77.49 | Risk: LOW        | Conf: 100%
  HINDCOPPER.NS   | Price:  542.90 | Target:  432.10 | Risk: LOW        | Conf: 100%
  IREDA.NS        | Price:  114.80 | Target:   95.23 | Risk: LOW        | Conf: 100%
  HINDZINC.NS     | Price:  587.60 | Target:  500.51 | Risk: LOW        | Conf: 80%
  ANANTRAJ.NS     | Price:  472.55 | Target:  378.66 | Risk: LOW        | Conf: 100%
  SJVN.NS         | Price:   70.53 | Target:   58.73 | Risk: LOW        | Conf: 100%
  HOMEFIRST.NS    | Price: 1053.20 | Target:  784.06 | Risk: LOW        | Conf: 100%
  ABLBL.NS        | Price:  102.75 | Target:   83.30 | Risk: LOW        | Conf: 80%
  INDUSINDBK.NS   | Price:  877.15 | Target:  749.53 | Risk: LOW        | Conf: 100%
  MANAPPURAM.NS   | Price:  258.00 | Target:  206.68 | Risk: LOW        | Conf: 100%
  GODFRYPHLP.NS   | Price: 2122.80 | Target: 1574.87 | Risk: LOW        | Conf: 80%
  IEX.NS          | Price:  122.85 | Target:  106.24 | Risk: LOW        | Conf: 100%
  ASIANPAINT.NS   | Price: 2232.00 | Target: 1926.86 | Risk: LOW        | Conf: 100%
  GMDCLTD.NS      | Price:  542.35 | Target:  432.76 | Risk: LOW        | Conf: 100%
  MUTHOOTFIN.NS   | Price: 3163.90 | Target: 2601.65 | Risk: LOW        | Conf: 100%
  JSWSTEEL.NS     | Price: 1178.80 | Target: 1010.41 | Risk: LOW        | Conf: 100%
  BALKRISIND.NS   | Price: 2175.60 | Target: 1757.85 | Risk: LOW        | Conf: 100%
  BLUEJET.NS      | Price:  374.70 | Target:  267.90 | Risk: LOW        | Conf: 100%
  EMAMILTD.NS     | Price:  433.25 | Target:  367.50 | Risk: LOW        | Conf: 100%
  COLPAL.NS       | Price: 2055.60 | Target: 1783.53 | Risk: LOW        | Conf: 100%
  3MINDIA.NS      | Price: 33720.00 | Target: 28170.00 | Risk: LOW        | Conf: 100%
  TRENT.NS        | Price: 3627.40 | Target: 3086.69 | Risk: LOW        | Conf: 100%
  DEVYANI.NS      | Price:  111.98 | Target:   91.00 | Risk: LOW        | Conf: 100%
  BRIGADE.NS      | Price:  672.00 | Target:  558.54 | Risk: LOW        | Conf: 100%
  RECLTD.NS       | Price:  333.05 | Target:  279.91 | Risk: LOW        | Conf: 100%
  ATUL.NS         | Price: 6203.00 | Target: 5127.82 | Risk: LOW        | Conf: 100%
  NLCINDIA.NS     | Price:  248.45 | Target:  201.91 | Risk: LOW        | Conf: 100%
  JWL.NS          | Price:  274.85 | Target:  192.03 | Risk: LOW        | Conf: 100%
  JYOTICNC.NS     | Price:  770.95 | Target:  630.40 | Risk: LOW        | Conf: 100%
  WAAREEENER.NS   | Price: 2682.80 | Target: 2122.30 | Risk: LOW        | Conf: 100%
  LEMONTREE.NS    | Price:  106.37 | Target:   86.13 | Risk: LOW        | Conf: 100%
  PIIND.NS        | Price: 3012.30 | Target: 2654.05 | Risk: LOW        | Conf: 100%
  AIIL.NS         | Price:  453.15 | Target:  333.85 | Risk: LOW        | Conf: 100%
  MEDANTA.NS      | Price: 1101.20 | Target:  940.77 | Risk: LOW        | Conf: 100%
  M&MFIN.NS       | Price:  353.05 | Target:  285.92 | Risk: LOW        | Conf: 100%
  ANGELONE.NS     | Price:  218.53 | Target:  170.09 | Risk: LOW        | Conf: 100%
  GAIL.NS         | Price:  147.97 | Target:  123.77 | Risk: LOW        | Conf: 100%
  GLAND.NS        | Price: 1667.00 | Target: 1393.21 | Risk: LOW        | Conf: 100%
  MRF.NS          | Price: 136255.00 | Target: 116838.93 | Risk: LOW        | Conf: 100%
  ULTRACEMCO.NS   | Price: 11462.00 | Target: 9791.64 | Risk: LOW        | Conf: 100%
  HINDUNILVR.NS   | Price: 2161.40 | Target: 1922.76 | Risk: LOW        | Conf: 100%
  DCMSHRIRAM.NS   | Price:  989.80 | Target:  798.62 | Risk: LOW        | Conf: 100%
  IRFC.NS         | Price:   99.25 | Target:   82.37 | Risk: LOW        | Conf: 100%
  BPCL.NS         | Price:  325.05 | Target:  261.03 | Risk: LOW        | Conf: 100%
  KAYNES.NS       | Price: 3726.10 | Target: 2976.31 | Risk: LOW        | Conf: 80%
  MANYAVAR.NS     | Price:  364.40 | Target:  283.92 | Risk: LOW        | Conf: 100%
  HUDCO.NS        | Price:  177.56 | Target:  147.07 | Risk: LOW        | Conf: 100%
  HYUNDAI.NS      | Price: 2019.90 | Target: 1614.94 | Risk: LOW        | Conf: 100%
  TATACONSUM.NS   | Price: 1073.40 | Target:  952.47 | Risk: LOW        | Conf: 100%
  NSLNISP.NS      | Price:   37.74 | Target:   31.34 | Risk: LOW        | Conf: 100%
  LODHA.NS        | Price:  880.40 | Target:  695.15 | Risk: LOW        | Conf: 100%
  PIDILITIND.NS   | Price: 1403.40 | Target: 1225.61 | Risk: LOW        | Conf: 100%
  MMTC.NS         | Price:   55.45 | Target:   45.12 | Risk: LOW        | Conf: 100%
  ICICIBANK.NS    | Price: 1294.60 | Target: 1147.17 | Risk: LOW        | Conf: 100%
  SYNGENE.NS      | Price:  408.15 | Target:  349.95 | Risk: LOW        | Conf: 100%
  TCS.NS          | Price: 2464.90 | Target: 2146.29 | Risk: LOW        | Conf: 100%
  SAGILITY.NS     | Price:   39.79 | Target:   28.95 | Risk: LOW        | Conf: 100%
  IKS.NS          | Price: 1376.40 | Target: 1072.65 | Risk: LOW        | Conf: 100%
  ADANIENT.NS     | Price: 1974.70 | Target: 1677.20 | Risk: LOW        | Conf: 100%
  NESTLEIND.NS    | Price: 1233.70 | Target: 1099.99 | Risk: LOW        | Conf: 100%
  EXIDEIND.NS     | Price:  311.50 | Target:  266.27 | Risk: LOW        | Conf: 100%
  SBILIFE.NS      | Price: 1938.60 | Target: 1671.83 | Risk: LOW        | Conf: 100%
  AUBANK.NS       | Price:  918.40 | Target:  745.20 | Risk: LOW        | Conf: 100%
  CEATLTD.NS      | Price: 3553.30 | Target: 2756.98 | Risk: LOW        | Conf: 100%
  GRASIM.NS       | Price: 2735.60 | Target: 2368.35 | Risk: LOW        | Conf: 100%
  GODREJCP.NS     | Price: 1091.40 | Target:  932.76 | Risk: LOW        | Conf: 100%
  MGL.NS          | Price: 1049.30 | Target:  844.48 | Risk: LOW        | Conf: 100%
  GICRE.NS        | Price:  366.15 | Target:  317.24 | Risk: LOW        | Conf: 100%
  AIAENG.NS       | Price: 3743.10 | Target: 3123.49 | Risk: LOW        | Conf: 100%
  ICICIGI.NS      | Price: 1875.20 | Target: 1657.13 | Risk: LOW        | Conf: 80%
  DALBHARAT.NS    | Price: 1855.90 | Target: 1567.01 | Risk: LOW        | Conf: 100%
  COFORGE.NS      | Price: 1108.80 | Target:  830.01 | Risk: LOW        | Conf: 100%
  VBL.NS          | Price:  431.25 | Target:  368.52 | Risk: LOW        | Conf: 100%
  ADANIPOWER.NS   | Price:  138.85 | Target:  118.11 | Risk: LOW        | Conf: 100%
  CENTRALBK.NS    | Price:   36.61 | Target:   30.17 | Risk: LOW        | Conf: 100%
  APLAPOLLO.NS    | Price: 2016.30 | Target: 1684.94 | Risk: LOW        | Conf: 100%
  SAPPHIRE.NS     | Price:  171.01 | Target:  129.17 | Risk: LOW        | Conf: 100%
  BHARTIARTL.NS   | Price: 1807.00 | Target: 1560.39 | Risk: LOW        | Conf: 100%
  BANKBARODA.NS   | Price:  289.30 | Target:  245.76 | Risk: LOW        | Conf: 100%
  KPRMILL.NS      | Price:  810.90 | Target:  655.72 | Risk: LOW        | Conf: 100%
  IOB.NS          | Price:   33.56 | Target:   28.51 | Risk: LOW        | Conf: 100%
  KEC.NS          | Price:  547.75 | Target:  453.00 | Risk: LOW        | Conf: 100%
  IDBI.NS         | Price:   99.14 | Target:   77.21 | Risk: LOW        | Conf: 100%
  CDSL.NS         | Price: 1219.40 | Target: 1037.79 | Risk: LOW        | Conf: 100%
  ADANIPORTS.NS   | Price: 1410.80 | Target: 1158.62 | Risk: LOW        | Conf: 100%
  PNBHOUSING.NS   | Price:  776.50 | Target:  629.41 | Risk: LOW        | Conf: 100%
  NIACL.NS        | Price:  136.74 | Target:  115.52 | Risk: LOW        | Conf: 100%
  SHREECEM.NS     | Price: 23740.00 | Target: 19909.64 | Risk: LOW        | Conf: 100%
  KEI.NS          | Price: 4321.00 | Target: 3254.11 | Risk: LOW        | Conf: 100%
  TITAN.NS        | Price: 4140.30 | Target: 3701.19 | Risk: LOW        | Conf: 80%
  MARUTI.NS       | Price: 13497.00 | Target: 11483.07 | Risk: LOW        | Conf: 100%
  HDFCLIFE.NS     | Price:  647.90 | Target:  568.36 | Risk: LOW        | Conf: 100%
  INDIAMART.NS    | Price: 2130.40 | Target: 1831.94 | Risk: LOW        | Conf: 100%
  JUBLFOOD.NS     | Price:  473.25 | Target:  395.82 | Risk: LOW        | Conf: 100%
  INDIACEM.NS     | Price:  367.65 | Target:  289.88 | Risk: LOW        | Conf: 100%
  INDGN.NS        | Price:  449.60 | Target:  373.24 | Risk: LOW        | Conf: 100%
  RELIANCE.NS     | Price: 1390.20 | Target: 1203.59 | Risk: LOW        | Conf: 100%
