NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-02 06:28:13

BUY SIGNALS (628):
  TCS.NS          | Price: 2337.40 | Entry: 2290.65 | Target: 2616.40 | Risk: LOW       
  CRISIL.NS       | Price: 4741.00 | Entry: 4646.18 | Target: 5251.14 | Risk: LOW       
  KPRMILL.NS      | Price: 1145.10 | Entry:  1122.2 | Target: 1314.53 | Risk: LOW       
  IPCALAB.NS      | Price: 1954.00 | Entry: 1914.92 | Target: 2265.00 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 2191.00 | Entry: 2147.18 | Target: 2499.96 | Risk: LOW       
  MEDANTA.NS      | Price: 1463.80 | Entry: 1434.52 | Target: 1659.72 | Risk: LOW       
  AWL.NS          | Price:  191.32 | Entry:  187.49 | Target:  217.47 | Risk: LOW       
  LICHSGFIN.NS    | Price:  528.30 | Entry:  517.73 | Target:  585.22 | Risk: LOW       
  NIACL.NS        | Price:  192.75 | Entry:   188.9 | Target:  226.16 | Risk: LOW       
  PINELABS.NS     | Price:  159.77 | Entry:  156.57 | Target:  188.11 | Risk: LOW       
  PPLPHARMA.NS    | Price:  213.70 | Entry:  209.43 | Target:  249.52 | Risk: LOW       
  NUVAMA.NS       | Price: 1834.00 | Entry: 1797.32 | Target: 2121.75 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1069.80 | Entry:  1048.4 | Target: 1212.41 | Risk: LOW       
  PTCIL.NS        | Price: 22830.00 | Entry: 22373.4 | Target: 27471.43 | Risk: LOW       
  BRIGADE.NS      | Price:  628.40 | Entry:  615.83 | Target:  743.44 | Risk: LOW       
  WELCORP.NS      | Price: 2540.70 | Entry: 2489.89 | Target: 3118.41 | Risk: LOW       
  KARURVYSYA.NS   | Price:  345.65 | Entry:  338.74 | Target:  383.44 | Risk: LOW       
  SAGILITY.NS     | Price:   46.33 | Entry:    45.4 | Target:   52.83 | Risk: LOW       
  JYOTICNC.NS     | Price:  962.85 | Entry:  943.59 | Target: 1153.72 | Risk: LOW       
  IIFL.NS         | Price:  639.50 | Entry:  626.71 | Target:  773.75 | Risk: LOW       
  REDINGTON.NS    | Price:  361.50 | Entry:  354.27 | Target:  437.45 | Risk: LOW       
  HATSUN.NS       | Price: 1176.00 | Entry: 1152.48 | Target: 1450.18 | Risk: LOW       
  URBANCO.NS      | Price:  167.67 | Entry:  164.32 | Target:  201.92 | Risk: LOW       
  ATHERENERG.NS   | Price: 1714.00 | Entry: 1679.72 | Target: 1997.18 | Risk: LOW       
  CHALET.NS       | Price:  893.75 | Entry:  875.88 | Target: 1020.61 | Risk: LOW       
  ECLERX.NS       | Price: 1995.60 | Entry: 1955.69 | Target: 2363.76 | Risk: LOW       
  POLYMED.NS      | Price: 1803.90 | Entry: 1767.82 | Target: 2117.28 | Risk: LOW       
  DCMSHRIRAM.NS   | Price: 1047.40 | Entry: 1026.45 | Target: 1209.76 | Risk: LOW       
  KAJARIACER.NS   | Price: 1260.00 | Entry:  1234.8 | Target: 1417.64 | Risk: LOW       
  APLLTD.NS       | Price:  828.80 | Entry:  812.22 | Target:  935.41 | Risk: LOW       
  SAILIFE.NS      | Price: 1562.00 | Entry: 1530.76 | Target: 1790.93 | Risk: LOW       
  CGCL.NS         | Price:  256.45 | Entry:  251.32 | Target:  308.53 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 13624.00 | Entry: 13351.52 | Target: 15449.71 | Risk: LOW       
  RBLBANK.NS      | Price:  387.25 | Entry:   379.5 | Target:  424.14 | Risk: LOW       
  RATNAMANI.NS    | Price: 2560.00 | Entry:  2508.8 | Target: 3196.71 | Risk: LOW       
  CUB.NS          | Price:  230.30 | Entry:  225.69 | Target:  270.22 | Risk: LOW       
  BEML.NS         | Price: 1987.10 | Entry: 1947.36 | Target: 2262.56 | Risk: LOW       
  MANYAVAR.NS     | Price:  542.80 | Entry:  531.94 | Target:  618.60 | Risk: LOW       
  CPPLUS.NS       | Price: 3673.60 | Entry: 3600.13 | Target: 4439.56 | Risk: LOW       
  ACMESOLAR.NS    | Price:  401.90 | Entry:  393.86 | Target:  485.31 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 10998.00 | Entry: 10778.04 | Target: 12715.14 | Risk: LOW       
  VGUARD.NS       | Price:  340.60 | Entry:  333.79 | Target:  392.46 | Risk: LOW       
  WHIRLPOOL.NS    | Price:  796.10 | Entry:  780.18 | Target:  911.67 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 2684.90 | Entry:  2631.2 | Target: 3101.33 | Risk: LOW       
  AGARWALEYE.NS   | Price:  517.15 | Entry:  506.81 | Target:  577.22 | Risk: LOW       
  IFCI.NS         | Price:   94.39 | Entry:    92.5 | Target:  114.78 | Risk: LOW       
  PARADEEP.NS     | Price:  153.77 | Entry:  150.69 | Target:  180.31 | Risk: LOW       
  FINEORG.NS      | Price: 5152.00 | Entry: 5048.96 | Target: 6004.93 | Risk: LOW       
  THELEELA.NS     | Price:  562.55 | Entry:   551.3 | Target:  656.07 | Risk: LOW       
  SPLPETRO.NS     | Price:  721.60 | Entry:  707.17 | Target:  822.19 | Risk: LOW       
  GODREJAGRO.NS   | Price:  659.50 | Entry:  646.31 | Target:  778.05 | Risk: LOW       
  BBTC.NS         | Price: 1512.70 | Entry: 1482.45 | Target: 1743.88 | Risk: LOW       
  CYIENT.NS       | Price: 1125.00 | Entry:  1102.5 | Target: 1370.18 | Risk: LOW       
  INDGN.NS        | Price:  597.25 | Entry:   585.3 | Target:  678.79 | Risk: LOW       
  USHAMART.NS     | Price:  505.95 | Entry:  495.83 | Target:  572.41 | Risk: LOW       
  SKFINDUS.NS     | Price: 3002.80 | Entry: 2942.74 | Target: 3567.02 | Risk: LOW       
  JINDALSAW.NS    | Price:  308.75 | Entry:  302.57 | Target:  368.71 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  197.32 | Entry:  193.37 | Target:  238.15 | Risk: LOW       
  NSLNISP.NS      | Price:   46.16 | Entry:   45.24 | Target:   56.72 | Risk: LOW       
  INGERRAND.NS    | Price: 4775.10 | Entry:  4679.6 | Target: 5631.06 | Risk: LOW       
  CARTRADE.NS     | Price: 2926.20 | Entry: 2867.68 | Target: 3481.81 | Risk: LOW       
  SBFC.NS         | Price:   99.10 | Entry:   97.12 | Target:  113.56 | Risk: LOW       
  CANHLIFE.NS     | Price:  151.61 | Entry:  148.58 | Target:  177.36 | Risk: LOW       
  ALIVUS.NS       | Price: 1416.50 | Entry: 1388.17 | Target: 1683.19 | Risk: LOW       
  ENGINERSIN.NS   | Price:  274.60 | Entry:  269.11 | Target:  327.79 | Risk: LOW       
  GRAPHITE.NS     | Price:  732.80 | Entry:  718.14 | Target:  850.41 | Risk: LOW       
  INOXINDIA.NS    | Price: 2125.10 | Entry:  2082.6 | Target: 2525.92 | Risk: LOW       
  HFCL.NS         | Price:  233.15 | Entry:  228.49 | Target:  283.83 | Risk: LOW       
  PVRINOX.NS      | Price: 1221.70 | Entry: 1197.27 | Target: 1401.59 | Risk: LOW       
  AETHER.NS       | Price: 1658.90 | Entry: 1625.72 | Target: 1920.11 | Risk: LOW       
  EDELWEISS.NS    | Price:  126.98 | Entry:  124.44 | Target:  151.94 | Risk: LOW       
  NAZARA.NS       | Price:  362.40 | Entry:  355.15 | Target:  414.31 | Risk: LOW       
  METROPOLIS.NS   | Price:  581.85 | Entry:  570.21 | Target:  659.31 | Risk: LOW       
  GENUSPOWER.NS   | Price:  326.95 | Entry:  320.41 | Target:  399.81 | Risk: LOW       
  HEG.NS          | Price:  718.15 | Entry:  703.79 | Target:  849.17 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1969.20 | Entry: 1929.82 | Target: 2310.13 | Risk: LOW       
  TEJASNET.NS     | Price:  542.90 | Entry:  532.04 | Target:  643.04 | Risk: LOW       
  IIFLCAPS.NS     | Price:  340.30 | Entry:  333.49 | Target:  357.76 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1221.90 | Entry: 1197.46 | Target: 1476.83 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 2449.90 | Entry:  2400.9 | Target: 2939.86 | Risk: LOW       
  KRBL.NS         | Price:  421.10 | Entry:  412.68 | Target:  516.46 | Risk: LOW       
  MARKSANS.NS     | Price:  332.20 | Entry:  325.56 | Target:  408.02 | Risk: LOW       
  LOTUSDEV.NS     | Price:  178.94 | Entry:  175.36 | Target:  217.86 | Risk: LOW       
  JAIBALAJI.NS    | Price:   70.18 | Entry:   68.78 | Target:   88.29 | Risk: LOW       
  PCJEWELLER.NS   | Price:   10.08 | Entry:    9.88 | Target:   12.62 | Risk: LOW       
  ARVIND.NS       | Price:  551.65 | Entry:  540.62 | Target:  664.74 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  652.80 | Entry:  639.74 | Target:  742.61 | Risk: LOW       
  VOLTAMP.NS      | Price: 10748.00 | Entry: 10533.04 | Target: 12679.25 | Risk: LOW       
  GPPL.NS         | Price:  163.94 | Entry:  160.66 | Target:  185.36 | Risk: LOW       
  GRWRHITECH.NS   | Price: 7175.00 | Entry:  7031.5 | Target: 8161.61 | Risk: LOW       
  GARFIBRES.NS    | Price:  822.50 | Entry:  806.05 | Target:  971.96 | Risk: LOW       
  SHILPAMED.NS    | Price:  921.40 | Entry:  902.97 | Target: 1098.70 | Risk: LOW       
  MAXESTATES.NS   | Price:  500.15 | Entry:  490.15 | Target:  652.40 | Risk: LOW       
  SUDEEPPHRM.NS   | Price: 1247.80 | Entry: 1222.84 | Target: 1501.91 | Risk: LOW       
  AKUMS.NS        | Price:  778.00 | Entry:  762.44 | Target:  912.27 | Risk: LOW       
  AJAXENGG.NS     | Price:  573.25 | Entry:  561.78 | Target:  659.37 | Risk: LOW       
  TMB.NS          | Price:  896.40 | Entry:  878.47 | Target: 1023.65 | Risk: LOW       
  ATLANTAELE.NS   | Price: 1823.50 | Entry: 1787.03 | Target: 2276.04 | Risk: LOW       
  EPIGRAL.NS      | Price: 1235.80 | Entry: 1211.08 | Target: 1452.59 | Risk: LOW       
  MASTEK.NS       | Price: 1764.90 | Entry:  1729.6 | Target: 2189.75 | Risk: LOW       
  BALUFORGE.NS    | Price:  581.00 | Entry:  569.38 | Target:  753.07 | Risk: LOW       
  WELENT.NS       | Price:  723.00 | Entry:  708.54 | Target:  864.23 | Risk: LOW       
  YATHARTH.NS     | Price:  972.80 | Entry:  953.34 | Target: 1145.26 | Risk: LOW       
  JUSTDIAL.NS     | Price:  692.10 | Entry:  678.26 | Target:  805.30 | Risk: LOW       
  QPOWER.NS       | Price: 1474.70 | Entry: 1445.21 | Target: 1766.56 | Risk: LOW       
  JKPAPER.NS      | Price:  390.30 | Entry:  382.49 | Target:  452.47 | Risk: LOW       
  JAYNECOIND.NS   | Price:   96.61 | Entry:   94.68 | Target:  116.16 | Risk: LOW       
  VMART.NS        | Price:  832.00 | Entry:  815.36 | Target:  978.25 | Risk: LOW       
  JUNIPER.NS      | Price:  215.08 | Entry:  210.78 | Target:  249.23 | Risk: LOW       
  WAKEFIT.NS      | Price:  150.10 | Entry:   147.1 | Target:  183.75 | Risk: LOW       
  AXISCADES.NS    | Price: 1697.60 | Entry: 1663.65 | Target: 2037.53 | Risk: LOW       
  MANINFRA.NS     | Price:  122.19 | Entry:  119.75 | Target:  143.77 | Risk: LOW       
  ELECTCAST.NS    | Price:   85.75 | Entry:   84.03 | Target:   99.86 | Risk: LOW       
  TIIL.NS         | Price: 3259.30 | Entry: 3194.11 | Target: 4103.76 | Risk: LOW       
  SMARTWORKS.NS   | Price:  526.15 | Entry:  515.63 | Target:  609.36 | Risk: LOW       
  TEXRAIL.NS      | Price:  113.26 | Entry:  110.99 | Target:  131.48 | Risk: LOW       
  STLTECH.NS      | Price:  712.50 | Entry:  698.25 | Target:  878.43 | Risk: LOW       
  AGI.NS          | Price:  761.25 | Entry:  746.02 | Target:  893.84 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1065.90 | Entry: 1044.58 | Target: 1262.27 | Risk: LOW       
  FEDFINA.NS      | Price:  156.19 | Entry:  153.07 | Target:  177.28 | Risk: LOW       
  OPTIEMUS.NS     | Price:  581.65 | Entry:  570.02 | Target:  688.63 | Risk: LOW       
  KRN.NS          | Price: 1535.90 | Entry: 1505.18 | Target: 1927.19 | Risk: LOW       
  RSYSTEMS.NS     | Price:  252.84 | Entry:  247.78 | Target:  288.59 | Risk: LOW       
  SMLMAH.NS       | Price: 5393.00 | Entry: 5285.14 | Target: 6512.46 | Risk: LOW       
  HCC.NS          | Price:   23.02 | Entry:   22.56 | Target:   28.52 | Risk: LOW       
  VRLLOG.NS       | Price:  302.00 | Entry:  295.96 | Target:  342.63 | Risk: LOW       
  ENTERO.NS       | Price: 1806.00 | Entry: 1769.88 | Target: 2179.82 | Risk: LOW       
  SUVEN.NS        | Price:  371.70 | Entry:  364.27 | Target:  484.11 | Risk: LOW       
  LGBBROSLTD.NS   | Price: 1694.30 | Entry: 1660.41 | Target: 1884.27 | Risk: LOW       
  INNOVACAP.NS    | Price: 1115.70 | Entry: 1093.39 | Target: 1348.95 | Risk: LOW       
  BALAMINES.NS    | Price: 2411.00 | Entry: 2362.78 | Target: 2902.00 | Risk: LOW       
  DCBBANK.NS      | Price:  219.10 | Entry:  214.72 | Target:  257.96 | Risk: LOW       
  INDIQUBE.NS     | Price:  190.38 | Entry:  186.57 | Target:  228.05 | Risk: LOW       
  BANARISUG.NS    | Price: 3850.80 | Entry: 3773.78 | Target: 4896.87 | Risk: LOW       
  SGMART.NS       | Price:  828.70 | Entry:  812.13 | Target: 1017.18 | Risk: LOW       
  AARTIDRUGS.NS   | Price:  417.00 | Entry:  408.66 | Target:  475.84 | Risk: LOW       
  GUJTHEM.NS      | Price:  411.00 | Entry:  402.78 | Target:  505.20 | Risk: LOW       
  LUMAXIND.NS     | Price: 6189.50 | Entry: 6065.71 | Target: 7315.04 | Risk: LOW       
  GUJALKALI.NS    | Price:  711.10 | Entry:  696.88 | Target:  841.33 | Risk: LOW       
  SHANTIGEAR.NS   | Price:  527.30 | Entry:  516.75 | Target:  681.69 | Risk: LOW       
  MARATHON.NS     | Price:  435.30 | Entry:  426.59 | Target:  551.80 | Risk: LOW       
  UFLEX.NS        | Price:  661.20 | Entry:  647.98 | Target:  836.90 | Risk: LOW       
  UEL.NS          | Price:  219.15 | Entry:  214.77 | Target:  277.20 | Risk: LOW       
  RAYMOND.NS      | Price:  662.20 | Entry:  648.96 | Target:  777.40 | Risk: LOW       
  VADILALIND.NS   | Price: 7557.00 | Entry: 7405.86 | Target: 8899.85 | Risk: LOW       
  EBGNG.NS        | Price:  651.10 | Entry:  638.08 | Target:  813.49 | Risk: LOW       
  QUESS.NS        | Price:  370.75 | Entry:  363.33 | Target:  448.70 | Risk: LOW       
  WONDERLA.NS     | Price:  526.15 | Entry:  515.63 | Target:  611.40 | Risk: LOW       
  PRECWIRE.NS     | Price:  483.80 | Entry:  474.12 | Target:  606.51 | Risk: LOW       
  JINDWORLD.NS    | Price:   40.55 | Entry:   39.74 | Target:   48.69 | Risk: LOW       
  NPST.NS         | Price: 1708.80 | Entry: 1674.62 | Target: 2158.84 | Risk: LOW       
  HARSHA.NS       | Price:  448.70 | Entry:  439.73 | Target:  527.81 | Risk: LOW       
  NSIL.NS         | Price: 5672.00 | Entry: 5558.56 | Target: 6312.18 | Risk: LOW       
  KSL.NS          | Price:  902.05 | Entry:  884.01 | Target: 1111.84 | Risk: LOW       
  GUFICBIO.NS     | Price:  443.95 | Entry:  435.07 | Target:  538.13 | Risk: LOW       
  UNICHEMLAB.NS   | Price:  568.10 | Entry:  556.74 | Target:  698.92 | Risk: LOW       
  MSTCLTD.NS      | Price:  712.15 | Entry:  697.91 | Target:  878.45 | Risk: LOW       
  CYIENTDLM.NS    | Price:  846.90 | Entry:  829.96 | Target: 1020.83 | Risk: LOW       
  RPEL.NS         | Price: 1756.70 | Entry: 1721.57 | Target: 2215.99 | Risk: LOW       
  ARTEMISMED.NS   | Price:  322.10 | Entry:  315.66 | Target:  368.85 | Risk: LOW       
  PITTIENG.NS     | Price: 1075.00 | Entry:  1053.5 | Target: 1311.73 | Risk: LOW       
  FOSECOIND.NS    | Price: 6205.50 | Entry: 6081.39 | Target: 7723.89 | Risk: LOW       
  SSWL.NS         | Price:  340.45 | Entry:  333.64 | Target:  410.95 | Risk: LOW       
  VISHNU.NS       | Price:  659.50 | Entry:  646.31 | Target:  755.57 | Risk: LOW       
  SAMBHV.NS       | Price:  126.23 | Entry:  123.71 | Target:  153.08 | Risk: LOW       
  SWANDEF.NS      | Price: 2445.00 | Entry:  2396.1 | Target: 2982.29 | Risk: LOW       
  PARAGMILK.NS    | Price:  252.40 | Entry:  247.35 | Target:  309.77 | Risk: LOW       
  KIRIINDUS.NS    | Price:  512.60 | Entry:  502.35 | Target:  647.21 | Risk: LOW       
  PRABHA.NS       | Price:  213.00 | Entry:  208.74 | Target:  281.38 | Risk: LOW       
  IMAGICAA.NS     | Price:   54.00 | Entry:   52.92 | Target:   67.99 | Risk: LOW       
  PENIND.NS       | Price:  165.71 | Entry:   162.4 | Target:  198.33 | Risk: LOW       
  WSTCSTPAPR.NS   | Price:  628.20 | Entry:  615.64 | Target:  754.58 | Risk: LOW       
  MAITHANALL.NS   | Price: 1013.90 | Entry:  993.62 | Target: 1156.58 | Risk: LOW       
  TFCILTD.NS      | Price:  144.05 | Entry:  141.17 | Target:  174.12 | Risk: LOW       
  RAMRAT.NS       | Price:  542.35 | Entry:   531.5 | Target:  671.24 | Risk: LOW       
  EFCIL.NS        | Price:  198.56 | Entry:  194.59 | Target:  242.80 | Risk: LOW       
  MANINDS.NS      | Price:  751.55 | Entry:  736.52 | Target:  931.68 | Risk: LOW       
  FMGOETZE.NS     | Price:  615.50 | Entry:  603.19 | Target:  760.96 | Risk: LOW       
  SBCL.NS         | Price: 1036.60 | Entry: 1015.87 | Target: 1284.02 | Risk: LOW       
  FCL.NS          | Price:   48.27 | Entry:    47.3 | Target:   62.29 | Risk: LOW       
  VIMTALABS.NS    | Price:  656.70 | Entry:  643.57 | Target:  772.90 | Risk: LOW       
  MARINE.NS       | Price:  427.60 | Entry:  419.05 | Target:  527.69 | Risk: LOW       
  GIPCL.NS        | Price:  204.31 | Entry:  200.22 | Target:  241.70 | Risk: LOW       
  IOLCP.NS        | Price:  187.66 | Entry:  183.91 | Target:  232.55 | Risk: LOW       
  BAJAJHIND.NS    | Price:   21.69 | Entry:   21.26 | Target:   30.16 | Risk: LOW       
  TVSSRICHAK.NS   | Price: 5374.50 | Entry: 5267.01 | Target: 6880.68 | Risk: LOW       
  JTLIND.NS       | Price:   90.98 | Entry:   89.16 | Target:  109.31 | Risk: LOW       
  MOREPENLAB.NS   | Price:  109.04 | Entry:  106.86 | Target:  140.95 | Risk: LOW       
  SOTL.NS         | Price:  755.55 | Entry:  740.44 | Target:  920.66 | Risk: LOW       
  ALLCARGO.NS     | Price:   11.92 | Entry:   11.68 | Target:   16.42 | Risk: LOW       
  ALEMBICLTD.NS   | Price:   98.57 | Entry:    96.6 | Target:  116.98 | Risk: LOW       
  UTKARSHBNK.NS   | Price:   14.68 | Entry:   14.39 | Target:   16.77 | Risk: LOW       
  HMT.NS          | Price:   67.48 | Entry:   66.13 | Target:   83.04 | Risk: LOW       
  JAYKAY.NS       | Price:  165.64 | Entry:  162.33 | Target:  214.99 | Risk: LOW       
  INDOCO.NS       | Price:  254.50 | Entry:  249.41 | Target:  304.49 | Risk: LOW       
  KCP.NS          | Price:  166.36 | Entry:  163.03 | Target:  205.71 | Risk: LOW       
  BEPL.NS         | Price:  126.96 | Entry:  124.42 | Target:  150.61 | Risk: LOW       
  KMEW.NS         | Price: 2916.20 | Entry: 2857.88 | Target: 3574.13 | Risk: LOW       
  ROSSTECH.NS     | Price: 1125.00 | Entry:  1102.5 | Target: 1386.93 | Risk: LOW       
  JINDALPOLY.NS   | Price:  687.95 | Entry:  674.19 | Target:  811.20 | Risk: LOW       
  AEROFLEX.NS     | Price:  539.10 | Entry:  528.32 | Target:  673.33 | Risk: LOW       
  MOLDTKPAC.NS    | Price:  695.30 | Entry:  681.39 | Target:  803.39 | Risk: LOW       
  ORIENTHOT.NS    | Price:  140.06 | Entry:  137.26 | Target:  169.03 | Risk: LOW       
  NILKAMAL.NS     | Price: 2027.70 | Entry: 1987.15 | Target: 2475.88 | Risk: LOW       
  SEAMECLTD.NS    | Price: 1682.00 | Entry: 1648.36 | Target: 1963.42 | Risk: LOW       
  SOLARA.NS       | Price:  637.45 | Entry:   624.7 | Target:  788.15 | Risk: LOW       
  SIMPLEXINF.NS   | Price:  263.50 | Entry:  258.23 | Target:  319.34 | Risk: LOW       
  HINDOILEXP.NS   | Price:  165.20 | Entry:   161.9 | Target:  192.21 | Risk: LOW       
  STOVEKRAFT.NS   | Price:  840.80 | Entry:  823.98 | Target: 1009.17 | Risk: LOW       
  GEOJITFSL.NS    | Price:   82.20 | Entry:   80.56 | Target:   96.71 | Risk: LOW       
  VENKEYS.NS      | Price: 1646.10 | Entry: 1613.18 | Target: 1919.64 | Risk: LOW       
  TIL.NS          | Price:  232.00 | Entry:  227.36 | Target:  282.98 | Risk: LOW       
  MOL.NS          | Price:   63.44 | Entry:   62.17 | Target:   79.96 | Risk: LOW       
  THEJO.NS        | Price: 2075.70 | Entry: 2034.19 | Target: 2482.10 | Risk: LOW       
  MANGLMCEM.NS    | Price: 1090.00 | Entry:  1068.2 | Target: 1312.44 | Risk: LOW       
  WHEELS.NS       | Price: 1534.80 | Entry:  1504.1 | Target: 1841.80 | Risk: LOW       
  VERANDA.NS      | Price:  245.21 | Entry:  240.31 | Target:  313.39 | Risk: LOW       
  UNIPARTS.NS     | Price:  891.35 | Entry:  873.52 | Target: 1050.31 | Risk: LOW       
  VINCOFE.NS      | Price:  174.11 | Entry:  170.63 | Target:  215.55 | Risk: LOW       
  SOMANYCERA.NS   | Price:  566.65 | Entry:  555.32 | Target:  669.95 | Risk: LOW       
  DYCL.NS         | Price:  535.85 | Entry:  525.13 | Target:  668.69 | Risk: LOW       
  NITINSPIN.NS    | Price:  624.00 | Entry:  611.52 | Target:  752.64 | Risk: LOW       
  WINDLAS.NS      | Price: 1067.25 | Entry:  1045.9 | Target: 1309.21 | Risk: LOW       
  SPAL.NS         | Price: 1057.50 | Entry: 1036.35 | Target: 1279.00 | Risk: LOW       
  SPIC.NS         | Price:   68.22 | Entry:   66.86 | Target:   76.26 | Risk: LOW       
  VIDHIING.NS     | Price:  342.10 | Entry:  335.26 | Target:  422.83 | Risk: LOW       
  RMDRIP.NS       | Price:   21.11 | Entry:   20.69 | Target:   25.78 | Risk: LOW       
  ADOR.NS         | Price: 1721.10 | Entry: 1686.68 | Target: 2102.56 | Risk: LOW       
  VINDHYATEL.NS   | Price: 2700.00 | Entry:  2646.0 | Target: 3308.11 | Risk: LOW       
  BLSE.NS         | Price:  323.00 | Entry:  316.54 | Target:  375.30 | Risk: LOW       
  BLISSGVS.NS     | Price:  643.00 | Entry:  630.14 | Target:  794.29 | Risk: LOW       
  TTKHLTCARE.NS   | Price: 1127.30 | Entry: 1104.75 | Target: 1380.87 | Risk: LOW       
  UDS.NS          | Price:  228.32 | Entry:  223.75 | Target:  261.49 | Risk: LOW       
  SYNCOMF.NS      | Price:   20.65 | Entry:   20.24 | Target:   26.35 | Risk: LOW       
  SURAKSHA.NS     | Price:  339.80 | Entry:   333.0 | Target:  423.14 | Risk: LOW       
  APOLLOPIPE.NS   | Price:  604.65 | Entry:  592.56 | Target:  748.10 | Risk: LOW       
  IKIO.NS         | Price:  204.45 | Entry:  200.36 | Target:  247.56 | Risk: LOW       
  VINYAS.NS       | Price: 1545.55 | Entry: 1514.64 | Target: 2135.91 | Risk: LOW       
  OMAXE.NS        | Price:  133.46 | Entry:  130.79 | Target:  181.20 | Risk: LOW       
  QUADFUTURE.NS   | Price:  418.85 | Entry:  410.47 | Target:  544.46 | Risk: LOW       
  JAGSNPHARM.NS   | Price:  235.60 | Entry:  230.89 | Target:  275.55 | Risk: LOW       
  ESAFSFB.NS      | Price:   42.42 | Entry:   41.57 | Target:   52.88 | Risk: LOW       
  CONFIPET.NS     | Price:   80.74 | Entry:   79.13 | Target:   98.97 | Risk: LOW       
  NIITLTD.NS      | Price:   97.77 | Entry:   95.81 | Target:  116.59 | Risk: LOW       
