NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-02 05:07:08

BUY SIGNALS (694):
  BHARTIARTL.NS   | Price: 1972.00 | Entry: 1932.56 | Target: 2115.45 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 4665.60 | Entry: 4572.29 | Target: 5160.74 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1816.20 | Entry: 1779.88 | Target: 2033.84 | Risk: LOW       
  UBL.NS          | Price: 1418.80 | Entry: 1390.42 | Target: 1599.55 | Risk: LOW       
  PAGEIND.NS      | Price: 40375.00 | Entry: 39567.5 | Target: 44673.21 | Risk: LOW       
  GLAXO.NS        | Price: 2655.40 | Entry: 2602.29 | Target: 3033.58 | Risk: LOW       
  BALKRISIND.NS   | Price: 2473.50 | Entry: 2424.03 | Target: 2889.76 | Risk: LOW       
  LTTS.NS         | Price: 3555.40 | Entry: 3484.29 | Target: 4208.40 | Risk: LOW       
  360ONE.NS       | Price: 1135.30 | Entry: 1112.59 | Target: 1308.05 | Risk: LOW       
  PETRONET.NS     | Price:  280.75 | Entry:  275.13 | Target:  309.86 | Risk: LOW       
  ANTHEM.NS       | Price:  809.20 | Entry:  793.02 | Target:  925.54 | Risk: LOW       
  CONCOR.NS       | Price:  525.50 | Entry:  514.99 | Target:  597.50 | Risk: LOW       
  M&MFIN.NS       | Price:  385.75 | Entry:  378.03 | Target:  471.98 | Risk: LOW       
  JUBLFOOD.NS     | Price:  438.25 | Entry:  429.49 | Target:  486.30 | Risk: LOW       
  ESCORTS.NS      | Price: 3086.00 | Entry: 3024.28 | Target: 3382.18 | Risk: LOW       
  RADICO.NS       | Price: 4340.80 | Entry: 4253.98 | Target: 4895.11 | Risk: LOW       
  KAYNES.NS       | Price: 3804.60 | Entry: 3728.51 | Target: 4437.28 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 4366.80 | Entry: 4279.46 | Target: 5161.37 | Risk: LOW       
  ENDURANCE.NS    | Price: 2758.30 | Entry: 2703.13 | Target: 3159.17 | Risk: LOW       
  TATAINVEST.NS   | Price:  679.45 | Entry:  665.86 | Target:  752.54 | Risk: LOW       
  CRISIL.NS       | Price: 4359.80 | Entry:  4272.6 | Target: 4990.64 | Risk: LOW       
  MEDANTA.NS      | Price: 1405.60 | Entry: 1377.49 | Target: 1593.96 | Risk: LOW       
  EXIDEIND.NS     | Price:  449.80 | Entry:   440.8 | Target:  525.42 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3465.20 | Entry:  3395.9 | Target: 4007.20 | Risk: LOW       
  GLAND.NS        | Price: 2502.90 | Entry: 2452.84 | Target: 2887.51 | Risk: LOW       
  SONACOMS.NS     | Price:  769.40 | Entry:  754.01 | Target:  879.90 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  290.16 | Entry:  284.36 | Target:  359.16 | Risk: LOW       
  STARHEALTH.NS   | Price:  601.00 | Entry:  588.98 | Target:  695.98 | Risk: LOW       
  TVSHLTD.NS      | Price: 14713.00 | Entry: 14418.74 | Target: 17029.79 | Risk: LOW       
  AFFLE.NS        | Price: 1586.00 | Entry: 1554.28 | Target: 1867.32 | Risk: LOW       
  EMCURE.NS       | Price: 1960.10 | Entry:  1920.9 | Target: 2254.21 | Risk: LOW       
  LALPATHLAB.NS   | Price: 1905.20 | Entry:  1867.1 | Target: 2215.02 | Risk: LOW       
  PPLPHARMA.NS    | Price:  195.61 | Entry:   191.7 | Target:  234.27 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1031.30 | Entry: 1010.67 | Target: 1189.24 | Risk: LOW       
  FSL.NS          | Price:  302.12 | Entry:  296.08 | Target:  358.67 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1959.70 | Entry: 1920.51 | Target: 2232.27 | Risk: LOW       
  PFIZER.NS       | Price: 4823.90 | Entry: 4727.42 | Target: 5305.76 | Risk: LOW       
  MANAPPURAM.NS   | Price:  371.85 | Entry:  364.41 | Target:  423.15 | Risk: LOW       
  BRIGADE.NS      | Price:  580.20 | Entry:   568.6 | Target:  664.15 | Risk: LOW       
  HSCL.NS         | Price:  750.65 | Entry:  735.64 | Target:  928.44 | Risk: LOW       
  WELCORP.NS      | Price: 1650.60 | Entry: 1617.59 | Target: 1923.92 | Risk: LOW       
  KARURVYSYA.NS   | Price:  342.45 | Entry:   335.6 | Target:  397.10 | Risk: LOW       
  SAGILITY.NS     | Price:   43.40 | Entry:   42.53 | Target:   52.22 | Risk: LOW       
  JYOTICNC.NS     | Price:  808.65 | Entry:  792.48 | Target:  946.38 | Risk: LOW       
  IIFL.NS         | Price:  608.65 | Entry:  596.48 | Target:  713.42 | Risk: LOW       
  REDINGTON.NS    | Price:  321.65 | Entry:  315.22 | Target:  386.24 | Risk: LOW       
  CREDITACC.NS    | Price: 1592.80 | Entry: 1560.94 | Target: 1853.80 | Risk: LOW       
  SUNDRMFAST.NS   | Price:  977.45 | Entry:   957.9 | Target: 1073.84 | Risk: LOW       
  ANANTRAJ.NS     | Price:  624.50 | Entry:  612.01 | Target:  730.61 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1355.30 | Entry: 1328.19 | Target: 1637.09 | Risk: LOW       
  POLYMED.NS      | Price: 1702.00 | Entry: 1667.96 | Target: 1987.43 | Risk: LOW       
  DEVYANI.NS      | Price:  114.18 | Entry:   111.9 | Target:  134.83 | Risk: LOW       
  NEULANDLAB.NS   | Price: 19043.00 | Entry: 18662.14 | Target: 21900.95 | Risk: LOW       
  EIDPARRY.NS     | Price:  760.05 | Entry:  744.85 | Target:  849.12 | Risk: LOW       
  CAMS.NS         | Price:  796.15 | Entry:  780.23 | Target:  894.95 | Risk: LOW       
  KFINTECH.NS     | Price:  937.90 | Entry:  919.14 | Target: 1088.25 | Risk: LOW       
  ATUL.NS         | Price: 6736.50 | Entry: 6601.77 | Target: 7840.85 | Risk: LOW       
  SARDAEN.NS      | Price:  516.60 | Entry:  506.27 | Target:  577.39 | Risk: LOW       
  SAILIFE.NS      | Price: 1315.10 | Entry:  1288.8 | Target: 1478.10 | Risk: LOW       
  GRINDWELL.NS    | Price: 2120.20 | Entry:  2077.8 | Target: 2696.34 | Risk: LOW       
  RBLBANK.NS      | Price:  375.50 | Entry:  367.99 | Target:  424.71 | Risk: LOW       
  MANYAVAR.NS     | Price:  414.65 | Entry:  406.36 | Target:  488.95 | Risk: LOW       
  NETWEB.NS       | Price: 4524.00 | Entry: 4433.52 | Target: 5376.21 | Risk: LOW       
  TBOTEK.NS       | Price: 1531.20 | Entry: 1500.58 | Target: 1774.34 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1420.80 | Entry: 1392.38 | Target: 1639.02 | Risk: LOW       
  GABRIEL.NS      | Price: 1441.80 | Entry: 1412.96 | Target: 1810.69 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 9873.50 | Entry: 9676.03 | Target: 11473.12 | Risk: LOW       
  CHOICEIN.NS     | Price:  822.95 | Entry:  806.49 | Target:  899.09 | Risk: LOW       
  VGUARD.NS       | Price:  314.50 | Entry:  308.21 | Target:  365.94 | Risk: LOW       
  SIGNATURE.NS    | Price:  820.45 | Entry:  804.04 | Target:  979.93 | Risk: LOW       
  WHIRLPOOL.NS    | Price:  802.90 | Entry:  786.84 | Target:  907.24 | Risk: LOW       
  LTFOODS.NS      | Price:  410.35 | Entry:  402.14 | Target:  465.73 | Risk: LOW       
  RRKABEL.NS      | Price: 2602.80 | Entry: 2550.74 | Target: 3190.23 | Risk: LOW       
  IFCI.NS         | Price:   76.54 | Entry:   75.01 | Target:   88.05 | Risk: LOW       
  NIVABUPA.NS     | Price:   87.01 | Entry:   85.27 | Target:   98.99 | Risk: LOW       
  PARADEEP.NS     | Price:  147.33 | Entry:  144.38 | Target:  176.24 | Risk: LOW       
  RAINBOW.NS      | Price: 1525.40 | Entry: 1494.89 | Target: 1723.83 | Risk: LOW       
  BATAINDIA.NS    | Price:  696.15 | Entry:  682.23 | Target:  775.01 | Risk: LOW       
  THELEELA.NS     | Price:  494.60 | Entry:  484.71 | Target:  575.30 | Risk: LOW       
  SPLPETRO.NS     | Price:  713.15 | Entry:  698.89 | Target:  865.70 | Risk: LOW       
  BLUEDART.NS     | Price: 5160.30 | Entry: 5057.09 | Target: 5713.41 | Risk: LOW       
  IEX.NS          | Price:  132.24 | Entry:   129.6 | Target:  152.52 | Risk: LOW       
  INDGN.NS        | Price:  515.15 | Entry:  504.85 | Target:  590.80 | Risk: LOW       
  MINDACORP.NS    | Price:  700.95 | Entry:  686.93 | Target:  798.63 | Risk: LOW       
  BELRISE.NS      | Price:  236.73 | Entry:   232.0 | Target:  270.84 | Risk: LOW       
  JPPOWER.NS      | Price:   18.29 | Entry:   17.92 | Target:   21.32 | Risk: LOW       
  NEWGEN.NS       | Price:  555.70 | Entry:  544.59 | Target:  722.22 | Risk: LOW       
  SKFINDUS.NS     | Price: 2739.90 | Entry:  2685.1 | Target: 3231.97 | Risk: LOW       
  ACE.NS          | Price: 1070.30 | Entry: 1048.89 | Target: 1275.26 | Risk: LOW       
  BLUEJET.NS      | Price:  626.25 | Entry:  613.73 | Target:  726.71 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1260.60 | Entry: 1235.39 | Target: 1623.81 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4395.20 | Entry:  4307.3 | Target: 5078.64 | Risk: LOW       
  ALIVUS.NS       | Price: 1160.00 | Entry:  1136.8 | Target: 1351.29 | Risk: LOW       
  PRUDENT.NS      | Price: 3292.00 | Entry: 3226.16 | Target: 3975.78 | Risk: LOW       
  GRAPHITE.NS     | Price:  656.40 | Entry:  643.27 | Target:  777.21 | Risk: LOW       
  ZEEL.NS         | Price:  114.55 | Entry:  112.26 | Target:  136.38 | Risk: LOW       
  RUBICON.NS      | Price: 1491.00 | Entry: 1461.18 | Target: 1824.61 | Risk: LOW       
  PVRINOX.NS      | Price: 1130.60 | Entry: 1107.99 | Target: 1305.94 | Risk: LOW       
  SONATSOFTW.NS   | Price:  322.45 | Entry:   316.0 | Target:  392.39 | Risk: LOW       
  AETHER.NS       | Price: 1539.60 | Entry: 1508.81 | Target: 1804.06 | Risk: LOW       
  NAZARA.NS       | Price:  339.00 | Entry:  332.22 | Target:  387.37 | Risk: LOW       
  METROPOLIS.NS   | Price:  582.45 | Entry:   570.8 | Target:  683.22 | Risk: LOW       
  WESTLIFE.NS     | Price:  507.10 | Entry:  496.96 | Target:  646.99 | Risk: LOW       
  RKFORGE.NS      | Price:  651.15 | Entry:  638.13 | Target:  765.40 | Risk: LOW       
  HEG.NS          | Price:  657.25 | Entry:  644.11 | Target:  799.82 | Risk: LOW       
  SHAILY.NS       | Price: 3061.40 | Entry: 3000.17 | Target: 3520.44 | Risk: LOW       
  TIMETECHNO.NS   | Price:  208.56 | Entry:  204.39 | Target:  251.92 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  528.05 | Entry:  517.49 | Target:  605.05 | Risk: LOW       
  JLHL.NS         | Price:  331.50 | Entry:  324.87 | Target:  390.75 | Risk: LOW       
  ASTRAMICRO.NS   | Price: 1861.60 | Entry: 1824.37 | Target: 2267.60 | Risk: LOW       
  SAPPHIRE.NS     | Price:  185.11 | Entry:  181.41 | Target:  224.93 | Risk: LOW       
  UJJIVANSFB.NS   | Price:   71.75 | Entry:   70.31 | Target:   86.25 | Risk: LOW       
  HCG.NS          | Price:  671.20 | Entry:  657.78 | Target:  764.90 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 1652.70 | Entry: 1619.65 | Target: 1906.01 | Risk: LOW       
  VARROC.NS       | Price:  679.20 | Entry:  665.62 | Target:  773.58 | Risk: LOW       
  SANSERA.NS      | Price: 3346.90 | Entry: 3279.96 | Target: 3932.15 | Risk: LOW       
  LATENTVIEW.NS   | Price:  316.20 | Entry:  309.88 | Target:  372.74 | Risk: LOW       
  BLUESTONE.NS    | Price:  816.20 | Entry:  799.88 | Target: 1147.93 | Risk: LOW       
  LLOYDSENT.NS    | Price:   79.96 | Entry:   78.36 | Target:   96.13 | Risk: LOW       
  TI.NS           | Price:  465.15 | Entry:  455.85 | Target:  526.40 | Risk: LOW       
  SANDUMA.NS      | Price:  212.84 | Entry:  208.58 | Target:  243.55 | Risk: LOW       
  SOUTHBANK.NS    | Price:   46.70 | Entry:   45.77 | Target:   54.11 | Risk: LOW       
  LOTUSDEV.NS     | Price:  200.12 | Entry:  196.12 | Target:  233.65 | Risk: LOW       
  SAREGAMA.NS     | Price:  522.85 | Entry:  512.39 | Target:  619.22 | Risk: LOW       
  CORONA.NS       | Price: 2098.80 | Entry: 2056.82 | Target: 2427.12 | Risk: LOW       
  PNGJL.NS        | Price:  670.30 | Entry:  656.89 | Target:  807.50 | Risk: LOW       
  BECTORFOOD.NS   | Price:  206.46 | Entry:  202.33 | Target:  271.88 | Risk: LOW       
  WEWORK.NS       | Price:  743.50 | Entry:  728.63 | Target:  906.63 | Risk: LOW       
  VOLTAMP.NS      | Price: 9923.00 | Entry: 9724.54 | Target: 11214.96 | Risk: LOW       
  GALAXYSURF.NS   | Price: 1944.50 | Entry: 1905.61 | Target: 2164.53 | Risk: LOW       
  MAHLIFE.NS      | Price:  392.65 | Entry:   384.8 | Target:  452.45 | Risk: LOW       
  DIACABS.NS      | Price:  323.97 | Entry:  317.49 | Target:  422.55 | Risk: LOW       
  GRWRHITECH.NS   | Price: 7151.50 | Entry: 7008.47 | Target: 8285.96 | Risk: LOW       
  CERA.NS         | Price: 6126.00 | Entry: 6003.48 | Target: 6863.68 | Risk: LOW       
  THOMASCOOK.NS   | Price:  104.27 | Entry:  102.18 | Target:  121.97 | Risk: LOW       
  SUDEEPPHRM.NS   | Price:  881.05 | Entry:  863.43 | Target: 1066.57 | Risk: LOW       
  TMB.NS          | Price:  851.70 | Entry:  834.67 | Target: 1026.66 | Risk: LOW       
  SFL.NS          | Price:  783.80 | Entry:  768.12 | Target:  923.57 | Risk: LOW       
  MASTEK.NS       | Price: 1874.80 | Entry:  1837.3 | Target: 2217.12 | Risk: LOW       
  KTKBANK.NS      | Price:  284.75 | Entry:  279.06 | Target:  330.18 | Risk: LOW       
  THYROCARE.NS    | Price:  579.00 | Entry:  567.42 | Target:  710.79 | Risk: LOW       
  PGIL.NS         | Price: 2064.80 | Entry:  2023.5 | Target: 2442.59 | Risk: LOW       
  CUPID.NS        | Price:  230.62 | Entry:  226.01 | Target:  276.77 | Risk: LOW       
  PARKHOSPS.NS    | Price:  292.65 | Entry:   286.8 | Target:  345.63 | Risk: LOW       
  JKPAPER.NS      | Price:  390.55 | Entry:  382.74 | Target:  477.50 | Risk: LOW       
  PRICOLLTD.NS    | Price:  696.65 | Entry:  682.72 | Target:  805.35 | Risk: LOW       
  AVALON.NS       | Price: 1807.90 | Entry: 1771.74 | Target: 2224.79 | Risk: LOW       
  HNDFDS.NS       | Price:  574.65 | Entry:  563.16 | Target:  647.83 | Risk: LOW       
  UTLSOLAR.NS     | Price:  380.50 | Entry:  372.89 | Target:  465.38 | Risk: LOW       
  GREENLAM.NS     | Price:  251.90 | Entry:  246.86 | Target:  294.72 | Risk: LOW       
  SUPRAJIT.NS     | Price:  504.60 | Entry:  494.51 | Target:  575.56 | Risk: LOW       
  VMART.NS        | Price:  779.10 | Entry:  763.52 | Target:  940.78 | Risk: LOW       
  SUBROS.NS       | Price:  819.25 | Entry:  802.87 | Target:  918.14 | Risk: LOW       
  GULFOILLUB.NS   | Price: 1069.30 | Entry: 1047.91 | Target: 1226.87 | Risk: LOW       
  ASHAPURMIN.NS   | Price:  702.55 | Entry:   688.5 | Target:  820.66 | Risk: LOW       
  TIIL.NS         | Price: 2580.50 | Entry: 2528.89 | Target: 2981.18 | Risk: LOW       
  SMARTWORKS.NS   | Price:  470.50 | Entry:  461.09 | Target:  564.43 | Risk: LOW       
  IMFA.NS         | Price: 1448.60 | Entry: 1419.63 | Target: 1717.21 | Risk: LOW       
  PARAS.NS        | Price: 1256.50 | Entry: 1231.37 | Target: 1464.71 | Risk: LOW       
  GHCL.NS         | Price:  438.10 | Entry:  429.34 | Target:  479.14 | Risk: LOW       
  EMUDHRA.NS      | Price:  464.10 | Entry:  454.82 | Target:  543.26 | Risk: LOW       
  MASFIN.NS       | Price:  319.80 | Entry:   313.4 | Target:  373.85 | Risk: LOW       
  SENCO.NS        | Price:  403.20 | Entry:  395.14 | Target:  481.57 | Risk: LOW       
  ICIL.NS         | Price:  401.25 | Entry:  393.22 | Target:  482.96 | Risk: LOW       
  INDIGOPNTS.NS   | Price: 1111.80 | Entry: 1089.56 | Target: 1286.26 | Risk: LOW       
  FIEMIND.NS      | Price: 2323.30 | Entry: 2276.83 | Target: 2640.55 | Risk: LOW       
  LXCHEM.NS       | Price:  178.48 | Entry:  174.91 | Target:  228.66 | Risk: LOW       
  AGI.NS          | Price:  709.25 | Entry:  695.06 | Target:  820.71 | Risk: LOW       
  GMMPFAUDLR.NS   | Price:  864.40 | Entry:  847.11 | Target:  993.89 | Risk: LOW       
  E2E.NS          | Price:  517.15 | Entry:  506.81 | Target:  659.36 | Risk: LOW       
  GOKULAGRO.NS    | Price:  225.11 | Entry:  220.61 | Target:  266.01 | Risk: LOW       
  OPTIEMUS.NS     | Price:  637.65 | Entry:   624.9 | Target:  757.72 | Risk: LOW       
  KINGFA.NS       | Price: 5248.50 | Entry: 5143.53 | Target: 6101.18 | Risk: LOW       
  EMIL.NS         | Price:  130.16 | Entry:  127.56 | Target:  157.35 | Risk: LOW       
  RSYSTEMS.NS     | Price:  262.46 | Entry:  257.21 | Target:  314.60 | Risk: LOW       
  GAEL.NS         | Price:  172.11 | Entry:  168.67 | Target:  204.87 | Risk: LOW       
  SMLMAH.NS       | Price: 5685.60 | Entry: 5571.89 | Target: 7199.85 | Risk: LOW       
  VRLLOG.NS       | Price:  265.65 | Entry:  260.34 | Target:  308.25 | Risk: LOW       
  ENTERO.NS       | Price: 1243.90 | Entry: 1219.02 | Target: 1462.19 | Risk: LOW       
  SUNFLAG.NS      | Price:  365.30 | Entry:  357.99 | Target:  429.01 | Risk: LOW       
  JSFB.NS         | Price:  575.00 | Entry:   563.5 | Target:  703.82 | Risk: LOW       
  CARERATING.NS   | Price: 1709.50 | Entry: 1675.31 | Target: 1940.32 | Risk: LOW       
  LGBBROSLTD.NS   | Price: 1588.40 | Entry: 1556.63 | Target: 1765.94 | Risk: LOW       
  SKYGOLD.NS      | Price:  643.70 | Entry:  630.83 | Target:  791.09 | Risk: LOW       
  TARC.NS         | Price:  137.25 | Entry:   134.5 | Target:  164.93 | Risk: LOW       
  INNOVACAP.NS    | Price:  974.25 | Entry:  954.76 | Target: 1112.30 | Risk: LOW       
  NEPHROPLUS.NS   | Price:  681.65 | Entry:  668.02 | Target:  800.20 | Risk: LOW       
  SJS.NS          | Price: 2391.70 | Entry: 2343.87 | Target: 2755.20 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1391.30 | Entry: 1363.47 | Target: 1544.26 | Risk: LOW       
  INDIQUBE.NS     | Price:  173.76 | Entry:  170.28 | Target:  216.05 | Risk: LOW       
  SHREEJISPG.NS   | Price:  645.35 | Entry:  632.44 | Target:  729.60 | Risk: LOW       
  SHILCTECH.NS    | Price: 4580.50 | Entry: 4488.89 | Target: 5371.70 | Risk: LOW       
  PACEDIGITK.NS   | Price:  205.38 | Entry:  201.27 | Target:  239.83 | Risk: LOW       
  RAIN.NS         | Price:  222.95 | Entry:  218.49 | Target:  268.82 | Risk: LOW       
  SAMHI.NS        | Price:  179.84 | Entry:  176.24 | Target:  212.85 | Risk: LOW       
  SGMART.NS       | Price:  697.35 | Entry:   683.4 | Target:  865.06 | Risk: LOW       
  STYRENIX.NS     | Price: 2476.50 | Entry: 2426.97 | Target: 2932.54 | Risk: LOW       
  SANATHAN.NS     | Price:  474.95 | Entry:  465.45 | Target:  583.79 | Risk: LOW       
  GUJALKALI.NS    | Price:  670.80 | Entry:  657.38 | Target:  807.89 | Risk: LOW       
  GOLDIAM.NS      | Price:  375.70 | Entry:  368.19 | Target:  455.04 | Risk: LOW       
