NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-11 19:03:33

BUY SIGNALS (1352):
  LT.NS           | Price: 3959.90 | Entry:  3880.7 | Target: 4689.76 | Risk: LOW       
  TIINDIA.NS      | Price: 2744.80 | Entry:  2689.9 | Target: 3267.84 | Risk: LOW       
  BDL.NS          | Price: 1345.90 | Entry: 1318.98 | Target: 1648.26 | Risk: LOW       
  MOTILALOFS.NS   | Price:  778.55 | Entry:  762.98 | Target:  955.07 | Risk: LOW       
  GLENMARK.NS     | Price: 2163.20 | Entry: 2119.94 | Target: 2570.41 | Risk: LOW       
  SAIL.NS         | Price:  166.02 | Entry:   162.7 | Target:  200.82 | Risk: LOW       
  FEDERALBNK.NS   | Price:  291.70 | Entry:  285.87 | Target:  341.83 | Risk: LOW       
  NAM-INDIA.NS    | Price:  955.25 | Entry:  936.14 | Target: 1166.29 | Risk: LOW       
  KALYANKJIL.NS   | Price:  449.15 | Entry:  440.17 | Target:  545.01 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1098.35 | Entry: 1076.38 | Target: 1280.65 | Risk: LOW       
  GODFRYPHLP.NS   | Price: 2101.60 | Entry: 2059.57 | Target: 2620.49 | Risk: LOW       
  JKCEMENT.NS     | Price: 5719.50 | Entry: 5605.11 | Target: 6722.18 | Risk: LOW       
  PAGEIND.NS      | Price: 36055.00 | Entry: 35333.9 | Target: 41453.21 | Risk: LOW       
  COCHINSHIP.NS   | Price: 1464.60 | Entry: 1435.31 | Target: 1841.60 | Risk: LOW       
  PREMIERENE.NS   | Price:  975.20 | Entry:   955.7 | Target: 1140.81 | Risk: LOW       
  HUDCO.NS        | Price:  183.96 | Entry:  180.28 | Target:  222.66 | Risk: LOW       
  MAHABANK.NS     | Price:   70.59 | Entry:   69.18 | Target:   85.85 | Risk: LOW       
  IREDA.NS        | Price:  123.72 | Entry:  121.25 | Target:  148.11 | Risk: LOW       
  ANTHEM.NS       | Price:  744.40 | Entry:  729.51 | Target:  871.42 | Risk: LOW       
  CONCOR.NS       | Price:  483.70 | Entry:  474.03 | Target:  570.81 | Risk: LOW       
  NATIONALUM.NS   | Price:  417.00 | Entry:  408.66 | Target:  499.89 | Risk: LOW       
  RADICO.NS       | Price: 2792.70 | Entry: 2736.85 | Target: 3320.91 | Risk: LOW       
  KAYNES.NS       | Price: 3896.30 | Entry: 3818.37 | Target: 4831.16 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 3346.60 | Entry: 3279.67 | Target: 4089.14 | Risk: LOW       
  KEI.NS          | Price: 4459.00 | Entry: 4369.82 | Target: 5389.25 | Risk: LOW       
  ASTRAL.NS       | Price: 1630.00 | Entry:  1597.4 | Target: 1973.32 | Risk: LOW       
  THERMAX.NS      | Price: 3643.00 | Entry: 3570.14 | Target: 4348.43 | Risk: LOW       
  PWL.NS          | Price:  101.80 | Entry:   99.76 | Target:  127.73 | Risk: LOW       
  NH.NS           | Price: 1754.90 | Entry:  1719.8 | Target: 2029.29 | Risk: LOW       
  TATAINVEST.NS   | Price:  665.65 | Entry:  652.34 | Target:  800.69 | Risk: LOW       
  APARINDS.NS     | Price: 11342.00 | Entry: 11115.16 | Target: 14023.07 | Risk: LOW       
  SJVN.NS         | Price:   72.15 | Entry:   70.71 | Target:   85.32 | Risk: LOW       
  NLCINDIA.NS     | Price:  267.20 | Entry:  261.86 | Target:  321.33 | Risk: LOW       
  CDSL.NS         | Price: 1303.40 | Entry: 1277.33 | Target: 1550.44 | Risk: LOW       
  DELHIVERY.NS    | Price:  470.15 | Entry:  460.75 | Target:  551.06 | Risk: LOW       
  ASTERDM.NS      | Price:  681.80 | Entry:  668.16 | Target:  807.22 | Risk: LOW       
  EXIDEIND.NS     | Price:  324.50 | Entry:  318.01 | Target:  382.09 | Risk: LOW       
  METROBRAND.NS   | Price: 1016.35 | Entry:  996.02 | Target: 1223.69 | Risk: LOW       
  COHANCE.NS      | Price:  377.90 | Entry:  370.34 | Target:  460.67 | Risk: LOW       
  LICHSGFIN.NS    | Price:  531.65 | Entry:  521.02 | Target:  614.24 | Risk: LOW       
  NIACL.NS        | Price:  155.71 | Entry:   152.6 | Target:  189.87 | Risk: LOW       
  ITI.NS          | Price:  292.46 | Entry:  286.61 | Target:  364.88 | Risk: LOW       
  GRSE.NS         | Price: 2539.80 | Entry:  2489.0 | Target: 3293.48 | Risk: LOW       
  SONACOMS.NS     | Price:  554.25 | Entry:  543.16 | Target:  666.37 | Risk: LOW       
  IKS.NS          | Price: 1539.70 | Entry: 1508.91 | Target: 1838.31 | Risk: LOW       
  STARHEALTH.NS   | Price:  469.45 | Entry:  460.06 | Target:  546.84 | Risk: LOW       
  IRB.NS          | Price:   21.66 | Entry:   21.23 | Target:   26.48 | Risk: LOW       
  SUMICHEM.NS     | Price:  418.60 | Entry:  410.23 | Target:  491.21 | Risk: LOW       
  BANDHANBNK.NS   | Price:  168.07 | Entry:  164.71 | Target:  205.48 | Risk: LOW       
  EMCURE.NS       | Price: 1600.50 | Entry: 1568.49 | Target: 1937.86 | Risk: LOW       
  LALPATHLAB.NS   | Price: 1404.70 | Entry: 1376.61 | Target: 1637.56 | Risk: LOW       
  AMBER.NS        | Price: 7245.00 | Entry:  7100.1 | Target: 8873.21 | Risk: LOW       
  NUVAMA.NS       | Price: 1306.50 | Entry: 1280.37 | Target: 1556.50 | Risk: LOW       
  SHYAMMETL.NS    | Price:  838.80 | Entry:  822.02 | Target:  994.12 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1343.80 | Entry: 1316.92 | Target: 1674.37 | Risk: LOW       
  PFIZER.NS       | Price: 4868.60 | Entry: 4771.23 | Target: 5524.10 | Risk: LOW       
  ANANDRATHI.NS   | Price: 3578.50 | Entry: 3506.93 | Target: 4170.25 | Risk: LOW       
  KIOCL.NS        | Price:  357.95 | Entry:  350.79 | Target:  465.29 | Risk: LOW       
  PNBHOUSING.NS   | Price:  864.75 | Entry:  847.46 | Target: 1038.11 | Risk: LOW       
  BRIGADE.NS      | Price:  723.20 | Entry:  708.74 | Target:  902.90 | Risk: LOW       
  ABSLAMC.NS      | Price:  997.85 | Entry:  977.89 | Target: 1213.96 | Risk: LOW       
  TIMKEN.NS       | Price: 3488.60 | Entry: 3418.83 | Target: 4227.99 | Risk: LOW       
  HSCL.NS         | Price:  470.90 | Entry:  461.48 | Target:  579.27 | Risk: LOW       
  FORCEMOT.NS     | Price: 22617.00 | Entry: 22164.66 | Target: 28858.07 | Risk: LOW       
  WELCORP.NS      | Price:  961.80 | Entry:  942.56 | Target: 1139.53 | Risk: LOW       
  ANGELONE.NS     | Price:  280.99 | Entry:  275.37 | Target:  340.48 | Risk: LOW       
  TATACHEM.NS     | Price:  689.90 | Entry:   676.1 | Target:  853.97 | Risk: LOW       
  ERIS.NS         | Price: 1371.40 | Entry: 1343.97 | Target: 1626.61 | Risk: LOW       
  CESC.NS         | Price:  157.52 | Entry:  154.37 | Target:  179.11 | Risk: LOW       
  HBLENGINE.NS    | Price:  730.65 | Entry:  716.04 | Target:  898.01 | Risk: LOW       
  JYOTICNC.NS     | Price:  819.20 | Entry:  802.82 | Target:  992.18 | Risk: LOW       
  AADHARHFC.NS    | Price:  478.60 | Entry:  469.03 | Target:  573.78 | Risk: LOW       
  URBANCO.NS      | Price:  134.52 | Entry:  131.83 | Target:  163.49 | Risk: LOW       
  ONESOURCE.NS    | Price: 1438.90 | Entry: 1410.12 | Target: 1913.04 | Risk: LOW       
  KPIL.NS         | Price: 1183.30 | Entry: 1159.63 | Target: 1411.73 | Risk: LOW       
  ATHERENERG.NS   | Price:  863.05 | Entry:  845.79 | Target: 1089.59 | Risk: LOW       
  ABREL.NS        | Price: 1361.10 | Entry: 1333.88 | Target: 1694.74 | Risk: LOW       
  OLAELEC.NS      | Price:   40.88 | Entry:   40.06 | Target:   53.84 | Risk: LOW       
  CHAMBLFERT.NS   | Price:  456.70 | Entry:  447.57 | Target:  534.50 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1010.10 | Entry:   989.9 | Target: 1224.58 | Risk: LOW       
  POLYMED.NS      | Price: 1462.30 | Entry: 1433.05 | Target: 1796.59 | Risk: LOW       
  DCMSHRIRAM.NS   | Price: 1116.20 | Entry: 1093.88 | Target: 1339.27 | Risk: LOW       
  BASF.NS         | Price: 3610.60 | Entry: 3538.39 | Target: 4324.49 | Risk: LOW       
  TENNIND.NS      | Price:  561.45 | Entry:  550.22 | Target:  674.66 | Risk: LOW       
  NEULANDLAB.NS   | Price: 14951.00 | Entry: 14651.98 | Target: 18133.86 | Risk: LOW       
  CAMS.NS         | Price:  715.80 | Entry:  701.48 | Target:  840.09 | Risk: LOW       
  RPOWER.NS       | Price:   25.21 | Entry:   24.71 | Target:   32.72 | Risk: LOW       
  BIKAJI.NS       | Price:  640.60 | Entry:  627.79 | Target:  739.69 | Risk: LOW       
  KAJARIACER.NS   | Price: 1120.70 | Entry: 1098.29 | Target: 1375.00 | Risk: LOW       
  ATUL.NS         | Price: 6450.00 | Entry:  6321.0 | Target: 7341.61 | Risk: LOW       
  SARDAEN.NS      | Price:  554.60 | Entry:  543.51 | Target:  653.55 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1088.85 | Entry: 1067.07 | Target: 1353.33 | Risk: LOW       
  FIRSTCRY.NS     | Price:  243.61 | Entry:  238.74 | Target:  332.17 | Risk: LOW       
  JSWCEMENT.NS    | Price:  127.43 | Entry:  124.88 | Target:  149.39 | Risk: LOW       
  CGCL.NS         | Price:  183.54 | Entry:  179.87 | Target:  227.72 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 13421.00 | Entry: 13152.58 | Target: 16066.71 | Risk: LOW       
  JUBLPHARMA.NS   | Price:  890.80 | Entry:  872.98 | Target: 1077.67 | Risk: LOW       
  FIVESTAR.NS     | Price:  428.60 | Entry:  420.03 | Target:  534.56 | Risk: LOW       
  CARBORUNIV.NS   | Price:  895.45 | Entry:  877.54 | Target: 1072.08 | Risk: LOW       
  RBLBANK.NS      | Price:  322.15 | Entry:  315.71 | Target:  377.45 | Risk: LOW       
  RATNAMANI.NS    | Price: 2334.30 | Entry: 2287.61 | Target: 2816.44 | Risk: LOW       
  NAVA.NS         | Price:  601.95 | Entry:  589.91 | Target:  710.25 | Risk: LOW       
  NETWEB.NS       | Price: 3346.20 | Entry: 3279.28 | Target: 3985.27 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1307.60 | Entry: 1281.45 | Target: 1568.31 | Risk: LOW       
  CPPLUS.NS       | Price: 1894.40 | Entry: 1856.51 | Target: 2340.40 | Risk: LOW       
  ACMESOLAR.NS    | Price:  268.65 | Entry:  263.28 | Target:  340.35 | Risk: LOW       
  GABRIEL.NS      | Price:  933.50 | Entry:  914.83 | Target: 1144.82 | Risk: LOW       
  GMDCLTD.NS      | Price:  603.10 | Entry:  591.04 | Target:  727.21 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  512.80 | Entry:  502.54 | Target:  599.26 | Risk: LOW       
  NATCOPHARM.NS   | Price: 1104.20 | Entry: 1082.12 | Target: 1309.59 | Risk: LOW       
  CIEINDIA.NS     | Price:  485.75 | Entry:  476.03 | Target:  580.21 | Risk: LOW       
  TECHNOE.NS      | Price: 1116.00 | Entry: 1093.68 | Target: 1379.75 | Risk: LOW       
  JMFINANCIL.NS   | Price:  134.04 | Entry:  131.36 | Target:  163.74 | Risk: LOW       
  GPIL.NS         | Price:  289.55 | Entry:  283.76 | Target:  349.32 | Risk: LOW       
  AFCONS.NS       | Price:  324.90 | Entry:   318.4 | Target:  382.61 | Risk: LOW       
  AKZOINDIA.NS    | Price: 2975.70 | Entry: 2916.19 | Target: 3542.13 | Risk: LOW       
  ABDL.NS         | Price:  509.40 | Entry:  499.21 | Target:  626.77 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 1708.40 | Entry: 1674.23 | Target: 1990.29 | Risk: LOW       
  IGIL.NS         | Price:  340.05 | Entry:  333.25 | Target:  405.66 | Risk: LOW       
  DOMS.NS         | Price: 2408.60 | Entry: 2360.43 | Target: 2857.49 | Risk: LOW       
  LTFOODS.NS      | Price:  410.40 | Entry:  402.19 | Target:  487.11 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1588.30 | Entry: 1556.53 | Target: 1932.16 | Risk: LOW       
  JBMA.NS         | Price:  611.45 | Entry:  599.22 | Target:  802.36 | Risk: LOW       
  GALLANTT.NS     | Price:  658.50 | Entry:  645.33 | Target:  835.09 | Risk: LOW       
  IFCI.NS         | Price:   57.25 | Entry:    56.1 | Target:   71.84 | Risk: LOW       
  PARADEEP.NS     | Price:  121.16 | Entry:  118.74 | Target:  149.08 | Risk: LOW       
  RAINBOW.NS      | Price: 1249.70 | Entry: 1224.71 | Target: 1487.74 | Risk: LOW       
  SYRMA.NS        | Price:  868.60 | Entry:  851.23 | Target: 1053.65 | Risk: LOW       
  FINEORG.NS      | Price: 4653.30 | Entry: 4560.23 | Target: 5537.94 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1473.20 | Entry: 1443.74 | Target: 1809.34 | Risk: LOW       
  BLS.NS          | Price:  288.48 | Entry:  282.71 | Target:  386.59 | Risk: LOW       
  EMMVEE.NS       | Price:  231.72 | Entry:  227.09 | Target:  293.41 | Risk: LOW       
  SPLPETRO.NS     | Price:  745.45 | Entry:  730.54 | Target:  950.91 | Risk: LOW       
  ZYDUSWELL.NS    | Price:  489.75 | Entry:  479.95 | Target:  632.13 | Risk: LOW       
  KSB.NS          | Price:  893.25 | Entry:  875.38 | Target: 1061.57 | Risk: LOW       
  CEMPRO.NS       | Price:  630.35 | Entry:  617.74 | Target:  788.44 | Risk: LOW       
  ZENTEC.NS       | Price: 1541.40 | Entry: 1510.57 | Target: 1868.04 | Risk: LOW       
  GODREJAGRO.NS   | Price:  592.35 | Entry:   580.5 | Target:  710.05 | Risk: LOW       
  IEX.NS          | Price:  129.99 | Entry:  127.39 | Target:  152.27 | Risk: LOW       
  INDGN.NS        | Price:  490.25 | Entry:  480.44 | Target:  590.73 | Risk: LOW       
  BELRISE.NS      | Price:  206.09 | Entry:  201.97 | Target:  247.84 | Risk: LOW       
  JPPOWER.NS      | Price:   17.20 | Entry:   16.86 | Target:   22.79 | Risk: LOW       
  ANURAS.NS       | Price: 1286.20 | Entry: 1260.48 | Target: 1468.34 | Risk: LOW       
  GRANULES.NS     | Price:  631.95 | Entry:  619.31 | Target:  743.31 | Risk: LOW       
  GRAVITA.NS      | Price: 1558.40 | Entry: 1527.23 | Target: 1932.72 | Risk: LOW       
  MGL.NS          | Price: 1075.75 | Entry: 1054.23 | Target: 1282.50 | Risk: LOW       
  USHAMART.NS     | Price:  440.85 | Entry:  432.03 | Target:  522.19 | Risk: LOW       
  VTL.NS          | Price:  560.85 | Entry:  549.63 | Target:  657.46 | Risk: LOW       
  NCC.NS          | Price:  153.06 | Entry:   150.0 | Target:  185.42 | Risk: LOW       
  FINCABLES.NS    | Price:  847.75 | Entry:  830.79 | Target: 1025.91 | Risk: LOW       
  ACE.NS          | Price:  909.35 | Entry:  891.16 | Target: 1090.37 | Risk: LOW       
  ELECON.NS       | Price:  419.50 | Entry:  411.11 | Target:  515.62 | Risk: LOW       
  JINDALSAW.NS    | Price:  204.87 | Entry:  200.77 | Target:  250.64 | Risk: LOW       
  NSLNISP.NS      | Price:   41.98 | Entry:   41.14 | Target:   52.09 | Risk: LOW       
  SAMMAANCAP.NS   | Price:  155.84 | Entry:  152.72 | Target:  191.27 | Risk: LOW       
  INGERRAND.NS    | Price: 3888.20 | Entry: 3810.44 | Target: 4488.27 | Risk: LOW       
  BLUEJET.NS      | Price:  406.85 | Entry:  398.71 | Target:  516.85 | Risk: LOW       
  SBFC.NS         | Price:   92.68 | Entry:   90.83 | Target:  112.20 | Risk: LOW       
  TITAGARH.NS     | Price:  710.25 | Entry:  696.04 | Target:  879.89 | Risk: LOW       
  SHRIPISTON.NS   | Price: 3608.20 | Entry: 3536.04 | Target: 4481.52 | Risk: LOW       
  ALIVUS.NS       | Price: 1046.25 | Entry: 1025.33 | Target: 1228.25 | Risk: LOW       
  ENGINERSIN.NS   | Price:  213.75 | Entry:  209.47 | Target:  262.74 | Risk: LOW       
  J&KBANK.NS      | Price:  123.22 | Entry:  120.76 | Target:  151.92 | Risk: LOW       
  OLECTRA.NS      | Price: 1184.25 | Entry: 1160.57 | Target: 1531.70 | Risk: LOW       
  JUBLINGREA.NS   | Price:  648.10 | Entry:  635.14 | Target:  790.72 | Risk: LOW       
  SANOFICONR.NS   | Price: 4619.10 | Entry: 4526.72 | Target: 5606.78 | Risk: LOW       
  EUREKAFORB.NS   | Price:  493.75 | Entry:  483.88 | Target:  606.62 | Risk: LOW       
  WAAREERTL.NS    | Price:  918.80 | Entry:  900.42 | Target: 1102.41 | Risk: LOW       
  PRUDENT.NS      | Price: 2530.80 | Entry: 2480.18 | Target: 3057.37 | Risk: LOW       
  VIKRAMSOLR.NS   | Price:  214.44 | Entry:  210.15 | Target:  259.20 | Risk: LOW       
  TTML.NS         | Price:   41.94 | Entry:    41.1 | Target:   54.99 | Risk: LOW       
  INOXINDIA.NS    | Price: 1305.10 | Entry:  1279.0 | Target: 1570.17 | Risk: LOW       
  HFCL.NS         | Price:   84.40 | Entry:   82.71 | Target:  103.23 | Risk: LOW       
  RUBICON.NS      | Price:  836.10 | Entry:  819.38 | Target:  997.26 | Risk: LOW       
  SCI.NS          | Price:  243.29 | Entry:  238.42 | Target:  297.51 | Risk: LOW       
  VIJAYA.NS       | Price:  981.80 | Entry:  962.16 | Target: 1142.34 | Risk: LOW       
  AZAD.NS         | Price: 1704.70 | Entry: 1670.61 | Target: 2063.38 | Risk: LOW       
  EDELWEISS.NS    | Price:  116.57 | Entry:  114.24 | Target:  141.25 | Risk: LOW       
  METROPOLIS.NS   | Price:  468.10 | Entry:  458.74 | Target:  587.56 | Risk: LOW       
  RKFORGE.NS      | Price:  544.05 | Entry:  533.17 | Target:  680.34 | Risk: LOW       
  STARCEMENT.NS   | Price:  216.40 | Entry:  212.07 | Target:  248.26 | Risk: LOW       
  GENUSPOWER.NS   | Price:  274.67 | Entry:  269.18 | Target:  346.71 | Risk: LOW       
  HEG.NS          | Price:  560.45 | Entry:  549.24 | Target:  701.20 | Risk: LOW       
  TEJASNET.NS     | Price:  443.45 | Entry:  434.58 | Target:  566.24 | Risk: LOW       
  TIMETECHNO.NS   | Price:  186.27 | Entry:  182.54 | Target:  228.86 | Risk: LOW       
  AVANTIFEED.NS   | Price: 1459.10 | Entry: 1429.92 | Target: 1873.31 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  440.15 | Entry:  431.35 | Target:  530.81 | Risk: LOW       
  MEDPLUS.NS      | Price:  866.85 | Entry:  849.51 | Target: 1010.14 | Risk: LOW       
  AEQUS.NS        | Price:  143.97 | Entry:  141.09 | Target:  173.84 | Risk: LOW       
  INDIASHLTR.NS   | Price:  774.35 | Entry:  758.86 | Target:  986.64 | Risk: LOW       
  ASTRAMICRO.NS   | Price: 1015.65 | Entry:  995.34 | Target: 1249.47 | Risk: LOW       
  TDPOWERSYS.NS   | Price:  926.60 | Entry:  908.07 | Target: 1146.49 | Risk: LOW       
  KPIGREEN.NS     | Price:  411.10 | Entry:  402.88 | Target:  510.01 | Risk: LOW       
