NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-01-16 15:07:10

BUY SIGNALS (86):
  IFCI.NS         | Price:   60.85 | Entry:   59.63 | Target:   74.89 | Risk: LOW       
  MMTC.NS         | Price:   68.61 | Entry:   67.24 | Target:   88.25 | Risk: LOW       
  ICICIBANK.NS    | Price: 1410.90 | Entry: 1382.68 | Target: 1528.22 | Risk: LOW       
  SAGILITY.NS     | Price:   53.65 | Entry:   52.58 | Target:   60.85 | Risk: LOW       
  IKS.NS          | Price: 1700.60 | Entry: 1666.59 | Target: 1926.31 | Risk: LOW       
  NESTLEIND.NS    | Price: 1316.20 | Entry: 1289.88 | Target: 1426.95 | Risk: LOW       
  SBILIFE.NS      | Price: 2080.30 | Entry: 2038.69 | Target: 2249.66 | Risk: LOW       
  AUBANK.NS       | Price: 1027.85 | Entry: 1007.29 | Target: 1145.28 | Risk: LOW       
  BDL.NS          | Price: 1514.90 | Entry:  1484.6 | Target: 1728.69 | Risk: LOW       
  DALBHARAT.NS    | Price: 2166.30 | Entry: 2122.97 | Target: 2412.05 | Risk: LOW       
  VBL.NS          | Price:  500.45 | Entry:  490.44 | Target:  557.83 | Risk: LOW       
  NATIONALUM.NS   | Price:  362.90 | Entry:  355.64 | Target:  433.06 | Risk: LOW       
  CENTRALBK.NS    | Price:   38.62 | Entry:   37.85 | Target:   43.41 | Risk: LOW       
  BANKBARODA.NS   | Price:  308.30 | Entry:  302.13 | Target:  343.01 | Risk: LOW       
  SHREECEM.NS     | Price: 27860.00 | Entry: 27302.8 | Target: 30270.71 | Risk: LOW       
  TITAN.NS        | Price: 4193.80 | Entry: 4109.92 | Target: 4561.41 | Risk: LOW       
  ONGC.NS         | Price:  247.66 | Entry:  242.71 | Target:  277.01 | Risk: LOW       
  INDIACEM.NS     | Price:  478.30 | Entry:  468.73 | Target:  553.12 | Risk: LOW       
  NHPC.NS         | Price:   80.53 | Entry:   78.92 | Target:   90.50 | Risk: LOW       
  NTPC.NS         | Price:  346.95 | Entry:  340.01 | Target:  384.29 | Risk: LOW       
  YESBANK.NS      | Price:   23.49 | Entry:   23.02 | Target:   26.35 | Risk: LOW       
  THELEELA.NS     | Price:  443.15 | Entry:  434.29 | Target:  525.06 | Risk: LOW       
  PNB.NS          | Price:  132.53 | Entry:  129.88 | Target:  147.34 | Risk: LOW       
  DABUR.NS        | Price:  514.80 | Entry:   504.5 | Target:  575.73 | Risk: LOW       
  HCLTECH.NS      | Price: 1696.80 | Entry: 1662.86 | Target: 1866.23 | Risk: LOW       
  BANKINDIA.NS    | Price:  157.37 | Entry:  154.22 | Target:  178.57 | Risk: LOW       
  AXISBANK.NS     | Price: 1293.50 | Entry: 1267.63 | Target: 1404.71 | Risk: LOW       
  LUPIN.NS        | Price: 2175.40 | Entry: 2131.89 | Target: 2408.40 | Risk: LOW       
  VOLTAS.NS       | Price: 1412.00 | Entry: 1383.76 | Target: 1597.11 | Risk: LOW       
  TECHM.NS        | Price: 1672.30 | Entry: 1638.85 | Target: 1848.37 | Risk: LOW       
  CRISIL.NS       | Price: 4749.90 | Entry:  4654.9 | Target: 5428.83 | Risk: LOW       
  PGEL.NS         | Price:  586.20 | Entry:  574.48 | Target:  689.56 | Risk: LOW       
  RBLBANK.NS      | Price:  326.00 | Entry:  319.48 | Target:  370.91 | Risk: LOW       
  VENTIVE.NS      | Price:  760.45 | Entry:  745.24 | Target:  888.61 | Risk: LOW       
  CANBK.NS        | Price:  156.89 | Entry:  153.75 | Target:  175.89 | Risk: LOW       
  TATAELXSI.NS    | Price: 5633.00 | Entry: 5520.34 | Target: 6604.79 | Risk: LOW       
  BEL.NS          | Price:  410.80 | Entry:  402.58 | Target:  457.05 | Risk: LOW       
  NUVAMA.NS       | Price: 1474.90 | Entry:  1445.4 | Target: 1672.01 | Risk: LOW       
  LTIM.NS         | Price: 6309.00 | Entry: 6182.82 | Target: 6929.00 | Risk: LOW       
  BLUESTARCO.NS   | Price: 1808.80 | Entry: 1772.62 | Target: 2086.05 | Risk: LOW       
  360ONE.NS       | Price: 1199.20 | Entry: 1175.22 | Target: 1392.74 | Risk: LOW       
  MPHASIS.NS      | Price: 2891.80 | Entry: 2833.96 | Target: 3236.80 | Risk: LOW       
  INDIANB.NS      | Price:  852.95 | Entry:  835.89 | Target:  982.95 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4017.60 | Entry: 3937.25 | Target: 4415.49 | Risk: LOW       
  ASTRAL.NS       | Price: 1466.80 | Entry: 1437.46 | Target: 1650.44 | Risk: LOW       
  IIFL.NS         | Price:  634.20 | Entry:  621.52 | Target:  724.56 | Risk: LOW       
  CYIENT.NS       | Price: 1201.00 | Entry: 1176.98 | Target: 1367.61 | Risk: LOW       
  FEDERALBNK.NS   | Price:  269.30 | Entry:  263.91 | Target:  307.14 | Risk: LOW       
  INFY.NS         | Price: 1688.20 | Entry: 1654.44 | Target: 1858.27 | Risk: LOW       
  COROMANDEL.NS   | Price: 2322.90 | Entry: 2276.44 | Target: 2654.36 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 1905.20 | Entry:  1867.1 | Target: 2091.34 | Risk: LOW       
  PERSISTENT.NS   | Price: 6405.00 | Entry:  6276.9 | Target: 7161.61 | Risk: LOW       
  PAYTM.NS        | Price: 1346.10 | Entry: 1319.18 | Target: 1506.74 | Risk: LOW       
  NIVABUPA.NS     | Price:   78.66 | Entry:   77.09 | Target:   87.20 | Risk: LOW       
  IPCALAB.NS      | Price: 1508.40 | Entry: 1478.23 | Target: 1778.44 | Risk: LOW       
  JKCEMENT.NS     | Price: 5894.50 | Entry: 5776.61 | Target: 6880.21 | Risk: LOW       
  EMCURE.NS       | Price: 1559.30 | Entry: 1528.11 | Target: 1843.05 | Risk: LOW       
  JTLIND.NS       | Price:   71.90 | Entry:   70.46 | Target:   91.78 | Risk: LOW       

HOLD SIGNALS (157):
  FORCEMOT.NS     | Price: 20625.00 | Trend:  12.67% | Mom:  -1.13% | Risk: LOW       
  ANANTRAJ.NS     | Price:  551.05 | Trend:  -3.21% | Mom:  -0.26% | Risk: LOW       
  SJVN.NS         | Price:   76.85 | Trend:  -1.13% | Mom:   2.82% | Risk: LOW       
  CHENNPETRO.NS   | Price:  855.25 | Trend:  -6.66% | Mom:   1.03% | Risk: LOW       
  MANAPPURAM.NS   | Price:  312.20 | Trend:   7.45% | Mom:  -0.60% | Risk: LOW       
  SAIL.NS         | Price:  149.84 | Trend:   8.60% | Mom:   0.94% | Risk: LOW       
  IEX.NS          | Price:  139.37 | Trend:  -0.93% | Mom:   4.48% | Risk: LOW       
  ASIANPAINT.NS   | Price: 2759.50 | Trend:  -2.24% | Mom:   0.27% | Risk: LOW       
  GMDCLTD.NS      | Price:  557.00 | Trend:   1.54% | Mom:  -7.09% | Risk: LOW       
  COLPAL.NS       | Price: 2100.40 | Trend:  -1.41% | Mom:   0.32% | Risk: LOW       
  3MINDIA.NS      | Price: 35110.00 | Trend:  -0.37% | Mom:  -2.47% | Risk: LOW       
  ATUL.NS         | Price: 6001.50 | Trend:   0.62% | Mom:  -2.72% | Risk: LOW       
  MRPL.NS         | Price:  152.41 | Trend:  -2.52% | Mom:  -0.70% | Risk: LOW       
  NLCINDIA.NS     | Price:  257.50 | Trend:   2.87% | Mom:   0.53% | Risk: LOW       
  NMDC.NS         | Price:   82.92 | Trend:   6.03% | Mom:  -0.88% | Risk: LOW       
  JWL.NS          | Price:  323.40 | Trend:   7.97% | Mom:  -4.06% | Risk: LOW       
  PIIND.NS        | Price: 3268.00 | Trend:  -2.75% | Mom:   1.52% | Risk: LOW       
  AIIL.NS         | Price:  631.70 | Trend:  11.40% | Mom:   0.72% | Risk: LOW       
  M&MFIN.NS       | Price:  356.75 | Trend:  -0.13% | Mom: -11.73% | Risk: LOW       
  GLAND.NS        | Price: 1709.80 | Trend:  -1.71% | Mom:  -0.31% | Risk: LOW       
  HINDUNILVR.NS   | Price: 2357.20 | Trend:  -0.44% | Mom:   1.47% | Risk: LOW       
  IRFC.NS         | Price:  122.39 | Trend:   2.29% | Mom:  -2.70% | Risk: LOW       
  PTCIL.NS        | Price: 17965.00 | Trend:   0.17% | Mom:  -2.11% | Risk: LOW       
  HAL.NS          | Price: 4429.60 | Trend:  -1.22% | Mom:   0.72% | Risk: LOW       
  SCHAEFFLER.NS   | Price: 3840.00 | Trend:  -1.70% | Mom:  -0.80% | Risk: LOW       
  GRSE.NS         | Price: 2426.00 | Trend:  -4.88% | Mom:  -0.66% | Risk: LOW       
  JINDALSTEL.NS   | Price: 1043.30 | Trend:   0.82% | Mom:  -2.35% | Risk: LOW       
  TATACONSUM.NS   | Price: 1187.30 | Trend:   1.33% | Mom:   0.88% | Risk: LOW       
  GESHIP.NS       | Price: 1123.20 | Trend:   1.60% | Mom:   0.77% | Risk: LOW       
  LODHA.NS        | Price: 1072.00 | Trend:  -4.22% | Mom:  -0.07% | Risk: LOW       
  PIDILITIND.NS   | Price: 1476.40 | Trend:   0.22% | Mom:   0.48% | Risk: LOW       
  JSWENERGY.NS    | Price:  494.20 | Trend:   0.64% | Mom:  -1.55% | Risk: LOW       
  TCS.NS          | Price: 3204.30 | Trend:   0.30% | Mom:  -0.72% | Risk: LOW       
  CONCORDBIO.NS   | Price: 1346.90 | Trend:  -2.96% | Mom:   0.79% | Risk: LOW       
  CEATLTD.NS      | Price: 3805.40 | Trend:  -1.56% | Mom:   0.81% | Risk: LOW       
  GRASIM.NS       | Price: 2808.50 | Trend:   0.89% | Mom:  -1.51% | Risk: LOW       
  GODREJCP.NS     | Price: 1236.70 | Trend:   5.39% | Mom:  -0.54% | Risk: LOW       
  AIAENG.NS       | Price: 3939.10 | Trend:   3.29% | Mom:  -2.26% | Risk: LOW       
  COFORGE.NS      | Price: 1731.20 | Trend:  -3.49% | Mom:   4.55% | Risk: LOW       
  APLAPOLLO.NS    | Price: 1940.10 | Trend:   7.16% | Mom:  -1.52% | Risk: LOW       
  ZENSARTECH.NS   | Price:  716.10 | Trend:  -0.99% | Mom:   2.13% | Risk: LOW       
  IOB.NS          | Price:   36.10 | Trend:  -2.57% | Mom:  -0.52% | Risk: LOW       
  DMART.NS        | Price: 3776.40 | Trend:  -2.83% | Mom:   1.62% | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1600.00 | Trend:  -3.43% | Mom:  -0.67% | Risk: LOW       
  IDBI.NS         | Price:  104.58 | Trend:   3.38% | Mom:   0.79% | Risk: LOW       
  CDSL.NS         | Price: 1437.00 | Trend:  -5.96% | Mom:  -0.64% | Risk: LOW       
  PNBHOUSING.NS   | Price:  962.60 | Trend:   3.81% | Mom:  -2.43% | Risk: LOW       
  KEI.NS          | Price: 4419.30 | Trend:   4.47% | Mom:  -2.11% | Risk: LOW       
  MANKIND.NS      | Price: 2179.50 | Trend:  -1.46% | Mom:   0.69% | Risk: LOW       
  INDIAMART.NS    | Price: 2294.00 | Trend:   0.36% | Mom:   4.55% | Risk: LOW       
  ABCAPITAL.NS    | Price:  362.00 | Trend:   3.86% | Mom:   0.01% | Risk: LOW       
  BHARATFORG.NS   | Price: 1457.60 | Trend:   2.25% | Mom:  -0.46% | Risk: LOW       
  UCOBANK.NS      | Price:   29.72 | Trend:  -0.53% | Mom:   0.64% | Risk: LOW       
  TATACHEM.NS     | Price:  756.50 | Trend:  -3.39% | Mom:   0.71% | Risk: LOW       
  AMBUJACEM.NS    | Price:  554.15 | Trend:   0.97% | Mom:  -0.98% | Risk: LOW       
  IOC.NS          | Price:  161.44 | Trend:  -0.18% | Mom:  -2.68% | Risk: LOW       
  WIPRO.NS        | Price:  267.55 | Trend:   4.11% | Mom:   0.07% | Risk: LOW       
  IRCON.NS        | Price:  162.90 | Trend:  -0.29% | Mom:  -8.47% | Risk: LOW       
  RVNL.NS         | Price:  335.90 | Trend:   2.02% | Mom:  -7.08% | Risk: LOW       
  RAILTEL.NS      | Price:  348.20 | Trend:   0.19% | Mom:  -6.13% | Risk: LOW       
  ACC.NS          | Price: 1746.40 | Trend:  -2.52% | Mom:   0.34% | Risk: LOW       
  NUVOCO.NS       | Price:  350.60 | Trend:  -2.05% | Mom:   0.11% | Risk: LOW       
  MARICO.NS       | Price:  758.65 | Trend:   2.64% | Mom:  -0.24% | Risk: LOW       
  ECLERX.NS       | Price: 4634.30 | Trend:   0.89% | Mom:  -3.89% | Risk: LOW       
  JSL.NS          | Price:  814.70 | Trend:   4.13% | Mom:  -4.57% | Risk: LOW       
  GLENMARK.NS     | Price: 2003.60 | Trend:   2.26% | Mom:  -1.12% | Risk: LOW       
  UPL.NS          | Price:  788.40 | Trend:   3.08% | Mom:  -2.10% | Risk: LOW       
  ETERNAL.NS      | Price:  288.60 | Trend:  -1.63% | Mom:   1.69% | Risk: LOW       
  CLEAN.NS        | Price:  860.90 | Trend:  -4.18% | Mom:   0.22% | Risk: LOW       
  SRF.NS          | Price: 3028.70 | Trend:   2.22% | Mom:  -0.94% | Risk: LOW       
  AKUMS.NS        | Price:  443.85 | Trend:   1.87% | Mom:  -0.46% | Risk: LOW       
  CANFINHOME.NS   | Price:  922.60 | Trend:   2.26% | Mom:  -0.95% | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7236.50 | Trend:  -0.02% | Mom:   1.76% | Risk: LOW       
  SUPREMEIND.NS   | Price: 3494.40 | Trend:   0.84% | Mom:   0.29% | Risk: LOW       
  KARURVYSYA.NS   | Price:  266.55 | Trend:   4.91% | Mom:  -1.06% | Risk: LOW       
  APOLLOTYRE.NS   | Price:  508.00 | Trend:  -1.30% | Mom:   2.79% | Risk: LOW       
  CONCOR.NS       | Price:  518.40 | Trend:   0.86% | Mom:  -1.12% | Risk: LOW       
  OFSS.NS         | Price: 7966.50 | Trend:   0.07% | Mom:   3.63% | Risk: LOW       
  HEXT.NS         | Price:  735.00 | Trend:  -0.24% | Mom:  -3.03% | Risk: LOW       
  HSCL.NS         | Price:  473.50 | Trend:   1.91% | Mom:  -2.45% | Risk: LOW       
  OLAELEC.NS      | Price:   37.33 | Trend:  -3.82% | Mom:  -0.51% | Risk: LOW       
  KAJARIACER.NS   | Price: 1000.40 | Trend:  -4.50% | Mom:   3.90% | Risk: LOW       
  TVSMOTOR.NS     | Price: 3666.70 | Trend:   1.27% | Mom:  -3.37% | Risk: LOW       
  CCL.NS          | Price:  971.65 | Trend:  -1.06% | Mom:   6.73% | Risk: LOW       
  BANDHANBNK.NS   | Price:  144.99 | Trend:  -1.96% | Mom:   0.56% | Risk: LOW       
  TATATECH.NS     | Price:  651.10 | Trend:  -1.98% | Mom:   1.06% | Risk: LOW       
  J&KBANK.NS      | Price:  102.70 | Trend:  -0.47% | Mom:   1.64% | Risk: LOW       
  JKTYRE.NS       | Price:  503.45 | Trend:   5.88% | Mom:  -2.55% | Risk: LOW       
  ICICIPRULI.NS   | Price:  678.00 | Trend:   5.54% | Mom:   0.55% | Risk: LOW       
  ABSLAMC.NS      | Price:  830.80 | Trend:   8.24% | Mom:  -1.49% | Risk: LOW       
  INDUSTOWER.NS   | Price:  433.60 | Trend:   4.81% | Mom:  -0.50% | Risk: LOW       
  PETRONET.NS     | Price:  284.80 | Trend:   2.84% | Mom:  -1.15% | Risk: LOW       
  ASHOKLEY.NS     | Price:  184.46 | Trend:  11.56% | Mom:  -0.23% | Risk: LOW       
  AEGISLOG.NS     | Price:  706.70 | Trend:  -5.81% | Mom:  -0.93% | Risk: LOW       
  SUNDARMFIN.NS   | Price: 5092.00 | Trend:   3.65% | Mom:  -4.31% | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1855.80 | Trend:   3.40% | Mom:  -0.90% | Risk: LOW       
  ANANDRATHI.NS   | Price: 3092.40 | Trend:   2.82% | Mom:  -0.08% | Risk: LOW       
  KSB.NS          | Price:  740.50 | Trend:  -1.20% | Mom:  -0.77% | Risk: LOW       
  FINPIPE.NS      | Price:  176.75 | Trend:   0.69% | Mom:   0.56% | Risk: LOW       
  AJANTPHARM.NS   | Price: 2681.80 | Trend:   1.45% | Mom:  -8.73% | Risk: LOW       
  HEG.NS          | Price:  578.80 | Trend:   5.65% | Mom:  -7.27% | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1431.20 | Trend:   3.91% | Mom:   0.58% | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1604.80 | Trend:  -3.02% | Mom:  -0.84% | Risk: LOW       
  CROMPTON.NS     | Price:  251.00 | Trend:  -3.77% | Mom:   0.70% | Risk: LOW       
  SHRIRAMFIN.NS   | Price:  996.00 | Trend:  11.45% | Mom:  -2.32% | Risk: LOW       
  SOBHA.NS        | Price: 1532.00 | Trend:   0.38% | Mom:   4.73% | Risk: LOW       
  INOXINDIA.NS    | Price: 1126.30 | Trend:  -2.06% | Mom:   1.20% | Risk: LOW       
  RAMCOCEM.NS     | Price: 1066.90 | Trend:   2.91% | Mom:   0.81% | Risk: LOW       
  CAPLIPOINT.NS   | Price: 1827.00 | Trend:  -4.06% | Mom:   1.56% | Risk: LOW       
  HONASA.NS       | Price:  285.55 | Trend:   1.81% | Mom:   0.69% | Risk: LOW       
  EICHERMOT.NS    | Price: 7315.50 | Trend:   1.90% | Mom:  -0.44% | Risk: LOW       
  KIMS.NS         | Price:  613.20 | Trend:  -6.61% | Mom:  -0.47% | Risk: LOW       
  DOMS.NS         | Price: 2566.90 | Trend:   0.44% | Mom:  -1.34% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 9458.50 | Trend:   3.53% | Mom:  -1.04% | Risk: LOW       
  BOSCHLTD.NS     | Price: 36850.00 | Trend:  -0.04% | Mom:   1.96% | Risk: LOW       
  KPITTECH.NS     | Price: 1190.90 | Trend:  -0.97% | Mom:   2.38% | Risk: LOW       
  KFINTECH.NS     | Price: 1072.40 | Trend:  -0.04% | Mom:  -0.40% | Risk: LOW       
  HAVELLS.NS      | Price: 1426.20 | Trend:  -0.65% | Mom:   0.61% | Risk: LOW       
  ZEEL.NS         | Price:   89.62 | Trend:  -5.34% | Mom:  -0.95% | Risk: LOW       
  CHALET.NS       | Price:  880.55 | Trend:  -0.46% | Mom:  -2.13% | Risk: LOW       
  RHIM.NS         | Price:  454.00 | Trend:  -1.18% | Mom:  -0.12% | Risk: LOW       
  FORTIS.NS       | Price:  894.25 | Trend:  -1.77% | Mom:  -0.70% | Risk: LOW       
  MOTILALOFS.NS   | Price:  853.40 | Trend:  -4.84% | Mom:   1.40% | Risk: LOW       
  SOLARINDS.NS    | Price: 12849.00 | Trend:  -0.57% | Mom:   5.61% | Risk: LOW       
  CERA.NS         | Price: 5228.50 | Trend:  -3.31% | Mom:  -0.20% | Risk: LOW       
  GRANULES.NS     | Price:  585.55 | Trend:   1.82% | Mom:  -5.43% | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   83.54 | Trend:   1.39% | Mom:  -2.42% | Risk: LOW       
  GUJGASLTD.NS    | Price:  409.80 | Trend:   1.26% | Mom:  -2.60% | Risk: LOW       
  GRAPHITE.NS     | Price:  641.50 | Trend:  11.04% | Mom:  -1.03% | Risk: LOW       
  RRKABEL.NS      | Price: 1472.60 | Trend:   3.04% | Mom:   0.22% | Risk: LOW       
  LICHSGFIN.NS    | Price:  534.05 | Trend:  -1.86% | Mom:  -0.34% | Risk: LOW       
  CHOICEIN.NS     | Price:  823.10 | Trend:   3.48% | Mom:  -1.80% | Risk: LOW       
  HONAUT.NS       | Price: 33950.00 | Trend:  -1.29% | Mom:   2.72% | Risk: LOW       
  GPIL.NS         | Price:  258.65 | Trend:   2.46% | Mom:  -2.98% | Risk: LOW       
  BSOFT.NS        | Price:  433.05 | Trend:   4.20% | Mom:   0.24% | Risk: LOW       
  NH.NS           | Price: 1915.20 | Trend:   0.85% | Mom:  -0.99% | Risk: LOW       
  FINCABLES.NS    | Price:  780.35 | Trend:   2.07% | Mom:  -0.76% | Risk: LOW       
  JUBLINGREA.NS   | Price:  701.95 | Trend:   0.25% | Mom:  -0.71% | Risk: LOW       
  ENDURANCE.NS    | Price: 2525.60 | Trend:  -4.44% | Mom:  -0.69% | Risk: LOW       
  METROPOLIS.NS   | Price: 1902.90 | Trend:  -1.49% | Mom:   0.32% | Risk: LOW       
  NAVA.NS         | Price:  566.10 | Trend:   2.04% | Mom:   0.19% | Risk: LOW       
  CRAFTSMAN.NS    | Price: 7780.00 | Trend:   8.46% | Mom:   0.74% | Risk: LOW       
  JUBLPHARMA.NS   | Price: 1049.60 | Trend:  -3.19% | Mom:  -0.80% | Risk: LOW       
  ZFCVINDIA.NS    | Price: 14053.00 | Trend:  -0.06% | Mom:  -4.59% | Risk: LOW       
  NAM-INDIA.NS    | Price:  883.50 | Trend:   1.72% | Mom:   0.97% | Risk: LOW       
  GSPL.NS         | Price:  304.25 | Trend:   2.06% | Mom:  -2.47% | Risk: LOW       
  CAMS.NS         | Price:  729.05 | Trend:  -4.10% | Mom:  -0.82% | Risk: LOW       
  DELHIVERY.NS    | Price:  401.95 | Trend:  -2.69% | Mom:   0.34% | Risk: LOW       
  THERMAX.NS      | Price: 2970.50 | Trend:   0.25% | Mom:  -3.03% | Risk: LOW       
  ONESOURCE.NS    | Price: 1757.50 | Trend:   2.97% | Mom:  -1.69% | Risk: LOW       
  PVRINOX.NS      | Price: 1030.50 | Trend:  -3.29% | Mom:   1.33% | Risk: LOW       
  CREDITACC.NS    | Price: 1300.10 | Trend:  -1.14% | Mom:   3.26% | Risk: LOW       
  POONAWALLA.NS   | Price:  464.50 | Trend:  -0.30% | Mom:  -3.87% | Risk: LOW       
  KIRLOSENG.NS    | Price: 1178.50 | Trend:   1.24% | Mom:  -4.23% | Risk: LOW       
  SAREGAMA.NS     | Price:  348.85 | Trend:  -6.33% | Mom:  -0.54% | Risk: LOW       
  AFFLE.NS        | Price: 1725.00 | Trend:   0.25% | Mom:  -3.17% | Risk: LOW       
  LAURUSLABS.NS   | Price: 1077.50 | Trend:   3.89% | Mom:  -2.96% | Risk: LOW       

SELL SIGNALS (259):
  PREMIERENE.NS   | Price:  738.85 | Target:  582.17 | Risk: LOW        | Conf: 100%
  IREDA.NS        | Price:  136.72 | Target:  112.45 | Risk: LOW        | Conf: 80%
  SARDAEN.NS      | Price:  493.25 | Target:  401.75 | Risk: LOW        | Conf: 100%
  HOMEFIRST.NS    | Price: 1083.90 | Target:  948.22 | Risk: LOW        | Conf: 80%
  VTL.NS          | Price:  418.40 | Target:  358.15 | Risk: LOW        | Conf: 100%
  ABLBL.NS        | Price:  116.52 | Target:   96.62 | Risk: LOW        | Conf: 100%
  GODFRYPHLP.NS   | Price: 2250.80 | Target: 1644.01 | Risk: LOW        | Conf: 80%
  BLUEJET.NS      | Price:  484.30 | Target:  411.73 | Risk: LOW        | Conf: 100%
  EMAMILTD.NS     | Price:  506.00 | Target:  439.39 | Risk: LOW        | Conf: 100%
  TRENT.NS        | Price: 3901.50 | Target: 3279.32 | Risk: LOW        | Conf: 100%
  DEVYANI.NS      | Price:  132.44 | Target:  103.38 | Risk: LOW        | Conf: 100%
  BRIGADE.NS      | Price:  835.00 | Target:  722.48 | Risk: LOW        | Conf: 100%
  JYOTICNC.NS     | Price:  923.00 | Target:  780.59 | Risk: LOW        | Conf: 100%
  WAAREEENER.NS   | Price: 2561.60 | Target: 2068.89 | Risk: LOW        | Conf: 100%
  LEMONTREE.NS    | Price:  142.97 | Target:  116.52 | Risk: LOW        | Conf: 100%
  MEDANTA.NS      | Price: 1146.00 | Target:  986.50 | Risk: LOW        | Conf: 100%
  GAIL.NS         | Price:  164.43 | Target:  148.97 | Risk: LOW        | Conf: 100%
  MRF.NS          | Price: 143100.00 | Target: 129237.50 | Risk: LOW        | Conf: 100%
  DCMSHRIRAM.NS   | Price: 1164.00 | Target: 1005.25 | Risk: LOW        | Conf: 100%
  TATAPOWER.NS    | Price:  366.60 | Target:  330.17 | Risk: LOW        | Conf: 100%
  BPCL.NS         | Price:  363.25 | Target:  313.25 | Risk: LOW        | Conf: 80%
  KAYNES.NS       | Price: 3615.00 | Target: 2845.46 | Risk: LOW        | Conf: 100%
  MANYAVAR.NS     | Price:  532.75 | Target:  475.77 | Risk: LOW        | Conf: 100%
  HUDCO.NS        | Price:  215.89 | Target:  183.67 | Risk: LOW        | Conf: 100%
  NSLNISP.NS      | Price:   41.79 | Target:   32.50 | Risk: LOW        | Conf: 80%
  ENGINERSIN.NS   | Price:  187.59 | Target:  159.61 | Risk: LOW        | Conf: 100%
  SYNGENE.NS      | Price:  628.00 | Target:  555.89 | Risk: LOW        | Conf: 100%
  ADANIENT.NS     | Price: 2161.50 | Target: 1947.07 | Risk: LOW        | Conf: 100%
  EXIDEIND.NS     | Price:  344.95 | Target:  310.74 | Risk: LOW        | Conf: 100%
