NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-23 22:47:48

BUY SIGNALS (533):
  HDFCBANK.NS     | Price:  738.60 | Entry:  723.83 | Target:  801.83 | Risk: LOW       
  IPCALAB.NS      | Price: 1992.40 | Entry: 1952.55 | Target: 2226.90 | Risk: LOW       
  APARINDS.NS     | Price: 18233.00 | Entry: 17868.34 | Target: 22267.29 | Risk: LOW       
  MEDANTA.NS      | Price: 1487.80 | Entry: 1458.04 | Target: 1745.44 | Risk: LOW       
  CENTRALBK.NS    | Price:   31.37 | Entry:   30.74 | Target:   34.12 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  301.40 | Entry:  295.37 | Target:  369.61 | Risk: LOW       
  PINELABS.NS     | Price:  197.58 | Entry:  193.63 | Target:  257.18 | Risk: LOW       
  IKS.NS          | Price: 1869.20 | Entry: 1831.82 | Target: 2137.74 | Risk: LOW       
  AEGISLOG.NS     | Price: 1424.50 | Entry: 1396.01 | Target: 1764.39 | Risk: LOW       
  BANDHANBNK.NS   | Price:  184.70 | Entry:  181.01 | Target:  211.83 | Risk: LOW       
  EMCURE.NS       | Price: 1975.00 | Entry:  1935.5 | Target: 2280.15 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1094.10 | Entry: 1072.22 | Target: 1240.81 | Risk: LOW       
  INOXWIND.NS     | Price:   77.90 | Entry:   76.34 | Target:   89.05 | Risk: LOW       
  WELCORP.NS      | Price: 2731.50 | Entry: 2676.87 | Target: 3427.82 | Risk: LOW       
  TATACHEM.NS     | Price:  674.00 | Entry:  660.52 | Target:  877.02 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  965.15 | Entry:  945.85 | Target: 1068.92 | Risk: LOW       
  HBLENGINE.NS    | Price:  767.15 | Entry:  751.81 | Target:  901.65 | Risk: LOW       
  SUNTV.NS        | Price:  490.10 | Entry:   480.3 | Target:  568.98 | Risk: LOW       
  JYOTICNC.NS     | Price: 1084.30 | Entry: 1062.61 | Target: 1316.46 | Risk: LOW       
  REDINGTON.NS    | Price:  410.35 | Entry:  402.14 | Target:  483.90 | Risk: LOW       
  URBANCO.NS      | Price:  174.21 | Entry:  170.73 | Target:  211.57 | Risk: LOW       
  CASTROLIND.NS   | Price:  195.61 | Entry:   191.7 | Target:  209.86 | Risk: LOW       
  DEVYANI.NS      | Price:  144.51 | Entry:  141.62 | Target:  163.48 | Risk: LOW       
  APLLTD.NS       | Price:  840.15 | Entry:  823.35 | Target:  959.42 | Risk: LOW       
  JUBLPHARMA.NS   | Price: 1070.85 | Entry: 1049.43 | Target: 1247.26 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1211.30 | Entry: 1187.07 | Target: 1449.55 | Risk: LOW       
  RBLBANK.NS      | Price:  423.20 | Entry:  414.74 | Target:  478.07 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1532.40 | Entry: 1501.75 | Target: 1784.26 | Risk: LOW       
  UTIAMC.NS       | Price:  919.95 | Entry:  901.55 | Target: 1009.58 | Risk: LOW       
  ACMESOLAR.NS    | Price:  458.65 | Entry:  449.48 | Target:  550.97 | Risk: LOW       
  GABRIEL.NS      | Price: 1471.40 | Entry: 1441.97 | Target: 1766.01 | Risk: LOW       
  TECHNOE.NS      | Price: 1005.65 | Entry:  985.54 | Target: 1156.59 | Risk: LOW       
  ABDL.NS         | Price:  647.90 | Entry:  634.94 | Target:  745.28 | Risk: LOW       
  GESHIP.NS       | Price: 1462.00 | Entry: 1432.76 | Target: 1630.21 | Risk: LOW       
  SYRMA.NS        | Price: 1741.80 | Entry: 1706.96 | Target: 2152.66 | Risk: LOW       
  EMMVEE.NS       | Price:  339.75 | Entry:  332.95 | Target:  401.23 | Risk: LOW       
  SPLPETRO.NS     | Price:  864.75 | Entry:  847.46 | Target: 1027.50 | Risk: LOW       
  PCBL.NS         | Price:  347.75 | Entry:   340.8 | Target:  406.71 | Risk: LOW       
  BELRISE.NS      | Price:  244.74 | Entry:  239.85 | Target:  273.91 | Risk: LOW       
  USHAMART.NS     | Price:  531.30 | Entry:  520.67 | Target:  609.53 | Risk: LOW       
  TEGA.NS         | Price: 2069.00 | Entry: 2027.62 | Target: 2562.45 | Risk: LOW       
  FINCABLES.NS    | Price: 1468.10 | Entry: 1438.74 | Target: 1828.91 | Risk: LOW       
  ACE.NS          | Price: 1241.90 | Entry: 1217.06 | Target: 1456.83 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  221.51 | Entry:  217.08 | Target:  257.00 | Risk: LOW       
  BLUEJET.NS      | Price:  587.30 | Entry:  575.55 | Target:  663.10 | Risk: LOW       
  TSFINV.NS       | Price:  461.35 | Entry:  452.12 | Target:  529.56 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4512.60 | Entry: 4422.35 | Target: 5133.31 | Risk: LOW       
  ENGINERSIN.NS   | Price:  302.55 | Entry:   296.5 | Target:  354.35 | Risk: LOW       
  PRUDENT.NS      | Price: 3403.70 | Entry: 3335.63 | Target: 4024.16 | Risk: LOW       
  GRAPHITE.NS     | Price:  827.75 | Entry:  811.19 | Target: 1024.34 | Risk: LOW       
  BLACKBUCK.NS    | Price:  620.35 | Entry:  607.94 | Target:  737.14 | Risk: LOW       
  PVRINOX.NS      | Price: 1334.80 | Entry:  1308.1 | Target: 1595.23 | Risk: LOW       
  VIJAYA.NS       | Price: 1516.00 | Entry: 1485.68 | Target: 1780.12 | Risk: LOW       
  EDELWEISS.NS    | Price:  141.16 | Entry:  138.34 | Target:  173.33 | Risk: LOW       
  METROPOLIS.NS   | Price:  592.40 | Entry:  580.55 | Target:  667.22 | Risk: LOW       
  WESTLIFE.NS     | Price:  574.00 | Entry:  562.52 | Target:  675.93 | Risk: LOW       
  RKFORGE.NS      | Price:  716.25 | Entry:  701.92 | Target:  837.36 | Risk: LOW       
  IIFLCAPS.NS     | Price:  345.05 | Entry:  338.15 | Target:  365.82 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  663.40 | Entry:  650.13 | Target:  777.04 | Risk: LOW       
  AEQUS.NS        | Price:  242.87 | Entry:  238.01 | Target:  286.67 | Risk: LOW       
  KPIGREEN.NS     | Price:  346.45 | Entry:  339.52 | Target:  404.05 | Risk: LOW       
  TRANSRAILL.NS   | Price:  477.15 | Entry:  467.61 | Target:  550.45 | Risk: LOW       
  SAPPHIRE.NS     | Price:  237.24 | Entry:   232.5 | Target:  275.18 | Risk: LOW       
  HCG.NS          | Price:  713.10 | Entry:  698.84 | Target:  819.69 | Risk: LOW       
  HONASA.NS       | Price:  473.65 | Entry:  464.18 | Target:  549.99 | Risk: LOW       
  VARROC.NS       | Price:  864.50 | Entry:  847.21 | Target: 1037.32 | Risk: LOW       
  SANSERA.NS      | Price: 4586.50 | Entry: 4494.77 | Target: 5436.75 | Risk: LOW       
  BLUESTONE.NS    | Price:  930.40 | Entry:  911.79 | Target: 1164.31 | Risk: LOW       
  WABAG.NS        | Price: 2072.10 | Entry: 2030.66 | Target: 2508.89 | Risk: LOW       
  TI.NS           | Price:  574.65 | Entry:  563.16 | Target:  674.37 | Risk: LOW       
  BBOX.NS         | Price:  810.05 | Entry:  793.85 | Target: 1008.62 | Risk: LOW       
  LOTUSDEV.NS     | Price:  213.84 | Entry:  209.56 | Target:  261.32 | Risk: LOW       
  LUMAXTECH.NS    | Price: 2116.40 | Entry: 2074.07 | Target: 2484.44 | Risk: LOW       
  CORONA.NS       | Price: 2181.50 | Entry: 2137.87 | Target: 2557.50 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  697.35 | Entry:   683.4 | Target:  841.71 | Risk: LOW       
  STAR.NS         | Price: 1217.40 | Entry: 1193.05 | Target: 1478.33 | Risk: LOW       
  GALAXYSURF.NS   | Price: 2188.00 | Entry: 2144.24 | Target: 2631.04 | Risk: LOW       
  GPPL.NS         | Price:  164.41 | Entry:  161.12 | Target:  183.84 | Risk: LOW       
  DIACABS.NS      | Price:  370.85 | Entry:  363.43 | Target:  463.56 | Risk: LOW       
  SHILPAMED.NS    | Price: 1033.15 | Entry: 1012.49 | Target: 1264.94 | Risk: LOW       
  DBL.NS          | Price:  423.10 | Entry:  414.64 | Target:  490.30 | Risk: LOW       
  MAXESTATES.NS   | Price:  595.05 | Entry:  583.15 | Target:  718.35 | Risk: LOW       
  AARTIPHARM.NS   | Price:  883.75 | Entry:  866.07 | Target: 1066.83 | Risk: LOW       
  GNFC.NS         | Price:  598.70 | Entry:  586.73 | Target:  694.19 | Risk: LOW       
  PRSMJOHNSN.NS   | Price:  116.08 | Entry:  113.76 | Target:  129.32 | Risk: LOW       
  AKUMS.NS        | Price:  807.90 | Entry:  791.74 | Target:  948.04 | Risk: LOW       
  PFOCUS.NS       | Price:  357.45 | Entry:   350.3 | Target:  427.74 | Risk: LOW       
  ISGEC.NS        | Price:  840.75 | Entry:  823.93 | Target:  971.83 | Risk: LOW       
  YATHARTH.NS     | Price: 1129.10 | Entry: 1106.52 | Target: 1334.31 | Risk: LOW       
  CSBBANK.NS      | Price:  334.95 | Entry:  328.25 | Target:  398.66 | Risk: LOW       
  ELLEN.NS        | Price:  357.10 | Entry:  349.96 | Target:  466.33 | Risk: LOW       
  PARKHOSPS.NS    | Price:  285.10 | Entry:   279.4 | Target:  325.85 | Risk: LOW       
  PRICOLLTD.NS    | Price:  768.10 | Entry:  752.74 | Target:  872.58 | Risk: LOW       
  AVALON.NS       | Price: 2468.50 | Entry: 2419.13 | Target: 3204.96 | Risk: LOW       
  AVL.NS          | Price:  627.10 | Entry:  614.56 | Target:  719.51 | Risk: LOW       
  JUNIPER.NS      | Price:  222.80 | Entry:  218.34 | Target:  261.96 | Risk: LOW       
  AXISCADES.NS    | Price: 1891.10 | Entry: 1853.28 | Target: 2324.10 | Risk: LOW       
  CHEMPLASTS.NS   | Price:  198.67 | Entry:   194.7 | Target:  251.28 | Risk: LOW       
  SHARDAMOTR.NS   | Price:  985.75 | Entry:  966.03 | Target: 1137.57 | Risk: LOW       
  SUPRIYA.NS      | Price:  939.10 | Entry:  920.32 | Target: 1109.18 | Risk: LOW       
  SAATVIKGL.NS    | Price:  446.75 | Entry:  437.81 | Target:  526.79 | Risk: LOW       
  EMUDHRA.NS      | Price:  649.25 | Entry:  636.26 | Target:  824.39 | Risk: LOW       
  TEXRAIL.NS      | Price:  119.20 | Entry:  116.82 | Target:  141.80 | Risk: LOW       
  STLTECH.NS      | Price:  839.55 | Entry:  822.76 | Target: 1059.28 | Risk: LOW       
  TVSSCS.NS       | Price:  132.31 | Entry:  129.66 | Target:  155.95 | Risk: LOW       
  AGI.NS          | Price:  845.70 | Entry:  828.79 | Target: 1013.22 | Risk: LOW       
  CAPILLARY.NS    | Price:  547.10 | Entry:  536.16 | Target:  658.06 | Risk: LOW       
  UNIMECH.NS      | Price: 1732.50 | Entry: 1697.85 | Target: 2158.61 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1462.30 | Entry: 1433.05 | Target: 1795.30 | Risk: LOW       
  DYNAMATECH.NS   | Price: 12516.00 | Entry: 12265.68 | Target: 14710.64 | Risk: LOW       
  OPTIEMUS.NS     | Price:  708.90 | Entry:  694.72 | Target:  871.01 | Risk: LOW       
  KINGFA.NS       | Price: 6168.50 | Entry: 6045.13 | Target: 7247.66 | Risk: LOW       
  EMIL.NS         | Price:  192.61 | Entry:  188.76 | Target:  240.69 | Risk: LOW       
  ITDC.NS         | Price:  705.75 | Entry:  691.63 | Target:  859.10 | Risk: LOW       
  SMLMAH.NS       | Price: 6719.50 | Entry: 6585.11 | Target: 8413.79 | Risk: LOW       
  SUNFLAG.NS      | Price:  355.05 | Entry:  347.95 | Target:  408.07 | Risk: LOW       
  INNOVACAP.NS    | Price: 1226.70 | Entry: 1202.17 | Target: 1460.63 | Risk: LOW       
  SHREEJISPG.NS   | Price:  719.35 | Entry:  704.96 | Target:  845.39 | Risk: LOW       
  HERITGFOOD.NS   | Price:  414.70 | Entry:  406.41 | Target:  496.68 | Risk: LOW       
  AARTIDRUGS.NS   | Price:  425.75 | Entry:  417.24 | Target:  498.91 | Risk: LOW       
  ZOTA.NS         | Price: 1356.00 | Entry: 1328.88 | Target: 1621.05 | Risk: LOW       
  NORTHARC.NS     | Price:  315.90 | Entry:  309.58 | Target:  367.51 | Risk: LOW       
  BOROLTD.NS      | Price:  263.57 | Entry:   258.3 | Target:  311.00 | Risk: LOW       
  RAYMOND.NS      | Price: 1116.95 | Entry: 1094.61 | Target: 1548.52 | Risk: LOW       
  ORCHPHARMA.NS   | Price: 1107.20 | Entry: 1085.06 | Target: 1339.09 | Risk: LOW       
  GOODLUCK.NS     | Price:  537.05 | Entry:  526.31 | Target:  635.58 | Risk: LOW       
  EBGNG.NS        | Price:  692.30 | Entry:  678.45 | Target:  872.05 | Risk: LOW       
  QUESS.NS        | Price:  360.45 | Entry:  353.24 | Target:  445.63 | Risk: LOW       
  NEOGEN.NS       | Price: 2379.20 | Entry: 2331.62 | Target: 2940.77 | Risk: LOW       
  PRECWIRE.NS     | Price:  491.10 | Entry:  481.28 | Target:  601.01 | Risk: LOW       
  NPST.NS         | Price: 1888.80 | Entry: 1851.02 | Target: 2346.18 | Risk: LOW       
  CENTUM.NS       | Price: 4858.70 | Entry: 4761.53 | Target: 6077.74 | Risk: LOW       
  KSL.NS          | Price:  959.15 | Entry:  939.97 | Target: 1167.10 | Risk: LOW       
  SHAREINDIA.NS   | Price:  223.32 | Entry:  218.85 | Target:  280.19 | Risk: LOW       
  RPEL.NS         | Price: 1742.30 | Entry: 1707.45 | Target: 2311.48 | Risk: LOW       
  FOSECOIND.NS    | Price: 6562.00 | Entry: 6430.76 | Target: 8082.71 | Risk: LOW       
  DPABHUSHAN.NS   | Price: 1469.40 | Entry: 1440.01 | Target: 1750.79 | Risk: LOW       
  PROTEAN.NS      | Price:  620.65 | Entry:  608.24 | Target:  743.92 | Risk: LOW       
  SAMBHV.NS       | Price:  151.94 | Entry:   148.9 | Target:  185.73 | Risk: LOW       
  SWANDEF.NS      | Price: 2722.00 | Entry: 2667.56 | Target: 3372.54 | Risk: LOW       
  PARAGMILK.NS    | Price:  279.40 | Entry:  273.81 | Target:  345.44 | Risk: LOW       
  HLEGLAS.NS      | Price:  444.65 | Entry:  435.76 | Target:  580.90 | Risk: LOW       
  KRISHANA.NS     | Price:  189.55 | Entry:  185.76 | Target:  222.08 | Risk: LOW       
  JASH.NS         | Price:  584.75 | Entry:  573.05 | Target:  706.74 | Risk: LOW       
  PAISALO.NS      | Price:   93.43 | Entry:   91.56 | Target:  112.21 | Risk: LOW       
  WSTCSTPAPR.NS   | Price:  749.75 | Entry:  734.75 | Target:  905.04 | Risk: LOW       
  ASHIANA.NS      | Price:  385.00 | Entry:   377.3 | Target:  457.04 | Risk: LOW       
  RAMRAT.NS       | Price:  562.75 | Entry:   551.5 | Target:  696.84 | Risk: LOW       
  SUNDROP.NS      | Price:  742.35 | Entry:   727.5 | Target:  851.19 | Risk: LOW       
  NOCIL.NS        | Price:  193.89 | Entry:  190.01 | Target:  233.01 | Risk: LOW       
  MANINDS.NS      | Price:  849.90 | Entry:   832.9 | Target: 1116.90 | Risk: LOW       
  SBCL.NS         | Price: 1126.90 | Entry: 1104.36 | Target: 1465.61 | Risk: LOW       
  TATVA.NS        | Price: 1744.20 | Entry: 1709.32 | Target: 2122.22 | Risk: LOW       
  EPACKPEB.NS     | Price:  250.34 | Entry:  245.33 | Target:  308.41 | Risk: LOW       
  NRBBEARING.NS   | Price:  520.50 | Entry:  510.09 | Target:  637.48 | Risk: LOW       
  MOREPENLAB.NS   | Price:  119.04 | Entry:  116.66 | Target:  155.77 | Risk: LOW       
  VENUSPIPES.NS   | Price: 2223.30 | Entry: 2178.83 | Target: 2815.90 | Risk: LOW       
  SOTL.NS         | Price:  724.35 | Entry:  709.86 | Target:  900.30 | Risk: LOW       
  JAYKAY.NS       | Price:  189.50 | Entry:  185.71 | Target:  241.26 | Risk: LOW       
  INDOCO.NS       | Price:  254.51 | Entry:  249.42 | Target:  338.69 | Risk: LOW       
  VSSL.NS         | Price:  407.80 | Entry:  399.64 | Target:  504.64 | Risk: LOW       
  KRSNAA.NS       | Price:  557.85 | Entry:  546.69 | Target:  656.30 | Risk: LOW       
  ROSSTECH.NS     | Price: 1494.10 | Entry: 1464.22 | Target: 1877.59 | Risk: LOW       
  FILATEX.NS      | Price:  101.07 | Entry:   99.05 | Target:  130.19 | Risk: LOW       
  JINDALPOLY.NS   | Price:  721.90 | Entry:  707.46 | Target:  886.15 | Risk: LOW       
  SMSPHARMA.NS    | Price:  483.35 | Entry:  473.68 | Target:  627.70 | Risk: LOW       
  ORIENTHOT.NS    | Price:  142.88 | Entry:  140.02 | Target:  160.85 | Risk: LOW       
  STEELCAS.NS     | Price:  350.15 | Entry:  343.15 | Target:  432.99 | Risk: LOW       
  SOLARA.NS       | Price:  744.55 | Entry:  729.66 | Target:  937.91 | Risk: LOW       
  SPECTRUM.NS     | Price: 3344.50 | Entry: 3277.61 | Target: 4145.29 | Risk: LOW       
  SYSTMTXC.NS     | Price:   76.30 | Entry:   74.77 | Target:   87.67 | Risk: LOW       
  DELTACORP.NS    | Price:   61.77 | Entry:   60.53 | Target:   72.88 | Risk: LOW       
  RPTECH.NS       | Price:  883.55 | Entry:  865.88 | Target: 1081.82 | Risk: LOW       
  DOLLAR.NS       | Price:  272.80 | Entry:  267.34 | Target:  316.37 | Risk: LOW       
  DCW.NS          | Price:   48.02 | Entry:   47.06 | Target:   56.63 | Risk: LOW       
  THEJO.NS        | Price: 2167.90 | Entry: 2124.54 | Target: 2508.65 | Risk: LOW       
  WHEELS.NS       | Price: 2174.00 | Entry: 2130.52 | Target: 2974.00 | Risk: LOW       
  GMBREW.NS       | Price:  948.05 | Entry:  929.09 | Target: 1063.78 | Risk: LOW       
  MOBIKWIK.NS     | Price:  209.02 | Entry:  204.84 | Target:  261.05 | Risk: LOW       
  INDNIPPON.NS    | Price: 1237.00 | Entry: 1212.26 | Target: 1676.11 | Risk: LOW       
  MUKANDLTD.NS    | Price:  141.41 | Entry:  138.58 | Target:  164.73 | Risk: LOW       
  SOMANYCERA.NS   | Price:  594.75 | Entry:  582.86 | Target:  684.95 | Risk: LOW       
  NELCO.NS        | Price: 1011.75 | Entry:  991.51 | Target: 1222.52 | Risk: LOW       
  BGRENERGY.NS    | Price:  271.56 | Entry:  266.13 | Target:  337.43 | Risk: LOW       
  VIDHIING.NS     | Price:  359.95 | Entry:  352.75 | Target:  433.00 | Risk: LOW       
  WENDT.NS        | Price: 8627.00 | Entry: 8454.46 | Target: 10427.71 | Risk: LOW       
  RMDRIP.NS       | Price:   23.69 | Entry:   23.22 | Target:   28.85 | Risk: LOW       
  MOTISONS.NS     | Price:   18.04 | Entry:   17.68 | Target:   23.25 | Risk: LOW       
  GARUDA.NS       | Price:  181.56 | Entry:  177.93 | Target:  215.63 | Risk: LOW       
  VINDHYATEL.NS   | Price: 2865.40 | Entry: 2808.09 | Target: 3580.47 | Risk: LOW       
  ASTEC.NS        | Price:  794.50 | Entry:  778.61 | Target: 1066.00 | Risk: LOW       
  TALBROAUTO.NS   | Price:  475.30 | Entry:  465.79 | Target:  566.83 | Risk: LOW       
  BLSE.NS         | Price:  328.10 | Entry:  321.54 | Target:  378.44 | Risk: LOW       
  JGCHEM.NS       | Price:  609.25 | Entry:  597.06 | Target:  771.51 | Risk: LOW       
  GOCLCORP.NS     | Price:  411.05 | Entry:  402.83 | Target:  492.83 | Risk: LOW       
  SANSTAR.NS      | Price:  112.61 | Entry:  110.36 | Target:  131.15 | Risk: LOW       
  SESHAPAPER.NS   | Price:  246.94 | Entry:   242.0 | Target:  288.39 | Risk: LOW       
  RAMASTEEL.NS    | Price:    4.54 | Entry:    4.45 | Target:    5.32 | Risk: LOW       
  DOLPHIN.NS      | Price:  724.30 | Entry:  709.81 | Target:  955.89 | Risk: LOW       
  TARSONS.NS      | Price:  331.50 | Entry:  324.87 | Target:  407.36 | Risk: LOW       
  SURAKSHA.NS     | Price:  353.40 | Entry:  346.33 | Target:  423.26 | Risk: LOW       
  AIMTRON.NS      | Price: 1818.10 | Entry: 1781.74 | Target: 2251.08 | Risk: LOW       
  VINYAS.NS       | Price: 1589.00 | Entry: 1557.22 | Target: 1959.55 | Risk: LOW       
  FINKURVE.NS     | Price:   70.39 | Entry:   68.98 | Target:   94.47 | Risk: LOW       
  QUADFUTURE.NS   | Price:  522.40 | Entry:  511.95 | Target:  676.13 | Risk: LOW       
  HMAAGRO.NS      | Price:   23.72 | Entry:   23.25 | Target:   29.82 | Risk: LOW       
  CONFIPET.NS     | Price:   86.66 | Entry:   84.93 | Target:  109.61 | Risk: LOW       
  GPTINFRA.NS     | Price:  118.16 | Entry:   115.8 | Target:  136.16 | Risk: LOW       
  GANDHAR.NS      | Price:  269.05 | Entry:  263.67 | Target:  317.71 | Risk: LOW       
  ALICON.NS       | Price:  744.50 | Entry:  729.61 | Target:  904.45 | Risk: LOW       
  INDORAMA.NS     | Price:  103.57 | Entry:   101.5 | Target:  146.00 | Risk: LOW       
  MANAKCOAT.NS    | Price:  132.67 | Entry:  130.02 | Target:  160.41 | Risk: LOW       
  SURAJEST.NS     | Price:  217.00 | Entry:  212.66 | Target:  272.52 | Risk: LOW       
  CIFL.NS         | Price:   21.27 | Entry:   20.84 | Target:   26.11 | Risk: LOW       
  UNIECOM.NS      | Price:   86.32 | Entry:   84.59 | Target:  102.44 | Risk: LOW       
  GNA.NS          | Price:  561.65 | Entry:  550.42 | Target:  673.10 | Risk: LOW       
  VMARCIND.NS     | Price:  331.70 | Entry:  325.07 | Target:  459.83 | Risk: LOW       
  TAC.NS          | Price:  500.25 | Entry:  490.25 | Target:  614.39 | Risk: LOW       
  RGL.NS          | Price:  156.78 | Entry:  153.64 | Target:  197.26 | Risk: LOW       
  YUKEN.NS        | Price: 1137.95 | Entry: 1115.19 | Target: 1453.47 | Risk: LOW       
  ONEPOINT.NS     | Price:   63.20 | Entry:   61.94 | Target:   77.69 | Risk: LOW       
  WCIL.NS         | Price:   95.14 | Entry:   93.24 | Target:  112.18 | Risk: LOW       
  TBZ.NS          | Price:  665.35 | Entry:  652.04 | Target:  859.21 | Risk: LOW       
  STLNETWORK.NS   | Price:   47.34 | Entry:   46.39 | Target:   57.19 | Risk: LOW       
  JINDALPHOT.NS   | Price: 1097.20 | Entry: 1075.26 | Target: 1296.59 | Risk: LOW       
  ABINFRA.NS      | Price:   12.25 | Entry:    12.0 | Target:   15.17 | Risk: LOW       
  VILAS.NS        | Price:  419.95 | Entry:  411.55 | Target:  513.02 | Risk: LOW       
  KROSS.NS        | Price:  256.13 | Entry:  251.01 | Target:  314.98 | Risk: LOW       
  RACLGEAR.NS     | Price: 1758.00 | Entry: 1722.84 | Target: 2300.82 | Risk: LOW       
  BLUSPRING.NS    | Price:  125.47 | Entry:  122.96 | Target:  165.17 | Risk: LOW       
  OAL.NS          | Price:  556.90 | Entry:  545.76 | Target:  729.22 | Risk: LOW       
  EXCELSOFT.NS    | Price:   82.85 | Entry:   81.19 | Target:  104.57 | Risk: LOW       
  ANTELOPUS.NS    | Price: 1110.40 | Entry: 1088.19 | Target: 1602.31 | Risk: LOW       
  MATRIMONY.NS    | Price:  550.75 | Entry:  539.74 | Target:  638.00 | Risk: LOW       
  PENINLAND.NS    | Price:   17.03 | Entry:   16.69 | Target:   22.46 | Risk: LOW       
  BIL.NS          | Price: 1050.50 | Entry: 1029.49 | Target: 1393.59 | Risk: LOW       
  AVTNPL.NS       | Price:   98.26 | Entry:   96.29 | Target:  119.27 | Risk: LOW       
  ARIHANTCAP.NS   | Price:   90.99 | Entry:   89.17 | Target:  107.69 | Risk: LOW       
  SBC.NS          | Price:   49.23 | Entry:   48.25 | Target:   56.06 | Risk: LOW       
  INDOAMIN.NS     | Price:  134.80 | Entry:   132.1 | Target:  160.23 | Risk: LOW       
  DHARMAJ.NS      | Price:  281.60 | Entry:  275.97 | Target:  315.94 | Risk: LOW       
  SRHHYPOLTD.NS   | Price:  599.25 | Entry:  587.26 | Target:  744.56 | Risk: LOW       
  GANDHITUBE.NS   | Price: 1003.20 | Entry:  983.14 | Target: 1157.47 | Risk: LOW       
  MVGJL.NS        | Price:  213.26 | Entry:  208.99 | Target:  297.95 | Risk: LOW       
  KUANTUM.NS      | Price:   84.95 | Entry:   83.25 | Target:  104.67 | Risk: LOW       
  PRIMESECU.NS    | Price:  290.20 | Entry:   284.4 | Target:  343.00 | Risk: LOW       
  COOLCAPS.NS     | Price:   25.55 | Entry:   25.04 | Target:   34.44 | Risk: LOW       
  REMUS.NS        | Price:  951.15 | Entry:  932.13 | Target: 1170.16 | Risk: LOW       
  LIKHITHA.NS     | Price:  227.96 | Entry:   223.4 | Target:  294.49 | Risk: LOW       
  REGAAL.NS       | Price:   97.21 | Entry:   95.27 | Target:  117.99 | Risk: LOW       
  MACPOWER.NS     | Price: 2096.50 | Entry: 2054.57 | Target: 2778.10 | Risk: LOW       
