NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-14 19:27:37

BUY SIGNALS (167):
  AIIL.NS         | Price:  505.60 | Entry:  495.49 | Target:  613.96 | Risk: LOW       
  IBULLSLTD.NS    | Price:   19.98 | Entry:   19.58 | Target:   26.62 | Risk: LOW       
  PROPEQUITY.NS   | Price:  223.00 | Entry:  218.54 | Target:  241.13 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  164.50 | Entry:  161.21 | Target:  193.63 | Risk: LOW       
  DENEERS.NS      | Price:  198.30 | Entry:  194.33 | Target:  254.92 | Risk: LOW       
  TUNWAL.NS       | Price:   33.60 | Entry:   32.93 | Target:   39.78 | Risk: LOW       
  SHRITECH.NS     | Price:   66.20 | Entry:   64.88 | Target:   71.49 | Risk: LOW       
  KORE.NS         | Price:  143.00 | Entry:  140.14 | Target:  176.46 | Risk: LOW       
  ENSER.NS        | Price:   16.00 | Entry:   15.68 | Target:   18.11 | Risk: LOW       
  IBLFL.NS        | Price:   62.80 | Entry:   61.54 | Target:   76.46 | Risk: LOW       
  KHFM.NS         | Price:   57.30 | Entry:   56.15 | Target:   76.34 | Risk: LOW       
  GLOBALPET.NS    | Price:  137.00 | Entry:  134.26 | Target:  166.54 | Risk: LOW       
  MDL.NS          | Price:   55.95 | Entry:   54.83 | Target:   70.33 | Risk: LOW       
  SHEETAL.NS      | Price:  277.00 | Entry:  271.46 | Target:  306.91 | Risk: LOW       
  SADHAV.NS       | Price:  117.75 | Entry:  115.39 | Target:  145.39 | Risk: LOW       
  MASTER.NS       | Price:  349.70 | Entry:  342.71 | Target:  393.81 | Risk: LOW       
  MAL.NS          | Price:   39.05 | Entry:   38.27 | Target:   44.59 | Risk: LOW       
  GREENCHEF.NS    | Price:   55.80 | Entry:   54.68 | Target:   62.59 | Risk: LOW       
  REXPIPES.NS     | Price:  202.00 | Entry:  197.96 | Target:  207.29 | Risk: LOW       
  URBAN.NS        | Price:  148.40 | Entry:  145.43 | Target:  180.13 | Risk: LOW       
  ISHANCH.NS      | Price:   64.22 | Entry:   62.94 | Target:   82.58 | Risk: LOW       
  SHIGAN.NS       | Price:   78.00 | Entry:   76.44 | Target:   94.04 | Risk: LOW       
  SURANI.NS       | Price:  135.00 | Entry:   132.3 | Target:  142.32 | Risk: LOW       
  DELAPLEX.NS     | Price:  121.20 | Entry:  118.78 | Target:  165.00 | Risk: LOW       
  SIDDHIKA.NS     | Price:  248.00 | Entry:  243.04 | Target:  264.68 | Risk: LOW       
  DTL.NS          | Price:  126.00 | Entry:  123.48 | Target:  134.02 | Risk: LOW       
  MAHICKRA.NS     | Price:  239.00 | Entry:  234.22 | Target:  268.48 | Risk: LOW       
  OLIL.NS         | Price:  459.50 | Entry:  450.31 | Target:  604.96 | Risk: LOW       
  ROCKINGDCE.NS   | Price:  208.00 | Entry:  203.84 | Target:  258.20 | Risk: LOW       
  HOLMARC.NS      | Price:   99.00 | Entry:   97.02 | Target:  113.09 | Risk: LOW       
  HOACFOODS.NS    | Price:  464.95 | Entry:  455.65 | Target:  574.70 | Risk: LOW       
  MARC.NS         | Price:   90.70 | Entry:   88.89 | Target:  115.45 | Risk: LOW       
  KEL.NS          | Price:   98.50 | Entry:   96.53 | Target:  112.46 | Risk: LOW       
  PATTECH.NS      | Price:  116.85 | Entry:  114.51 | Target:  127.40 | Risk: LOW       
  PARAGON.NS      | Price:   44.50 | Entry:   43.61 | Target:   59.77 | Risk: LOW       
  DIGJAMLMTD.NS   | Price:   47.98 | Entry:   47.02 | Target:   65.00 | Risk: LOW       
  SILKFLEX.NS     | Price:  213.60 | Entry:  209.33 | Target:  272.39 | Risk: LOW       
  KANDARP.NS      | Price:  152.00 | Entry:  148.96 | Target:  179.98 | Risk: LOW       
  MHHL.NS         | Price:   41.95 | Entry:   41.11 | Target:   50.24 | Risk: LOW       
  SANGANI.NS      | Price:   54.30 | Entry:   53.21 | Target:   57.89 | Risk: LOW       
  PARTYCRUS.NS    | Price:   96.50 | Entry:   94.57 | Target:  111.34 | Risk: LOW       
  FCONSUMER.NS    | Price:    0.35 | Entry:    0.34 | Target:    0.37 | Risk: LOW       
  HGM.NS          | Price:   61.29 | Entry:   60.06 | Target:   83.24 | Risk: LOW       
  SRIVASAVI.NS    | Price:   58.50 | Entry:   57.33 | Target:   68.05 | Risk: LOW       
  ONDOOR.NS       | Price:  184.95 | Entry:  181.25 | Target:  216.90 | Risk: LOW       
  ARABIAN.NS      | Price:   72.85 | Entry:   71.39 | Target:   77.62 | Risk: LOW       
  K2INFRA.NS      | Price:   56.35 | Entry:   55.22 | Target:   75.55 | Risk: LOW       
  AMEYA.NS        | Price:  124.00 | Entry:  121.52 | Target:  145.39 | Risk: LOW       
  ASLIND.NS       | Price:  138.95 | Entry:  136.17 | Target:  159.06 | Risk: LOW       
  LRRPL.NS        | Price:   77.95 | Entry:   76.39 | Target:   92.32 | Risk: LOW       
  GATECH.NS       | Price:    0.54 | Entry:    0.53 | Target:    0.72 | Risk: LOW       
  SWASTIK.NS      | Price:   23.55 | Entry:   23.08 | Target:   26.67 | Risk: LOW       
  DURLAX.NS       | Price:   51.80 | Entry:   50.76 | Target:   59.37 | Risk: LOW       
  CADSYS.NS       | Price:   69.00 | Entry:   67.62 | Target:   81.39 | Risk: LOW       
  SEL.NS          | Price:  220.00 | Entry:   215.6 | Target:  264.71 | Risk: LOW       
  VISHWAS.NS      | Price:   57.25 | Entry:    56.1 | Target:   68.68 | Risk: LOW       
  UCL.NS          | Price:  140.00 | Entry:   137.2 | Target:  154.25 | Risk: LOW       
  MOXSH.NS        | Price:  140.00 | Entry:   137.2 | Target:  144.57 | Risk: LOW       
  AATMAJ.NS       | Price:   21.95 | Entry:   21.51 | Target:   25.34 | Risk: LOW       
  KSR.NS          | Price:   37.07 | Entry:   36.33 | Target:   47.04 | Risk: LOW       
  NEUEON.NS       | Price:   26.10 | Entry:   25.58 | Target:   28.79 | Risk: LOW       
  SATIPOLY.NS     | Price:   39.50 | Entry:   38.71 | Target:   44.75 | Risk: LOW       
  TAPIFRUIT.NS    | Price:   60.00 | Entry:    58.8 | Target:   64.25 | Risk: LOW       
  VILINBIO.NS     | Price:   49.40 | Entry:   48.41 | Target:   57.22 | Risk: LOW       
  SKIL.NS         | Price:    1.00 | Entry:    0.98 | Target:    1.09 | Risk: LOW       
  MICROPRO.NS     | Price:   19.60 | Entry:   19.21 | Target:   20.62 | Risk: LOW       
  GFSTEELS.NS     | Price:   12.97 | Entry:   12.71 | Target:   13.19 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    4.13 | Entry:    4.05 | Target:    5.06 | Risk: LOW       
  AILIMITED.NS    | Price:   42.25 | Entry:   41.41 | Target:   45.70 | Risk: LOW       
  CMRSL.NS        | Price:   81.05 | Entry:   79.43 | Target:   85.09 | Risk: LOW       
  INSPIRE.NS      | Price:   11.45 | Entry:   11.22 | Target:   13.79 | Risk: LOW       
  DHTL.NS         | Price:   48.60 | Entry:   47.63 | Target:   51.60 | Risk: LOW       
  JIWANRAM.NS     | Price:    5.85 | Entry:    5.73 | Target:    6.42 | Risk: LOW       
  EDUCOMP.NS      | Price:    0.99 | Entry:    0.97 | Target:    1.07 | Risk: LOW       
  QUADPRO.NS      | Price:    2.10 | Entry:    2.06 | Target:    2.26 | Risk: LOW       
  VIVO.NS         | Price:   78.65 | Entry:   77.08 | Target:   80.95 | Risk: LOW       
  RITEZONE.NS     | Price:   26.00 | Entry:   25.48 | Target:   30.05 | Risk: LOW       
  CLCIND.NS       | Price:   27.35 | Entry:    26.8 | Target:   28.26 | Risk: LOW       

HOLD SIGNALS (2342):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBIN.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INFY.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJFINANCE.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDUNILVR.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LICI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LT.NS           | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ITC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARUTI.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  M&M.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HCLTECH.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  KOTAKBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SUNPHARMA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AXISBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ULTRACEMCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJFINSV.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TITAN.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NTPC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPORTS.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ONGC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ETERNAL.NS      | Price:  245.82 | Trend:   1.74% | Mom:  -3.23% | Risk: LOW       
  BEL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENT.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DMART.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JSWSTEEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WIPRO.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POWERGRID.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ASIANPAINT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  COALINDIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NESTLEIND.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIGO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IOC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATASTEEL.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMPV.NS         | Price:  338.75 | Trend:   0.16% | Mom:  -3.96% | Risk: LOW       
  HINDZINC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HYUNDAI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GRASIM.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBILIFE.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VEDL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: NORMAL    
  DLF.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  EICHERMOT.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TRENT.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDALCO.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIVISLAB.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCLIFE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IRFC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIGREEN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VBL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TVSMOTOR.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PIDILITIND.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BPCL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TECHM.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJHLDNG.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BRITANNIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AMBUJACEM.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATACAP.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BANKBARODA.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CHOLAFIN.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SHRIRAMFIN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMCV.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PNB.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIAMC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PFC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SOLARINDS.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MUTHOOTFIN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATAPOWER.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CIPLA.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TORNTPHARM.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GODREJCP.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LODHA.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCAMC.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GAIL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CANBK.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MAXHEALTH.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ENRIN.NS        | Price: 3104.80 | Trend:   5.41% | Mom:  -6.20% | Risk: LOW       
  SIEMENS.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MAZDOCK.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BOSCHLTD.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ABB.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MOTHERSON.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CUMMINSIND.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATACONSUM.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LGEINDIA.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POLYCAB.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CGPOWER.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  UNIONBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENSOL.NS   | Price: 1319.10 | Trend:  15.09% | Mom:  -6.98% | Risk: LOW       
  APOLLOHOSP.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDHOTEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HEROMOTOCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DRREDDY.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SHREECEM.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JINDALSTEL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IDBI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SWIGGY.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BSE.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MANKIND.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIANB.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDUSTOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GMRAIRPORT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  RECLTD.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ZYDUSLIFE.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIGI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GROWW.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIXON.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IDEA.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAVELLS.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARICO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDPETRO.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WAAREEENER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJHFL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DABUR.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
