NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-05 19:43:54

BUY SIGNALS (65):
  SARDAEN.NS      | Price:  542.65 | Entry:   531.8 | Target:  640.38 | Risk: LOW       
  BEL.NS          | Price:  460.00 | Entry:   450.8 | Target:  519.79 | Risk: LOW       
  LTFOODS.NS      | Price:  430.15 | Entry:  421.55 | Target:  525.67 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 5581.50 | Entry: 5469.87 | Target: 6694.89 | Risk: LOW       
  ANANDRATHI.NS   | Price: 3197.90 | Entry: 3133.94 | Target: 3528.29 | Risk: LOW       
  KSB.NS          | Price:  751.10 | Entry:  736.08 | Target:  907.46 | Risk: LOW       
  INDIANB.NS      | Price:  951.75 | Entry:  932.72 | Target: 1096.05 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4353.40 | Entry: 4266.33 | Target: 4879.77 | Risk: LOW       
  DATAPATTNS.NS   | Price: 3359.20 | Entry: 3292.02 | Target: 4148.34 | Risk: LOW       
  ASTRAL.NS       | Price: 1663.10 | Entry: 1629.84 | Target: 1867.39 | Risk: LOW       
  POLYCAB.NS      | Price: 8564.00 | Entry: 8392.72 | Target: 9640.96 | Risk: LOW       
  INOXINDIA.NS    | Price: 1163.00 | Entry: 1139.74 | Target: 1341.43 | Risk: LOW       
  ENRIN.NS        | Price: 2863.90 | Entry: 2806.62 | Target: 3433.69 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2070.40 | Entry: 2028.99 | Target: 2335.08 | Risk: LOW       
  SOLARINDS.NS    | Price: 14671.00 | Entry: 14377.58 | Target: 16742.07 | Risk: LOW       
  WELCORP.NS      | Price:  822.00 | Entry:  805.56 | Target:  949.61 | Risk: LOW       
  RRKABEL.NS      | Price: 1500.30 | Entry: 1470.29 | Target: 1754.23 | Risk: LOW       
  ZENTEC.NS       | Price: 1405.10 | Entry:  1377.0 | Target: 1627.71 | Risk: LOW       
  FINCABLES.NS    | Price:  918.00 | Entry:  899.64 | Target: 1107.64 | Risk: LOW       
  UBL.NS          | Price: 1650.10 | Entry:  1617.1 | Target: 1844.10 | Risk: LOW       
  NAVA.NS         | Price:  573.55 | Entry:  562.08 | Target:  670.26 | Risk: LOW       
  DIVISLAB.NS     | Price: 6364.50 | Entry: 6237.21 | Target: 7013.43 | Risk: LOW       
  TIINDIA.NS      | Price: 2781.90 | Entry: 2726.26 | Target: 3256.51 | Risk: LOW       
  BIOCON.NS       | Price:  386.80 | Entry:  379.06 | Target:  430.64 | Risk: LOW       
  ASTERDM.NS      | Price:  655.45 | Entry:  642.34 | Target:  754.08 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1225.50 | Entry: 1200.99 | Target: 1417.21 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  552.35 | Entry:   541.3 | Target:  630.81 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1468.00 | Entry: 1438.64 | Target: 1756.77 | Risk: LOW       
  POWERINDIA.NS   | Price: 25305.00 | Entry: 24798.9 | Target: 29293.21 | Risk: LOW       
  TRIVENI.NS      | Price:  397.90 | Entry:  389.94 | Target:  464.29 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  490.65 | Entry:  480.84 | Target:  572.10 | Risk: LOW       
  NATCOPHARM.NS   | Price: 1000.80 | Entry:  980.78 | Target: 1219.46 | Risk: LOW       
  SAILIFE.NS      | Price: 1069.20 | Entry: 1047.82 | Target: 1249.07 | Risk: LOW       
  CUMMINSIND.NS   | Price: 4791.40 | Entry: 4695.57 | Target: 5510.51 | Risk: LOW       
  APARINDS.NS     | Price: 10427.00 | Entry: 10218.46 | Target: 13183.25 | Risk: LOW       
  GVT&D.NS        | Price: 3824.40 | Entry: 3747.91 | Target: 4610.58 | Risk: LOW       
  TEJASNET.NS     | Price:  492.40 | Entry:  482.55 | Target:  644.95 | Risk: LOW       

HOLD SIGNALS (117):
  FORCEMOT.NS     | Price: 21755.00 | Trend:   1.42% | Mom: -13.80% | Risk: LOW       
  HINDZINC.NS     | Price:  595.65 | Trend:  -5.17% | Mom:   1.78% | Risk: LOW       
  PFC.NS          | Price:  413.65 | Trend:   7.73% | Mom:  -0.65% | Risk: LOW       
  LINDEINDIA.NS   | Price: 6767.00 | Trend:   8.77% | Mom:  -0.48% | Risk: LOW       
  INDUSINDBK.NS   | Price:  937.20 | Trend:   2.85% | Mom:  -0.79% | Risk: LOW       
  TATASTEEL.NS    | Price:  200.57 | Trend:   3.76% | Mom:  -4.05% | Risk: LOW       
  SAIL.NS         | Price:  156.15 | Trend:   2.34% | Mom:  -1.92% | Risk: LOW       
  JSWSTEEL.NS     | Price: 1248.10 | Trend:   3.75% | Mom:  -0.25% | Risk: LOW       
  BLUEJET.NS      | Price:  387.65 | Trend: -13.58% | Mom:   7.88% | Risk: LOW       
  COLPAL.NS       | Price: 2200.60 | Trend:   2.92% | Mom:  -0.15% | Risk: LOW       
  TORNTPOWER.NS   | Price: 1503.90 | Trend:   8.11% | Mom:  -1.57% | Risk: LOW       
  ATUL.NS         | Price: 6561.00 | Trend:   4.80% | Mom:  -1.20% | Risk: LOW       
  JSWCEMENT.NS    | Price:  124.44 | Trend:   3.41% | Mom:   0.68% | Risk: LOW       
  PIIND.NS        | Price: 3089.00 | Trend:  -2.61% | Mom:   2.16% | Risk: LOW       
  ALKEM.NS        | Price: 5550.00 | Trend:  -0.97% | Mom:   2.39% | Risk: LOW       
  TATAPOWER.NS    | Price:  376.85 | Trend:   1.45% | Mom:  -0.72% | Risk: LOW       
  SBIN.NS         | Price: 1169.50 | Trend:   7.79% | Mom:  -4.05% | Risk: LOW       
  PTCIL.NS        | Price: 17998.00 | Trend:  -0.16% | Mom:  -1.09% | Risk: LOW       
  UNIONBANK.NS    | Price:  191.20 | Trend:   8.64% | Mom:  -0.99% | Risk: LOW       
  KAYNES.NS       | Price: 3814.50 | Trend:   0.80% | Mom:  -5.99% | Risk: LOW       
  JINDALSTEL.NS   | Price: 1184.00 | Trend:   5.61% | Mom:  -3.09% | Risk: LOW       
  ENGINERSIN.NS   | Price:  204.86 | Trend:   4.87% | Mom:  -4.56% | Risk: LOW       
  SCI.NS          | Price:  242.00 | Trend:   4.04% | Mom:  -9.76% | Risk: LOW       
  CONCORDBIO.NS   | Price: 1203.70 | Trend:  -3.82% | Mom:   4.72% | Risk: LOW       
  ATHERENERG.NS   | Price:  684.30 | Trend:   0.08% | Mom:  -6.07% | Risk: LOW       
  ABBOTINDIA.NS   | Price: 27615.00 | Trend:   0.41% | Mom:   4.37% | Risk: LOW       
  CENTRALBK.NS    | Price:   37.73 | Trend:   0.30% | Mom:  -2.25% | Risk: LOW       
  APLAPOLLO.NS    | Price: 2161.30 | Trend:   4.79% | Mom:  -3.68% | Risk: LOW       
  BANKBARODA.NS   | Price:  301.85 | Trend:   0.46% | Mom:  -1.08% | Risk: LOW       
  DMART.NS        | Price: 3835.40 | Trend:   0.80% | Mom:  -2.04% | Risk: LOW       
  IDBI.NS         | Price:  110.24 | Trend:   3.98% | Mom:  -2.77% | Risk: LOW       
  ADANIPORTS.NS   | Price: 1499.30 | Trend:   1.41% | Mom:  -3.32% | Risk: LOW       
  GLAXO.NS        | Price: 2479.30 | Trend:   0.17% | Mom:  -4.04% | Risk: LOW       
  IGIL.NS         | Price:  330.65 | Trend:   3.19% | Mom:  -0.78% | Risk: LOW       
  TITAN.NS        | Price: 4275.20 | Trend:   3.15% | Mom:   0.63% | Risk: LOW       
  RKFORGE.NS      | Price:  554.40 | Trend:   4.34% | Mom:   0.50% | Risk: LOW       
  TATACHEM.NS     | Price:  712.25 | Trend:  -2.51% | Mom:   3.22% | Risk: LOW       
  IOC.NS          | Price:  171.54 | Trend:   2.00% | Mom:  -4.03% | Risk: LOW       
  THELEELA.NS     | Price:  433.00 | Trend:   0.22% | Mom:  -2.04% | Risk: LOW       
  MARICO.NS       | Price:  778.85 | Trend:   2.36% | Mom:  -2.15% | Risk: LOW       
  POWERGRID.NS    | Price:  299.45 | Trend:   8.97% | Mom:  -0.37% | Risk: LOW       
  JSL.NS          | Price:  768.95 | Trend:  -3.09% | Mom:   1.40% | Risk: LOW       
  BANKINDIA.NS    | Price:  164.18 | Trend:   3.06% | Mom:  -4.85% | Risk: LOW       
  CLEAN.NS        | Price:  772.85 | Trend:  -5.36% | Mom:   1.62% | Risk: LOW       
  AXISBANK.NS     | Price: 1349.10 | Trend:   2.39% | Mom:  -2.03% | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  914.65 | Trend:   1.30% | Mom:   0.51% | Risk: LOW       
  KPIL.NS         | Price: 1131.20 | Trend:  -1.20% | Mom:   0.93% | Risk: LOW       
  VOLTAS.NS       | Price: 1485.30 | Trend:   3.13% | Mom:  -3.76% | Risk: LOW       
  AKUMS.NS        | Price:  483.00 | Trend:   6.31% | Mom:  -0.99% | Risk: LOW       
  SUPREMEIND.NS   | Price: 3950.20 | Trend:   8.57% | Mom:   0.39% | Risk: LOW       
  PGEL.NS         | Price:  614.45 | Trend:   4.32% | Mom:  -2.05% | Risk: LOW       
  KARURVYSYA.NS   | Price:  316.75 | Trend:   8.17% | Mom:  -2.84% | Risk: LOW       
  TATAINVEST.NS   | Price:  658.05 | Trend:  -0.08% | Mom:   2.18% | Risk: LOW       
  RBLBANK.NS      | Price:  310.10 | Trend:  -0.10% | Mom:  -4.82% | Risk: LOW       
  OFSS.NS         | Price: 6789.50 | Trend:  -8.23% | Mom:   1.12% | Risk: LOW       
  TVSMOTOR.NS     | Price: 3818.40 | Trend:   1.76% | Mom:  -1.72% | Risk: LOW       
  MAXHEALTH.NS    | Price: 1058.20 | Trend:   1.75% | Mom:  -2.58% | Risk: LOW       
  GODREJAGRO.NS   | Price:  609.95 | Trend:   5.74% | Mom:  -4.83% | Risk: LOW       
  TECHNOE.NS      | Price: 1140.30 | Trend:   8.18% | Mom:  -0.99% | Risk: LOW       
  JYOTHYLAB.NS    | Price:  250.20 | Trend:  -2.50% | Mom:   2.97% | Risk: LOW       
  ABSLAMC.NS      | Price:  892.55 | Trend:   7.07% | Mom:  -1.58% | Risk: LOW       
  INDUSTOWER.NS   | Price:  451.40 | Trend:   2.08% | Mom:  -5.52% | Risk: LOW       
  PETRONET.NS     | Price:  293.05 | Trend:   0.29% | Mom:  -3.60% | Risk: LOW       
  ASHOKLEY.NS     | Price:  203.04 | Trend:   4.14% | Mom:  -2.54% | Risk: LOW       
  MOTHERSON.NS    | Price:  126.34 | Trend:   4.01% | Mom:  -5.66% | Risk: LOW       
  NYKAA.NS        | Price:  260.80 | Trend:   0.71% | Mom:  -4.27% | Risk: LOW       
  BLUESTARCO.NS   | Price: 1946.70 | Trend:   5.49% | Mom:  -3.47% | Risk: LOW       
  FINPIPE.NS      | Price:  186.19 | Trend:   4.35% | Mom:  -2.68% | Risk: LOW       
  AJANTPHARM.NS   | Price: 2974.90 | Trend:   5.13% | Mom:   0.44% | Risk: LOW       
  RAINBOW.NS      | Price: 1210.50 | Trend:  -1.64% | Mom:   0.07% | Risk: LOW       
  ADANIENSOL.NS   | Price:  987.90 | Trend:   0.83% | Mom:  -4.62% | Risk: LOW       
  SONACOMS.NS     | Price:  510.95 | Trend:   2.92% | Mom:  -3.92% | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1039.50 | Trend:   2.09% | Mom:  -3.41% | Risk: LOW       
  SCHNEIDER.NS    | Price:  874.35 | Trend:  17.58% | Mom:  -5.00% | Risk: LOW       
  BRITANNIA.NS    | Price: 5963.00 | Trend:  -0.29% | Mom:  -3.45% | Risk: LOW       
  MFSL.NS         | Price: 1748.60 | Trend:   1.98% | Mom:  -4.78% | Risk: LOW       
  ABB.NS          | Price: 5929.00 | Trend:   9.19% | Mom:   0.81% | Risk: LOW       
  GILLETTE.NS     | Price: 8183.50 | Trend:  -0.39% | Mom:  -5.57% | Risk: LOW       
  CASTROLIND.NS   | Price:  186.48 | Trend:  -0.40% | Mom:  -0.93% | Risk: LOW       
  CESC.NS         | Price:  155.54 | Trend:  -0.75% | Mom:   0.95% | Risk: LOW       
  AARTIIND.NS     | Price:  421.85 | Trend:   4.98% | Mom:  -8.32% | Risk: LOW       
  ERIS.NS         | Price: 1370.20 | Trend:  -4.63% | Mom:   1.90% | Risk: LOW       
  RAMCOCEM.NS     | Price: 1103.60 | Trend:   0.02% | Mom:  -3.44% | Risk: LOW       
  HONASA.NS       | Price:  298.80 | Trend:   3.71% | Mom:  -0.88% | Risk: LOW       
  EICHERMOT.NS    | Price: 7755.00 | Trend:   3.57% | Mom:  -3.18% | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5588.50 | Trend:  -0.11% | Mom:  -0.06% | Risk: LOW       
  FEDERALBNK.NS   | Price:  289.70 | Trend:   4.32% | Mom:  -0.40% | Risk: LOW       
  KIMS.NS         | Price:  704.50 | Trend:   8.96% | Mom:   0.58% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 9804.50 | Trend:   2.22% | Mom:  -1.76% | Risk: LOW       
  LLOYDSME.NS     | Price: 1205.60 | Trend:  -2.06% | Mom:  -0.48% | Risk: LOW       
  SAMMAANCAP.NS   | Price:  145.21 | Trend:  -0.48% | Mom:  -2.24% | Risk: LOW       
  USHAMART.NS     | Price:  422.05 | Trend:  -1.11% | Mom:   0.97% | Risk: LOW       
  STARHEALTH.NS   | Price:  459.10 | Trend:   0.72% | Mom:  -3.06% | Risk: LOW       
  ELGIEQUIP.NS    | Price:  518.40 | Trend:   8.56% | Mom:  -3.51% | Risk: LOW       
  FORTIS.NS       | Price:  920.95 | Trend:   2.80% | Mom:   0.66% | Risk: LOW       
  ACMESOLAR.NS    | Price:  231.23 | Trend:   2.25% | Mom:   0.13% | Risk: LOW       
  GRAPHITE.NS     | Price:  684.65 | Trend:   5.76% | Mom:  -1.28% | Risk: LOW       
  JSWINFRA.NS     | Price:  261.45 | Trend:  -1.82% | Mom:   0.87% | Risk: LOW       
  POLYMED.NS      | Price: 1360.00 | Trend: -11.43% | Mom:   3.98% | Risk: LOW       
  LICHSGFIN.NS    | Price:  521.40 | Trend:  -0.85% | Mom:  -0.14% | Risk: LOW       
  CGPOWER.NS      | Price:  701.10 | Trend:   8.72% | Mom:  -1.33% | Risk: LOW       
  BSOFT.NS        | Price:  378.55 | Trend:  -9.12% | Mom:   0.73% | Risk: LOW       
  ENDURANCE.NS    | Price: 2509.00 | Trend:  -0.60% | Mom:   1.27% | Risk: LOW       
  WHIRLPOOL.NS    | Price:  908.80 | Trend:   5.14% | Mom:  -2.35% | Risk: LOW       
  SIEMENS.NS      | Price: 3215.70 | Trend:   3.25% | Mom:   0.87% | Risk: LOW       
  TARIL.NS        | Price:  293.80 | Trend:   5.35% | Mom:  -2.00% | Risk: LOW       
  IPCALAB.NS      | Price: 1500.90 | Trend:   2.18% | Mom:   0.69% | Risk: LOW       
  SYRMA.NS        | Price:  766.95 | Trend:  -0.40% | Mom: -11.66% | Risk: LOW       
  DELHIVERY.NS    | Price:  428.10 | Trend:   2.60% | Mom:  -0.95% | Risk: LOW       
  THERMAX.NS      | Price: 3063.70 | Trend:   2.58% | Mom:  -0.92% | Risk: LOW       
  ONESOURCE.NS    | Price: 1424.20 | Trend:  -2.98% | Mom:   6.79% | Risk: LOW       
  PVRINOX.NS      | Price: 1027.50 | Trend:   1.33% | Mom:  -2.11% | Risk: LOW       
  HFCL.NS         | Price:   70.08 | Trend:   3.89% | Mom:  -5.03% | Risk: LOW       
  EMCURE.NS       | Price: 1453.40 | Trend:  -1.58% | Mom:  -0.66% | Risk: LOW       
  FIRSTCRY.NS     | Price:  215.25 | Trend: -17.95% | Mom:  -0.42% | Risk: LOW       
  AMBER.NS        | Price: 7825.50 | Trend:  15.61% | Mom:  -0.87% | Risk: LOW       
  LAURUSLABS.NS   | Price: 1045.90 | Trend:   0.51% | Mom:   0.81% | Risk: LOW       

SELL SIGNALS (322):
  IFCI.NS         | Price:   54.52 | Target:   42.08 | Risk: LOW        | Conf: 100%
  SBFC.NS         | Price:   93.01 | Target:   78.09 | Risk: LOW        | Conf: 100%
  HINDCOPPER.NS   | Price:  558.00 | Target:  428.36 | Risk: LOW        | Conf: 80%
  BSE.NS          | Price: 2761.40 | Target: 2212.36 | Risk: LOW        | Conf: 80%
  PREMIERENE.NS   | Price:  720.10 | Target:  572.44 | Risk: LOW        | Conf: 100%
  IREDA.NS        | Price:  115.65 | Target:   98.21 | Risk: LOW        | Conf: 100%
  ANANTRAJ.NS     | Price:  491.80 | Target:  394.62 | Risk: LOW        | Conf: 100%
  SJVN.NS         | Price:   72.67 | Target:   61.25 | Risk: LOW        | Conf: 100%
  HOMEFIRST.NS    | Price: 1042.90 | Target:  797.11 | Risk: LOW        | Conf: 100%
  ABLBL.NS        | Price:  104.04 | Target:   86.92 | Risk: LOW        | Conf: 100%
  MANAPPURAM.NS   | Price:  267.30 | Target:  217.16 | Risk: LOW        | Conf: 100%
  GODFRYPHLP.NS   | Price: 2033.00 | Target: 1359.07 | Risk: LOW        | Conf: 100%
  IEX.NS          | Price:  121.63 | Target:  105.25 | Risk: LOW        | Conf: 100%
  ASIANPAINT.NS   | Price: 2287.80 | Target: 2034.26 | Risk: LOW        | Conf: 100%
  GMDCLTD.NS      | Price:  544.75 | Target:  425.27 | Risk: LOW        | Conf: 100%
  MUTHOOTFIN.NS   | Price: 3306.40 | Target: 2625.97 | Risk: LOW        | Conf: 100%
  BALKRISIND.NS   | Price: 2308.60 | Target: 1913.42 | Risk: LOW        | Conf: 100%
  EMAMILTD.NS     | Price:  471.85 | Target:  413.21 | Risk: LOW        | Conf: 100%
  3MINDIA.NS      | Price: 34530.00 | Target: 27847.86 | Risk: LOW        | Conf: 100%
  TRENT.NS        | Price: 3790.90 | Target: 3275.90 | Risk: LOW        | Conf: 100%
  DEVYANI.NS      | Price:  117.63 | Target:   98.35 | Risk: LOW        | Conf: 100%
  BRIGADE.NS      | Price:  670.95 | Target:  558.99 | Risk: LOW        | Conf: 100%
  RECLTD.NS       | Price:  341.85 | Target:  294.10 | Risk: LOW        | Conf: 100%
  NLCINDIA.NS     | Price:  253.85 | Target:  210.10 | Risk: LOW        | Conf: 80%
  NMDC.NS         | Price:   78.44 | Target:   65.68 | Risk: LOW        | Conf: 100%
  JWL.NS          | Price:  254.80 | Target:  207.82 | Risk: LOW        | Conf: 100%
  JYOTICNC.NS     | Price:  793.00 | Target:  657.98 | Risk: LOW        | Conf: 100%
  WAAREEENER.NS   | Price: 2646.20 | Target: 2054.70 | Risk: LOW        | Conf: 100%
  LEMONTREE.NS    | Price:  112.24 | Target:   93.53 | Risk: LOW        | Conf: 100%
  AIIL.NS         | Price:  437.95 | Target:  357.41 | Risk: LOW        | Conf: 100%
  MEDANTA.NS      | Price: 1111.70 | Target:  950.09 | Risk: LOW        | Conf: 100%
  M&MFIN.NS       | Price:  364.75 | Target:  295.61 | Risk: LOW        | Conf: 100%
  ANGELONE.NS     | Price:  224.68 | Target:  173.20 | Risk: LOW        | Conf: 100%
  GAIL.NS         | Price:  156.73 | Target:  136.96 | Risk: LOW        | Conf: 100%
  GLAND.NS        | Price: 1706.40 | Target: 1436.11 | Risk: LOW        | Conf: 100%
  MRF.NS          | Price: 140215.00 | Target: 121775.71 | Risk: LOW        | Conf: 100%
  ULTRACEMCO.NS   | Price: 12288.00 | Target: 10988.71 | Risk: LOW        | Conf: 100%
  HINDUNILVR.NS   | Price: 2255.00 | Target: 2011.00 | Risk: LOW        | Conf: 100%
  DCMSHRIRAM.NS   | Price:  990.30 | Target:  825.66 | Risk: LOW        | Conf: 100%
  IRFC.NS         | Price:   98.85 | Target:   84.36 | Risk: LOW        | Conf: 100%
  BPCL.NS         | Price:  360.35 | Target:  309.69 | Risk: LOW        | Conf: 100%
  HAL.NS          | Price: 3891.80 | Target: 3372.03 | Risk: LOW        | Conf: 100%
  NETWEB.NS       | Price: 3250.80 | Target: 2068.19 | Risk: LOW        | Conf: 80%
  MANYAVAR.NS     | Price:  387.70 | Target:  301.59 | Risk: LOW        | Conf: 100%
  GRSE.NS         | Price: 2409.10 | Target: 1976.81 | Risk: LOW        | Conf: 100%
  HUDCO.NS        | Price:  178.27 | Target:  149.67 | Risk: LOW        | Conf: 100%
  HYUNDAI.NS      | Price: 2134.40 | Target: 1763.47 | Risk: LOW        | Conf: 100%
  TATACONSUM.NS   | Price: 1119.10 | Target:  997.35 | Risk: LOW        | Conf: 100%
  NSLNISP.NS      | Price:   38.60 | Target:   32.62 | Risk: LOW        | Conf: 100%
  LODHA.NS        | Price:  916.25 | Target:  735.87 | Risk: LOW        | Conf: 100%
  PIDILITIND.NS   | Price: 1445.90 | Target: 1297.54 | Risk: LOW        | Conf: 100%
  MMTC.NS         | Price:   56.85 | Target:   47.37 | Risk: LOW        | Conf: 100%
  JSWENERGY.NS    | Price:  479.50 | Target:  407.54 | Risk: LOW        | Conf: 60%
  ICICIBANK.NS    | Price: 1357.60 | Target: 1244.42 | Risk: LOW        | Conf: 100%
  SYNGENE.NS      | Price:  403.70 | Target:  344.68 | Risk: LOW        | Conf: 100%
  TCS.NS          | Price: 2578.80 | Target: 2219.19 | Risk: LOW        | Conf: 100%
  SAGILITY.NS     | Price:   39.76 | Target:   28.86 | Risk: LOW        | Conf: 100%
  IKS.NS          | Price: 1305.90 | Target: 1015.76 | Risk: LOW        | Conf: 100%
  ADANIENT.NS     | Price: 2089.20 | Target: 1770.74 | Risk: LOW        | Conf: 100%
  NESTLEIND.NS    | Price: 1250.90 | Target: 1120.69 | Risk: LOW        | Conf: 100%
  EXIDEIND.NS     | Price:  319.65 | Target:  279.81 | Risk: LOW        | Conf: 100%
  SBILIFE.NS      | Price: 1945.00 | Target: 1713.00 | Risk: LOW        | Conf: 100%
  AUBANK.NS       | Price:  973.45 | Target:  811.20 | Risk: LOW        | Conf: 100%
  CEATLTD.NS      | Price: 3412.40 | Target: 2697.47 | Risk: LOW        | Conf: 100%
  GRASIM.NS       | Price: 2724.10 | Target: 2389.14 | Risk: LOW        | Conf: 100%
  GODREJCP.NS     | Price: 1132.40 | Target:  992.33 | Risk: LOW        | Conf: 100%
  MAZDOCK.NS      | Price: 2352.50 | Target: 1961.29 | Risk: LOW        | Conf: 80%
  MGL.NS          | Price: 1096.50 | Target:  908.82 | Risk: LOW        | Conf: 80%
  BDL.NS          | Price: 1280.60 | Target: 1075.35 | Risk: LOW        | Conf: 80%
  GICRE.NS        | Price:  366.50 | Target:  320.39 | Risk: LOW        | Conf: 100%
  AIAENG.NS       | Price: 3615.70 | Target: 3024.49 | Risk: LOW        | Conf: 100%
  ICICIGI.NS      | Price: 1875.20 | Target: 1661.63 | Risk: LOW        | Conf: 100%
  DALBHARAT.NS    | Price: 1928.70 | Target: 1655.84 | Risk: LOW        | Conf: 100%
  COFORGE.NS      | Price: 1152.70 | Target:  849.13 | Risk: LOW        | Conf: 100%
  VBL.NS          | Price:  445.75 | Target:  387.21 | Risk: LOW        | Conf: 100%
  ADANIPOWER.NS   | Price:  140.11 | Target:  117.07 | Risk: LOW        | Conf: 100%
  ZENSARTECH.NS   | Price:  548.60 | Target:  422.44 | Risk: LOW        | Conf: 100%
  SAPPHIRE.NS     | Price:  186.59 | Target:  150.42 | Risk: LOW        | Conf: 100%
  BHARTIARTL.NS   | Price: 1907.00 | Target: 1686.21 | Risk: LOW        | Conf: 100%
  NCC.NS          | Price:  143.00 | Target:  116.78 | Risk: LOW        | Conf: 100%
  KPRMILL.NS      | Price:  837.60 | Target:  654.37 | Risk: LOW        | Conf: 100%
  IOB.NS          | Price:   34.54 | Target:   29.60 | Risk: LOW        | Conf: 100%
  KEC.NS          | Price:  550.40 | Target:  469.04 | Risk: LOW        | Conf: 100%
  KIRLOSBROS.NS   | Price: 1493.90 | Target: 1248.44 | Risk: LOW        | Conf: 100%
  CDSL.NS         | Price: 1239.60 | Target: 1054.92 | Risk: LOW        | Conf: 100%
  PNBHOUSING.NS   | Price:  790.65 | Target:  664.83 | Risk: LOW        | Conf: 100%
  NIACL.NS        | Price:  139.58 | Target:  120.27 | Risk: LOW        | Conf: 100%
  SHREECEM.NS     | Price: 25200.00 | Target: 21757.14 | Risk: LOW        | Conf: 100%
  MARUTI.NS       | Price: 14415.00 | Target: 12778.57 | Risk: LOW        | Conf: 100%
  HDFCLIFE.NS     | Price:  684.30 | Target:  604.57 | Risk: LOW        | Conf: 100%
  INDIAMART.NS    | Price: 2076.40 | Target: 1806.47 | Risk: LOW        | Conf: 100%
  JUBLFOOD.NS     | Price:  500.50 | Target:  425.82 | Risk: LOW        | Conf: 100%
  INDIACEM.NS     | Price:  393.50 | Target:  317.96 | Risk: LOW        | Conf: 100%
