NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-24 18:50:55

BUY SIGNALS (22):
  PREMIERENE.NS   | Price:  889.35 | Entry:  871.56 | Target: 1056.21 | Risk: LOW       
  ANGELONE.NS     | Price:  230.44 | Trend:  -6.36% | Mom:   2.28% | Risk: LOW       
  DCMSHRIRAM.NS   | Price: 1073.40 | Trend:  -2.07% | Mom:   7.35% | Risk: LOW       
  TATAPOWER.NS    | Price:  384.75 | Trend:   2.83% | Mom:   0.90% | Risk: LOW       
  SCHAEFFLER.NS   | Price: 3978.90 | Trend:   1.87% | Mom:  -4.45% | Risk: LOW       
  GESHIP.NS       | Price: 1398.70 | Trend:   9.07% | Mom:   0.55% | Risk: LOW       
  MMTC.NS         | Price:   56.71 | Trend:  -8.79% | Mom:   1.38% | Risk: LOW       
  JSWENERGY.NS    | Price:  484.00 | Trend:  -0.06% | Mom:  -0.96% | Risk: LOW       
  CEATLTD.NS      | Price: 3451.70 | Trend:  -6.68% | Mom:   1.37% | Risk: LOW       
  ABBOTINDIA.NS   | Price: 26800.00 | Trend:  -0.87% | Mom:  -0.04% | Risk: LOW       
  KPRMILL.NS      | Price:  837.45 | Trend:  -4.86% | Mom:   0.56% | Risk: LOW       
  KEC.NS          | Price:  545.50 | Trend:  -9.63% | Mom:   1.22% | Risk: LOW       
  IGIL.NS         | Price:  326.45 | Trend:   1.80% | Mom:  -1.27% | Risk: LOW       
  ONGC.NS         | Price:  268.05 | Trend:   2.41% | Mom:  -0.43% | Risk: LOW       
  RELIANCE.NS     | Price: 1411.80 | Trend:  -0.31% | Mom:   0.21% | Risk: LOW       
  BHARATFORG.NS   | Price: 1708.80 | Trend:   3.20% | Mom:  -7.24% | Risk: LOW       
  NHPC.NS         | Price:   76.54 | Trend:   0.48% | Mom:   4.79% | Risk: LOW       
  NTPC.NS         | Price:  375.55 | Trend:   3.04% | Mom:  -0.46% | Risk: LOW       
  DRREDDY.NS      | Price: 1259.60 | Trend:   0.16% | Mom:  -4.18% | Risk: LOW       
  ATGL.NS         | Price:  521.90 | Trend:  -1.43% | Mom:  10.47% | Risk: LOW       
  NUVOCO.NS       | Price:  289.60 | Trend: -11.89% | Mom:   1.01% | Risk: LOW       
  SHYAMMETL.NS    | Price:  787.35 | Trend:  -5.04% | Mom:  -0.54% | Risk: LOW       
  POWERGRID.NS    | Price:  299.00 | Trend:   5.13% | Mom:   0.12% | Risk: LOW       
  JSL.NS          | Price:  717.45 | Trend:  -6.47% | Mom:  -0.56% | Risk: LOW       
  SUNPHARMA.NS    | Price: 1753.30 | Trend:   2.17% | Mom:  -3.28% | Risk: LOW       
  GLENMARK.NS     | Price: 2095.70 | Trend:   2.12% | Mom:  -5.85% | Risk: LOW       
  HCLTECH.NS      | Price: 1373.30 | Trend:  -8.84% | Mom:   0.87% | Risk: LOW       
  PAGEIND.NS      | Price: 32170.00 | Trend:  -1.87% | Mom:   2.01% | Risk: LOW       
  ETERNAL.NS      | Price:  237.94 | Trend:  -9.41% | Mom:   5.00% | Risk: LOW       
  SUZLON.NS       | Price:   41.04 | Trend:  -8.58% | Mom:  -0.99% | Risk: LOW       
  LUPIN.NS        | Price: 2331.80 | Trend:   4.28% | Mom:  -0.24% | Risk: LOW       
  JINDALSAW.NS    | Price:  181.97 | Trend:  -0.01% | Mom:   9.72% | Risk: LOW       
  TECHM.NS        | Price: 1432.70 | Trend:  -5.58% | Mom:   7.19% | Risk: LOW       
  MINDACORP.NS    | Price:  521.10 | Trend:  -5.18% | Mom:   2.77% | Risk: LOW       
  AKUMS.NS        | Price:  477.70 | Trend:   3.29% | Mom:  -4.57% | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7413.00 | Trend:   0.63% | Mom:  -5.00% | Risk: LOW       
  SUPREMEIND.NS   | Price: 3754.40 | Trend:  -0.05% | Mom:  -4.57% | Risk: LOW       
  BIKAJI.NS       | Price:  616.55 | Trend:  -4.64% | Mom:   0.15% | Risk: LOW       
  J&KBANK.NS      | Price:  113.10 | Trend:   3.15% | Mom:  -6.41% | Risk: LOW       
  ABSLAMC.NS      | Price:  899.70 | Trend:   3.79% | Mom:  -7.79% | Risk: LOW       
  FACT.NS         | Price:  794.20 | Trend:   0.38% | Mom:  -0.04% | Risk: LOW       
  LTFOODS.NS      | Price:  379.05 | Trend:  -2.35% | Mom:   0.28% | Risk: LOW       
  NAUKRI.NS       | Price:  987.40 | Trend: -12.43% | Mom:   1.11% | Risk: LOW       
  ITI.NS          | Price:  256.05 | Trend:  -8.29% | Mom:  -0.29% | Risk: LOW       
  AJANTPHARM.NS   | Price: 2863.20 | Trend:  -0.47% | Mom:  -4.56% | Risk: LOW       
  TORNTPHARM.NS   | Price: 4256.60 | Trend:   2.51% | Mom:  -3.87% | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1414.70 | Trend:  -4.72% | Mom:   6.24% | Risk: LOW       
  DATAPATTNS.NS   | Price: 3237.90 | Trend:  12.27% | Mom:  -5.92% | Risk: LOW       
  ASTRAL.NS       | Price: 1594.40 | Trend:   2.01% | Mom:  -3.99% | Risk: LOW       
  SCHNEIDER.NS    | Price:  895.35 | Trend:  12.98% | Mom:  -3.06% | Risk: LOW       
  ABB.NS          | Price: 6162.00 | Trend:   8.04% | Mom:  -1.00% | Risk: LOW       
  AARTIIND.NS     | Price:  418.70 | Trend:   1.01% | Mom:  -2.04% | Risk: LOW       
  INOXINDIA.NS    | Price: 1202.60 | Trend:   5.17% | Mom:   0.84% | Risk: LOW       
  HONASA.NS       | Price:  288.30 | Trend:   0.41% | Mom:  -0.26% | Risk: LOW       
  DOMS.NS         | Price: 2295.40 | Trend:  -1.49% | Mom:   8.65% | Risk: LOW       
  LTTS.NS         | Price: 3153.50 | Trend: -12.08% | Mom:   0.09% | Risk: LOW       
  BAYERCROP.NS    | Price: 4571.60 | Trend:   0.46% | Mom:  -0.71% | Risk: LOW       
  ENRIN.NS        | Price: 2688.00 | Trend:   1.12% | Mom:  -9.12% | Risk: LOW       
  POLICYBZR.NS    | Price: 1461.40 | Trend:  -5.04% | Mom:  -0.44% | Risk: LOW       
  STARHEALTH.NS   | Price:  455.50 | Trend:  -0.25% | Mom:   0.99% | Risk: LOW       
  ELGIEQUIP.NS    | Price:  480.95 | Trend:  -0.31% | Mom:  -7.19% | Risk: LOW       
  JMFINANCIL.NS   | Price:  120.44 | Trend:  -6.83% | Mom:  -0.50% | Risk: LOW       
  CGCL.NS         | Price:  169.46 | Trend:  -0.87% | Mom:   2.34% | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2076.80 | Trend:   5.18% | Mom:  -1.92% | Risk: LOW       
  CERA.NS         | Price: 4700.80 | Trend:  -5.09% | Mom:   2.55% | Risk: LOW       
  PERSISTENT.NS   | Price: 4913.70 | Trend:  -9.79% | Mom:   1.78% | Risk: LOW       
  WELCORP.NS      | Price:  802.20 | Trend:   1.49% | Mom:  -1.12% | Risk: LOW       
  AWL.NS          | Price:  180.14 | Trend:  -9.02% | Mom:   0.63% | Risk: LOW       
  PAYTM.NS        | Price: 1035.10 | Trend:  -9.41% | Mom:  -0.53% | Risk: LOW       
  CGPOWER.NS      | Price:  667.30 | Trend:   0.93% | Mom:  -8.36% | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  399.40 | Trend:   2.16% | Mom:  -0.26% | Risk: LOW       
  BLS.NS          | Price:  259.40 | Trend:  -4.20% | Mom:   2.77% | Risk: LOW       
  ZENTEC.NS       | Price: 1364.10 | Trend:   1.06% | Mom:  -5.09% | Risk: LOW       
  FSL.NS          | Price:  216.05 | Trend: -17.14% | Mom:   1.07% | Risk: LOW       
  AFCONS.NS       | Price:  277.00 | Trend: -12.63% | Mom:   0.16% | Risk: LOW       
  FINCABLES.NS    | Price:  815.25 | Trend:   0.32% | Mom: -12.24% | Risk: LOW       
  JUBLINGREA.NS   | Price:  573.05 | Trend:  -7.02% | Mom:   0.40% | Risk: LOW       
  JPPOWER.NS      | Price:   14.91 | Trend:  -0.56% | Mom:  10.28% | Risk: LOW       
  UBL.NS          | Price: 1583.90 | Trend:   1.07% | Mom:  -6.70% | Risk: LOW       
  NAVA.NS         | Price:  561.90 | Trend:   0.07% | Mom:  -0.56% | Risk: LOW       
  PRAJIND.NS      | Price:  312.60 | Trend:   2.46% | Mom:  -0.45% | Risk: LOW       
  JUBLPHARMA.NS   | Price:  860.35 | Trend:  -5.67% | Mom:   5.91% | Risk: LOW       
  TIINDIA.NS      | Price: 2568.60 | Trend:   3.52% | Mom:  -2.86% | Risk: LOW       
  TARIL.NS        | Price:  279.85 | Trend:   2.33% | Mom:  -3.17% | Risk: LOW       
  JKCEMENT.NS     | Price: 5122.50 | Trend:  -7.51% | Mom:   1.03% | Risk: LOW       
  TRIDENT.NS      | Price:   25.41 | Trend:  -0.08% | Mom:   9.34% | Risk: LOW       
  DELHIVERY.NS    | Price:  418.90 | Trend:   0.05% | Mom:  -1.63% | Risk: LOW       
  THERMAX.NS      | Price: 3191.60 | Trend:   5.27% | Mom:   0.59% | Risk: LOW       
  ASTERDM.NS      | Price:  633.85 | Trend:   3.58% | Mom:  -4.76% | Risk: LOW       
  AUROPHARMA.NS   | Price: 1281.60 | Trend:   6.69% | Mom:  -0.33% | Risk: LOW       
  MAHSEAMLES.NS   | Price:  550.60 | Trend:   2.55% | Mom:   0.64% | Risk: LOW       
  BHEL.NS         | Price:  258.20 | Trend:  -0.79% | Mom:  -0.17% | Risk: LOW       
  KIRLOSENG.NS    | Price: 1327.90 | Trend:   1.96% | Mom:  -7.61% | Risk: LOW       
  HFCL.NS         | Price:   69.58 | Trend:   1.43% | Mom:  -0.33% | Risk: LOW       
  POWERINDIA.NS   | Price: 25025.00 | Trend:  14.69% | Mom:  -0.79% | Risk: LOW       
  TRIVENI.NS      | Price:  370.30 | Trend:   1.20% | Mom:  -0.62% | Risk: LOW       
  EMCURE.NS       | Price: 1539.70 | Trend:   3.19% | Mom:  -1.79% | Risk: LOW       
  BALRAMCHIN.NS   | Price:  476.95 | Trend:   4.99% | Mom:  -5.82% | Risk: LOW       
  FIRSTCRY.NS     | Price:  225.49 | Trend:  -7.76% | Mom:   3.28% | Risk: LOW       
  SAREGAMA.NS     | Price:  339.50 | Trend:   0.29% | Mom:   3.97% | Risk: LOW       
  BHARTIHEXA.NS   | Price: 1581.20 | Trend:  -2.31% | Mom:   0.47% | Risk: LOW       
  NATCOPHARM.NS   | Price:  949.75 | Trend:   5.61% | Mom:  -8.61% | Risk: LOW       
  SAILIFE.NS      | Price:  999.15 | Trend:   7.99% | Mom:  -1.14% | Risk: LOW       
  CUMMINSIND.NS   | Price: 4619.60 | Trend:   4.27% | Mom:  -2.09% | Risk: LOW       
  APARINDS.NS     | Price: 9859.00 | Trend:   7.59% | Mom:  -1.37% | Risk: LOW       
  COHANCE.NS      | Price:  296.30 | Trend: -13.42% | Mom:   0.24% | Risk: LOW       
  GVT&D.NS        | Price: 3520.90 | Trend:   3.02% | Mom:  -8.65% | Risk: LOW       
  TEJASNET.NS     | Price:  420.75 | Trend:  11.80% | Mom:  -9.40% | Risk: LOW       
  PVP.NS          | Price:   26.47 | Trend:  -7.65% | Mom:   0.84% | Risk: LOW       

SELL SIGNALS (367):
  IFCI.NS         | Price:   52.02 | Target:   39.67 | Risk: LOW        | Conf: 100%
  FORCEMOT.NS     | Price: 21485.00 | Target: 14626.07 | Risk: LOW        | Conf: 100%
  SBFC.NS         | Price:   84.41 | Target:   68.61 | Risk: LOW        | Conf: 100%
  HINDCOPPER.NS   | Price:  463.55 | Target:  342.14 | Risk: LOW        | Conf: 100%
  BSE.NS          | Price: 2805.90 | Target: 2274.36 | Risk: LOW        | Conf: 60%
  IREDA.NS        | Price:  114.37 | Target:   91.99 | Risk: LOW        | Conf: 100%
  HINDZINC.NS     | Price:  497.05 | Target:  392.53 | Risk: LOW        | Conf: 100%
  ANANTRAJ.NS     | Price:  449.30 | Target:  345.89 | Risk: LOW        | Conf: 100%
  SJVN.NS         | Price:   66.93 | Target:   52.29 | Risk: LOW        | Conf: 100%
  HOMEFIRST.NS    | Price:  929.50 | Target:  733.68 | Risk: LOW        | Conf: 100%
  VEDL.NS         | Price:  651.60 | Target:  516.64 | Risk: LOW        | Conf: 100%
  ABLBL.NS        | Price:   92.03 | Target:   69.85 | Risk: LOW        | Conf: 100%
  INDUSINDBK.NS   | Price:  797.25 | Target:  641.23 | Risk: LOW        | Conf: 100%
  MANAPPURAM.NS   | Price:  252.65 | Target:  200.95 | Risk: LOW        | Conf: 100%
  GODFRYPHLP.NS   | Price: 1897.50 | Target: 1539.36 | Risk: LOW        | Conf: 100%
  TATASTEEL.NS    | Price:  190.79 | Target:  155.59 | Risk: LOW        | Conf: 100%
  SAIL.NS         | Price:  145.73 | Target:  112.08 | Risk: LOW        | Conf: 100%
  IEX.NS          | Price:  119.62 | Target:   99.68 | Risk: LOW        | Conf: 80%
  ASIANPAINT.NS   | Price: 2217.30 | Target: 1890.80 | Risk: LOW        | Conf: 100%
  MAHABANK.NS     | Price:   63.88 | Target:   48.59 | Risk: LOW        | Conf: 100%
  MUTHOOTFIN.NS   | Price: 3155.20 | Target: 2510.63 | Risk: LOW        | Conf: 100%
  JSWSTEEL.NS     | Price: 1133.70 | Target:  924.13 | Risk: LOW        | Conf: 100%
  BALKRISIND.NS   | Price: 2057.60 | Target: 1622.17 | Risk: LOW        | Conf: 100%
  BLUEJET.NS      | Price:  348.25 | Target:  243.45 | Risk: LOW        | Conf: 100%
  HINDALCO.NS     | Price:  854.65 | Target:  674.83 | Risk: LOW        | Conf: 100%
  MCX.NS          | Price: 2419.00 | Target: 1867.39 | Risk: LOW        | Conf: 80%
  EMAMILTD.NS     | Price:  402.70 | Target:  327.41 | Risk: LOW        | Conf: 100%
  COLPAL.NS       | Price: 1877.30 | Target: 1597.73 | Risk: LOW        | Conf: 100%
  3MINDIA.NS      | Price: 31560.00 | Target: 25899.29 | Risk: LOW        | Conf: 100%
  TORNTPOWER.NS   | Price: 1366.30 | Target: 1075.09 | Risk: LOW        | Conf: 100%
  TRENT.NS        | Price: 3365.60 | Target: 2735.39 | Risk: LOW        | Conf: 100%
  DEVYANI.NS      | Price:  102.18 | Target:   72.02 | Risk: LOW        | Conf: 100%
  BRIGADE.NS      | Price:  645.40 | Target:  510.24 | Risk: LOW        | Conf: 100%
  RECLTD.NS       | Price:  320.80 | Target:  251.63 | Risk: LOW        | Conf: 100%
  NAVINFLUOR.NS   | Price: 6184.50 | Target: 4975.39 | Risk: LOW        | Conf: 80%
  NMDC.NS         | Price:   76.77 | Target:   62.47 | Risk: LOW        | Conf: 100%
  JWL.NS          | Price:  259.60 | Target:  172.28 | Risk: LOW        | Conf: 100%
  JYOTICNC.NS     | Price:  744.90 | Target:  571.60 | Risk: LOW        | Conf: 100%
  JSWCEMENT.NS    | Price:  115.05 | Target:   94.62 | Risk: LOW        | Conf: 100%
  LEMONTREE.NS    | Price:  106.16 | Target:   85.61 | Risk: LOW        | Conf: 80%
  PIIND.NS        | Price: 2759.00 | Target: 2355.43 | Risk: LOW        | Conf: 100%
  MEDANTA.NS      | Price:  973.80 | Target:  806.98 | Risk: LOW        | Conf: 100%
  M&MFIN.NS       | Price:  306.20 | Target:  240.77 | Risk: LOW        | Conf: 100%
  GAIL.NS         | Price:  137.67 | Target:  108.51 | Risk: LOW        | Conf: 100%
  GLAND.NS        | Price: 1670.20 | Target: 1393.74 | Risk: LOW        | Conf: 80%
  MRF.NS          | Price: 127645.00 | Target: 108978.93 | Risk: LOW        | Conf: 100%
  ULTRACEMCO.NS   | Price: 10764.00 | Target: 8817.93 | Risk: LOW        | Conf: 100%
  HINDUNILVR.NS   | Price: 2085.00 | Target: 1836.64 | Risk: LOW        | Conf: 100%
  ALKEM.NS        | Price: 5297.00 | Target: 4641.82 | Risk: LOW        | Conf: 100%
  IRFC.NS         | Price:   92.87 | Target:   76.73 | Risk: LOW        | Conf: 100%
  SBIN.NS         | Price: 1030.80 | Target:  856.48 | Risk: LOW        | Conf: 100%
  PTCIL.NS        | Price: 16583.00 | Target: 13559.79 | Risk: LOW        | Conf: 100%
  BPCL.NS         | Price:  282.25 | Target:  213.04 | Risk: LOW        | Conf: 100%
  HAL.NS          | Price: 3654.00 | Target: 3062.79 | Risk: LOW        | Conf: 100%
  NETWEB.NS       | Price: 3198.90 | Target: 2387.54 | Risk: LOW        | Conf: 100%
  UNIONBANK.NS    | Price:  173.82 | Target:  137.65 | Risk: LOW        | Conf: 100%
  KAYNES.NS       | Price: 3514.30 | Target: 2655.05 | Risk: LOW        | Conf: 100%
  MANYAVAR.NS     | Price:  350.95 | Target:  263.74 | Risk: LOW        | Conf: 100%
  GRSE.NS         | Price: 2155.00 | Target: 1574.07 | Risk: LOW        | Conf: 100%
  JINDALSTEL.NS   | Price: 1120.60 | Target:  887.56 | Risk: LOW        | Conf: 100%
  HUDCO.NS        | Price:  169.16 | Target:  138.62 | Risk: LOW        | Conf: 100%
  HYUNDAI.NS      | Price: 1859.50 | Target: 1550.43 | Risk: LOW        | Conf: 100%
  TATACONSUM.NS   | Price: 1053.10 | Target:  915.56 | Risk: LOW        | Conf: 100%
  NSLNISP.NS      | Price:   34.91 | Target:   28.00 | Risk: LOW        | Conf: 100%
  LODHA.NS        | Price:  726.40 | Target:  550.28 | Risk: LOW        | Conf: 100%
  PIDILITIND.NS   | Price: 1332.20 | Target: 1111.34 | Risk: LOW        | Conf: 100%
  ENGINERSIN.NS   | Price:  187.34 | Target:  144.75 | Risk: LOW        | Conf: 100%
  ICICIBANK.NS    | Price: 1251.20 | Target: 1085.02 | Risk: LOW        | Conf: 100%
  SYNGENE.NS      | Price:  398.85 | Target:  331.62 | Risk: LOW        | Conf: 100%
  TCS.NS          | Price: 2398.80 | Target: 2094.12 | Risk: LOW        | Conf: 100%
  SAGILITY.NS     | Price:   37.32 | Target:   27.86 | Risk: LOW        | Conf: 100%
  IKS.NS          | Price: 1347.30 | Target: 1073.26 | Risk: LOW        | Conf: 100%
  ADANIENT.NS     | Price: 1817.90 | Target: 1485.97 | Risk: LOW        | Conf: 100%
  NESTLEIND.NS    | Price: 1183.20 | Target: 1050.66 | Risk: LOW        | Conf: 100%
  EXIDEIND.NS     | Price:  298.50 | Target:  250.25 | Risk: LOW        | Conf: 100%
  SCI.NS          | Price:  230.30 | Target:  163.16 | Risk: LOW        | Conf: 100%
  CONCORDBIO.NS   | Price: 1037.50 | Target:  767.14 | Risk: LOW        | Conf: 100%
  SBILIFE.NS      | Price: 1836.00 | Target: 1588.03 | Risk: LOW        | Conf: 100%
  AUBANK.NS       | Price:  877.50 | Target:  718.79 | Risk: LOW        | Conf: 100%
  GRASIM.NS       | Price: 2549.40 | Target: 2155.19 | Risk: LOW        | Conf: 100%
  GODREJCP.NS     | Price: 1006.90 | Target:  848.40 | Risk: LOW        | Conf: 100%
  MAZDOCK.NS      | Price: 2253.00 | Target: 1636.86 | Risk: LOW        | Conf: 100%
  MGL.NS          | Price:  922.40 | Target:  706.61 | Risk: LOW        | Conf: 100%
  BDL.NS          | Price: 1174.10 | Target:  886.60 | Risk: LOW        | Conf: 100%
  GICRE.NS        | Price:  357.30 | Target:  298.69 | Risk: LOW        | Conf: 100%
  AIAENG.NS       | Price: 3378.30 | Target: 2616.16 | Risk: LOW        | Conf: 100%
  ICICIGI.NS      | Price: 1730.10 | Target: 1512.21 | Risk: LOW        | Conf: 100%
  DALBHARAT.NS    | Price: 1792.90 | Target: 1437.19 | Risk: LOW        | Conf: 100%
  COFORGE.NS      | Price: 1110.10 | Target:  860.17 | Risk: LOW        | Conf: 100%
  VBL.NS          | Price:  388.35 | Target:  317.31 | Risk: LOW        | Conf: 100%
  NATIONALUM.NS   | Price:  354.65 | Target:  257.10 | Risk: LOW        | Conf: 100%
  CENTRALBK.NS    | Price:   33.06 | Target:   27.30 | Risk: LOW        | Conf: 100%
  APLAPOLLO.NS    | Price: 1974.40 | Target: 1555.90 | Risk: LOW        | Conf: 100%
  ZENSARTECH.NS   | Price:  544.60 | Target:  451.58 | Risk: LOW        | Conf: 100%
  SAPPHIRE.NS     | Price:  158.44 | Target:  110.35 | Risk: LOW        | Conf: 100%
  BHARTIARTL.NS   | Price: 1802.10 | Target: 1595.53 | Risk: LOW        | Conf: 100%
  BANKBARODA.NS   | Price:  270.50 | Target:  222.37 | Risk: LOW        | Conf: 100%
  NCC.NS          | Price:  136.16 | Target:  106.34 | Risk: LOW        | Conf: 100%
  IOB.NS          | Price:   32.44 | Target:   26.69 | Risk: LOW        | Conf: 100%
  DMART.NS        | Price: 3756.50 | Target: 3150.50 | Risk: LOW        | Conf: 100%
  KIRLOSBROS.NS   | Price: 1496.10 | Target: 1131.92 | Risk: LOW        | Conf: 100%
  IDBI.NS         | Price:   67.07 | Target:   37.68 | Risk: LOW        | Conf: 100%
  CDSL.NS         | Price: 1185.50 | Target:  985.32 | Risk: LOW        | Conf: 100%
  ADANIPORTS.NS   | Price: 1344.20 | Target: 1099.77 | Risk: LOW        | Conf: 100%
  PNBHOUSING.NS   | Price:  782.25 | Target:  622.98 | Risk: LOW        | Conf: 80%
  NIACL.NS        | Price:  124.72 | Target:  101.21 | Risk: LOW        | Conf: 100%
  GLAXO.NS        | Price: 2309.10 | Target: 1952.35 | Risk: LOW        | Conf: 100%
  SHREECEM.NS     | Price: 23325.00 | Target: 20035.71 | Risk: LOW        | Conf: 100%
  KEI.NS          | Price: 4126.00 | Target: 3124.21 | Risk: LOW        | Conf: 100%
  MANKIND.NS      | Price: 1987.80 | Target: 1636.16 | Risk: LOW        | Conf: 100%
  TITAN.NS        | Price: 3899.50 | Target: 3281.11 | Risk: LOW        | Conf: 100%
  MARUTI.NS       | Price: 12464.00 | Target: 10292.57 | Risk: LOW        | Conf: 100%
  HDFCLIFE.NS     | Price:  603.00 | Target:  515.16 | Risk: LOW        | Conf: 100%
  INDIAMART.NS    | Price: 1963.90 | Target: 1610.86 | Risk: LOW        | Conf: 100%
  JUBLFOOD.NS     | Price:  448.60 | Target:  366.81 | Risk: LOW        | Conf: 100%
  RKFORGE.NS      | Price:  481.30 | Target:  370.26 | Risk: LOW        | Conf: 100%
  INDIACEM.NS     | Price:  356.55 | Target:  289.05 | Risk: LOW        | Conf: 100%
  INDGN.NS        | Price:  444.10 | Target:  361.21 | Risk: LOW        | Conf: 80%
  AADHARHFC.NS    | Price:  462.80 | Target:  356.98 | Risk: LOW        | Conf: 100%
  ABCAPITAL.NS    | Price:  302.40 | Target:  243.40 | Risk: LOW        | Conf: 100%
  UCOBANK.NS      | Price:   23.98 | Target:   19.51 | Risk: LOW        | Conf: 100%
  TATACHEM.NS     | Price:  608.10 | Target:  520.56 | Risk: LOW        | Conf: 100%
  AMBUJACEM.NS    | Price:  407.55 | Target:  327.69 | Risk: LOW        | Conf: 100%
  YESBANK.NS      | Price:   18.07 | Target:   15.32 | Risk: LOW        | Conf: 100%
  IOC.NS          | Price:  138.70 | Target:  107.34 | Risk: LOW        | Conf: 100%
  WIPRO.NS        | Price:  188.74 | Target:  163.36 | Risk: LOW        | Conf: 100%
  IRCON.NS        | Price:  118.62 | Target:   84.77 | Risk: LOW        | Conf: 100%
  RVNL.NS         | Price:  258.45 | Target:  198.24 | Risk: LOW        | Conf: 100%
  RAILTEL.NS      | Price:  262.00 | Target:  199.78 | Risk: LOW        | Conf: 100%
  BEML.NS         | Price: 1446.80 | Target: 1112.73 | Risk: LOW        | Conf: 100%
  ACC.NS          | Price: 1334.30 | Target: 1125.94 | Risk: LOW        | Conf: 100%
  THELEELA.NS     | Price:  405.15 | Target:  319.54 | Risk: LOW        | Conf: 100%
  MARICO.NS       | Price:  739.10 | Target:  655.40 | Risk: LOW        | Conf: 100%
  PNB.NS          | Price:  107.26 | Target:   86.98 | Risk: LOW        | Conf: 100%
  HINDPETRO.NS    | Price:  336.80 | Target:  234.23 | Risk: LOW        | Conf: 100%
  BAJAJFINSV.NS   | Price: 1704.40 | Target: 1461.58 | Risk: LOW        | Conf: 100%
  DABUR.NS        | Price:  421.40 | Target:  359.31 | Risk: LOW        | Conf: 100%
  FLUOROCHEM.NS   | Price: 3199.10 | Target: 2522.49 | Risk: LOW        | Conf: 100%
  JIOFIN.NS       | Price:  232.70 | Target:  190.18 | Risk: LOW        | Conf: 80%
  LICI.NS         | Price:  758.70 | Target:  652.91 | Risk: LOW        | Conf: 100%
  ECLERX.NS       | Price: 1461.40 | Target: 1059.40 | Risk: LOW        | Conf: 100%
  KOTAKBANK.NS    | Price:  366.85 | Target:  317.42 | Risk: LOW        | Conf: 100%
  UPL.NS          | Price:  620.45 | Target:  526.24 | Risk: LOW        | Conf: 80%
