NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-08 19:05:47

BUY SIGNALS (217):
  JSWINFRA.NS     | Price:  283.65 | Entry:  277.98 | Target:  321.79 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  200.52 | Entry:  196.51 | Target:  254.15 | Risk: LOW       
  KPEL.NS         | Price:  405.20 | Entry:   397.1 | Target:  504.95 | Risk: LOW       
  EPACKPEB.NS     | Price:  207.60 | Entry:  203.45 | Target:  261.67 | Risk: LOW       
  JTLIND.NS       | Price:   81.60 | Entry:   79.97 | Target:  105.62 | Risk: LOW       
  DIGITIDE.NS     | Price:   99.75 | Entry:   97.75 | Target:  122.59 | Risk: LOW       
  SERVOTECH.NS    | Price:   95.05 | Entry:   93.15 | Target:  119.88 | Risk: LOW       
  KMEW.NS         | Price: 2126.90 | Entry: 2084.36 | Target: 2736.47 | Risk: LOW       
  SCILAL.NS       | Price:   52.94 | Entry:   51.88 | Target:   63.68 | Risk: LOW       
  GVPIL.NS        | Price:  646.35 | Entry:  633.42 | Target:  819.31 | Risk: LOW       
  SGFIN.NS        | Price:  598.65 | Entry:  586.68 | Target:  750.38 | Risk: LOW       
  YASHO.NS        | Price: 1551.60 | Entry: 1520.57 | Target: 1818.81 | Risk: LOW       
  ADOR.NS         | Price: 1078.00 | Entry: 1056.44 | Target: 1313.84 | Risk: LOW       
  TINNARUBR.NS    | Price:  836.70 | Entry:  819.97 | Target: 1021.74 | Risk: LOW       
  PUNJABCHEM.NS   | Price: 1123.20 | Entry: 1100.74 | Target: 1333.86 | Risk: LOW       
  AIMTRON.NS      | Price: 1097.90 | Entry: 1075.94 | Target: 1402.88 | Risk: LOW       
  MASTERTR.NS     | Price:   90.18 | Entry:   88.38 | Target:  109.49 | Risk: LOW       
  BIRLANU.NS      | Price: 1592.40 | Entry: 1560.55 | Target: 1946.15 | Risk: LOW       
  CIFL.NS         | Price:   30.10 | Entry:    29.5 | Target:   38.85 | Risk: LOW       
  VMARCIND.NS     | Price: 1006.40 | Entry:  986.27 | Target: 1259.92 | Risk: LOW       
  BOROSCI.NS      | Price:  120.62 | Entry:  118.21 | Target:  140.54 | Risk: LOW       
  BLUSPRING.NS    | Price:   68.85 | Entry:   67.47 | Target:   84.41 | Risk: LOW       
  ANTELOPUS.NS    | Price:  663.10 | Entry:  649.84 | Target:  861.51 | Risk: LOW       
  GGBL.NS         | Price:  335.50 | Entry:  328.79 | Target:  413.39 | Risk: LOW       
  AEROENTER.NS    | Price:  109.45 | Entry:  107.26 | Target:  137.27 | Risk: LOW       
  BHARATSE.NS     | Price:  203.97 | Entry:  199.89 | Target:  255.37 | Risk: LOW       
  DENTALKART.NS   | Price:  430.10 | Entry:   421.5 | Target:  563.85 | Risk: LOW       
  CNL.NS          | Price:  631.95 | Entry:  619.31 | Target:  765.49 | Risk: LOW       
  BASILIC.NS      | Price:  240.40 | Entry:  235.59 | Target:  295.19 | Risk: LOW       
  SASTASUNDR.NS   | Price:  289.95 | Entry:  284.15 | Target:  338.84 | Risk: LOW       
  REMUS.NS        | Price:  746.90 | Entry:  731.96 | Target:  899.70 | Risk: LOW       
  UFBL.NS         | Price:  384.20 | Entry:  376.52 | Target:  483.03 | Risk: LOW       
  BESTAGRO.NS     | Price:   19.64 | Entry:   19.25 | Target:   25.68 | Risk: LOW       
  ANUHPHR.NS      | Price:   83.66 | Entry:   81.99 | Target:   98.16 | Risk: LOW       
  ZTECH.NS        | Price:  619.30 | Entry:  606.91 | Target:  717.10 | Risk: LOW       
  TECHLABS.NS     | Price:  234.50 | Entry:  229.81 | Target:  295.91 | Risk: LOW       
  ATL.NS          | Price:   28.02 | Entry:   27.46 | Target:   33.28 | Risk: LOW       
  TREL.NS         | Price:   28.62 | Entry:   28.05 | Target:   34.32 | Risk: LOW       
  CELLECOR.NS     | Price:   41.30 | Entry:   40.47 | Target:   52.07 | Risk: LOW       
  ACCENTMIC.NS    | Price:  459.95 | Entry:  450.75 | Target:  539.86 | Risk: LOW       
  DBEIL.NS        | Price:   83.61 | Entry:   81.94 | Target:  105.02 | Risk: LOW       
  BAHETI.NS       | Price:  604.60 | Entry:  592.51 | Target:  713.96 | Risk: LOW       
  EMAMIPAP.NS     | Price:   81.46 | Entry:   79.83 | Target:  100.12 | Risk: LOW       
  VINSYS.NS       | Price:  325.00 | Entry:   318.5 | Target:  394.75 | Risk: LOW       
  DPEL.NS         | Price:  510.60 | Entry:  500.39 | Target:  593.96 | Risk: LOW       
  EFFWA.NS        | Price:  274.95 | Entry:  269.45 | Target:  348.99 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  266.15 | Entry:  260.83 | Target:  339.31 | Risk: LOW       
  ATMASTCO.NS     | Price:  178.50 | Entry:  174.93 | Target:  220.96 | Risk: LOW       
  ABSMARINE.NS    | Price:  243.15 | Entry:  238.29 | Target:  307.40 | Risk: LOW       
  SRGHFL.NS       | Price:  300.15 | Entry:  294.15 | Target:  385.54 | Risk: LOW       
  PCCL.NS         | Price:  294.15 | Entry:  288.27 | Target:  356.19 | Risk: LOW       
  TIGERLOGS.NS    | Price:   47.14 | Entry:    46.2 | Target:   61.92 | Risk: LOW       
  VISHNUINFR.NS   | Price:  177.70 | Entry:  174.15 | Target:  209.06 | Risk: LOW       
  SHIVAUM.NS      | Price:  351.00 | Entry:  343.98 | Target:  421.21 | Risk: LOW       
  INFINIUM.NS     | Price:  214.50 | Entry:  210.21 | Target:  254.36 | Risk: LOW       
  SHREEKARNI.NS   | Price:  452.05 | Entry:  443.01 | Target:  520.55 | Risk: LOW       
  SYSTANGO.NS     | Price:  280.25 | Entry:  274.64 | Target:  332.82 | Risk: LOW       
  VGL.NS          | Price:   60.79 | Entry:   59.57 | Target:   79.73 | Risk: LOW       
  PROV.NS         | Price: 1320.00 | Entry:  1293.6 | Target: 1529.20 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1643.30 | Entry: 1610.43 | Target: 2078.30 | Risk: LOW       
  EFACTOR.NS      | Price:  248.00 | Entry:  243.04 | Target:  301.43 | Risk: LOW       
  SKP.NS          | Price:  160.00 | Entry:   156.8 | Target:  187.93 | Risk: LOW       
  SHERA.NS        | Price:  160.50 | Entry:  157.29 | Target:  192.09 | Risk: LOW       
  DIAMINESQ.NS    | Price:  279.35 | Entry:  273.76 | Target:  356.79 | Risk: LOW       
  SAAKSHI.NS      | Price:  264.05 | Entry:  258.77 | Target:  319.82 | Risk: LOW       
  JAINAM.NS       | Price:  281.80 | Entry:  276.16 | Target:  320.51 | Risk: LOW       
  PRIZOR.NS       | Price:  715.15 | Entry:  700.85 | Target:  892.36 | Risk: LOW       
  UCAL.NS         | Price:  108.80 | Entry:  106.62 | Target:  128.85 | Risk: LOW       
  UYFINCORP.NS    | Price:   14.59 | Entry:    14.3 | Target:   17.19 | Risk: LOW       
  YASHOPTICS.NS   | Price:  127.50 | Entry:  124.95 | Target:  148.09 | Risk: LOW       
  GSMFOILS.NS     | Price:  207.70 | Entry:  203.55 | Target:  272.36 | Risk: LOW       
  NDLVENTURE.NS   | Price:  125.79 | Entry:  123.27 | Target:  158.85 | Risk: LOW       
  RVTH.NS         | Price:  681.00 | Entry:  667.38 | Target:  870.00 | Risk: LOW       
  CHAVDA.NS       | Price:  106.70 | Entry:  104.57 | Target:  124.29 | Risk: LOW       
  MADHAVBAUG.NS   | Price:  258.80 | Entry:  253.62 | Target:  352.73 | Risk: LOW       
  PRATHAM.NS      | Price:  142.90 | Entry:  140.04 | Target:  181.01 | Risk: LOW       
  ANLON.NS        | Price:  586.55 | Entry:  574.82 | Target:  713.98 | Risk: LOW       
  ESCONET.NS      | Price:  150.90 | Entry:  147.88 | Target:  190.19 | Risk: LOW       
  COMMITTED.NS    | Price:  293.00 | Entry:  287.14 | Target:  351.00 | Risk: LOW       
  SHAH.NS         | Price:    5.78 | Entry:    5.66 | Target:    6.81 | Risk: LOW       
  FIDEL.NS        | Price:  190.00 | Entry:   186.2 | Target:  240.96 | Risk: LOW       
  NEPHROCARE.NS   | Price:   87.70 | Entry:   85.95 | Target:  110.41 | Risk: LOW       
  PRITIKA.NS      | Price:   70.90 | Entry:   69.48 | Target:   84.19 | Risk: LOW       
  GRCL.NS         | Price:  511.55 | Entry:  501.32 | Target:  597.73 | Risk: LOW       
  AKIKO.NS        | Price:  281.60 | Entry:  275.97 | Target:  341.15 | Risk: LOW       
  WINSOL.NS       | Price:  148.00 | Entry:  145.04 | Target:  174.98 | Risk: LOW       
  IBULLSLTD.NS    | Price:   19.93 | Entry:   19.53 | Target:   26.33 | Risk: LOW       
  KAVDEFENCE.NS   | Price:   69.38 | Entry:   67.99 | Target:   84.70 | Risk: LOW       
  PROPEQUITY.NS   | Price:  214.95 | Entry:  210.65 | Target:  232.99 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  158.00 | Entry:  154.84 | Target:  188.09 | Risk: LOW       
  ENFUSE.NS       | Price:  206.00 | Entry:  201.88 | Target:  224.68 | Risk: LOW       
  DENEERS.NS      | Price:  202.75 | Entry:  198.69 | Target:  251.61 | Risk: LOW       
  TUNWAL.NS       | Price:   35.10 | Entry:    34.4 | Target:   41.05 | Risk: LOW       
  SHRITECH.NS     | Price:   66.20 | Entry:   64.88 | Target:   72.65 | Risk: LOW       
  QMSMEDI.NS      | Price:   89.00 | Entry:   87.22 | Target:  109.93 | Risk: LOW       
  DOLLEX.NS       | Price:   31.85 | Entry:   31.21 | Target:   37.72 | Risk: LOW       
  IBLFL.NS        | Price:   67.00 | Entry:   65.66 | Target:   80.30 | Risk: LOW       
  UMIYA-MRO.NS    | Price:   90.48 | Entry:   88.67 | Target:  107.62 | Risk: LOW       
  GLOBALPET.NS    | Price:  135.70 | Entry:  132.99 | Target:  155.52 | Risk: LOW       
  USASEEDS.NS     | Price:  108.95 | Entry:  106.77 | Target:  112.50 | Risk: LOW       
  SHEETAL.NS      | Price:  260.60 | Entry:  255.39 | Target:  283.64 | Risk: LOW       
  QUESTLAB.NS     | Price:  136.65 | Entry:  133.92 | Target:  172.20 | Risk: LOW       
  VEEKAYEM.NS     | Price:  149.90 | Entry:   146.9 | Target:  186.36 | Risk: LOW       
  MASTER.NS       | Price:  368.20 | Entry:  360.84 | Target:  402.56 | Risk: LOW       
  GREENCHEF.NS    | Price:   52.50 | Entry:   51.45 | Target:   58.79 | Risk: LOW       
  REXPIPES.NS     | Price:  202.00 | Entry:  197.96 | Target:  208.59 | Risk: LOW       
  TRU.NS          | Price:    6.42 | Entry:    6.29 | Target:    8.16 | Risk: LOW       
  URBAN.NS        | Price:  157.05 | Entry:  153.91 | Target:  180.92 | Risk: LOW       
  SHIGAN.NS       | Price:   72.55 | Entry:    71.1 | Target:   90.93 | Risk: LOW       
  SURANI.NS       | Price:  136.00 | Entry:  133.28 | Target:  148.02 | Risk: LOW       
  DELAPLEX.NS     | Price:  137.75 | Entry:   135.0 | Target:  172.96 | Risk: LOW       
  SIDDHIKA.NS     | Price:  232.00 | Entry:  227.36 | Target:  244.80 | Risk: LOW       
  OMFURN.NS       | Price:   65.50 | Entry:   64.19 | Target:   80.00 | Risk: LOW       
  DCG.NS          | Price:   72.75 | Entry:    71.3 | Target:   91.12 | Risk: LOW       
  BEACON.NS       | Price:  104.00 | Entry:  101.92 | Target:  141.16 | Risk: LOW       
  DTL.NS          | Price:  126.05 | Entry:  123.53 | Target:  132.62 | Risk: LOW       
  MAHICKRA.NS     | Price:  244.35 | Entry:  239.46 | Target:  270.71 | Risk: LOW       
  OLIL.NS         | Price:  478.00 | Entry:  468.44 | Target:  608.77 | Risk: LOW       
  KLL.NS          | Price:   41.00 | Entry:   40.18 | Target:   55.29 | Risk: LOW       
  HOLMARC.NS      | Price:  101.65 | Entry:   99.62 | Target:  120.38 | Risk: LOW       
  HOACFOODS.NS    | Price:  484.45 | Entry:  474.76 | Target:  568.72 | Risk: LOW       
  MARC.NS         | Price:   92.75 | Entry:   90.89 | Target:  119.98 | Risk: LOW       
  PATTECH.NS      | Price:  116.85 | Entry:  114.51 | Target:  130.24 | Risk: LOW       
  PARAGON.NS      | Price:   50.25 | Entry:   49.24 | Target:   62.87 | Risk: LOW       
  NIRMAN.NS       | Price:   53.40 | Entry:   52.33 | Target:   65.95 | Risk: LOW       
  SILKFLEX.NS     | Price:  204.00 | Entry:  199.92 | Target:  258.96 | Risk: LOW       
  KANDARP.NS      | Price:  150.00 | Entry:   147.0 | Target:  190.25 | Risk: LOW       
  MHHL.NS         | Price:   42.55 | Entry:    41.7 | Target:   50.84 | Risk: LOW       
  SANGANI.NS      | Price:   54.90 | Entry:    53.8 | Target:   59.86 | Risk: LOW       
  PARTYCRUS.NS    | Price:   94.25 | Entry:   92.36 | Target:  107.23 | Risk: LOW       
  FCONSUMER.NS    | Price:    0.35 | Entry:    0.34 | Target:    0.37 | Risk: LOW       
  HGM.NS          | Price:   61.42 | Entry:   60.19 | Target:   80.80 | Risk: LOW       
  ARISTO.NS       | Price:  122.00 | Entry:  119.56 | Target:  138.64 | Risk: LOW       
  SRIVASAVI.NS    | Price:   61.75 | Entry:   60.52 | Target:   70.91 | Risk: LOW       
  ONDOOR.NS       | Price:  178.35 | Entry:  174.78 | Target:  211.65 | Risk: LOW       
  K2INFRA.NS      | Price:   63.10 | Entry:   61.84 | Target:   79.21 | Risk: LOW       
  AMEYA.NS        | Price:  115.50 | Entry:  113.19 | Target:  131.79 | Risk: LOW       
  ASLIND.NS       | Price:  120.00 | Entry:   117.6 | Target:  131.93 | Risk: LOW       
  GATECH.NS       | Price:    0.51 | Entry:     0.5 | Target:    0.61 | Risk: LOW       
  SWASTIK.NS      | Price:   24.00 | Entry:   23.52 | Target:   28.00 | Risk: LOW       
  GRAPHISAD.NS    | Price:   34.70 | Entry:   34.01 | Target:   39.61 | Risk: LOW       
  DHANLAXMI.NS    | Price:   35.80 | Entry:   35.08 | Target:   48.03 | Risk: LOW       
  CADSYS.NS       | Price:   69.95 | Entry:   68.55 | Target:   86.75 | Risk: LOW       
  SEL.NS          | Price:  196.35 | Entry:  192.42 | Target:  223.24 | Risk: LOW       
  MCON.NS         | Price:   57.05 | Entry:   55.91 | Target:   65.69 | Risk: LOW       
  VISHWAS.NS      | Price:   56.20 | Entry:   55.08 | Target:   64.63 | Risk: LOW       
  RULKA.NS        | Price:  116.55 | Entry:  114.22 | Target:  156.37 | Risk: LOW       
  UCL.NS          | Price:  132.50 | Entry:  129.85 | Target:  146.02 | Risk: LOW       
  ITALIANE.NS     | Price:   40.80 | Entry:   39.98 | Target:   44.91 | Risk: LOW       
  MILTON.NS       | Price:   49.85 | Entry:   48.85 | Target:   50.67 | Risk: LOW       
  UMA.NS          | Price:   20.75 | Entry:   20.34 | Target:   24.45 | Risk: LOW       
  AATMAJ.NS       | Price:   20.30 | Entry:   19.89 | Target:   22.09 | Risk: LOW       
  RADIOWALLA.NS   | Price:   38.35 | Entry:   37.58 | Target:   46.28 | Risk: LOW       
  AGARWALFT.NS    | Price:   39.60 | Entry:   38.81 | Target:   46.24 | Risk: LOW       
  MONOPHARMA.NS   | Price:   13.10 | Entry:   12.84 | Target:   14.35 | Risk: LOW       
  KSR.NS          | Price:   37.25 | Entry:   36.51 | Target:   46.63 | Risk: LOW       
  SATIPOLY.NS     | Price:   40.00 | Entry:    39.2 | Target:   45.11 | Risk: LOW       
  TAPIFRUIT.NS    | Price:   60.00 | Entry:    58.8 | Target:   64.25 | Risk: LOW       
  VILINBIO.NS     | Price:   47.05 | Entry:   46.11 | Target:   52.14 | Risk: LOW       
  ASPIRE.NS       | Price:   17.35 | Entry:    17.0 | Target:   20.39 | Risk: LOW       
  MICROPRO.NS     | Price:   20.10 | Entry:    19.7 | Target:   22.30 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    4.16 | Entry:    4.08 | Target:    5.01 | Risk: LOW       
  AILIMITED.NS    | Price:   44.50 | Entry:   43.61 | Target:   48.43 | Risk: LOW       
  YCCL.NS         | Price:   11.00 | Entry:   10.78 | Target:   12.09 | Risk: LOW       
  CMRSL.NS        | Price:   80.40 | Entry:   78.79 | Target:   84.47 | Risk: LOW       
  INSPIRE.NS      | Price:   11.65 | Entry:   11.42 | Target:   14.47 | Risk: LOW       
  DHTL.NS         | Price:   44.10 | Entry:   43.22 | Target:   45.56 | Risk: LOW       
  MARINETRAN.NS   | Price:   18.50 | Entry:   18.13 | Target:   19.09 | Risk: LOW       
  JIWANRAM.NS     | Price:    5.45 | Entry:    5.34 | Target:    6.04 | Risk: LOW       
  RITEZONE.NS     | Price:   25.00 | Entry:    24.5 | Target:   28.38 | Risk: LOW       
  BGLOBAL.NS      | Price:    3.24 | Entry:    3.18 | Target:    3.44 | Risk: LOW       
  CLCIND.NS       | Price:   26.05 | Entry:   25.53 | Target:   26.91 | Risk: LOW       

HOLD SIGNALS (2343):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBIN.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INFY.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJFINANCE.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDUNILVR.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LICI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LT.NS           | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ITC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARUTI.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  M&M.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HCLTECH.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  KOTAKBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SUNPHARMA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AXISBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ULTRACEMCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJFINSV.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TITAN.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NTPC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPORTS.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ONGC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ETERNAL.NS      | Price:  256.39 | Trend:   5.48% | Mom:  -1.36% | Risk: LOW       
  BEL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENT.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DMART.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JSWSTEEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WIPRO.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POWERGRID.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ASIANPAINT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  COALINDIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NESTLEIND.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIGO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IOC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATASTEEL.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMPV.NS         | Price:  355.45 | Trend:   4.11% | Mom:   0.99% | Risk: LOW       
  HINDZINC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JIOFIN.NS       | Price:  249.34 | Trend:   2.73% | Mom:   0.27% | Risk: LOW       
  HYUNDAI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GRASIM.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBILIFE.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VEDL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: NORMAL    
  DLF.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  EICHERMOT.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TRENT.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDALCO.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIVISLAB.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCLIFE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IRFC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIGREEN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VBL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TVSMOTOR.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PIDILITIND.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BPCL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TECHM.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJHLDNG.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BRITANNIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AMBUJACEM.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATACAP.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BANKBARODA.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CHOLAFIN.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
