NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-16 19:10:20

BUY SIGNALS (297):
  TMPV.NS         | Price:  356.30 | Entry:  349.17 | Target:  416.94 | Risk: LOW       
  AVL.NS          | Price:  517.25 | Entry:   506.9 | Target:  613.14 | Risk: LOW       
  SAATVIKGL.NS    | Price:  470.95 | Entry:  461.53 | Target:  580.34 | Risk: LOW       
  TVSSCS.NS       | Price:  112.43 | Entry:  110.18 | Target:  137.24 | Risk: LOW       
  BANSALWIRE.NS   | Price:  303.47 | Entry:   297.4 | Target:  385.24 | Risk: LOW       
  ZAGGLE.NS       | Price:  264.13 | Entry:  258.85 | Target:  342.00 | Risk: LOW       
  ORIANA.NS       | Price: 2021.15 | Entry: 1980.73 | Target: 2602.70 | Risk: LOW       
  SMLMAH.NS       | Price: 4346.50 | Entry: 4259.57 | Target: 5428.61 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1328.90 | Entry: 1302.32 | Target: 1706.61 | Risk: LOW       
  CEIGALL.NS      | Price:  300.20 | Entry:   294.2 | Target:  352.25 | Risk: LOW       
  GUJTHEM.NS      | Price:  303.85 | Entry:  297.77 | Target:  387.41 | Risk: LOW       
  AVANTEL.NS      | Price:  155.22 | Entry:  152.12 | Target:  192.83 | Risk: LOW       
  RAYMONDREL.NS   | Price:  455.05 | Entry:  445.95 | Target:  579.53 | Risk: LOW       
  TRUALT.NS       | Price:  419.50 | Entry:  411.11 | Target:  504.66 | Risk: LOW       
  JUBLCPL.NS      | Price: 1856.50 | Entry: 1819.37 | Target: 2554.46 | Risk: LOW       
  SUNCLAY.NS      | Price: 1410.20 | Entry:  1382.0 | Target: 1786.07 | Risk: LOW       
  SWANDEF.NS      | Price: 1941.50 | Entry: 1902.67 | Target: 2452.54 | Risk: LOW       
  PRABHA.NS       | Price:  163.02 | Entry:  159.76 | Target:  207.05 | Risk: LOW       
  SUNDROP.NS      | Price:  636.75 | Entry:  624.01 | Target:  770.14 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  179.10 | Entry:  175.52 | Target:  225.91 | Risk: LOW       
  KPEL.NS         | Price:  336.40 | Entry:  329.67 | Target:  420.27 | Risk: LOW       
  ALPEXSOLAR.NS   | Price: 1021.70 | Entry: 1001.27 | Target: 1291.04 | Risk: LOW       
  EPACKPEB.NS     | Price:  188.32 | Entry:  184.55 | Target:  244.91 | Risk: LOW       
  JTLIND.NS       | Price:   67.21 | Entry:   65.87 | Target:   93.96 | Risk: LOW       
  DIGITIDE.NS     | Price:   97.30 | Entry:   95.35 | Target:  132.22 | Risk: LOW       
  SERVOTECH.NS    | Price:   84.19 | Entry:   82.51 | Target:  108.07 | Risk: LOW       
  KMEW.NS         | Price: 1833.80 | Entry: 1797.12 | Target: 2301.44 | Risk: LOW       
  ROSSTECH.NS     | Price:  959.70 | Entry:  940.51 | Target: 1218.63 | Risk: LOW       
  SCILAL.NS       | Price:   45.83 | Entry:   44.91 | Target:   57.94 | Risk: LOW       
  GVPIL.NS        | Price:  504.55 | Entry:  494.46 | Target:  613.71 | Risk: LOW       
  SGFIN.NS        | Price:  516.70 | Entry:  506.37 | Target:  665.25 | Risk: LOW       
  YASHO.NS        | Price: 1526.90 | Entry: 1496.36 | Target: 1937.40 | Risk: LOW       
  WAAREEINDO.NS   | Price:  490.60 | Entry:  480.79 | Target:  612.74 | Risk: LOW       
  SOLEX.NS        | Price: 1290.25 | Entry: 1264.44 | Target: 1673.46 | Risk: LOW       
  TINNARUBR.NS    | Price:  689.65 | Entry:  675.86 | Target:  881.92 | Risk: LOW       
  AIMTRON.NS      | Price:  971.65 | Entry:  952.22 | Target: 1226.97 | Risk: LOW       
  VINYAS.NS       | Price: 1060.30 | Entry: 1039.09 | Target: 1396.18 | Risk: LOW       
  ALLDIGI.NS      | Price:  842.85 | Entry:  825.99 | Target: 1033.69 | Risk: LOW       
  VMARCIND.NS     | Price:  852.85 | Entry:  835.79 | Target: 1127.58 | Risk: LOW       
  TAC.NS          | Price:  561.90 | Entry:  550.66 | Target:  740.78 | Risk: LOW       
  BOROSCI.NS      | Price:  116.45 | Entry:  114.12 | Target:  142.12 | Risk: LOW       
  BAJAJINDEF.NS   | Price:  292.79 | Entry:  286.93 | Target:  385.03 | Risk: LOW       
  STLNETWORK.NS   | Price:   25.10 | Entry:    24.6 | Target:   32.81 | Risk: LOW       
  VILAS.NS        | Price:  414.10 | Entry:  405.82 | Target:  538.64 | Risk: LOW       
  RACLGEAR.NS     | Price: 1386.30 | Entry: 1358.57 | Target: 1790.59 | Risk: LOW       
  BLUSPRING.NS    | Price:   67.19 | Entry:   65.85 | Target:   92.12 | Risk: LOW       
  ANTELOPUS.NS    | Price:  594.25 | Entry:  582.37 | Target:  790.91 | Risk: LOW       
  GGBL.NS         | Price:  316.05 | Entry:  309.73 | Target:  421.28 | Risk: LOW       
  AEROENTER.NS    | Price:   88.59 | Entry:   86.82 | Target:  111.76 | Risk: LOW       
  BHARATSE.NS     | Price:  185.24 | Entry:  181.54 | Target:  244.09 | Risk: LOW       
  KARNIKA.NS      | Price:  135.95 | Entry:  133.23 | Target:  165.99 | Risk: LOW       
  APS.NS          | Price:  366.55 | Entry:  359.22 | Target:  483.14 | Risk: LOW       
  BASILIC.NS      | Price:  234.80 | Entry:   230.1 | Target:  315.35 | Risk: LOW       
  COOLCAPS.NS     | Price:   32.55 | Entry:    31.9 | Target:   42.07 | Risk: LOW       
  UFBL.NS         | Price:  314.28 | Entry:  307.99 | Target:  427.73 | Risk: LOW       
  BESTAGRO.NS     | Price:   19.53 | Entry:   19.14 | Target:   24.09 | Risk: LOW       
  ANUHPHR.NS      | Price:   82.70 | Entry:   81.05 | Target:  101.07 | Risk: LOW       
  VIVIANA.NS      | Price:  754.15 | Entry:  739.07 | Target:  973.54 | Risk: LOW       
  ARFIN.NS        | Price:   94.25 | Entry:   92.36 | Target:  116.70 | Risk: LOW       
  ZTECH.NS        | Price:  559.15 | Entry:  547.97 | Target:  672.44 | Risk: LOW       
  TECHLABS.NS     | Price:  235.60 | Entry:  230.89 | Target:  293.49 | Risk: LOW       
  ATL.NS          | Price:   26.12 | Entry:    25.6 | Target:   34.88 | Risk: LOW       
  ESFL.NS         | Price:  137.75 | Entry:   135.0 | Target:  172.20 | Risk: LOW       
  TREL.NS         | Price:   28.97 | Entry:   28.39 | Target:   34.84 | Risk: LOW       
  CELLECOR.NS     | Price:   31.00 | Entry:   30.38 | Target:   41.88 | Risk: LOW       
  ACCENTMIC.NS    | Price:  438.70 | Entry:  429.93 | Target:  545.63 | Risk: LOW       
  GPECO.NS        | Price:  379.65 | Entry:  372.06 | Target:  512.97 | Risk: LOW       
  OCCLLTD.NS      | Price:   96.48 | Entry:   94.55 | Target:  122.61 | Risk: LOW       
  SJLOGISTIC.NS   | Price:  315.95 | Entry:  309.63 | Target:  437.74 | Risk: LOW       
  ZODIAC.NS       | Price:  290.29 | Entry:  284.48 | Target:  398.21 | Risk: LOW       
  VINSYS.NS       | Price:  336.95 | Entry:  330.21 | Target:  473.93 | Risk: LOW       
  ALLETEC.NS      | Price:  178.20 | Entry:  174.64 | Target:  249.31 | Risk: LOW       
  HILINFRA.NS     | Price:   54.88 | Entry:   53.78 | Target:   69.53 | Risk: LOW       
  ANNAPURNA.NS    | Price:  182.50 | Entry:  178.85 | Target:  258.20 | Risk: LOW       
  TRANSWORLD.NS   | Price:  154.71 | Entry:  151.62 | Target:  202.08 | Risk: LOW       
  DPEL.NS         | Price:  445.55 | Entry:  436.64 | Target:  534.87 | Risk: LOW       
  EFFWA.NS        | Price:  222.50 | Entry:  218.05 | Target:  292.41 | Risk: LOW       
  MEGATHERM.NS    | Price:  243.50 | Entry:  238.63 | Target:  308.02 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  208.85 | Entry:  204.67 | Target:  277.26 | Risk: LOW       
  CGRAPHICS.NS    | Price:  170.45 | Entry:  167.04 | Target:  236.66 | Risk: LOW       
  ATMASTCO.NS     | Price:  150.65 | Entry:  147.64 | Target:  216.94 | Risk: LOW       
  ABSMARINE.NS    | Price:  192.60 | Entry:  188.75 | Target:  262.60 | Risk: LOW       
  HIGREEN.NS      | Price:  141.65 | Entry:  138.82 | Target:  187.61 | Risk: LOW       
  SAHAJSOLAR.NS   | Price:  144.55 | Entry:  141.66 | Target:  205.42 | Risk: LOW       
  ORIENTCER.NS    | Price:   42.65 | Entry:    41.8 | Target:   55.08 | Risk: LOW       
  LORDSCHLO.NS    | Price:  156.83 | Entry:  153.69 | Target:  209.09 | Risk: LOW       
  SRGHFL.NS       | Price:  282.63 | Entry:  276.98 | Target:  361.15 | Risk: LOW       
  PCCL.NS         | Price:  260.95 | Entry:  255.73 | Target:  313.68 | Risk: LOW       
  RBMINFRA.NS     | Price:  412.45 | Entry:   404.2 | Target:  566.13 | Risk: LOW       
  SWARAJ.NS       | Price:  293.10 | Entry:  287.24 | Target:  341.40 | Risk: LOW       
  TIGERLOGS.NS    | Price:   32.11 | Entry:   31.47 | Target:   43.39 | Risk: LOW       
  FILATFASH.NS    | Price:    0.24 | Entry:    0.24 | Target:    0.30 | Risk: LOW       
  RUBFILA.NS      | Price:   69.50 | Entry:   68.11 | Target:   85.09 | Risk: LOW       
  INFOLLION.NS    | Price:  325.70 | Entry:  319.19 | Target:  418.59 | Risk: LOW       
  VISHNUINFR.NS   | Price:  168.00 | Entry:  164.64 | Target:  222.64 | Risk: LOW       
  AVPINFRA.NS     | Price:  104.70 | Entry:  102.61 | Target:  135.79 | Risk: LOW       
  PHANTOMFX.NS    | Price:  209.95 | Entry:  205.75 | Target:  267.34 | Risk: LOW       
  SHREEKARNI.NS   | Price:  426.15 | Entry:  417.63 | Target:  533.92 | Risk: LOW       
  SYSTANGO.NS     | Price:  281.25 | Entry:  275.62 | Target:  364.43 | Risk: LOW       
  VGL.NS          | Price:   62.89 | Entry:   61.63 | Target:   94.77 | Risk: LOW       
  PROV.NS         | Price: 1317.10 | Entry: 1290.76 | Target: 1576.40 | Risk: LOW       
  BALAJEE.NS      | Price:   33.10 | Entry:   32.44 | Target:   45.47 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1280.50 | Entry: 1254.89 | Target: 1534.82 | Risk: LOW       
  CMNL.NS         | Price:  112.00 | Entry:  109.76 | Target:  136.14 | Risk: LOW       
  VLEGOV.NS       | Price:   15.84 | Entry:   15.52 | Target:   20.51 | Risk: LOW       
  MASON.NS        | Price:  164.00 | Entry:  160.72 | Target:  214.46 | Risk: LOW       
  AFFORDABLE.NS   | Price:  184.43 | Entry:  180.74 | Target:  248.80 | Risk: LOW       
  FROG.NS         | Price:  173.15 | Entry:  169.69 | Target:  247.42 | Risk: LOW       
  SHERA.NS        | Price:  131.00 | Entry:  128.38 | Target:  166.95 | Risk: LOW       
  DIAMINESQ.NS    | Price:  264.30 | Entry:  259.01 | Target:  344.45 | Risk: LOW       
  SAAKSHI.NS      | Price:  198.80 | Entry:  194.82 | Target:  244.82 | Risk: LOW       
  AFIL.NS         | Price:    9.55 | Entry:    9.36 | Target:   12.03 | Risk: LOW       
  PRIZOR.NS       | Price:  468.75 | Entry:  459.38 | Target:  590.80 | Risk: LOW       
  UNIHEALTH.NS    | Price:  460.95 | Entry:  451.73 | Target:  581.72 | Risk: LOW       
  KRISHCA.NS      | Price:  177.35 | Entry:   173.8 | Target:  246.76 | Risk: LOW       
  GOYALSALT.NS    | Price:  124.50 | Entry:  122.01 | Target:  160.71 | Risk: LOW       
  KCEIL.NS        | Price:  129.40 | Entry:  126.81 | Target:  177.67 | Risk: LOW       
  UYFINCORP.NS    | Price:   14.40 | Entry:   14.11 | Target:   18.83 | Risk: LOW       
  YASHOPTICS.NS   | Price:  121.00 | Entry:  118.58 | Target:  146.68 | Risk: LOW       
  GSMFOILS.NS     | Price:  207.00 | Entry:  202.86 | Target:  271.96 | Risk: LOW       
  NDLVENTURE.NS   | Price:  122.34 | Entry:  119.89 | Target:  150.25 | Risk: LOW       
  RVTH.NS         | Price:  635.55 | Entry:  622.84 | Target:  803.59 | Risk: LOW       
  DUGLOBAL.NS     | Price:   36.90 | Entry:   36.16 | Target:   50.01 | Risk: LOW       
  RBS.NS          | Price:   98.90 | Entry:   96.92 | Target:  134.56 | Risk: LOW       
  KDL.NS          | Price:  148.25 | Entry:  145.28 | Target:  184.80 | Risk: LOW       
  PRATHAM.NS      | Price:  138.00 | Entry:  135.24 | Target:  198.05 | Risk: LOW       
  FELIX.NS        | Price:  189.50 | Entry:  185.71 | Target:  246.50 | Risk: LOW       
  ANLON.NS        | Price:  404.00 | Entry:  395.92 | Target:  506.79 | Risk: LOW       
  RUDRA.NS        | Price:   21.95 | Entry:   21.51 | Target:   28.80 | Risk: LOW       
  ESCONET.NS      | Price:  131.45 | Entry:  128.82 | Target:  171.99 | Risk: LOW       
  DUCOL.NS        | Price:  127.00 | Entry:  124.46 | Target:  170.39 | Risk: LOW       
  CPCAP.NS        | Price:   96.32 | Entry:   94.39 | Target:  131.41 | Risk: LOW       
  SHAH.NS         | Price:    5.08 | Entry:    4.98 | Target:    6.01 | Risk: LOW       
  FIDEL.NS        | Price:  144.90 | Entry:   142.0 | Target:  178.88 | Risk: LOW       
  DHARAN.NS       | Price:    0.16 | Entry:    0.16 | Target:    0.22 | Risk: LOW       
  NEPHROCARE.NS   | Price:   85.05 | Entry:   83.35 | Target:  122.94 | Risk: LOW       
  GOLDSTAR.NS     | Price:    7.10 | Entry:    6.96 | Target:    8.62 | Risk: LOW       
  WINSOL.NS       | Price:  126.00 | Entry:  123.48 | Target:  169.36 | Risk: LOW       
  IBULLSLTD.NS    | Price:   16.92 | Entry:   16.58 | Target:   22.84 | Risk: LOW       
  EMMIL.NS        | Price:  164.00 | Entry:  160.72 | Target:  222.27 | Risk: LOW       
  KAVDEFENCE.NS   | Price:   68.23 | Entry:   66.87 | Target:   83.12 | Risk: LOW       
  DRONE.NS        | Price:   52.60 | Entry:   51.55 | Target:   74.62 | Risk: LOW       
  PROPEQUITY.NS   | Price:  200.65 | Entry:  196.64 | Target:  252.38 | Risk: LOW       
  LLOYDS.NS       | Price:   80.30 | Entry:   78.69 | Target:  112.43 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  155.00 | Entry:   151.9 | Target:  185.32 | Risk: LOW       
  DENEERS.NS      | Price:  169.25 | Entry:  165.87 | Target:  222.79 | Risk: LOW       
  PRLIND.NS       | Price:   62.50 | Entry:   61.25 | Target:   82.89 | Risk: LOW       
  PURVFLEXI.NS    | Price:   63.70 | Entry:   62.43 | Target:   77.63 | Risk: LOW       
  IEML.NS         | Price:   85.55 | Entry:   83.84 | Target:  115.25 | Risk: LOW       
  TUNWAL.NS       | Price:   34.10 | Entry:   33.42 | Target:   42.40 | Risk: LOW       
  KORE.NS         | Price:  120.85 | Entry:  118.43 | Target:  143.01 | Risk: LOW       
  DYNAMIC.NS      | Price:  138.90 | Entry:  136.12 | Target:  181.88 | Risk: LOW       
  EMKAYTOOLS.NS   | Price:  119.50 | Entry:  117.11 | Target:  147.36 | Risk: LOW       
  TBI.NS          | Price:   72.05 | Entry:   70.61 | Target:   94.46 | Risk: LOW       
  ENSER.NS        | Price:   16.35 | Entry:   16.02 | Target:   23.21 | Risk: LOW       
  VR.NS           | Price:  162.75 | Entry:   159.5 | Target:  188.13 | Risk: LOW       
  IBLFL.NS        | Price:   50.65 | Entry:   49.64 | Target:   55.01 | Risk: LOW       
  WOMANCART.NS    | Price:  193.25 | Entry:  189.38 | Target:  259.88 | Risk: LOW       
  UMIYA-MRO.NS    | Price:   87.50 | Entry:   85.75 | Target:  120.68 | Risk: LOW       
  SHREEOSFM.NS    | Price:   85.85 | Entry:   84.13 | Target:  117.01 | Risk: LOW       
  GLOBALPET.NS    | Price:  108.95 | Entry:  106.77 | Target:  132.88 | Risk: LOW       
  USASEEDS.NS     | Price:  113.15 | Entry:  110.89 | Target:  132.11 | Risk: LOW       
  SHEETAL.NS      | Price:  255.80 | Entry:  250.68 | Target:  298.05 | Risk: LOW       
  SADHAV.NS       | Price:  111.95 | Entry:  109.71 | Target:  144.36 | Risk: LOW       
  SLONE.NS        | Price:  221.30 | Entry:  216.87 | Target:  276.10 | Risk: LOW       
  QUESTLAB.NS     | Price:  115.70 | Entry:  113.39 | Target:  135.41 | Risk: LOW       
  ZEAL.NS         | Price:   89.85 | Entry:   88.05 | Target:  121.85 | Risk: LOW       
  VEEKAYEM.NS     | Price:  124.80 | Entry:   122.3 | Target:  144.64 | Risk: LOW       
  MASTER.NS       | Price:  345.00 | Entry:   338.1 | Target:  380.39 | Risk: LOW       
  MAL.NS          | Price:   40.55 | Entry:   39.74 | Target:   50.48 | Risk: LOW       
  VISAMAN.NS      | Price:  122.75 | Entry:   120.3 | Target:  142.41 | Risk: LOW       
  GREENCHEF.NS    | Price:   50.95 | Entry:   49.93 | Target:   62.06 | Risk: LOW       
  REXPIPES.NS     | Price:  201.50 | Entry:  197.47 | Target:  214.34 | Risk: LOW       
  URBAN.NS        | Price:  138.50 | Entry:  135.73 | Target:  187.30 | Risk: LOW       
  SYLVANPLY.NS    | Price:   54.00 | Entry:   52.92 | Target:   71.61 | Risk: LOW       
  TRUST.NS        | Price:   42.05 | Entry:   41.21 | Target:   55.51 | Risk: LOW       
  ISHANCH.NS      | Price:   65.65 | Entry:   64.34 | Target:   87.85 | Risk: LOW       
  SURANI.NS       | Price:  126.35 | Entry:  123.82 | Target:  165.83 | Risk: LOW       
  DELAPLEX.NS     | Price:  108.95 | Entry:  106.77 | Target:  138.11 | Risk: LOW       
  SIDDHIKA.NS     | Price:  219.00 | Entry:  214.62 | Target:  240.66 | Risk: LOW       
  SCML.NS         | Price:  140.00 | Entry:   137.2 | Target:  167.64 | Risk: LOW       
  OMFURN.NS       | Price:   58.40 | Entry:   57.23 | Target:   81.92 | Risk: LOW       
  NEWJAISA.NS     | Price:   26.15 | Entry:   25.63 | Target:   31.44 | Risk: LOW       
  DCG.NS          | Price:   64.40 | Entry:   63.11 | Target:   84.22 | Risk: LOW       
  MAXPOSURE.NS    | Price:   41.20 | Entry:   40.38 | Target:   49.68 | Risk: LOW       
  BEACON.NS       | Price:   85.30 | Entry:   83.59 | Target:  110.42 | Risk: LOW       
  MAHICKRA.NS     | Price:  225.00 | Entry:   220.5 | Target:  272.23 | Risk: LOW       
  ASCOM.NS        | Price:  262.00 | Entry:  256.76 | Target:  293.93 | Risk: LOW       
  REFRACTORY.NS   | Price:   46.00 | Entry:   45.08 | Target:   58.39 | Risk: LOW       
  KLL.NS          | Price:   42.45 | Entry:    41.6 | Target:   56.45 | Risk: LOW       
  HOACFOODS.NS    | Price:  437.60 | Entry:  428.85 | Target:  518.58 | Risk: LOW       
  NAMAN.NS        | Price:   58.40 | Entry:   57.23 | Target:   72.31 | Risk: LOW       
  MARC.NS         | Price:   69.20 | Entry:   67.82 | Target:   81.47 | Risk: LOW       
  MAGSON.NS       | Price:  191.10 | Entry:  187.28 | Target:  237.62 | Risk: LOW       
  ROXHITECH.NS    | Price:   39.20 | Entry:   38.42 | Target:   51.09 | Risk: LOW       
  DIGJAMLMTD.NS   | Price:   49.81 | Entry:   48.81 | Target:   67.76 | Risk: LOW       
  SILKFLEX.NS     | Price:  133.00 | Entry:  130.34 | Target:  156.27 | Risk: LOW       
  EFORCE.NS       | Price:   29.00 | Entry:   28.42 | Target:   40.50 | Risk: LOW       
  SONAMAC.NS      | Price:   45.10 | Entry:    44.2 | Target:   63.40 | Risk: LOW       
  MHHL.NS         | Price:   40.45 | Entry:   39.64 | Target:   50.93 | Risk: LOW       
  KONSTELEC.NS    | Price:   40.60 | Entry:   39.79 | Target:   48.44 | Risk: LOW       
  AURIGROW.NS     | Price:    0.32 | Entry:    0.31 | Target:    0.38 | Risk: LOW       
  PARTYCRUS.NS    | Price:   86.00 | Entry:   84.28 | Target:  106.93 | Risk: LOW       
  BAWEJA.NS       | Price:   33.60 | Entry:   32.93 | Target:   47.26 | Risk: LOW       
  HGM.NS          | Price:   55.14 | Entry:   54.04 | Target:   77.61 | Risk: LOW       
  SRIVASAVI.NS    | Price:   57.10 | Entry:   55.96 | Target:   72.08 | Risk: LOW       
  ONDOOR.NS       | Price:  179.00 | Entry:  175.42 | Target:  233.29 | Risk: LOW       
  PULZ.NS         | Price:   26.60 | Entry:   26.07 | Target:   32.37 | Risk: LOW       
  ARABIAN.NS      | Price:   72.05 | Entry:   70.61 | Target:   82.12 | Risk: LOW       
  AMEYA.NS        | Price:  110.05 | Entry:  107.85 | Target:  121.28 | Risk: LOW       
  MARCO.NS        | Price:   40.15 | Entry:   39.35 | Target:   53.31 | Risk: LOW       
  VELS.NS         | Price:   65.75 | Entry:   64.44 | Target:   77.75 | Risk: LOW       
  TPHQ.NS         | Price:    0.58 | Entry:    0.57 | Target:    0.75 | Risk: LOW       
  SHEKHAWATI.NS   | Price:   13.72 | Entry:   13.45 | Target:   19.66 | Risk: LOW       
  SAIFL.NS        | Price:   11.60 | Entry:   11.37 | Target:   17.12 | Risk: LOW       
  BIRDYS.NS       | Price:  116.55 | Entry:  114.22 | Target:  121.43 | Risk: LOW       
  LRRPL.NS        | Price:   75.00 | Entry:    73.5 | Target:   88.07 | Risk: LOW       
  GATECH.NS       | Price:    0.49 | Entry:    0.48 | Target:    0.64 | Risk: LOW       
  SWASTIK.NS      | Price:   21.10 | Entry:   20.68 | Target:   28.35 | Risk: LOW       
  DURLAX.NS       | Price:   50.40 | Entry:   49.39 | Target:   64.49 | Risk: LOW       
  DHANLAXMI.NS    | Price:   28.35 | Entry:   27.78 | Target:   38.12 | Risk: LOW       
  BLUEPEBBLE.NS   | Price:  143.50 | Entry:  140.63 | Target:  178.14 | Risk: LOW       
  VINNY.NS        | Price:   50.30 | Entry:   49.29 | Target:   63.23 | Risk: LOW       
  BABAFP.NS       | Price:   28.45 | Entry:   27.88 | Target:   36.91 | Risk: LOW       
  AUROIMPEX.NS    | Price:   34.90 | Entry:    34.2 | Target:   46.24 | Risk: LOW       
  GANGABATH.NS    | Price:   23.50 | Entry:   23.03 | Target:   32.50 | Risk: LOW       
  SEL.NS          | Price:  189.00 | Entry:  185.22 | Target:  257.07 | Risk: LOW       
  VISHWAS.NS      | Price:   40.00 | Entry:    39.2 | Target:   47.46 | Risk: LOW       
  DKEGL.NS        | Price:   76.80 | Entry:   75.26 | Target:   90.44 | Risk: LOW       
  PENTAGON.NS     | Price:   67.20 | Entry:   65.86 | Target:   85.49 | Risk: LOW       
  RULKA.NS        | Price:   99.95 | Entry:   97.95 | Target:  131.38 | Risk: LOW       
  UCL.NS          | Price:  100.75 | Entry:   98.73 | Target:  113.23 | Risk: LOW       
  AGNI.NS         | Price:   21.50 | Entry:   21.07 | Target:   25.52 | Risk: LOW       
  MOXSH.NS        | Price:  133.85 | Entry:  131.17 | Target:  136.15 | Risk: LOW       
  UMA.NS          | Price:   18.25 | Entry:   17.88 | Target:   22.37 | Risk: LOW       
  AATMAJ.NS       | Price:   20.70 | Entry:   20.29 | Target:   25.86 | Risk: LOW       
  HRHNEXT.NS      | Price:   28.40 | Entry:   27.83 | Target:   37.79 | Risk: LOW       
  DEEM.NS         | Price:   41.05 | Entry:   40.23 | Target:   52.16 | Risk: LOW       
  KONTOR.NS       | Price:   75.00 | Entry:    73.5 | Target:   96.29 | Risk: LOW       
  AGARWALFT.NS    | Price:   35.00 | Entry:    34.3 | Target:   41.84 | Risk: LOW       
  MEDIORG.NS      | Price:   28.10 | Entry:   27.54 | Target:   38.01 | Risk: LOW       
  MONOPHARMA.NS   | Price:   13.30 | Entry:   13.03 | Target:   15.10 | Risk: LOW       
  KSR.NS          | Price:   37.40 | Entry:   36.65 | Target:   42.98 | Risk: LOW       
  NEUEON.NS       | Price:   17.70 | Entry:   17.35 | Target:   19.75 | Risk: LOW       
  VILINBIO.NS     | Price:   37.95 | Entry:   37.19 | Target:   40.75 | Risk: LOW       
  CELLPOINT.NS    | Price:   17.50 | Entry:   17.15 | Target:   23.52 | Risk: LOW       
