NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-19 22:16:05

BUY SIGNALS (568):
  ADANIPORTS.NS   | Price: 1824.00 | Entry: 1787.52 | Target: 2026.82 | Risk: LOW       
  ACE.NS          | Price: 1229.20 | Entry: 1204.62 | Target: 1437.62 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  214.66 | Entry:  210.37 | Target:  252.17 | Risk: LOW       
  ACUTAAS.NS      | Price: 3440.30 | Entry: 3371.49 | Target: 3989.92 | Risk: LOW       
  TSFINV.NS       | Price:  455.65 | Entry:  446.54 | Target:  523.15 | Risk: LOW       
  PRUDENT.NS      | Price: 3501.60 | Entry: 3431.57 | Target: 4484.46 | Risk: LOW       
  GRAPHITE.NS     | Price:  830.85 | Entry:  814.23 | Target: 1034.69 | Risk: LOW       
  BLACKBUCK.NS    | Price:  632.40 | Entry:  619.75 | Target:  740.51 | Risk: LOW       
  PVRINOX.NS      | Price: 1324.70 | Entry: 1298.21 | Target: 1577.63 | Risk: LOW       
  VIJAYA.NS       | Price: 1558.90 | Entry: 1527.72 | Target: 1847.35 | Risk: LOW       
  EDELWEISS.NS    | Price:  136.25 | Entry:  133.53 | Target:  169.75 | Risk: LOW       
  METROPOLIS.NS   | Price:  597.45 | Entry:   585.5 | Target:  673.43 | Risk: LOW       
  WESTLIFE.NS     | Price:  564.40 | Entry:  553.11 | Target:  661.69 | Risk: LOW       
  RKFORGE.NS      | Price:  724.10 | Entry:  709.62 | Target:  849.08 | Risk: LOW       
  IIFLCAPS.NS     | Price:  345.10 | Entry:   338.2 | Target:  368.37 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  656.25 | Entry:  643.12 | Target:  779.16 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1263.50 | Entry: 1238.23 | Target: 1517.86 | Risk: LOW       
  TDPOWERSYS.NS   | Price:  763.75 | Entry:  748.48 | Target:  960.70 | Risk: LOW       
  HCG.NS          | Price:  708.25 | Entry:  694.09 | Target:  852.11 | Risk: LOW       
  NESCO.NS        | Price: 1111.30 | Entry: 1089.07 | Target: 1301.51 | Risk: LOW       
  HONASA.NS       | Price:  479.55 | Entry:  469.96 | Target:  564.41 | Risk: LOW       
  VARROC.NS       | Price:  861.55 | Entry:  844.32 | Target: 1056.21 | Risk: LOW       
  SANSERA.NS      | Price: 4259.90 | Entry:  4174.7 | Target: 5127.97 | Risk: LOW       
  WABAG.NS        | Price: 2132.60 | Entry: 2089.95 | Target: 2564.06 | Risk: LOW       
  TI.NS           | Price:  568.70 | Entry:  557.33 | Target:  673.56 | Risk: LOW       
  BBOX.NS         | Price:  801.15 | Entry:  785.13 | Target:  987.44 | Risk: LOW       
  LOTUSDEV.NS     | Price:  215.13 | Entry:  210.83 | Target:  263.70 | Risk: LOW       
  PCJEWELLER.NS   | Price:   12.72 | Entry:   12.47 | Target:   17.27 | Risk: LOW       
  LUMAXTECH.NS    | Price: 2102.70 | Entry: 2060.65 | Target: 2530.20 | Risk: LOW       
  CORONA.NS       | Price: 2201.80 | Entry: 2157.76 | Target: 2575.55 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  717.55 | Entry:   703.2 | Target:  860.01 | Risk: LOW       
  VOLTAMP.NS      | Price: 10879.00 | Entry: 10661.42 | Target: 13073.11 | Risk: LOW       
  STAR.NS         | Price: 1219.80 | Entry:  1195.4 | Target: 1468.59 | Risk: LOW       
  DODLA.NS        | Price: 1083.60 | Entry: 1061.93 | Target: 1247.31 | Risk: LOW       
  DIACABS.NS      | Price:  366.80 | Entry:  359.46 | Target:  459.80 | Risk: LOW       
  SHILPAMED.NS    | Price: 1021.10 | Entry: 1000.68 | Target: 1279.76 | Risk: LOW       
  DBL.NS          | Price:  425.50 | Entry:  416.99 | Target:  492.39 | Risk: LOW       
  MAXESTATES.NS   | Price:  594.00 | Entry:  582.12 | Target:  731.95 | Risk: LOW       
  GNFC.NS         | Price:  588.90 | Entry:  577.12 | Target:  678.06 | Risk: LOW       
  PRSMJOHNSN.NS   | Price:  117.05 | Entry:  114.71 | Target:  130.17 | Risk: LOW       
  AKUMS.NS        | Price:  783.70 | Entry:  768.03 | Target:  912.40 | Risk: LOW       
  PFOCUS.NS       | Price:  344.35 | Entry:  337.46 | Target:  412.65 | Risk: LOW       
  WELENT.NS       | Price:  823.35 | Entry:  806.88 | Target: 1018.58 | Risk: LOW       
  YATHARTH.NS     | Price: 1139.50 | Entry: 1116.71 | Target: 1345.61 | Risk: LOW       
  CSBBANK.NS      | Price:  336.15 | Entry:  329.43 | Target:  400.92 | Risk: LOW       
  ELLEN.NS        | Price:  373.10 | Entry:  365.64 | Target:  470.99 | Risk: LOW       
  QPOWER.NS       | Price: 1536.10 | Entry: 1505.38 | Target: 1911.85 | Risk: LOW       
  JKPAPER.NS      | Price:  430.60 | Entry:  421.99 | Target:  506.39 | Risk: LOW       
  AVALON.NS       | Price: 2537.70 | Entry: 2486.95 | Target: 3327.59 | Risk: LOW       
  AVL.NS          | Price:  636.95 | Entry:  624.21 | Target:  731.93 | Risk: LOW       
  IONEXCHANG.NS   | Price:  442.30 | Entry:  433.45 | Target:  542.89 | Risk: LOW       
  JUNIPER.NS      | Price:  224.33 | Entry:  219.84 | Target:  263.71 | Risk: LOW       
  AXISCADES.NS    | Price: 1811.20 | Entry: 1774.98 | Target: 2248.16 | Risk: LOW       
  SHARDAMOTR.NS   | Price:  967.05 | Entry:  947.71 | Target: 1114.23 | Risk: LOW       
  MANINFRA.NS     | Price:  125.64 | Entry:  123.13 | Target:  148.53 | Risk: LOW       
  SMARTWORKS.NS   | Price:  547.35 | Entry:   536.4 | Target:  633.72 | Risk: LOW       
  SUPRIYA.NS      | Price:  906.30 | Entry:  888.17 | Target: 1067.32 | Risk: LOW       
  EMUDHRA.NS      | Price:  613.45 | Entry:  601.18 | Target:  768.59 | Risk: LOW       
  STLTECH.NS      | Price:  818.80 | Entry:  802.42 | Target: 1049.91 | Risk: LOW       
  ICIL.NS         | Price:  447.35 | Entry:   438.4 | Target:  565.06 | Risk: LOW       
  SHOPERSTOP.NS   | Price:  399.75 | Entry:  391.75 | Target:  503.16 | Risk: LOW       
  TVSSCS.NS       | Price:  133.85 | Entry:  131.17 | Target:  159.16 | Risk: LOW       
  LXCHEM.NS       | Price:  178.24 | Entry:  174.68 | Target:  216.23 | Risk: LOW       
  UNIMECH.NS      | Price: 1591.30 | Entry: 1559.47 | Target: 1941.23 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1467.00 | Entry: 1437.66 | Target: 1784.21 | Risk: LOW       
  DYNAMATECH.NS   | Price: 12061.00 | Entry: 11819.78 | Target: 14223.14 | Risk: LOW       
  E2E.NS          | Price:  607.65 | Entry:   595.5 | Target:  753.95 | Risk: LOW       
  OPTIEMUS.NS     | Price:  590.10 | Entry:   578.3 | Target:  713.97 | Risk: LOW       
  EMIL.NS         | Price:  196.28 | Entry:  192.35 | Target:  245.42 | Risk: LOW       
  SWARAJENG.NS    | Price: 3625.10 | Entry:  3552.6 | Target: 3961.06 | Risk: LOW       
  SKYGOLD.NS      | Price:  783.70 | Entry:  768.03 | Target:  964.04 | Risk: LOW       
  TARC.NS         | Price:  133.09 | Entry:  130.43 | Target:  160.94 | Risk: LOW       
  NEPHROPLUS.NS   | Price:  743.35 | Entry:  728.48 | Target:  878.03 | Risk: LOW       
  SJS.NS          | Price: 2422.80 | Entry: 2374.34 | Target: 2827.51 | Risk: LOW       
  SHREEJISPG.NS   | Price:  708.05 | Entry:  693.89 | Target:  834.12 | Risk: LOW       
  CEIGALL.NS      | Price:  373.75 | Entry:  366.27 | Target:  440.20 | Risk: LOW       
  HERITGFOOD.NS   | Price:  418.10 | Entry:  409.74 | Target:  509.48 | Risk: LOW       
  GUJTHEM.NS      | Price:  427.40 | Entry:  418.85 | Target:  535.85 | Risk: LOW       
  SANATHAN.NS     | Price:  480.85 | Entry:  471.23 | Target:  585.48 | Risk: LOW       
  NORTHARC.NS     | Price:  313.60 | Entry:  307.33 | Target:  367.30 | Risk: LOW       
  AWFIS.NS        | Price:  275.75 | Entry:  270.24 | Target:  343.55 | Risk: LOW       
  63MOONS.NS      | Price:  884.75 | Entry:  867.05 | Target: 1090.95 | Risk: LOW       
  SHANTIGEAR.NS   | Price:  700.05 | Entry:  686.05 | Target:  906.03 | Risk: LOW       
  SINDHUTRAD.NS   | Price:   24.72 | Entry:   24.23 | Target:   30.41 | Risk: LOW       
  BOROLTD.NS      | Price:  259.21 | Entry:  254.03 | Target:  313.41 | Risk: LOW       
  RPGLIFE.NS      | Price: 2802.40 | Entry: 2746.35 | Target: 3436.61 | Risk: LOW       
  RAYMOND.NS      | Price:  978.00 | Entry:  958.44 | Target: 1341.30 | Risk: LOW       
  MPSLTD.NS       | Price: 2667.30 | Entry: 2613.95 | Target: 3164.19 | Risk: LOW       
  GOODLUCK.NS     | Price:  517.25 | Entry:   506.9 | Target:  627.96 | Risk: LOW       
  EBGNG.NS        | Price:  703.05 | Entry:  688.99 | Target:  896.26 | Risk: LOW       
  NEOGEN.NS       | Price: 2488.40 | Entry: 2438.63 | Target: 3034.69 | Risk: LOW       
  PRECWIRE.NS     | Price:  478.40 | Entry:  468.83 | Target:  587.72 | Risk: LOW       
  NPST.NS         | Price: 1828.50 | Entry: 1791.93 | Target: 2276.20 | Risk: LOW       
  CENTUM.NS       | Price: 4333.30 | Entry: 4246.63 | Target: 5387.16 | Risk: LOW       
  SHAREINDIA.NS   | Price:  228.15 | Entry:  223.59 | Target:  282.64 | Risk: LOW       
  MSTCLTD.NS      | Price:  724.05 | Entry:  709.57 | Target:  917.56 | Risk: LOW       
  CYIENTDLM.NS    | Price:  940.70 | Entry:  921.89 | Target: 1197.29 | Risk: LOW       
  ARTEMISMED.NS   | Price:  338.50 | Entry:  331.73 | Target:  415.86 | Risk: LOW       
  JISLJALEQS.NS   | Price:   30.42 | Entry:   29.81 | Target:   37.05 | Risk: LOW       
  PITTIENG.NS     | Price: 1146.10 | Entry: 1123.18 | Target: 1415.39 | Risk: LOW       
  FOSECOIND.NS    | Price: 6677.50 | Entry: 6543.95 | Target: 8048.04 | Risk: LOW       
  DPABHUSHAN.NS   | Price: 1448.30 | Entry: 1419.33 | Target: 1729.73 | Risk: LOW       
  SSWL.NS         | Price:  372.40 | Entry:  364.95 | Target:  480.51 | Risk: LOW       
  VISHNU.NS       | Price:  722.15 | Entry:  707.71 | Target:  864.79 | Risk: LOW       
  SAMBHV.NS       | Price:  147.57 | Entry:  144.62 | Target:  177.28 | Risk: LOW       
  SWANDEF.NS      | Price: 2746.40 | Entry: 2691.47 | Target: 3402.94 | Risk: LOW       
  PARAGMILK.NS    | Price:  268.50 | Entry:  263.13 | Target:  333.82 | Risk: LOW       
  HLEGLAS.NS      | Price:  446.90 | Entry:  437.96 | Target:  567.01 | Risk: LOW       
  HIKAL.NS        | Price:  226.04 | Entry:  221.52 | Target:  304.12 | Risk: LOW       
  PRABHA.NS       | Price:  233.01 | Entry:  228.35 | Target:  311.41 | Risk: LOW       
  JASH.NS         | Price:  521.15 | Entry:  510.73 | Target:  622.85 | Risk: LOW       
  PAISALO.NS      | Price:   89.51 | Entry:   87.72 | Target:  107.52 | Risk: LOW       
  PENIND.NS       | Price:  171.43 | Entry:   168.0 | Target:  199.24 | Risk: LOW       
  WSTCSTPAPR.NS   | Price:  768.30 | Entry:  752.93 | Target:  933.57 | Risk: LOW       
  RAMRAT.NS       | Price:  554.75 | Entry:  543.65 | Target:  704.95 | Risk: LOW       
  SUNDROP.NS      | Price:  663.40 | Entry:  650.13 | Target:  743.85 | Risk: LOW       
  NOCIL.NS        | Price:  194.56 | Entry:  190.67 | Target:  232.78 | Risk: LOW       
  MANINDS.NS      | Price:  851.55 | Entry:  834.52 | Target: 1116.26 | Risk: LOW       
  FCL.NS          | Price:   57.02 | Entry:   55.88 | Target:   73.62 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  916.65 | Entry:  898.32 | Target: 1117.65 | Risk: LOW       
  BCG.NS          | Price:   10.26 | Entry:   10.05 | Target:   12.55 | Risk: LOW       
  TATVA.NS        | Price: 1770.20 | Entry:  1734.8 | Target: 2145.25 | Risk: LOW       
  IOLCP.NS        | Price:  203.15 | Entry:  199.09 | Target:  266.52 | Risk: LOW       
  NRBBEARING.NS   | Price:  525.50 | Entry:  514.99 | Target:  646.38 | Risk: LOW       
  MOREPENLAB.NS   | Price:  120.90 | Entry:  118.48 | Target:  160.90 | Risk: LOW       
  VENUSPIPES.NS   | Price: 2282.90 | Entry: 2237.24 | Target: 2851.59 | Risk: LOW       
  VSSL.NS         | Price:  404.70 | Entry:  396.61 | Target:  501.41 | Risk: LOW       
  ROSSTECH.NS     | Price: 1374.30 | Entry: 1346.81 | Target: 1715.67 | Risk: LOW       
  FILATEX.NS      | Price:   93.83 | Entry:   91.95 | Target:  119.15 | Risk: LOW       
  JINDALPOLY.NS   | Price:  718.45 | Entry:  704.08 | Target:  893.93 | Risk: LOW       
  SMSPHARMA.NS    | Price:  442.95 | Entry:  434.09 | Target:  573.84 | Risk: LOW       
  ORIENTHOT.NS    | Price:  143.45 | Entry:  140.58 | Target:  161.57 | Risk: LOW       
  RML.NS          | Price: 1324.50 | Entry: 1298.01 | Target: 1683.04 | Risk: LOW       
  GENESYS.NS      | Price:  285.19 | Entry:  279.49 | Target:  398.97 | Risk: LOW       
  SOLARA.NS       | Price:  742.05 | Entry:  727.21 | Target:  941.69 | Risk: LOW       
  SPECTRUM.NS     | Price: 3039.60 | Entry: 2978.81 | Target: 3774.56 | Risk: LOW       
  SYSTMTXC.NS     | Price:   74.12 | Entry:   72.64 | Target:   85.20 | Risk: LOW       
  TIL.NS          | Price:  257.51 | Entry:  252.36 | Target:  311.29 | Risk: LOW       
  DOLLAR.NS       | Price:  273.25 | Entry:  267.78 | Target:  315.16 | Risk: LOW       
  THEJO.NS        | Price: 2199.70 | Entry: 2155.71 | Target: 2536.77 | Risk: LOW       
  WHEELS.NS       | Price: 2175.70 | Entry: 2132.19 | Target: 2922.13 | Risk: LOW       
  GMBREW.NS       | Price:  953.95 | Entry:  934.87 | Target: 1065.86 | Risk: LOW       
  MOBIKWIK.NS     | Price:  212.48 | Entry:  208.23 | Target:  262.69 | Risk: LOW       
  INDNIPPON.NS    | Price: 1260.00 | Entry:  1234.8 | Target: 1677.11 | Risk: LOW       
  VINCOFE.NS      | Price:  174.19 | Entry:  170.71 | Target:  213.85 | Risk: LOW       
  NELCO.NS        | Price: 1011.85 | Entry:  991.61 | Target: 1219.65 | Risk: LOW       
  WENDT.NS        | Price: 8767.50 | Entry: 8592.15 | Target: 10424.11 | Risk: LOW       
  UNITECH.NS      | Price:    4.31 | Entry:    4.22 | Target:    5.46 | Risk: LOW       
  RMDRIP.NS       | Price:   22.19 | Entry:   21.75 | Target:   27.20 | Risk: LOW       
  MOTISONS.NS     | Price:   18.30 | Entry:   17.93 | Target:   23.50 | Risk: LOW       
  DEEDEV.NS       | Price:  668.75 | Entry:  655.38 | Target:  835.03 | Risk: LOW       
  ASTEC.NS        | Price:  726.70 | Entry:  712.17 | Target:  970.99 | Risk: LOW       
  TALBROAUTO.NS   | Price:  476.70 | Entry:  467.17 | Target:  560.67 | Risk: LOW       
  JGCHEM.NS       | Price:  612.40 | Entry:  600.15 | Target:  801.86 | Risk: LOW       
  GOCLCORP.NS     | Price:  446.10 | Entry:  437.18 | Target:  530.73 | Risk: LOW       
  QUICKHEAL.NS    | Price:  152.46 | Entry:  149.41 | Target:  194.24 | Risk: LOW       
  BLISSGVS.NS     | Price:  681.85 | Entry:  668.21 | Target:  861.80 | Risk: LOW       
  SANSTAR.NS      | Price:  115.70 | Entry:  113.39 | Target:  135.15 | Risk: LOW       
  SESHAPAPER.NS   | Price:  249.77 | Entry:  244.77 | Target:  291.25 | Risk: LOW       
  DOLPHIN.NS      | Price:  665.50 | Entry:  652.19 | Target:  897.61 | Risk: LOW       
  RAJOOENG.NS     | Price:   52.99 | Entry:   51.93 | Target:   68.58 | Risk: LOW       
  AIMTRON.NS      | Price: 1662.25 | Entry:  1629.0 | Target: 2044.11 | Risk: LOW       
  FINKURVE.NS     | Price:   73.10 | Entry:   71.64 | Target:   99.19 | Risk: LOW       
  QUADFUTURE.NS   | Price:  528.20 | Entry:  517.64 | Target:  680.00 | Risk: LOW       
  HMAAGRO.NS      | Price:   23.77 | Entry:   23.29 | Target:   29.26 | Risk: LOW       
  ANDHRAPAP.NS    | Price:   74.62 | Entry:   73.13 | Target:   98.05 | Risk: LOW       
  CONFIPET.NS     | Price:   91.95 | Entry:   90.11 | Target:  115.06 | Risk: LOW       
  SMCGLOBAL.NS    | Price:   80.94 | Entry:   79.32 | Target:   99.13 | Risk: LOW       
  GPTINFRA.NS     | Price:  118.96 | Entry:  116.58 | Target:  141.64 | Risk: LOW       
  RISHABH.NS      | Price:  764.70 | Entry:  749.41 | Target:  966.59 | Risk: LOW       
  GANDHAR.NS      | Price:  276.20 | Entry:  270.68 | Target:  325.33 | Risk: LOW       
  ALICON.NS       | Price:  729.35 | Entry:  714.76 | Target:  888.19 | Risk: LOW       
  INDORAMA.NS     | Price:   91.05 | Entry:   89.23 | Target:  127.24 | Risk: LOW       
  MANAKCOAT.NS    | Price:  129.22 | Entry:  126.64 | Target:  155.07 | Risk: LOW       
  GNA.NS          | Price:  558.55 | Entry:  547.38 | Target:  683.01 | Risk: LOW       
  VMARCIND.NS     | Price:  346.75 | Entry:  339.81 | Target:  480.25 | Risk: LOW       
  TAC.NS          | Price:  490.90 | Entry:  481.08 | Target:  599.86 | Risk: LOW       
  RGL.NS          | Price:  153.40 | Entry:  150.33 | Target:  193.91 | Risk: LOW       
  BALAJITELE.NS   | Price:   95.25 | Entry:   93.34 | Target:  114.27 | Risk: LOW       
  YUKEN.NS        | Price: 1139.20 | Entry: 1116.42 | Target: 1453.32 | Risk: LOW       
  ONEPOINT.NS     | Price:   59.64 | Entry:   58.45 | Target:   72.57 | Risk: LOW       
  WCIL.NS         | Price:   96.86 | Entry:   94.92 | Target:  113.44 | Risk: LOW       
  GPTHEALTH.NS    | Price:  166.21 | Entry:  162.89 | Target:  191.84 | Risk: LOW       
  SHREEPUSHK.NS   | Price:  514.30 | Entry:  504.01 | Target:  647.63 | Risk: LOW       
  TBZ.NS          | Price:  603.55 | Entry:  591.48 | Target:  814.06 | Risk: LOW       
  STLNETWORK.NS   | Price:   42.95 | Entry:   42.09 | Target:   51.89 | Risk: LOW       
