NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-01-12 18:54:56

BUY SIGNALS (101):
  IFCI.NS         | Price:   56.43 | Entry:    55.3 | Target:   67.56 | Risk: LOW       
  RBLBANK.NS      | Price:  304.90 | Trend:  -1.84% | Mom:   0.23% | Risk: LOW       
  HSCL.NS         | Price:  471.00 | Trend:   1.53% | Mom:  -2.33% | Risk: LOW       
  OLAELEC.NS      | Price:   39.37 | Trend:  -0.24% | Mom:  11.12% | Risk: LOW       
  KAJARIACER.NS   | Price:  995.15 | Trend:  -5.91% | Mom:   2.32% | Risk: LOW       
  SUNTV.NS        | Price:  558.30 | Trend:  -0.22% | Mom:  -3.30% | Risk: LOW       
  BAJAJHFL.NS     | Price:   93.49 | Trend:  -6.57% | Mom:  -0.72% | Risk: LOW       
  LT.NS           | Price: 4019.00 | Trend:  -0.30% | Mom:  -0.49% | Risk: LOW       
  TATATECH.NS     | Price:  652.70 | Trend:  -2.08% | Mom:   0.23% | Risk: LOW       
  J&KBANK.NS      | Price:  100.10 | Trend:  -3.13% | Mom:   2.05% | Risk: LOW       
  PATANJALI.NS    | Price:  551.45 | Trend:  -1.67% | Mom:   1.73% | Risk: LOW       
  CANBK.NS        | Price:  150.02 | Trend:   1.19% | Mom:  -0.60% | Risk: LOW       
  JKTYRE.NS       | Price:  502.30 | Trend:   6.35% | Mom:   0.51% | Risk: LOW       
  ABSLAMC.NS      | Price:  800.75 | Trend:   4.68% | Mom:   1.00% | Risk: LOW       
  MOTHERSON.NS    | Price:  114.99 | Trend:  -0.09% | Mom:  -3.89% | Risk: LOW       
  AEGISLOG.NS     | Price:  742.05 | Trend:  -1.44% | Mom:   4.19% | Risk: LOW       
  LTIM.NS         | Price: 6000.50 | Trend:  -0.48% | Mom:  -0.55% | Risk: LOW       
  SUNDARMFIN.NS   | Price: 5258.50 | Trend:   7.51% | Mom:  -0.02% | Risk: LOW       
  MPHASIS.NS      | Price: 2832.20 | Trend:   0.34% | Mom:   0.71% | Risk: LOW       
  KSB.NS          | Price:  750.85 | Trend:  -0.12% | Mom:   0.69% | Risk: LOW       
  FINPIPE.NS      | Price:  173.17 | Trend:  -1.72% | Mom:   1.16% | Risk: LOW       
  CHOLAFIN.NS     | Price: 1710.80 | Trend:  -0.06% | Mom:   0.71% | Risk: LOW       
  HEG.NS          | Price:  569.60 | Trend:   3.89% | Mom:  -5.11% | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1393.80 | Trend:   1.39% | Mom:  -2.42% | Risk: LOW       
  INDIANB.NS      | Price:  826.65 | Trend:  -0.82% | Mom:   5.38% | Risk: LOW       
  ASTRAL.NS       | Price: 1438.70 | Trend:  -1.03% | Mom:   4.86% | Risk: LOW       
  DIXON.NS        | Price: 11842.00 | Trend: -13.54% | Mom:  -0.13% | Risk: LOW       
  BRITANNIA.NS    | Price: 5943.50 | Trend:  -0.08% | Mom:  -1.62% | Risk: LOW       
  MFSL.NS         | Price: 1662.30 | Trend:  -1.02% | Mom:   0.73% | Risk: LOW       
  ESCORTS.NS      | Price: 3751.40 | Trend:   1.00% | Mom:   0.79% | Risk: LOW       
  CESC.NS         | Price:  163.26 | Trend:  -4.48% | Mom:  -0.86% | Risk: LOW       
  INOXINDIA.NS    | Price: 1117.30 | Trend:  -3.27% | Mom:   0.92% | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5726.50 | Trend:  -1.94% | Mom:   2.88% | Risk: LOW       
  KIMS.NS         | Price:  613.80 | Trend:  -7.38% | Mom:  -0.03% | Risk: LOW       
  SBICARD.NS      | Price:  855.75 | Trend:  -1.61% | Mom:   0.68% | Risk: LOW       
  SAMMAANCAP.NS   | Price:  142.93 | Trend:  -7.87% | Mom:   0.77% | Risk: LOW       
  INFY.NS         | Price: 1595.90 | Trend:   0.94% | Mom:  -2.97% | Risk: LOW       
  ZEEL.NS         | Price:   89.93 | Trend:  -5.71% | Mom:  -0.89% | Risk: LOW       
  RHIM.NS         | Price:  445.30 | Trend:  -3.38% | Mom:  -0.89% | Risk: LOW       
  COROMANDEL.NS   | Price: 2289.20 | Trend:   0.13% | Mom:  -3.16% | Risk: LOW       
  STARHEALTH.NS   | Price:  444.55 | Trend:  -6.36% | Mom:   0.65% | Risk: LOW       
  FORTIS.NS       | Price:  893.30 | Trend:  -2.59% | Mom:   1.07% | Risk: LOW       
  CGCL.NS         | Price:  181.73 | Trend:  -3.06% | Mom:   3.15% | Risk: LOW       
  GRANULES.NS     | Price:  594.85 | Trend:   3.68% | Mom:  -1.38% | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   84.77 | Trend:   3.06% | Mom:   0.27% | Risk: LOW       
  REDINGTON.NS    | Price:  269.15 | Trend:  -3.67% | Mom:   0.37% | Risk: LOW       
  POLYMED.NS      | Price: 1752.10 | Trend:  -6.08% | Mom:   0.67% | Risk: LOW       
  CHOICEIN.NS     | Price:  810.45 | Trend:   2.01% | Mom:  -0.92% | Risk: LOW       
  HONAUT.NS       | Price: 33165.00 | Trend:  -4.09% | Mom:   0.53% | Risk: LOW       
  GPIL.NS         | Price:  254.70 | Trend:   0.54% | Mom:  -0.66% | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1657.60 | Trend:  -1.79% | Mom:  -0.77% | Risk: LOW       
  BSOFT.NS        | Price:  413.35 | Trend:   0.29% | Mom:  -5.31% | Risk: LOW       
  NH.NS           | Price: 1872.70 | Trend:  -1.10% | Mom:   0.75% | Risk: LOW       
  FINCABLES.NS    | Price:  756.70 | Trend:  -1.09% | Mom:   1.95% | Risk: LOW       
  ENDURANCE.NS    | Price: 2573.10 | Trend:  -3.37% | Mom:  -0.30% | Risk: LOW       
  METROPOLIS.NS   | Price: 1875.10 | Trend:  -3.23% | Mom:  -0.78% | Risk: LOW       
  MSUMI.NS        | Price:   46.76 | Trend:  -0.54% | Mom:  -0.13% | Risk: LOW       
  JUBLPHARMA.NS   | Price: 1050.50 | Trend:  -3.77% | Mom:  -0.24% | Risk: LOW       
  ZFCVINDIA.NS    | Price: 13963.00 | Trend:  -0.16% | Mom:  -5.41% | Risk: LOW       
  DIVISLAB.NS     | Price: 6485.50 | Trend:   0.08% | Mom:   1.49% | Risk: LOW       
  NAM-INDIA.NS    | Price:  861.50 | Trend:  -0.75% | Mom:  -0.76% | Risk: LOW       
  GODREJIND.NS    | Price: 1012.20 | Trend:  -2.02% | Mom:   1.68% | Risk: LOW       
  ONESOURCE.NS    | Price: 1738.00 | Trend:   1.55% | Mom:  -1.79% | Risk: LOW       
  CREDITACC.NS    | Price: 1291.20 | Trend:  -2.15% | Mom:   0.76% | Risk: LOW       
  AFFLE.NS        | Price: 1726.90 | Trend:  -0.07% | Mom:  -1.81% | Risk: LOW       
  SAILIFE.NS      | Price:  893.30 | Trend:  -0.39% | Mom:   0.78% | Risk: LOW       
  LAURUSLABS.NS   | Price: 1043.20 | Trend:   1.13% | Mom:  -3.53% | Risk: LOW       

SELL SIGNALS (258):
  SBFC.NS         | Price:  102.37 | Target:   89.73 | Risk: LOW        | Conf: 100%
  PREMIERENE.NS   | Price:  745.60 | Target:  603.30 | Risk: LOW        | Conf: 100%
  SARDAEN.NS      | Price:  492.80 | Target:  406.91 | Risk: LOW        | Conf: 100%
  HOMEFIRST.NS    | Price: 1062.20 | Target:  925.49 | Risk: LOW        | Conf: 100%
  VTL.NS          | Price:  421.10 | Target:  367.08 | Risk: LOW        | Conf: 100%
  ABLBL.NS        | Price:  120.49 | Target:  100.86 | Risk: LOW        | Conf: 100%
  GODFRYPHLP.NS   | Price: 2130.60 | Target: 1568.21 | Risk: LOW        | Conf: 100%
  BLUEJET.NS      | Price:  509.55 | Target:  442.37 | Risk: LOW        | Conf: 100%
  EMAMILTD.NS     | Price:  512.70 | Target:  452.50 | Risk: LOW        | Conf: 100%
  TRENT.NS        | Price: 4056.40 | Target: 3497.86 | Risk: LOW        | Conf: 100%
  DEVYANI.NS      | Price:  135.74 | Target:  106.81 | Risk: LOW        | Conf: 100%
  NAVINFLUOR.NS   | Price: 5788.00 | Target: 4852.82 | Risk: LOW        | Conf: 80%
  MRPL.NS         | Price:  140.36 | Target:  113.67 | Risk: LOW        | Conf: 100%
  JWL.NS          | Price:  297.15 | Target:  220.83 | Risk: LOW        | Conf: 80%
  JYOTICNC.NS     | Price:  936.95 | Target:  801.63 | Risk: LOW        | Conf: 100%
  WAAREEENER.NS   | Price: 2576.90 | Target: 2142.61 | Risk: LOW        | Conf: 100%
  LEMONTREE.NS    | Price:  152.00 | Target:  129.70 | Risk: LOW        | Conf: 100%
  ANGELONE.NS     | Price: 2368.50 | Target: 2012.29 | Risk: LOW        | Conf: 80%
  GAIL.NS         | Price:  166.55 | Target:  152.70 | Risk: LOW        | Conf: 100%
  DCMSHRIRAM.NS   | Price: 1180.50 | Target: 1023.64 | Risk: LOW        | Conf: 100%
  TATAPOWER.NS    | Price:  370.60 | Target:  337.89 | Risk: LOW        | Conf: 80%
  BPCL.NS         | Price:  358.75 | Target:  313.45 | Risk: LOW        | Conf: 100%
  SCHAEFFLER.NS   | Price: 3768.90 | Target: 3281.26 | Risk: LOW        | Conf: 80%
  KAYNES.NS       | Price: 3695.40 | Target: 2983.65 | Risk: LOW        | Conf: 100%
  MANYAVAR.NS     | Price:  541.50 | Target:  488.61 | Risk: LOW        | Conf: 100%
  HUDCO.NS        | Price:  217.52 | Target:  186.72 | Risk: LOW        | Conf: 100%
  HYUNDAI.NS      | Price: 2295.80 | Target: 2097.19 | Risk: LOW        | Conf: 80%
  ENGINERSIN.NS   | Price:  194.54 | Target:  169.28 | Risk: LOW        | Conf: 100%
  SYNGENE.NS      | Price:  633.80 | Target:  564.89 | Risk: LOW        | Conf: 100%
  ADANIENT.NS     | Price: 2171.60 | Target: 1971.46 | Risk: LOW        | Conf: 80%
