NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-30 19:06:47

BUY SIGNALS (215):
  JIOFIN.NS       | Price:  246.37 | Entry:  241.44 | Target:  283.18 | Risk: LOW       
  ADOR.NS         | Price: 1078.85 | Entry: 1057.27 | Target: 1349.51 | Risk: LOW       
  TINNARUBR.NS    | Price:  719.70 | Entry:  705.31 | Target:  867.15 | Risk: LOW       
  PUNJABCHEM.NS   | Price: 1178.00 | Entry: 1154.44 | Target: 1395.46 | Risk: LOW       
  AIMTRON.NS      | Price: 1083.95 | Entry: 1062.27 | Target: 1360.65 | Risk: LOW       
  MASTERTR.NS     | Price:   81.94 | Entry:    80.3 | Target:  100.23 | Risk: LOW       
  VINYAS.NS       | Price: 1134.00 | Entry: 1111.32 | Target: 1345.91 | Risk: LOW       
  FINKURVE.NS     | Price:   72.16 | Entry:   70.72 | Target:   94.76 | Risk: LOW       
  CIFL.NS         | Price:   28.18 | Entry:   27.62 | Target:   38.18 | Risk: LOW       
  VMARCIND.NS     | Price:  997.95 | Entry:  977.99 | Target: 1279.54 | Risk: LOW       
  BAJAJINDEF.NS   | Price:  299.23 | Entry:  293.25 | Target:  389.25 | Risk: LOW       
  STLNETWORK.NS   | Price:   27.76 | Entry:    27.2 | Target:   40.71 | Risk: LOW       
  VILAS.NS        | Price:  438.50 | Entry:  429.73 | Target:  554.64 | Risk: LOW       
  ANTELOPUS.NS    | Price:  693.75 | Entry:  679.88 | Target:  858.71 | Risk: LOW       
  GGBL.NS         | Price:  342.35 | Entry:   335.5 | Target:  435.14 | Risk: LOW       
  AEROENTER.NS    | Price:   93.34 | Entry:   91.47 | Target:  116.82 | Risk: LOW       
  BHARATSE.NS     | Price:  187.25 | Entry:   183.5 | Target:  229.02 | Risk: LOW       
  DENTALKART.NS   | Price:  449.75 | Entry:  440.75 | Target:  576.93 | Risk: LOW       
  KARNIKA.NS      | Price:  139.50 | Entry:  136.71 | Target:  162.27 | Risk: LOW       
  APS.NS          | Price:  384.70 | Entry:  377.01 | Target:  456.81 | Risk: LOW       
  BASILIC.NS      | Price:  239.70 | Entry:  234.91 | Target:  310.59 | Risk: LOW       
  SASTASUNDR.NS   | Price:  282.60 | Entry:  276.95 | Target:  323.49 | Risk: LOW       
  REMUS.NS        | Price:  699.80 | Entry:   685.8 | Target:  828.69 | Risk: LOW       
  UFBL.NS         | Price:  351.35 | Entry:  344.32 | Target:  452.21 | Risk: LOW       
  VIVIANA.NS      | Price:  807.10 | Entry:  790.96 | Target: 1074.49 | Risk: LOW       
  OWAIS.NS        | Price:  180.65 | Entry:  177.04 | Target:  229.88 | Risk: LOW       
  ZTECH.NS        | Price:  623.50 | Entry:  611.03 | Target:  727.82 | Risk: LOW       
  CELLECOR.NS     | Price:   36.40 | Entry:   35.67 | Target:   46.31 | Risk: LOW       
  DBEIL.NS        | Price:   86.01 | Entry:   84.29 | Target:  109.35 | Risk: LOW       
  GIRIRAJ.NS      | Price:  196.50 | Entry:  192.57 | Target:  246.89 | Risk: LOW       
  OCCLLTD.NS      | Price:   99.41 | Entry:   97.42 | Target:  123.80 | Risk: LOW       
  SJLOGISTIC.NS   | Price:  335.00 | Entry:   328.3 | Target:  419.84 | Risk: LOW       
  BAHETI.NS       | Price:  585.55 | Entry:  573.84 | Target:  707.51 | Risk: LOW       
  EMAMIPAP.NS     | Price:   78.63 | Entry:   77.06 | Target:   94.85 | Risk: LOW       
  ZODIAC.NS       | Price:  324.72 | Entry:  318.23 | Target:  450.39 | Risk: LOW       
  TRANSWORLD.NS   | Price:  164.90 | Entry:   161.6 | Target:  220.30 | Risk: LOW       
  DPEL.NS         | Price:  473.40 | Entry:  463.93 | Target:  559.36 | Risk: LOW       
  EFFWA.NS        | Price:  246.30 | Entry:  241.37 | Target:  300.64 | Risk: LOW       
  MEGATHERM.NS    | Price:  287.75 | Entry:   282.0 | Target:  364.48 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  254.00 | Entry:  248.92 | Target:  320.73 | Risk: LOW       
  ATMASTCO.NS     | Price:  152.80 | Entry:  149.74 | Target:  193.16 | Risk: LOW       
  ABSMARINE.NS    | Price:  222.30 | Entry:  217.85 | Target:  291.17 | Risk: LOW       
  XTGLOBAL.NS     | Price:   32.34 | Entry:   31.69 | Target:   42.54 | Risk: LOW       
  SAHAJSOLAR.NS   | Price:  160.30 | Entry:  157.09 | Target:  206.87 | Risk: LOW       
  PCCL.NS         | Price:  286.50 | Entry:  280.77 | Target:  342.64 | Risk: LOW       
  TIGERLOGS.NS    | Price:   35.03 | Entry:   34.33 | Target:   46.22 | Risk: LOW       
  FILATFASH.NS    | Price:    0.26 | Entry:    0.25 | Target:    0.32 | Risk: LOW       
  RUBFILA.NS      | Price:   73.01 | Entry:   71.55 | Target:   88.25 | Risk: LOW       
  INFINIUM.NS     | Price:  212.00 | Entry:  207.76 | Target:  251.00 | Risk: LOW       
  SHREEKARNI.NS   | Price:  447.00 | Entry:  438.06 | Target:  517.86 | Risk: LOW       
  WTICAB.NS       | Price:  115.05 | Entry:  112.75 | Target:  150.17 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1456.80 | Entry: 1427.66 | Target: 1787.16 | Risk: LOW       
  EFACTOR.NS      | Price:  230.00 | Entry:   225.4 | Target:  282.62 | Risk: LOW       
  CMNL.NS         | Price:  131.60 | Entry:  128.97 | Target:  167.14 | Risk: LOW       
  SHERA.NS        | Price:  141.70 | Entry:  138.87 | Target:  165.82 | Risk: LOW       
  SAAKSHI.NS      | Price:  207.35 | Entry:   203.2 | Target:  236.47 | Risk: LOW       
  JAINAM.NS       | Price:  191.80 | Entry:  187.96 | Target:  198.16 | Risk: LOW       
  PRIZOR.NS       | Price:  686.70 | Entry:  672.97 | Target:  829.00 | Risk: LOW       
  UNIHEALTH.NS    | Price:  483.80 | Entry:  474.12 | Target:  628.94 | Risk: LOW       
  KRISHCA.NS      | Price:  183.20 | Entry:  179.54 | Target:  235.72 | Risk: LOW       
  KCEIL.NS        | Price:  130.75 | Entry:  128.13 | Target:  171.55 | Risk: LOW       
  CHAVDA.NS       | Price:  105.40 | Entry:  103.29 | Target:  123.22 | Risk: LOW       
  DUGLOBAL.NS     | Price:   43.25 | Entry:   42.38 | Target:   54.04 | Risk: LOW       
  RBS.NS          | Price:  101.40 | Entry:   99.37 | Target:  134.45 | Risk: LOW       
  MADHAVBAUG.NS   | Price:  241.70 | Entry:  236.87 | Target:  323.43 | Risk: LOW       
  KDL.NS          | Price:  156.20 | Entry:  153.08 | Target:  207.79 | Risk: LOW       
  PRATHAM.NS      | Price:  141.55 | Entry:  138.72 | Target:  181.48 | Risk: LOW       
  IPSL.NS         | Price:  245.00 | Entry:   240.1 | Target:  261.95 | Risk: LOW       
  TCL.NS          | Price:  106.00 | Entry:  103.88 | Target:  131.55 | Risk: LOW       
  FELIX.NS        | Price:  221.35 | Entry:  216.92 | Target:  282.99 | Risk: LOW       
  ANLON.NS        | Price:  505.15 | Entry:  495.05 | Target:  597.35 | Risk: LOW       
  ESCONET.NS      | Price:  138.75 | Entry:  135.97 | Target:  179.39 | Risk: LOW       
  COMMITTED.NS    | Price:  269.00 | Entry:  263.62 | Target:  328.20 | Risk: LOW       
  SPCL.NS         | Price:   82.45 | Entry:    80.8 | Target:  111.00 | Risk: LOW       
  SHAH.NS         | Price:    5.46 | Entry:    5.35 | Target:    6.37 | Risk: LOW       
  FIDEL.NS        | Price:  172.50 | Entry:  169.05 | Target:  215.73 | Risk: LOW       
  NEPHROCARE.NS   | Price:   88.60 | Entry:   86.83 | Target:  116.76 | Risk: LOW       
  PRITIKA.NS      | Price:   70.35 | Entry:   68.94 | Target:   81.67 | Risk: LOW       
  GRCL.NS         | Price:  403.00 | Entry:  394.94 | Target:  470.50 | Risk: LOW       
  AKIKO.NS        | Price:  225.15 | Entry:  220.65 | Target:  279.70 | Risk: LOW       
  GOLDSTAR.NS     | Price:    7.20 | Entry:    7.06 | Target:    9.02 | Risk: LOW       
  WINSOL.NS       | Price:  135.25 | Entry:  132.54 | Target:  165.75 | Risk: LOW       
  IBULLSLTD.NS    | Price:   19.73 | Entry:   19.34 | Target:   26.63 | Risk: LOW       
  PROPEQUITY.NS   | Price:  209.00 | Entry:  204.82 | Target:  229.13 | Risk: LOW       
  LLOYDS.NS       | Price:   95.05 | Entry:   93.15 | Target:  118.44 | Risk: LOW       
  ENFUSE.NS       | Price:  200.30 | Entry:  196.29 | Target:  226.69 | Risk: LOW       
  DENEERS.NS      | Price:  177.50 | Entry:  173.95 | Target:  222.54 | Risk: LOW       
  PRLIND.NS       | Price:   63.20 | Entry:   61.94 | Target:   78.68 | Risk: LOW       
  PURVFLEXI.NS    | Price:   65.35 | Entry:   64.04 | Target:   82.99 | Risk: LOW       
  SHRITECH.NS     | Price:   60.90 | Entry:   59.68 | Target:   64.17 | Risk: LOW       
  DYNAMIC.NS      | Price:  150.95 | Entry:  147.93 | Target:  203.63 | Risk: LOW       
  QMSMEDI.NS      | Price:   93.90 | Entry:   92.02 | Target:  106.53 | Risk: LOW       
  IBLFL.NS        | Price:   59.05 | Entry:   57.87 | Target:   67.94 | Risk: LOW       
  GLOBALPET.NS    | Price:  117.00 | Entry:  114.66 | Target:  133.09 | Risk: LOW       
  QUESTLAB.NS     | Price:  145.35 | Entry:  142.44 | Target:  173.78 | Risk: LOW       
  VEEKAYEM.NS     | Price:  134.00 | Entry:  131.32 | Target:  170.45 | Risk: LOW       
  SOTAC.NS        | Price:  117.00 | Entry:  114.66 | Target:  122.89 | Risk: LOW       
  TRU.NS          | Price:    6.47 | Entry:    6.34 | Target:    8.01 | Risk: LOW       
  SYLVANPLY.NS    | Price:   60.50 | Entry:   59.29 | Target:   81.98 | Risk: LOW       
  SHIGAN.NS       | Price:   73.00 | Entry:   71.54 | Target:   87.52 | Risk: LOW       
  DELAPLEX.NS     | Price:  123.75 | Entry:  121.27 | Target:  145.95 | Risk: LOW       
  SIDDHIKA.NS     | Price:  221.95 | Entry:  217.51 | Target:  237.70 | Risk: LOW       
  OMFURN.NS       | Price:   61.00 | Entry:   59.78 | Target:   81.46 | Risk: LOW       
  DCG.NS          | Price:   65.25 | Entry:   63.95 | Target:   82.16 | Risk: LOW       
  BEACON.NS       | Price:  100.50 | Entry:   98.49 | Target:  136.36 | Risk: LOW       
  DTL.NS          | Price:  115.00 | Entry:   112.7 | Target:  123.39 | Risk: LOW       
  MAHICKRA.NS     | Price:  230.00 | Entry:   225.4 | Target:  260.41 | Risk: LOW       
  ASCOM.NS        | Price:  274.00 | Entry:  268.52 | Target:  317.98 | Risk: LOW       
  OLIL.NS         | Price:  376.85 | Entry:  369.31 | Target:  441.73 | Risk: LOW       
  ROCKINGDCE.NS   | Price:  202.90 | Entry:  198.84 | Target:  278.56 | Risk: LOW       
  KLL.NS          | Price:   43.25 | Entry:   42.38 | Target:   57.43 | Risk: LOW       
  HOLMARC.NS      | Price:   94.25 | Entry:   92.36 | Target:  115.18 | Risk: LOW       
  MARC.NS         | Price:   85.20 | Entry:    83.5 | Target:  104.47 | Risk: LOW       
  SONUINFRA.NS    | Price:   61.00 | Entry:   59.78 | Target:   76.16 | Risk: LOW       
  PATTECH.NS      | Price:  106.00 | Entry:  103.88 | Target:  116.07 | Risk: LOW       
  NIRMAN.NS       | Price:   54.50 | Entry:   53.41 | Target:   69.13 | Risk: LOW       
  AMBEY.NS        | Price:   34.85 | Entry:   34.15 | Target:   47.12 | Risk: LOW       
  SILKFLEX.NS     | Price:  216.30 | Entry:  211.97 | Target:  252.66 | Risk: LOW       
  KANDARP.NS      | Price:  148.00 | Entry:  145.04 | Target:  191.34 | Risk: LOW       
  KONSTELEC.NS    | Price:   44.35 | Entry:   43.46 | Target:   55.33 | Risk: LOW       
  SANGANI.NS      | Price:   51.50 | Entry:   50.47 | Target:   57.05 | Risk: LOW       
  AURIGROW.NS     | Price:    0.34 | Entry:    0.33 | Target:    0.40 | Risk: LOW       
  VIAZ.NS         | Price:   62.95 | Entry:   61.69 | Target:   66.59 | Risk: LOW       
  PARTYCRUS.NS    | Price:   92.00 | Entry:   90.16 | Target:  110.09 | Risk: LOW       
  BAWEJA.NS       | Price:   35.95 | Entry:   35.23 | Target:   49.15 | Risk: LOW       
  FCONSUMER.NS    | Price:    0.34 | Entry:    0.33 | Target:    0.36 | Risk: LOW       
  ARISTO.NS       | Price:  116.00 | Entry:  113.68 | Target:  128.23 | Risk: LOW       
  AMEYA.NS        | Price:  111.50 | Entry:  109.27 | Target:  124.91 | Risk: LOW       
  HOMESFY.NS      | Price:  147.05 | Entry:  144.11 | Target:  168.76 | Risk: LOW       
  VELS.NS         | Price:   68.35 | Entry:   66.98 | Target:   75.99 | Risk: LOW       
  SHEKHAWATI.NS   | Price:   16.80 | Entry:   16.46 | Target:   24.30 | Risk: LOW       
  SYNOPTICS.NS    | Price:   61.50 | Entry:   60.27 | Target:   74.11 | Risk: LOW       
  ASLIND.NS       | Price:  110.00 | Entry:   107.8 | Target:  123.98 | Risk: LOW       
  BIRDYS.NS       | Price:  140.65 | Entry:  137.84 | Target:  155.97 | Risk: LOW       
  SWASTIK.NS      | Price:   21.70 | Entry:   21.27 | Target:   27.75 | Risk: LOW       
  JAIPURKURT.NS   | Price:   32.44 | Entry:   31.79 | Target:   42.55 | Risk: LOW       
  GRAPHISAD.NS    | Price:   36.40 | Entry:   35.67 | Target:   43.53 | Risk: LOW       
  SERVICE.NS      | Price:   56.80 | Entry:   55.66 | Target:   62.34 | Risk: LOW       
  DHANLAXMI.NS    | Price:   31.95 | Entry:   31.31 | Target:   41.84 | Risk: LOW       
  PRESSTONIC.NS   | Price:   46.50 | Entry:   45.57 | Target:   59.66 | Risk: LOW       
  CADSYS.NS       | Price:   64.20 | Entry:   62.92 | Target:   79.95 | Risk: LOW       
  RCDL.NS         | Price:   24.00 | Entry:   23.52 | Target:   25.50 | Risk: LOW       
  SIMBHALS.NS     | Price:   10.27 | Entry:   10.06 | Target:   12.30 | Risk: LOW       
  DKEGL.NS        | Price:   78.50 | Entry:   76.93 | Target:   92.39 | Risk: LOW       
  RULKA.NS        | Price:  107.90 | Entry:  105.74 | Target:  144.44 | Risk: LOW       
  UCL.NS          | Price:  122.50 | Entry:  120.05 | Target:  133.95 | Risk: LOW       
  UMA.NS          | Price:   20.75 | Entry:   20.34 | Target:   24.30 | Risk: LOW       
  HRHNEXT.NS      | Price:   31.50 | Entry:   30.87 | Target:   42.96 | Risk: LOW       
  KONTOR.NS       | Price:   79.30 | Entry:   77.71 | Target:   97.03 | Risk: LOW       
  AGARWALFT.NS    | Price:   38.70 | Entry:   37.93 | Target:   44.88 | Risk: LOW       
  MEDIORG.NS      | Price:   29.25 | Entry:   28.66 | Target:   36.55 | Risk: LOW       
  NEUEON.NS       | Price:   19.50 | Entry:   19.11 | Target:   20.94 | Risk: LOW       
  ASPIRE.NS       | Price:   16.50 | Entry:   16.17 | Target:   19.54 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    3.28 | Entry:    3.21 | Target:    4.14 | Risk: LOW       
  AILIMITED.NS    | Price:   41.40 | Entry:   40.57 | Target:   45.22 | Risk: LOW       
  MANDEEP.NS      | Price:   22.90 | Entry:   22.44 | Target:   26.35 | Risk: LOW       
  GUJRAFFIA.NS    | Price:   40.94 | Entry:   40.12 | Target:   52.53 | Risk: LOW       
  CMRSL.NS        | Price:   73.00 | Entry:   71.54 | Target:   78.00 | Risk: LOW       
  INSPIRE.NS      | Price:   11.00 | Entry:   10.78 | Target:   13.54 | Risk: LOW       
  DHTL.NS         | Price:   44.10 | Entry:   43.22 | Target:   45.80 | Risk: LOW       
  WINNY.NS        | Price:   49.50 | Entry:   48.51 | Target:   52.48 | Risk: LOW       
  SAROJA.NS       | Price:   33.00 | Entry:   32.34 | Target:   35.54 | Risk: LOW       
  RITEZONE.NS     | Price:   24.55 | Entry:   24.06 | Target:   28.03 | Risk: LOW       
  FALCONTECH.NS   | Price:   14.50 | Entry:   14.21 | Target:   19.55 | Risk: LOW       
  ACCORD.NS       | Price:   48.20 | Entry:   47.24 | Target:   59.24 | Risk: LOW       
  SMVD.NS         | Price:   11.50 | Entry:   11.27 | Target:   11.61 | Risk: LOW       
  SETUINFRA.NS    | Price:    0.65 | Entry:    0.64 | Target:    0.76 | Risk: LOW       
  BGLOBAL.NS      | Price:    3.10 | Entry:    3.04 | Target:    3.27 | Risk: LOW       
  QUINTEGRA.NS    | Price:    1.42 | Entry:    1.39 | Target:    1.51 | Risk: LOW       
  CLCIND.NS       | Price:   24.81 | Entry:   24.31 | Target:   26.01 | Risk: LOW       

HOLD SIGNALS (2325):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBIN.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INFY.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJFINANCE.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDUNILVR.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LICI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LT.NS           | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ITC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARUTI.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  M&M.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HCLTECH.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  KOTAKBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SUNPHARMA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AXISBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ULTRACEMCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJFINSV.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TITAN.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NTPC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPORTS.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ONGC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ETERNAL.NS      | Price:  247.03 | Trend:   0.54% | Mom:  -2.24% | Risk: LOW       
  BEL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENT.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DMART.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JSWSTEEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WIPRO.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POWERGRID.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ASIANPAINT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  COALINDIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NESTLEIND.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIGO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IOC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATASTEEL.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDZINC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HYUNDAI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GRASIM.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBILIFE.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VEDL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DLF.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  EICHERMOT.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TRENT.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDALCO.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIVISLAB.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCLIFE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IRFC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIGREEN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VBL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TVSMOTOR.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PIDILITIND.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BPCL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TECHM.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJHLDNG.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BRITANNIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AMBUJACEM.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATACAP.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BANKBARODA.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CHOLAFIN.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SHRIRAMFIN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMCV.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PNB.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIAMC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PFC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
