NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-07-22 05:06:10

BUY SIGNALS (681):
  BHARTIARTL.NS   | Price: 1944.80 | Entry:  1905.9 | Target: 2114.16 | Risk: LOW       
  IOB.NS          | Price:   34.94 | Entry:   34.24 | Target:   38.76 | Risk: LOW       
  OFSS.NS         | Price: 11586.00 | Entry: 11354.28 | Target: 13204.21 | Risk: LOW       
  LENSKART.NS     | Price:  550.00 | Entry:   539.0 | Target:  632.82 | Risk: LOW       
  PRESTIGE.NS     | Price: 1683.00 | Entry: 1649.34 | Target: 1947.00 | Risk: LOW       
  LLOYDSME.NS     | Price: 1922.80 | Entry: 1884.34 | Target: 2218.30 | Risk: LOW       
  NYKAA.NS        | Price:  332.15 | Entry:  325.51 | Target:  371.47 | Risk: LOW       
  YESBANK.NS      | Price:   23.66 | Entry:   23.19 | Target:   26.06 | Risk: LOW       
  GODREJPROP.NS   | Price: 2126.00 | Entry: 2083.48 | Target: 2430.71 | Risk: LOW       
  JSWINFRA.NS     | Price:  335.15 | Entry:  328.45 | Target:  392.11 | Risk: LOW       
  INDUSINDBK.NS   | Price: 1064.40 | Entry: 1043.11 | Target: 1198.13 | Risk: LOW       
  JSL.NS          | Price:  735.15 | Entry:  720.45 | Target:  816.10 | Risk: LOW       
  COLPAL.NS       | Price: 2068.80 | Entry: 2027.42 | Target: 2295.66 | Risk: LOW       
  BHARATFORG.NS   | Price: 2195.40 | Entry: 2151.49 | Target: 2461.91 | Risk: LOW       
  BANKINDIA.NS    | Price:  144.04 | Entry:  141.16 | Target:  167.31 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   80.95 | Entry:   79.33 | Target:   89.49 | Risk: LOW       
  FEDERALBNK.NS   | Price:  354.45 | Entry:  347.36 | Target:  395.61 | Risk: LOW       
  MPHASIS.NS      | Price: 2356.10 | Entry: 2308.98 | Target: 2744.60 | Risk: LOW       
  KALYANKJIL.NS   | Price:  596.40 | Entry:  584.47 | Target:  756.44 | Risk: LOW       
  BIOCON.NS       | Price:  434.70 | Entry:  426.01 | Target:  507.34 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1568.00 | Entry: 1536.64 | Target: 1773.89 | Risk: LOW       
  AIIL.NS         | Price:  572.00 | Entry:  560.56 | Target:  675.30 | Risk: LOW       
  JKCEMENT.NS     | Price: 5704.50 | Entry: 5590.41 | Target: 6536.65 | Risk: LOW       
  UBL.NS          | Price: 1432.00 | Entry: 1403.36 | Target: 1594.43 | Risk: LOW       
  GLAXO.NS        | Price: 2503.20 | Entry: 2453.14 | Target: 2765.38 | Risk: LOW       
  HEXT.NS         | Price:  549.20 | Entry:  538.22 | Target:  666.38 | Risk: LOW       
  VOLTAS.NS       | Price: 1322.20 | Entry: 1295.76 | Target: 1497.45 | Risk: LOW       
  PETRONET.NS     | Price:  277.00 | Entry:  271.46 | Target:  303.45 | Risk: LOW       
  CONCOR.NS       | Price:  481.15 | Entry:  471.53 | Target:  552.54 | Risk: LOW       
  M&MFIN.NS       | Price:  374.60 | Entry:  367.11 | Target:  444.33 | Risk: LOW       
  DALBHARAT.NS    | Price: 1858.60 | Entry: 1821.43 | Target: 2085.17 | Risk: LOW       
  KAYNES.NS       | Price: 3288.10 | Entry: 3222.34 | Target: 3848.03 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 4575.90 | Entry: 4484.38 | Target: 5270.83 | Risk: LOW       
  ENDURANCE.NS    | Price: 2724.20 | Entry: 2669.72 | Target: 3077.81 | Risk: LOW       
  THERMAX.NS      | Price: 4783.00 | Entry: 4687.34 | Target: 5791.12 | Risk: LOW       
  UCOBANK.NS      | Price:   26.59 | Entry:   26.06 | Target:   29.56 | Risk: LOW       
  BLUESTARCO.NS   | Price: 1680.90 | Entry: 1647.28 | Target: 1917.43 | Risk: LOW       
  GODREJIND.NS    | Price: 1341.80 | Entry: 1314.96 | Target: 1615.12 | Risk: LOW       
  POONAWALLA.NS   | Price:  462.80 | Entry:  453.54 | Target:  539.98 | Risk: LOW       
  CRISIL.NS       | Price: 4413.00 | Entry: 4324.74 | Target: 5008.64 | Risk: LOW       
  3MINDIA.NS      | Price: 35460.00 | Entry: 34750.8 | Target: 40037.06 | Risk: LOW       
  MEDANTA.NS      | Price: 1355.00 | Entry:  1327.9 | Target: 1508.46 | Risk: LOW       
  AWL.NS          | Price:  190.87 | Entry:  187.05 | Target:  218.78 | Risk: LOW       
  CDSL.NS         | Price: 1343.20 | Entry: 1316.34 | Target: 1533.26 | Risk: LOW       
  EXIDEIND.NS     | Price:  437.70 | Entry:  428.95 | Target:  488.88 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3456.00 | Entry: 3386.88 | Target: 3979.21 | Risk: LOW       
  METROBRAND.NS   | Price: 1070.70 | Entry: 1049.29 | Target: 1221.66 | Risk: LOW       
  SONACOMS.NS     | Price:  727.05 | Entry:  712.51 | Target:  813.60 | Risk: LOW       
  TVSHLTD.NS      | Price: 14721.00 | Entry: 14426.58 | Target: 17061.36 | Risk: LOW       
  SUMICHEM.NS     | Price:  532.90 | Entry:  522.24 | Target:  644.81 | Risk: LOW       
  AFFLE.NS        | Price: 1522.60 | Entry: 1492.15 | Target: 1740.89 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 7805.00 | Entry:  7648.9 | Target: 8868.93 | Risk: LOW       
  EMCURE.NS       | Price: 1883.60 | Entry: 1845.93 | Target: 2138.31 | Risk: LOW       
  PPLPHARMA.NS    | Price:  176.74 | Entry:  173.21 | Target:  215.58 | Risk: LOW       
  NUVAMA.NS       | Price: 1880.80 | Entry: 1843.18 | Target: 2234.41 | Risk: LOW       
  MRPL.NS         | Price:  177.84 | Entry:  174.28 | Target:  218.48 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1035.70 | Entry: 1014.99 | Target: 1217.97 | Risk: LOW       
  FSL.NS          | Price:  263.48 | Entry:  258.21 | Target:  314.86 | Risk: LOW       
  DEEPAKNTR.NS    | Price: 1710.30 | Entry: 1676.09 | Target: 1975.55 | Risk: LOW       
  PTCIL.NS        | Price: 17778.00 | Entry: 17422.44 | Target: 19916.93 | Risk: LOW       
  PFIZER.NS       | Price: 4568.30 | Entry: 4476.93 | Target: 5042.54 | Risk: LOW       
  ANANDRATHI.NS   | Price: 2076.70 | Entry: 2035.17 | Target: 2381.09 | Risk: LOW       
  MANAPPURAM.NS   | Price:  347.80 | Entry:  340.84 | Target:  403.80 | Risk: LOW       
  BRIGADE.NS      | Price:  548.40 | Entry:  537.43 | Target:  664.99 | Risk: LOW       
  HSCL.NS         | Price:  811.00 | Entry:  794.78 | Target:  956.63 | Risk: LOW       
  WELCORP.NS      | Price: 1623.40 | Entry: 1590.93 | Target: 1935.51 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  888.25 | Entry:  870.49 | Target: 1020.39 | Risk: LOW       
  KARURVYSYA.NS   | Price:  340.10 | Entry:   333.3 | Target:  404.58 | Risk: LOW       
  SAGILITY.NS     | Price:   41.67 | Entry:   40.84 | Target:   48.58 | Risk: LOW       
  JYOTICNC.NS     | Price:  793.85 | Entry:  777.97 | Target:  947.83 | Risk: LOW       
  IIFL.NS         | Price:  579.25 | Entry:  567.66 | Target:  679.32 | Risk: LOW       
  PSB.NS          | Price:   24.43 | Entry:   23.94 | Target:   27.21 | Risk: LOW       
  ATHERENERG.NS   | Price: 1305.00 | Entry:  1278.9 | Target: 1587.86 | Risk: LOW       
  SUNDRMFAST.NS   | Price:  951.90 | Entry:  932.86 | Target: 1041.51 | Risk: LOW       
  ABREL.NS        | Price: 1421.10 | Entry: 1392.68 | Target: 1652.57 | Risk: LOW       
  CHALET.NS       | Price:  826.50 | Entry:  809.97 | Target:  940.21 | Risk: LOW       
  ANANTRAJ.NS     | Price:  619.55 | Entry:  607.16 | Target:  730.42 | Risk: LOW       
  ECLERX.NS       | Price: 1886.50 | Entry: 1848.77 | Target: 2394.18 | Risk: LOW       
  BASF.NS         | Price: 3757.50 | Entry: 3682.35 | Target: 4312.29 | Risk: LOW       
  KFINTECH.NS     | Price:  880.50 | Entry:  862.89 | Target: 1023.08 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1602.20 | Entry: 1570.16 | Target: 1883.52 | Risk: LOW       
  JSWCEMENT.NS    | Price:  140.33 | Entry:  137.52 | Target:  155.44 | Risk: LOW       
  SAILIFE.NS      | Price: 1258.00 | Entry: 1232.84 | Target: 1450.96 | Risk: LOW       
  CGCL.NS         | Price:  244.01 | Entry:  239.13 | Target:  292.03 | Risk: LOW       
  ARE&M.NS        | Price:  902.80 | Entry:  884.74 | Target: 1033.01 | Risk: LOW       
  GRINDWELL.NS    | Price: 2061.90 | Entry: 2020.66 | Target: 2639.00 | Risk: LOW       
  ZENSARTECH.NS   | Price:  498.90 | Entry:  488.92 | Target:  649.81 | Risk: LOW       
  CENTURYPLY.NS   | Price:  789.30 | Entry:  773.51 | Target:  891.37 | Risk: LOW       
  MANYAVAR.NS     | Price:  411.55 | Entry:  403.32 | Target:  469.17 | Risk: LOW       
  LMW.NS          | Price: 16036.00 | Entry: 15715.28 | Target: 17936.76 | Risk: LOW       
  GABRIEL.NS      | Price: 1385.00 | Entry:  1357.3 | Target: 1721.11 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 9288.50 | Entry: 9102.73 | Target: 10365.07 | Risk: LOW       
  CHOICEIN.NS     | Price:  807.10 | Entry:  790.96 | Target:  919.15 | Risk: LOW       
  APTUS.NS        | Price:  294.65 | Entry:  288.76 | Target:  335.45 | Risk: LOW       
  CIEINDIA.NS     | Price:  470.75 | Entry:  461.33 | Target:  526.91 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4470.10 | Entry:  4380.7 | Target: 5363.60 | Risk: LOW       
  RRKABEL.NS      | Price: 2445.30 | Entry: 2396.39 | Target: 2961.26 | Risk: LOW       
  RAINBOW.NS      | Price: 1460.90 | Entry: 1431.68 | Target: 1648.03 | Risk: LOW       
  SYRMA.NS        | Price: 1376.10 | Entry: 1348.58 | Target: 1625.03 | Risk: LOW       
  NUVOCO.NS       | Price:  364.55 | Entry:  357.26 | Target:  461.59 | Risk: LOW       
  BATAINDIA.NS    | Price:  693.60 | Entry:  679.73 | Target:  780.49 | Risk: LOW       
  AARTIIND.NS     | Price:  488.20 | Entry:  478.44 | Target:  572.04 | Risk: LOW       
  SPLPETRO.NS     | Price:  733.75 | Entry:  719.07 | Target:  842.64 | Risk: LOW       
  PCBL.NS         | Price:  325.60 | Entry:  319.09 | Target:  381.76 | Risk: LOW       
  CEMPRO.NS       | Price: 1594.90 | Entry:  1563.0 | Target: 1950.04 | Risk: LOW       
  GODREJAGRO.NS   | Price:  572.95 | Entry:  561.49 | Target:  627.74 | Risk: LOW       
  BELRISE.NS      | Price:  231.20 | Entry:  226.58 | Target:  272.17 | Risk: LOW       
  NEWGEN.NS       | Price:  528.55 | Entry:  517.98 | Target:  701.05 | Risk: LOW       
  GRAVITA.NS      | Price: 1819.20 | Entry: 1782.82 | Target: 2133.77 | Risk: LOW       
  HOMEFIRST.NS    | Price: 1255.10 | Entry:  1230.0 | Target: 1456.10 | Risk: LOW       
  USHAMART.NS     | Price:  496.15 | Entry:  486.23 | Target:  570.69 | Risk: LOW       
  ACE.NS          | Price: 1038.90 | Entry: 1018.12 | Target: 1205.61 | Risk: LOW       
  ACUTAAS.NS      | Price: 3628.00 | Entry: 3555.44 | Target: 4244.82 | Risk: LOW       
  CCL.NS          | Price: 1210.20 | Entry:  1186.0 | Target: 1372.52 | Risk: LOW       
  INGERRAND.NS    | Price: 4520.80 | Entry: 4430.38 | Target: 5160.74 | Risk: LOW       
  INDIACEM.NS     | Price:  399.00 | Entry:  391.02 | Target:  464.30 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1306.00 | Entry: 1279.88 | Target: 1599.64 | Risk: LOW       
  CANHLIFE.NS     | Price:  154.15 | Entry:  151.07 | Target:  182.28 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4366.90 | Entry: 4279.56 | Target: 5086.17 | Risk: LOW       
  J&KBANK.NS      | Price:  184.53 | Entry:  180.84 | Target:  227.70 | Risk: LOW       
  JUBLINGREA.NS   | Price:  751.25 | Entry:  736.23 | Target:  881.16 | Risk: LOW       
  RELAXO.NS       | Price:  401.70 | Entry:  393.67 | Target:  513.68 | Risk: LOW       
  ZEEL.NS         | Price:  106.70 | Entry:  104.57 | Target:  128.52 | Risk: LOW       
  INOXINDIA.NS    | Price: 2089.50 | Entry: 2047.71 | Target: 2581.39 | Risk: LOW       
  HFCL.NS         | Price:  220.79 | Entry:  216.37 | Target:  270.30 | Risk: LOW       
  RUBICON.NS      | Price: 1479.00 | Entry: 1449.42 | Target: 1827.64 | Risk: LOW       
  PRIVISCL.NS     | Price: 3710.00 | Entry:  3635.8 | Target: 4191.50 | Risk: LOW       
  SONATSOFTW.NS   | Price:  296.55 | Entry:  290.62 | Target:  359.77 | Risk: LOW       
  AETHER.NS       | Price: 1455.10 | Entry:  1426.0 | Target: 1746.14 | Risk: LOW       
  AZAD.NS         | Price: 2341.00 | Entry: 2294.18 | Target: 2922.43 | Risk: LOW       
  NAZARA.NS       | Price:  306.65 | Entry:  300.52 | Target:  350.58 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  612.25 | Entry:   600.0 | Target:  698.63 | Risk: LOW       
  RKFORGE.NS      | Price:  576.00 | Entry:  564.48 | Target:  659.73 | Risk: LOW       
  HEG.NS          | Price:  603.35 | Entry:  591.28 | Target:  720.81 | Risk: LOW       
  PGHL.NS         | Price: 6701.50 | Entry: 6567.47 | Target: 7626.14 | Risk: LOW       
  TIMETECHNO.NS   | Price:  205.07 | Entry:  200.97 | Target:  243.71 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  485.85 | Entry:  476.13 | Target:  558.10 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1039.25 | Entry: 1018.47 | Target: 1236.16 | Risk: LOW       
  RHIM.NS         | Price:  405.65 | Entry:  397.54 | Target:  495.24 | Risk: LOW       
  JLHL.NS         | Price: 1555.00 | Entry:  1523.9 | Target: 1744.11 | Risk: LOW       
  INDIASHLTR.NS   | Price:  790.10 | Entry:   774.3 | Target:  892.42 | Risk: LOW       
  BIRLACORPN.NS   | Price:  999.50 | Entry:  979.51 | Target: 1155.16 | Risk: LOW       
  MAPMYINDIA.NS   | Price: 1052.95 | Entry: 1031.89 | Target: 1387.59 | Risk: LOW       
  UJJIVANSFB.NS   | Price:   65.34 | Entry:   64.03 | Target:   77.59 | Risk: LOW       
  HCG.NS          | Price:  659.80 | Entry:   646.6 | Target:  770.41 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 1604.60 | Entry: 1572.51 | Target: 1859.28 | Risk: LOW       
  SANSERA.NS      | Price: 3317.20 | Entry: 3250.86 | Target: 3937.95 | Risk: LOW       
  LATENTVIEW.NS   | Price:  305.60 | Entry:  299.49 | Target:  365.83 | Risk: LOW       
  BLUESTONE.NS    | Price:  858.40 | Entry:  841.23 | Target: 1070.51 | Risk: LOW       
  LLOYDSENT.NS    | Price:   79.81 | Entry:   78.21 | Target:   98.85 | Risk: LOW       
  TTKPRESTIG.NS   | Price:  655.00 | Entry:   641.9 | Target:  780.25 | Risk: LOW       
  SOUTHBANK.NS    | Price:   48.08 | Entry:   47.12 | Target:   57.76 | Risk: LOW       
  LOTUSDEV.NS     | Price:  154.21 | Entry:  151.13 | Target:  179.49 | Risk: LOW       
  SAREGAMA.NS     | Price:  505.50 | Entry:  495.39 | Target:  603.71 | Risk: LOW       
  PCJEWELLER.NS   | Price:    9.92 | Entry:    9.72 | Target:   13.51 | Risk: LOW       
  CORONA.NS       | Price: 2052.50 | Entry: 2011.45 | Target: 2382.29 | Risk: LOW       
  TANLA.NS        | Price:  561.15 | Entry:  549.93 | Target:  669.24 | Risk: LOW       
  MANORAMA.NS     | Price: 1582.20 | Entry: 1550.56 | Target: 1836.52 | Risk: LOW       
  PNGJL.NS        | Price:  656.75 | Entry:  643.62 | Target:  777.59 | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  370.20 | Entry:   362.8 | Target:  455.30 | Risk: LOW       
  BECTORFOOD.NS   | Price:  204.97 | Entry:  200.87 | Target:  262.76 | Risk: LOW       
  DIACABS.NS      | Price:  267.90 | Entry:  262.54 | Target:  342.87 | Risk: LOW       
  GARFIBRES.NS    | Price:  761.95 | Entry:  746.71 | Target:  883.88 | Risk: LOW       
  ACI.NS          | Price:  573.60 | Entry:  562.13 | Target:  659.80 | Risk: LOW       
  SHILPAMED.NS    | Price:  617.85 | Entry:  605.49 | Target:  729.89 | Risk: LOW       
  SUDEEPPHRM.NS   | Price:  848.40 | Entry:  831.43 | Target: 1038.86 | Risk: LOW       
  AKUMS.NS        | Price:  682.75 | Entry:   669.1 | Target:  819.63 | Risk: LOW       
  AJAXENGG.NS     | Price:  583.75 | Entry:  572.08 | Target:  683.50 | Risk: LOW       
  ETHOSLTD.NS     | Price: 2615.90 | Entry: 2563.58 | Target: 3092.40 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   89.15 | Entry:   87.37 | Target:  110.79 | Risk: LOW       
  TMB.NS          | Price:  809.45 | Entry:  793.26 | Target:  956.77 | Risk: LOW       
  TIPSMUSIC.NS    | Price:  694.00 | Entry:  680.12 | Target:  840.14 | Risk: LOW       
  MASTEK.NS       | Price: 1683.00 | Entry: 1649.34 | Target: 1995.89 | Risk: LOW       
  PFOCUS.NS       | Price:  286.25 | Entry:  280.52 | Target:  349.92 | Risk: LOW       
  KTKBANK.NS      | Price:  272.95 | Entry:  267.49 | Target:  312.90 | Risk: LOW       
  YATHARTH.NS     | Price:  849.00 | Entry:  832.02 | Target:  979.37 | Risk: LOW       
  CSBBANK.NS      | Price:  367.75 | Entry:  360.39 | Target:  421.14 | Risk: LOW       
  JUSTDIAL.NS     | Price:  720.75 | Entry:  706.34 | Target:  946.00 | Risk: LOW       
  THYROCARE.NS    | Price:  563.00 | Entry:  551.74 | Target:  677.91 | Risk: LOW       
  ARVINDFASN.NS   | Price:  471.15 | Entry:  461.73 | Target:  534.31 | Risk: LOW       
  ELLEN.NS        | Price:  291.00 | Entry:  285.18 | Target:  353.18 | Risk: LOW       
  CUPID.NS        | Price:  206.70 | Entry:  202.57 | Target:  280.70 | Risk: LOW       
  IFBIND.NS       | Price: 1341.00 | Entry: 1314.18 | Target: 1596.18 | Risk: LOW       
  JKPAPER.NS      | Price:  374.05 | Entry:  366.57 | Target:  421.00 | Risk: LOW       
  AVALON.NS       | Price: 1803.60 | Entry: 1767.53 | Target: 2265.03 | Risk: LOW       
  HNDFDS.NS       | Price:  568.20 | Entry:  556.84 | Target:  652.81 | Risk: LOW       
  UTLSOLAR.NS     | Price:  375.45 | Entry:  367.94 | Target:  476.25 | Risk: LOW       
  IONEXCHANG.NS   | Price:  429.05 | Entry:  420.47 | Target:  532.55 | Risk: LOW       
  WAKEFIT.NS      | Price:  131.18 | Entry:  128.56 | Target:  160.12 | Risk: LOW       
  CRAMC.NS        | Price:  283.99 | Entry:  278.31 | Target:  336.76 | Risk: LOW       
  PICCADIL.NS     | Price:  751.45 | Entry:  736.42 | Target:  907.41 | Risk: LOW       
  INDIAGLYCO.NS   | Price: 1138.00 | Entry: 1115.24 | Target: 1376.41 | Risk: LOW       
  TIIL.NS         | Price: 2579.60 | Entry: 2528.01 | Target: 2914.78 | Risk: LOW       
  SMARTWORKS.NS   | Price:  504.75 | Entry:  494.65 | Target:  594.34 | Risk: LOW       
  EMUDHRA.NS      | Price:  465.65 | Entry:  456.34 | Target:  545.26 | Risk: LOW       
  SENCO.NS        | Price:  391.70 | Entry:  383.87 | Target:  482.81 | Risk: LOW       
  FISCHER.NS      | Price:   39.27 | Entry:   38.48 | Target:   47.88 | Risk: LOW       
  STYL.NS         | Price:  372.35 | Entry:   364.9 | Target:  475.26 | Risk: LOW       
  SHOPERSTOP.NS   | Price:  382.45 | Entry:   374.8 | Target:  474.02 | Risk: LOW       
  FIEMIND.NS      | Price: 2322.30 | Entry: 2275.85 | Target: 2599.76 | Risk: LOW       
  LXCHEM.NS       | Price:  178.50 | Entry:  174.93 | Target:  213.47 | Risk: LOW       
  UNIMECH.NS      | Price: 1256.30 | Entry: 1231.17 | Target: 1544.94 | Risk: LOW       
  E2E.NS          | Price:  468.70 | Entry:  459.33 | Target:  579.93 | Risk: LOW       
  OPTIEMUS.NS     | Price:  620.00 | Entry:   607.6 | Target:  761.30 | Risk: LOW       
  ROUTE.NS        | Price:  567.45 | Entry:   556.1 | Target:  676.18 | Risk: LOW       
  ITDC.NS         | Price:  750.50 | Entry:  735.49 | Target: 1033.61 | Risk: LOW       
  SIS.NS          | Price:  441.50 | Entry:  432.67 | Target:  490.45 | Risk: LOW       
  SMLMAH.NS       | Price: 3987.80 | Entry: 3908.04 | Target: 4677.67 | Risk: LOW       
  VRLLOG.NS       | Price:  244.30 | Entry:  239.41 | Target:  274.96 | Risk: LOW       
  JSFB.NS         | Price:  552.40 | Entry:  541.35 | Target:  661.33 | Risk: LOW       
  GREAVESCOT.NS   | Price:  247.05 | Entry:  242.11 | Target:  308.56 | Risk: LOW       
  SUVEN.NS        | Price:  332.70 | Entry:  326.05 | Target:  451.65 | Risk: LOW       
  SKYGOLD.NS      | Price:  665.20 | Entry:   651.9 | Target:  817.41 | Risk: LOW       
  DBCORP.NS       | Price:  214.30 | Entry:  210.01 | Target:  262.26 | Risk: LOW       
  BALAMINES.NS    | Price: 2376.80 | Entry: 2329.26 | Target: 3020.98 | Risk: LOW       
  DCBBANK.NS      | Price:  188.22 | Entry:  184.46 | Target:  218.91 | Risk: LOW       
  SHREEJISPG.NS   | Price:  611.15 | Entry:  598.93 | Target:  699.67 | Risk: LOW       
  RAIN.NS         | Price:  219.86 | Entry:  215.46 | Target:  270.42 | Risk: LOW       
  SGMART.NS       | Price:  649.85 | Entry:  636.85 | Target:  841.39 | Risk: LOW       
  STYRENIX.NS     | Price: 2404.20 | Entry: 2356.12 | Target: 2814.13 | Risk: LOW       
