NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-02-28 18:57:33

BUY SIGNALS (152):
  FORCEMOT.NS     | Price: 24341.00 | Entry: 23854.18 | Target: 30645.64 | Risk: LOW       
  IGIL.NS         | Price:  330.00 | Entry:   323.4 | Target:  372.36 | Risk: LOW       
  TITAN.NS        | Price: 4327.50 | Entry: 4240.95 | Target: 4703.68 | Risk: LOW       
  ONGC.NS         | Price:  279.70 | Entry:  274.11 | Target:  312.96 | Risk: LOW       
  BHARATFORG.NS   | Price: 1911.20 | Entry: 1872.98 | Target: 2181.00 | Risk: LOW       
  UCOBANK.NS      | Price:   29.62 | Entry:   29.03 | Target:   33.50 | Risk: LOW       
  NTPC.NS         | Price:  381.90 | Entry:  374.26 | Target:  413.54 | Risk: LOW       
  IOC.NS          | Price:  187.47 | Entry:  183.72 | Target:  207.05 | Risk: LOW       
  DRREDDY.NS      | Price: 1286.30 | Entry: 1260.57 | Target: 1412.01 | Risk: LOW       
  THELEELA.NS     | Price:  453.55 | Entry:  444.48 | Target:  519.53 | Risk: LOW       
  MARICO.NS       | Price:  788.65 | Entry:  772.88 | Target:  862.70 | Risk: LOW       
  PNB.NS          | Price:  129.44 | Entry:  126.85 | Target:  145.15 | Risk: LOW       
  DABUR.NS        | Price:  518.50 | Entry:  508.13 | Target:  568.32 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 3483.30 | Entry: 3413.63 | Target: 4047.91 | Risk: LOW       
  POWERGRID.NS    | Price:  298.65 | Entry:  292.68 | Target:  333.02 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1737.00 | Entry: 1702.26 | Target: 1856.89 | Risk: LOW       
  GLENMARK.NS     | Price: 2136.70 | Entry: 2093.97 | Target: 2366.38 | Risk: LOW       
  BANKINDIA.NS    | Price:  176.05 | Entry:  172.53 | Target:  196.81 | Risk: LOW       
  AXISBANK.NS     | Price: 1383.90 | Entry: 1356.22 | Target: 1496.51 | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  921.70 | Entry:  903.27 | Target: 1016.86 | Risk: LOW       
  KPIL.NS         | Price: 1240.10 | Entry:  1215.3 | Target: 1420.21 | Risk: LOW       
  LUPIN.NS        | Price: 2301.90 | Entry: 2255.86 | Target: 2509.69 | Risk: LOW       
  VOLTAS.NS       | Price: 1561.30 | Entry: 1530.07 | Target: 1762.76 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  100.63 | Entry:   98.62 | Target:  113.25 | Risk: LOW       
  AKUMS.NS        | Price:  488.15 | Entry:  478.39 | Target:  574.28 | Risk: LOW       
  TIMKEN.NS       | Price: 3472.90 | Entry: 3403.44 | Target: 3988.19 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7821.50 | Entry: 7665.07 | Target: 8457.19 | Risk: LOW       
  SUPREMEIND.NS   | Price: 3975.20 | Entry:  3895.7 | Target: 4457.52 | Risk: LOW       
  PGEL.NS         | Price:  627.90 | Entry:  615.34 | Target:  724.76 | Risk: LOW       
  KARURVYSYA.NS   | Price:  326.20 | Entry:  319.68 | Target:  374.29 | Risk: LOW       
  RBLBANK.NS      | Price:  319.75 | Entry:  313.36 | Target:  367.32 | Risk: LOW       
  HSCL.NS         | Price:  484.85 | Entry:  475.15 | Target:  554.89 | Risk: LOW       
  SUNTV.NS        | Price:  647.65 | Entry:   634.7 | Target:  762.95 | Risk: LOW       
  LT.NS           | Price: 4278.30 | Entry: 4192.73 | Target: 4679.16 | Risk: LOW       
  CCL.NS          | Price: 1014.95 | Entry:  994.65 | Target: 1204.15 | Risk: LOW       
  BANDHANBNK.NS   | Price:  181.98 | Entry:  178.34 | Target:  210.38 | Risk: LOW       
  MAXHEALTH.NS    | Price: 1091.95 | Entry: 1070.11 | Target: 1202.84 | Risk: LOW       
  J&KBANK.NS      | Price:  121.39 | Entry:  118.96 | Target:  140.14 | Risk: LOW       
  TECHNOE.NS      | Price: 1173.20 | Entry: 1149.74 | Target: 1417.74 | Risk: LOW       
  CANBK.NS        | Price:  157.37 | Entry:  154.22 | Target:  176.22 | Risk: LOW       
  BEL.NS          | Price:  444.70 | Entry:  435.81 | Target:  493.43 | Risk: LOW       
  ABSLAMC.NS      | Price:  893.60 | Entry:  875.73 | Target: 1036.06 | Risk: LOW       
  PETRONET.NS     | Price:  323.40 | Entry:  316.93 | Target:  361.29 | Risk: LOW       
  ASHOKLEY.NS     | Price:  211.10 | Entry:  206.88 | Target:  238.26 | Risk: LOW       
  MOTHERSON.NS    | Price:  133.34 | Entry:  130.67 | Target:  152.64 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 5509.50 | Entry: 5399.31 | Target: 6426.11 | Risk: LOW       
  ANANDRATHI.NS   | Price: 3075.90 | Entry: 3014.38 | Target: 3343.11 | Risk: LOW       
  KSB.NS          | Price:  770.25 | Entry:  754.85 | Target:  905.50 | Risk: LOW       
  AJANTPHARM.NS   | Price: 2993.90 | Entry: 2934.02 | Target: 3288.11 | Risk: LOW       
  CHOLAFIN.NS     | Price: 1730.80 | Entry: 1696.18 | Target: 1963.41 | Risk: LOW       
  HEG.NS          | Price:  577.70 | Entry:  566.15 | Target:  696.65 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1011.55 | Entry:  991.32 | Target: 1168.26 | Risk: LOW       
  INDIANB.NS      | Price:  990.50 | Entry:  970.69 | Target: 1118.20 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4333.30 | Entry: 4246.63 | Target: 4801.90 | Risk: LOW       
  SONACOMS.NS     | Price:  534.50 | Entry:  523.81 | Target:  595.52 | Risk: LOW       
  DATAPATTNS.NS   | Price: 3210.20 | Entry:  3146.0 | Target: 3866.34 | Risk: LOW       
  ASTRAL.NS       | Price: 1667.90 | Entry: 1634.54 | Target: 1862.11 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1079.40 | Entry: 1057.81 | Target: 1211.01 | Risk: LOW       
  SCHNEIDER.NS    | Price:  906.45 | Entry:  888.32 | Target: 1136.65 | Risk: LOW       
  ABB.NS          | Price: 6073.00 | Entry: 5951.54 | Target: 6934.96 | Risk: LOW       
  POLYCAB.NS      | Price: 8610.50 | Entry: 8438.29 | Target: 9459.61 | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5710.00 | Entry:  5595.8 | Target: 6468.95 | Risk: LOW       
  FEDERALBNK.NS   | Price:  299.85 | Entry:  293.85 | Target:  332.48 | Risk: LOW       
  KIMS.NS         | Price:  745.05 | Entry:  730.15 | Target:  883.37 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 9972.50 | Entry: 9773.05 | Target: 10970.36 | Risk: LOW       
  ENRIN.NS        | Price: 2930.90 | Entry: 2872.28 | Target: 3422.33 | Risk: LOW       
  SAMMAANCAP.NS   | Price:  149.91 | Entry:  146.91 | Target:  171.01 | Risk: LOW       
  GODIGIT.NS      | Price:  335.75 | Entry:  329.03 | Target:  383.36 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  534.75 | Entry:  524.05 | Target:  633.32 | Risk: LOW       
  FORTIS.NS       | Price:  942.65 | Entry:   923.8 | Target: 1058.42 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2053.50 | Entry: 2012.43 | Target: 2281.47 | Risk: LOW       
  SOLARINDS.NS    | Price: 13504.00 | Entry: 13233.92 | Target: 15072.21 | Risk: LOW       
  ACMESOLAR.NS    | Price:  236.00 | Entry:  231.28 | Target:  275.88 | Risk: LOW       
  WELCORP.NS      | Price:  825.25 | Entry:  808.75 | Target:  929.55 | Risk: LOW       
  GRAPHITE.NS     | Price:  718.10 | Entry:  703.74 | Target:  871.69 | Risk: LOW       
  RRKABEL.NS      | Price: 1562.60 | Entry: 1531.35 | Target: 1795.39 | Risk: LOW       
  REDINGTON.NS    | Price:  280.45 | Entry:  274.84 | Target:  326.91 | Risk: LOW       
  PCBL.NS         | Price:  309.40 | Entry:  303.21 | Target:  380.99 | Risk: LOW       
  LICHSGFIN.NS    | Price:  537.75 | Entry:   527.0 | Target:  593.00 | Risk: LOW       
  CGPOWER.NS      | Price:  725.20 | Entry:   710.7 | Target:  811.31 | Risk: LOW       
  GPIL.NS         | Price:  266.02 | Entry:   260.7 | Target:  309.66 | Risk: LOW       
  ZENTEC.NS       | Price: 1359.90 | Entry:  1332.7 | Target: 1532.86 | Risk: LOW       
  FINCABLES.NS    | Price:  913.70 | Entry:  895.43 | Target: 1067.22 | Risk: LOW       
  ENDURANCE.NS    | Price: 2661.70 | Entry: 2608.47 | Target: 3103.06 | Risk: LOW       
  WHIRLPOOL.NS    | Price:  921.85 | Entry:  903.41 | Target: 1072.19 | Risk: LOW       
  SIEMENS.NS      | Price: 3418.60 | Entry: 3350.23 | Target: 3918.64 | Risk: LOW       
  NAVA.NS         | Price:  595.60 | Entry:  583.69 | Target:  674.19 | Risk: LOW       
  PRAJIND.NS      | Price:  317.95 | Entry:  311.59 | Target:  412.36 | Risk: LOW       
  DIVISLAB.NS     | Price: 6408.50 | Entry: 6280.33 | Target: 7301.18 | Risk: LOW       
  TIINDIA.NS      | Price: 2753.40 | Entry: 2698.33 | Target: 3152.22 | Risk: LOW       
  NAM-INDIA.NS    | Price:  931.20 | Entry:  912.58 | Target: 1109.29 | Risk: LOW       
  TARIL.NS        | Price:  310.14 | Entry:  303.94 | Target:  390.15 | Risk: LOW       
  IPCALAB.NS      | Price: 1528.90 | Entry: 1498.32 | Target: 1794.22 | Risk: LOW       
  DELHIVERY.NS    | Price:  433.40 | Entry:  424.73 | Target:  487.52 | Risk: LOW       
  THERMAX.NS      | Price: 3117.80 | Entry: 3055.44 | Target: 3654.55 | Risk: LOW       
  BIOCON.NS       | Price:  389.80 | Entry:   382.0 | Target:  434.53 | Risk: LOW       
  ASTERDM.NS      | Price:  654.60 | Entry:  641.51 | Target:  748.10 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1220.40 | Entry: 1195.99 | Target: 1439.58 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  562.00 | Entry:  550.76 | Target:  628.64 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1393.20 | Entry: 1365.34 | Target: 1686.06 | Risk: LOW       
  CHAMBLFERT.NS   | Price:  461.25 | Entry:  452.02 | Target:  516.18 | Risk: LOW       
  POWERINDIA.NS   | Price: 25562.00 | Entry: 25050.76 | Target: 28794.50 | Risk: LOW       
  TRIVENI.NS      | Price:  394.90 | Entry:   387.0 | Target:  451.44 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  470.60 | Entry:  461.19 | Target:  532.74 | Risk: LOW       
  NATCOPHARM.NS   | Price:  988.50 | Entry:  968.73 | Target: 1174.32 | Risk: LOW       
  SAILIFE.NS      | Price:  998.25 | Entry:  978.28 | Target: 1164.02 | Risk: LOW       
  CUMMINSIND.NS   | Price: 4898.30 | Entry: 4800.33 | Target: 5509.39 | Risk: LOW       
  AMBER.NS        | Price: 7974.00 | Entry: 7814.52 | Target: 9076.86 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1075.80 | Entry: 1054.28 | Target: 1228.84 | Risk: LOW       
  APARINDS.NS     | Price: 11180.50 | Entry: 10956.89 | Target: 13418.00 | Risk: LOW       
  GVT&D.NS        | Price: 3850.20 | Entry:  3773.2 | Target: 4543.02 | Risk: LOW       
  TEJASNET.NS     | Price:  435.85 | Entry:  427.13 | Target:  534.05 | Risk: LOW       
  RICOAUTO.NS     | Price:  132.22 | Entry:  129.58 | Target:  168.45 | Risk: LOW       

HOLD SIGNALS (145):
  IFCI.NS         | Price:   59.98 | Trend:   5.57% | Mom:  -4.60% | Risk: LOW       
  HINDCOPPER.NS   | Price:  566.30 | Trend:   2.41% | Mom:  -4.28% | Risk: LOW       
  HINDZINC.NS     | Price:  603.80 | Trend:  -3.82% | Mom:   1.85% | Risk: LOW       
  ANANTRAJ.NS     | Price:  529.80 | Trend:  -3.13% | Mom:  -0.61% | Risk: LOW       
  LINDEINDIA.NS   | Price: 6730.00 | Trend:   8.96% | Mom:  -2.46% | Risk: LOW       
  GODFRYPHLP.NS   | Price: 2115.40 | Trend:  -6.53% | Mom:   1.61% | Risk: LOW       
  IEX.NS          | Price:  125.64 | Trend:  -4.19% | Mom:   1.36% | Risk: LOW       
  ASIANPAINT.NS   | Price: 2376.20 | Trend:  -8.95% | Mom:   0.41% | Risk: LOW       
  GMDCLTD.NS      | Price:  569.40 | Trend:  -0.42% | Mom:  -0.30% | Risk: LOW       
  BLUEJET.NS      | Price:  405.30 | Trend: -11.46% | Mom:   2.01% | Risk: LOW       
  HINDALCO.NS     | Price:  924.70 | Trend:  -0.10% | Mom:   1.73% | Risk: LOW       
  RECLTD.NS       | Price:  349.80 | Trend:  -2.63% | Mom:   0.84% | Risk: LOW       
  NAVINFLUOR.NS   | Price: 6256.50 | Trend:   2.57% | Mom:  -0.75% | Risk: LOW       
  ATUL.NS         | Price: 6674.00 | Trend:   7.22% | Mom:   0.60% | Risk: LOW       
  NLCINDIA.NS     | Price:  260.05 | Trend:   1.87% | Mom:   0.29% | Risk: LOW       
  JYOTICNC.NS     | Price:  820.45 | Trend:  -7.50% | Mom:  -0.86% | Risk: LOW       
  PIIND.NS        | Price: 3117.30 | Trend:  -2.01% | Mom:  -0.89% | Risk: LOW       
  AIIL.NS         | Price:  481.85 | Trend: -12.85% | Mom:  -0.93% | Risk: LOW       
  MEDANTA.NS      | Price: 1138.80 | Trend:  -0.53% | Mom:  -0.03% | Risk: LOW       
  M&MFIN.NS       | Price:  374.30 | Trend:   0.06% | Mom:   2.99% | Risk: LOW       
  ULTRACEMCO.NS   | Price: 12677.00 | Trend:   2.25% | Mom:  -2.21% | Risk: LOW       
  HINDUNILVR.NS   | Price: 2338.10 | Trend:  -0.81% | Mom:   1.43% | Risk: LOW       
  TATAPOWER.NS    | Price:  377.55 | Trend:   1.50% | Mom:   0.92% | Risk: LOW       
  SBIN.NS         | Price: 1201.70 | Trend:  12.00% | Mom:   0.26% | Risk: LOW       
  PTCIL.NS        | Price: 17936.00 | Trend:  -0.26% | Mom:  -2.44% | Risk: LOW       
  KAYNES.NS       | Price: 3856.50 | Trend:   1.28% | Mom:  -2.18% | Risk: LOW       
  GRSE.NS         | Price: 2434.10 | Trend:  -0.34% | Mom:   0.05% | Risk: LOW       
  HYUNDAI.NS      | Price: 2165.40 | Trend:  -3.84% | Mom:  -0.65% | Risk: LOW       
  TATACONSUM.NS   | Price: 1141.00 | Trend:  -2.31% | Mom:   0.78% | Risk: LOW       
  NSLNISP.NS      | Price:   40.57 | Trend:  -2.48% | Mom:   0.52% | Risk: LOW       
  PIDILITIND.NS   | Price: 1492.00 | Trend:   1.36% | Mom:   0.86% | Risk: LOW       
  ICICIBANK.NS    | Price: 1378.90 | Trend:  -0.47% | Mom:  -2.52% | Risk: LOW       
  ADANIENT.NS     | Price: 2161.80 | Trend:  -0.53% | Mom:   1.18% | Risk: LOW       
  NESTLEIND.NS    | Price: 1291.70 | Trend:   0.02% | Mom:   0.71% | Risk: LOW       
  EXIDEIND.NS     | Price:  334.30 | Trend:  -2.84% | Mom:  -0.74% | Risk: LOW       
  SCI.NS          | Price:  263.47 | Trend:  14.45% | Mom:   0.95% | Risk: LOW       
  CONCORDBIO.NS   | Price: 1220.60 | Trend:  -3.09% | Mom:   3.06% | Risk: LOW       
  SBILIFE.NS      | Price: 2037.20 | Trend:  -0.33% | Mom:   0.15% | Risk: LOW       
  ATHERENERG.NS   | Price:  710.90 | Trend:   4.06% | Mom:   0.37% | Risk: LOW       
  ABBOTINDIA.NS   | Price: 26530.00 | Trend:  -3.66% | Mom:   0.26% | Risk: LOW       
  BDL.NS          | Price: 1265.20 | Trend:  -9.54% | Mom:   1.74% | Risk: LOW       
  GICRE.NS        | Price:  383.05 | Trend:   1.74% | Mom:  -1.93% | Risk: LOW       
  AIAENG.NS       | Price: 3851.60 | Trend:  -2.05% | Mom:  -0.26% | Risk: LOW       
  ICICIGI.NS      | Price: 1901.50 | Trend:  -0.23% | Mom:  -0.76% | Risk: LOW       
  VBL.NS          | Price:  451.40 | Trend:  -4.71% | Mom:   0.47% | Risk: LOW       
  ADANIPOWER.NS   | Price:  140.11 | Trend:  -2.07% | Mom:   0.15% | Risk: LOW       
  APLAPOLLO.NS    | Price: 2234.60 | Trend:   9.43% | Mom:  -0.50% | Risk: LOW       
  NCC.NS          | Price:  152.64 | Trend:   0.15% | Mom:   0.47% | Risk: LOW       
  DMART.NS        | Price: 3847.60 | Trend:   1.12% | Mom:  -1.58% | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1582.80 | Trend:  -0.48% | Mom:  -1.36% | Risk: LOW       
  ADANIPORTS.NS   | Price: 1521.00 | Trend:   2.74% | Mom:   0.13% | Risk: LOW       
  GLAXO.NS        | Price: 2571.60 | Trend:   3.80% | Mom:  -0.88% | Risk: LOW       
  SHREECEM.NS     | Price: 26075.00 | Trend:  -2.78% | Mom:  -0.21% | Risk: LOW       
  HDFCLIFE.NS     | Price:  715.30 | Trend:  -2.64% | Mom:   2.65% | Risk: LOW       
  RKFORGE.NS      | Price:  551.80 | Trend:   4.60% | Mom:  -3.41% | Risk: LOW       
  INDGN.NS        | Price:  496.30 | Trend:  -0.45% | Mom:   4.55% | Risk: LOW       
  ABCAPITAL.NS    | Price:  344.45 | Trend:  -1.69% | Mom:   2.45% | Risk: LOW       
  NHPC.NS         | Price:   75.33 | Trend:  -2.56% | Mom:  -0.19% | Risk: LOW       
  TATACHEM.NS     | Price:  717.40 | Trend:  -2.20% | Mom:   3.19% | Risk: LOW       
  YESBANK.NS      | Price:   20.72 | Trend:  -4.44% | Mom:  -0.67% | Risk: LOW       
  RVNL.NS         | Price:  316.35 | Trend:  -4.26% | Mom:   2.40% | Risk: LOW       
  LICI.NS         | Price:  849.40 | Trend:   0.17% | Mom:  -1.51% | Risk: LOW       
  SHYAMMETL.NS    | Price:  860.30 | Trend:   2.31% | Mom:  -2.18% | Risk: LOW       
  JSL.NS          | Price:  776.35 | Trend:  -2.36% | Mom:   1.59% | Risk: LOW       
  ITC.NS          | Price:  313.60 | Trend:  -6.73% | Mom:  -0.05% | Risk: LOW       
  AKZOINDIA.NS    | Price: 2935.30 | Trend:  -3.46% | Mom:  -0.53% | Risk: LOW       
  JINDALSAW.NS    | Price:  185.37 | Trend:   5.01% | Mom:  -2.53% | Risk: LOW       
  TATAINVEST.NS   | Price:  658.70 | Trend:  -0.61% | Mom:   4.53% | Risk: LOW       
  CONCOR.NS       | Price:  495.65 | Trend:  -2.45% | Mom:  -0.53% | Risk: LOW       
  OFSS.NS         | Price: 6932.00 | Trend:  -7.03% | Mom:   4.41% | Risk: LOW       
  INTELLECT.NS    | Price:  697.60 | Trend: -19.02% | Mom:   2.75% | Risk: LOW       
  BIKAJI.NS       | Price:  638.15 | Trend:  -6.75% | Mom:  -0.25% | Risk: LOW       
  KAJARIACER.NS   | Price:  957.10 | Trend:  -1.22% | Mom:   1.82% | Risk: LOW       
  AAVAS.NS        | Price: 1285.60 | Trend:  -8.35% | Mom:  -0.08% | Risk: LOW       
  TVSMOTOR.NS     | Price: 3869.70 | Trend:   3.35% | Mom:   0.13% | Risk: LOW       
  COCHINSHIP.NS   | Price: 1491.70 | Trend:  -3.46% | Mom:   1.28% | Risk: LOW       
  CIPLA.NS        | Price: 1348.20 | Trend:  -3.73% | Mom:   1.25% | Risk: LOW       
  GODREJAGRO.NS   | Price:  640.25 | Trend:  11.43% | Mom:  -1.68% | Risk: LOW       
  UNITDSPR.NS     | Price: 1380.80 | Trend:   0.23% | Mom:  -1.54% | Risk: LOW       
  ADANIGREEN.NS   | Price:  947.35 | Trend:  -1.15% | Mom:  -0.33% | Risk: LOW       
  JYOTHYLAB.NS    | Price:  253.46 | Trend:  -2.02% | Mom:   3.76% | Risk: LOW       
  ICICIPRULI.NS   | Price:  654.50 | Trend:  -0.40% | Mom:   1.69% | Risk: LOW       
  INDUSTOWER.NS   | Price:  454.95 | Trend:   3.39% | Mom:  -2.50% | Risk: LOW       
  LTFOODS.NS      | Price:  402.30 | Trend:   3.22% | Mom:  -7.47% | Risk: LOW       
  NTPCGREEN.NS    | Price:   90.14 | Trend:  -0.77% | Mom:   1.27% | Risk: LOW       
  CARBORUNIV.NS   | Price:  823.25 | Trend:  -0.18% | Mom:  -0.27% | Risk: LOW       
  NYKAA.NS        | Price:  265.48 | Trend:   2.75% | Mom:  -2.02% | Risk: LOW       
  BLUESTARCO.NS   | Price: 1941.20 | Trend:   5.53% | Mom:  -2.80% | Risk: LOW       
  VIJAYA.NS       | Price: 1004.50 | Trend:   0.35% | Mom:   1.66% | Risk: LOW       
  BLUEDART.NS     | Price: 5682.50 | Trend:   2.29% | Mom:  -2.22% | Risk: LOW       
  FINPIPE.NS      | Price:  185.25 | Trend:   4.42% | Mom:  -1.84% | Risk: LOW       
  RAINBOW.NS      | Price: 1189.70 | Trend:  -3.85% | Mom:   0.30% | Risk: LOW       
  TRITURBINE.NS   | Price:  489.20 | Trend:  -3.19% | Mom:  -0.31% | Risk: LOW       
  CROMPTON.NS     | Price:  257.85 | Trend:   2.38% | Mom:  -3.61% | Risk: LOW       
  BRITANNIA.NS    | Price: 6002.50 | Trend:   0.23% | Mom:   0.37% | Risk: LOW       
  MFSL.NS         | Price: 1813.40 | Trend:   6.05% | Mom:  -0.63% | Risk: LOW       
  GILLETTE.NS     | Price: 8342.50 | Trend:   1.76% | Mom:  -2.46% | Risk: LOW       
  PFIZER.NS       | Price: 5062.20 | Trend:   3.62% | Mom:   0.49% | Risk: LOW       
  CASTROLIND.NS   | Price:  186.91 | Trend:  -0.09% | Mom:   0.92% | Risk: LOW       
  CESC.NS         | Price:  158.15 | Trend:   0.39% | Mom:   5.20% | Risk: LOW       
  AARTIIND.NS     | Price:  447.15 | Trend:  12.16% | Mom:   0.17% | Risk: LOW       
  INOXINDIA.NS    | Price: 1163.00 | Trend:   3.00% | Mom:  -0.55% | Risk: LOW       
  RAMCOCEM.NS     | Price: 1129.80 | Trend:   2.62% | Mom:  -1.30% | Risk: LOW       
  IRB.NS          | Price:   41.71 | Trend:   0.04% | Mom:  -5.09% | Risk: LOW       
  LTF.NS          | Price:  283.95 | Trend:  -4.38% | Mom:  -0.40% | Risk: LOW       
  HONASA.NS       | Price:  303.00 | Trend:   5.85% | Mom:   0.51% | Risk: LOW       
  EICHERMOT.NS    | Price: 8010.50 | Trend:   7.44% | Mom:  -0.68% | Risk: LOW       
  LTTS.NS         | Price: 3512.40 | Trend: -11.75% | Mom:   0.09% | Risk: LOW       
  AGARWALEYE.NS   | Price:  451.70 | Trend:  -4.55% | Mom:  -0.74% | Risk: LOW       
  BOSCHLTD.NS     | Price: 36425.00 | Trend:  -0.11% | Mom:   2.05% | Risk: LOW       
  SBICARD.NS      | Price:  774.40 | Trend:  -4.63% | Mom:   1.80% | Risk: LOW       
  LLOYDSME.NS     | Price: 1233.00 | Trend:  -0.45% | Mom:   3.58% | Risk: LOW       
  BAYERCROP.NS    | Price: 4672.40 | Trend:   3.04% | Mom:  -2.48% | Risk: LOW       
  BAJFINANCE.NS   | Price:  995.90 | Trend:   1.82% | Mom:  -2.82% | Risk: LOW       
  TMPV.NS         | Price:  382.65 | Trend:   5.13% | Mom:   0.63% | Risk: LOW       
  USHAMART.NS     | Price:  418.40 | Trend:  -2.40% | Mom:   2.32% | Risk: LOW       
  HAVELLS.NS      | Price: 1397.10 | Trend:   0.27% | Mom:  -0.49% | Risk: LOW       
  RHIM.NS         | Price:  434.65 | Trend:  -3.05% | Mom:  -0.46% | Risk: LOW       
  STARHEALTH.NS   | Price:  465.50 | Trend:   2.09% | Mom:  -0.50% | Risk: LOW       
