NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-13 03:57:40

BUY SIGNALS (904):
  RELIANCE.NS     | Price: 1329.00 | Entry: 1302.42 | Target: 1424.43 | Risk: LOW       
  BOSCHLTD.NS     | Price: 46480.00 | Entry: 45550.4 | Target: 52526.71 | Risk: LOW       
  ABB.NS          | Price: 7710.00 | Entry:  7555.8 | Target: 8689.85 | Risk: LOW       
  MOTHERSON.NS    | Price:  169.50 | Entry:  166.11 | Target:  194.77 | Risk: LOW       
  LGEINDIA.NS     | Price: 1578.80 | Entry: 1547.22 | Target: 1739.73 | Risk: LOW       
  UNIONBANK.NS    | Price:  187.00 | Entry:  183.26 | Target:  208.92 | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5895.00 | Entry:  5777.1 | Target: 6575.71 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1112.00 | Entry: 1089.76 | Target: 1236.50 | Risk: LOW       
  INDIANB.NS      | Price:  897.00 | Entry:  879.06 | Target:  984.38 | Risk: LOW       
  UNITDSPR.NS     | Price: 1535.00 | Entry:  1504.3 | Target: 1697.82 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1205.00 | Entry:  1180.9 | Target: 1344.21 | Risk: LOW       
  HAVELLS.NS      | Price: 1265.00 | Entry:  1239.7 | Target: 1364.82 | Risk: LOW       
  NAUKRI.NS       | Price: 1339.00 | Entry: 1312.22 | Target: 1545.59 | Risk: LOW       
  BHEL.NS         | Price:  420.00 | Entry:   411.6 | Target:  468.30 | Risk: LOW       
  POWERINDIA.NS   | Price: 35800.00 | Entry: 35084.0 | Target: 41785.71 | Risk: LOW       
  MEESHO.NS       | Price:  191.89 | Entry:  188.05 | Target:  221.88 | Risk: LOW       
  POLICYBZR.NS    | Price: 1739.00 | Entry: 1704.22 | Target: 1989.75 | Risk: LOW       
  ASHOKLEY.NS     | Price:  176.70 | Entry:  173.17 | Target:  198.32 | Risk: LOW       
  ABCAPITAL.NS    | Price:  410.95 | Entry:  402.73 | Target:  465.41 | Risk: LOW       
  PAYTM.NS        | Price: 1610.00 | Entry:  1577.8 | Target: 1855.86 | Risk: LOW       
  OFSS.NS         | Price: 11679.00 | Entry: 11445.42 | Target: 13298.64 | Risk: LOW       
  LENSKART.NS     | Price:  586.45 | Entry:  574.72 | Target:  659.38 | Risk: LOW       
  UNOMINDA.NS     | Price: 1232.40 | Entry: 1207.75 | Target: 1388.22 | Risk: LOW       
  OIL.NS          | Price:  472.00 | Entry:  462.56 | Target:  534.82 | Risk: LOW       
  COROMANDEL.NS   | Price: 2073.30 | Entry: 2031.83 | Target: 2309.91 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1667.00 | Entry: 1633.66 | Target: 1860.29 | Risk: LOW       
  BERGEPAINT.NS   | Price:  559.80 | Entry:   548.6 | Target:  642.36 | Risk: LOW       
  LTF.NS          | Price:  317.20 | Entry:  310.86 | Target:  358.06 | Risk: LOW       
  JSWINFRA.NS     | Price:  346.60 | Entry:  339.67 | Target:  397.21 | Risk: LOW       
  JSL.NS          | Price:  737.90 | Entry:  723.14 | Target:  818.67 | Risk: LOW       
  AUBANK.NS       | Price: 1091.40 | Entry: 1069.57 | Target: 1219.46 | Risk: LOW       
  COFORGE.NS      | Price: 1801.50 | Entry: 1765.47 | Target: 2076.25 | Risk: LOW       
  BANKINDIA.NS    | Price:  145.50 | Entry:  142.59 | Target:  161.18 | Risk: LOW       
  IRCTC.NS        | Price:  513.55 | Entry:  503.28 | Target:  561.66 | Risk: LOW       
  BDL.NS          | Price: 1340.00 | Entry:  1313.2 | Target: 1489.89 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   85.80 | Entry:   84.08 | Target:   94.77 | Risk: LOW       
  GLENMARK.NS     | Price: 2290.00 | Entry:  2244.2 | Target: 2556.18 | Risk: LOW       
  SAIL.NS         | Price:  174.00 | Entry:  170.52 | Target:  202.26 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1182.30 | Entry: 1158.65 | Target: 1339.41 | Risk: LOW       
  MPHASIS.NS      | Price: 2537.60 | Entry: 2486.85 | Target: 2937.24 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1850.00 | Entry:  1813.0 | Target: 2062.57 | Risk: LOW       
  GODFRYPHLP.NS   | Price: 2199.00 | Entry: 2155.02 | Target: 2627.97 | Risk: LOW       
  APLAPOLLO.NS    | Price: 1997.10 | Entry: 1957.16 | Target: 2264.42 | Risk: LOW       
  BALKRISIND.NS   | Price: 2496.90 | Entry: 2446.96 | Target: 2988.29 | Risk: LOW       
  COCHINSHIP.NS   | Price: 1506.00 | Entry: 1475.88 | Target: 1654.75 | Risk: LOW       
  ANTHEM.NS       | Price:  878.40 | Entry:  860.83 | Target: 1003.70 | Risk: LOW       
  NATIONALUM.NS   | Price:  420.00 | Entry:   411.6 | Target:  478.14 | Risk: LOW       
  DALBHARAT.NS    | Price: 1841.40 | Entry: 1804.57 | Target: 2077.11 | Risk: LOW       
  JUBLFOOD.NS     | Price:  484.70 | Entry:  475.01 | Target:  555.58 | Risk: LOW       
  ESCORTS.NS      | Price: 3126.00 | Entry: 3063.48 | Target: 3419.71 | Risk: LOW       
  RADICO.NS       | Price: 4533.00 | Entry: 4442.34 | Target: 5100.11 | Risk: LOW       
  KAYNES.NS       | Price: 3828.00 | Entry: 3751.44 | Target: 4610.96 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 4565.80 | Entry: 4474.48 | Target: 5317.59 | Risk: LOW       
  ENDURANCE.NS    | Price: 3019.70 | Entry: 2959.31 | Target: 3469.64 | Risk: LOW       
  KEI.NS          | Price: 5754.00 | Entry: 5638.92 | Target: 6470.57 | Risk: LOW       
  3MINDIA.NS      | Price: 35935.00 | Entry: 35216.3 | Target: 39992.14 | Risk: LOW       
  APARINDS.NS     | Price: 18000.00 | Entry: 17640.0 | Target: 21586.07 | Risk: LOW       
  AWL.NS          | Price:  194.24 | Entry:  190.36 | Target:  216.35 | Risk: LOW       
  ASTERDM.NS      | Price:  827.95 | Entry:  811.39 | Target:  970.00 | Risk: LOW       
  EXIDEIND.NS     | Price:  490.65 | Entry:  480.84 | Target:  576.95 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3541.00 | Entry: 3470.18 | Target: 3980.60 | Risk: LOW       
  AIAENG.NS       | Price: 4781.60 | Entry: 4685.97 | Target: 5448.60 | Risk: LOW       
  COHANCE.NS      | Price:  444.35 | Entry:  435.46 | Target:  531.23 | Risk: LOW       
  GLAND.NS        | Price: 2891.20 | Entry: 2833.38 | Target: 3361.17 | Risk: LOW       
  APOLLOTYRE.NS   | Price:  443.00 | Entry:  434.14 | Target:  493.23 | Risk: LOW       
  NIACL.NS        | Price:  181.09 | Entry:  177.47 | Target:  214.04 | Risk: LOW       
  HINDCOPPER.NS   | Price:  550.60 | Entry:  539.59 | Target:  644.76 | Risk: LOW       
  SONACOMS.NS     | Price:  804.50 | Entry:  788.41 | Target:  931.38 | Risk: LOW       
  TATATECH.NS     | Price:  835.00 | Entry:   818.3 | Target:  984.59 | Risk: LOW       
  PINELABS.NS     | Price:  168.40 | Entry:  165.03 | Target:  209.33 | Risk: LOW       
  SUMICHEM.NS     | Price:  547.45 | Entry:   536.5 | Target:  651.81 | Risk: LOW       
  AFFLE.NS        | Price: 1677.30 | Entry: 1643.75 | Target: 2048.05 | Risk: LOW       
  AEGISLOG.NS     | Price: 1286.90 | Entry: 1261.16 | Target: 1643.22 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 8395.00 | Entry:  8227.1 | Target: 9855.00 | Risk: LOW       
  EMCURE.NS       | Price: 2009.60 | Entry: 1969.41 | Target: 2279.31 | Risk: LOW       
  LALPATHLAB.NS   | Price: 1949.00 | Entry: 1910.02 | Target: 2270.03 | Risk: LOW       
  PPLPHARMA.NS    | Price:  210.25 | Entry:  206.04 | Target:  247.26 | Risk: LOW       
  ZFCVINDIA.NS    | Price: 2616.30 | Entry: 2563.97 | Target: 2939.23 | Risk: LOW       
  MRPL.NS         | Price:  174.20 | Entry:  170.72 | Target:  210.93 | Risk: LOW       
  RAMCOCEM.NS     | Price:  920.00 | Entry:   901.6 | Target: 1050.48 | Risk: LOW       
  DEEPAKNTR.NS    | Price: 1719.80 | Entry:  1685.4 | Target: 1997.04 | Risk: LOW       
  PTCIL.NS        | Price: 19000.00 | Entry: 18620.0 | Target: 21364.29 | Risk: LOW       
  PFIZER.NS       | Price: 5045.80 | Entry: 4944.88 | Target: 5561.23 | Risk: LOW       
  ANANDRATHI.NS   | Price: 2189.00 | Entry: 2145.22 | Target: 2429.68 | Risk: LOW       
  KIOCL.NS        | Price:  395.20 | Entry:   387.3 | Target:  468.97 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1147.90 | Entry: 1124.94 | Target: 1336.91 | Risk: LOW       
  BRIGADE.NS      | Price:  592.45 | Entry:   580.6 | Target:  686.23 | Risk: LOW       
  FORCEMOT.NS     | Price: 19380.00 | Entry: 18992.4 | Target: 22020.36 | Risk: LOW       
  WELCORP.NS      | Price: 1873.00 | Entry: 1835.54 | Target: 2143.14 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  896.65 | Entry:  878.72 | Target: 1009.13 | Risk: LOW       
  IIFL.NS         | Price:  628.70 | Entry:  616.13 | Target:  713.43 | Risk: LOW       
  REDINGTON.NS    | Price:  343.80 | Entry:  336.92 | Target:  434.85 | Risk: LOW       
  HATSUN.NS       | Price:  949.35 | Entry:  930.36 | Target: 1078.80 | Risk: LOW       
  URBANCO.NS      | Price:  141.89 | Entry:  139.05 | Target:  170.59 | Risk: LOW       
  KPIL.NS         | Price: 1382.40 | Entry: 1354.75 | Target: 1585.83 | Risk: LOW       
  ATHERENERG.NS   | Price: 1551.90 | Entry: 1520.86 | Target: 1877.86 | Risk: LOW       
  SUNDRMFAST.NS   | Price: 1210.00 | Entry:  1185.8 | Target: 1384.55 | Risk: LOW       
  CASTROLIND.NS   | Price:  189.00 | Entry:  185.22 | Target:  201.72 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1425.00 | Entry:  1396.5 | Target: 1690.89 | Risk: LOW       
  POLYMED.NS      | Price: 1862.10 | Entry: 1824.86 | Target: 2166.74 | Risk: LOW       
  BASF.NS         | Price: 4005.40 | Entry: 3925.29 | Target: 4655.88 | Risk: LOW       
  KANSAINER.NS    | Price:  208.16 | Entry:   204.0 | Target:  244.86 | Risk: LOW       
  DEVYANI.NS      | Price:  139.98 | Entry:  137.18 | Target:  172.45 | Risk: LOW       
  NEULANDLAB.NS   | Price: 22562.00 | Entry: 22110.76 | Target: 27163.79 | Risk: LOW       
  KAJARIACER.NS   | Price: 1265.80 | Entry: 1240.48 | Target: 1439.26 | Risk: LOW       
  ATUL.NS         | Price: 6911.00 | Entry: 6772.78 | Target: 7936.54 | Risk: LOW       
  APLLTD.NS       | Price:  842.40 | Entry:  825.55 | Target:  949.36 | Risk: LOW       
  SAILIFE.NS      | Price: 1454.10 | Entry: 1425.02 | Target: 1690.24 | Risk: LOW       
  CGCL.NS         | Price:  230.66 | Entry:  226.05 | Target:  283.87 | Risk: LOW       
  ARE&M.NS        | Price:  976.65 | Entry:  957.12 | Target: 1137.39 | Risk: LOW       
  GRINDWELL.NS    | Price: 2109.50 | Entry: 2067.31 | Target: 2424.36 | Risk: LOW       
  SKFINDIA.NS     | Price: 1565.80 | Entry: 1534.48 | Target: 1747.19 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 13786.00 | Entry: 13510.28 | Target: 16267.43 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1145.20 | Entry:  1122.3 | Target: 1332.29 | Risk: LOW       
  RBLBANK.NS      | Price:  388.40 | Entry:  380.63 | Target:  426.49 | Risk: LOW       
  BEML.NS         | Price: 1911.50 | Entry: 1873.27 | Target: 2221.64 | Risk: LOW       
  MANYAVAR.NS     | Price:  518.85 | Entry:  508.47 | Target:  630.21 | Risk: LOW       
  NETWEB.NS       | Price: 4898.40 | Entry: 4800.43 | Target: 5911.79 | Risk: LOW       
  TBOTEK.NS       | Price: 1595.00 | Entry:  1563.1 | Target: 1926.32 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1441.50 | Entry: 1412.67 | Target: 1706.36 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1398.60 | Entry: 1370.63 | Target: 1645.10 | Risk: LOW       
  CPPLUS.NS       | Price: 3970.50 | Entry: 3891.09 | Target: 4769.07 | Risk: LOW       
  LMW.NS          | Price: 17469.00 | Entry: 17119.62 | Target: 20359.71 | Risk: LOW       
  ACMESOLAR.NS    | Price:  374.65 | Entry:  367.16 | Target:  441.08 | Risk: LOW       
  GABRIEL.NS      | Price: 1476.40 | Entry: 1446.87 | Target: 1824.27 | Risk: LOW       
  GMDCLTD.NS      | Price:  604.95 | Entry:  592.85 | Target:  694.06 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 10543.50 | Entry: 10332.63 | Target: 12312.07 | Risk: LOW       
  CHOICEIN.NS     | Price:  813.80 | Entry:  797.52 | Target:  894.19 | Risk: LOW       
  VGUARD.NS       | Price:  337.05 | Entry:  330.31 | Target:  403.68 | Risk: LOW       
  JMFINANCIL.NS   | Price:  129.41 | Entry:  126.82 | Target:  148.66 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4533.90 | Entry: 4443.22 | Target: 5381.19 | Risk: LOW       
  LTFOODS.NS      | Price:  427.30 | Entry:  418.75 | Target:  487.67 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1919.00 | Entry: 1880.62 | Target: 2236.33 | Risk: LOW       
  AGARWALEYE.NS   | Price:  501.10 | Entry:  491.08 | Target:  625.74 | Risk: LOW       
  RRKABEL.NS      | Price: 2804.20 | Entry: 2748.12 | Target: 3322.45 | Risk: LOW       
  CEATLTD.NS      | Price: 3727.00 | Entry: 3652.46 | Target: 4183.17 | Risk: LOW       
  SYRMA.NS        | Price: 1490.60 | Entry: 1460.79 | Target: 1770.10 | Risk: LOW       
  FINEORG.NS      | Price: 5232.10 | Entry: 5127.46 | Target: 6069.57 | Risk: LOW       
  BATAINDIA.NS    | Price:  719.85 | Entry:  705.45 | Target:  821.29 | Risk: LOW       
  BLS.NS          | Price:  264.50 | Entry:  259.21 | Target:  305.96 | Risk: LOW       
  AARTIIND.NS     | Price:  536.10 | Entry:  525.38 | Target:  611.40 | Risk: LOW       
  THELEELA.NS     | Price:  504.25 | Entry:  494.16 | Target:  591.48 | Risk: LOW       
  ZENTEC.NS       | Price: 1833.20 | Entry: 1796.54 | Target: 2132.81 | Risk: LOW       
  INDGN.NS        | Price:  569.75 | Entry:  558.36 | Target:  679.58 | Risk: LOW       
  MINDACORP.NS    | Price:  740.05 | Entry:  725.25 | Target:  859.50 | Risk: LOW       
  BELRISE.NS      | Price:  263.56 | Entry:  258.29 | Target:  297.22 | Risk: LOW       
  CELLO.NS        | Price:  371.80 | Entry:  364.36 | Target:  452.40 | Risk: LOW       
  GRANULES.NS     | Price:  863.50 | Entry:  846.23 | Target:  988.96 | Risk: LOW       
  GRAVITA.NS      | Price: 1806.20 | Entry: 1770.08 | Target: 2101.34 | Risk: LOW       
  FINCABLES.NS    | Price: 1265.30 | Entry: 1239.99 | Target: 1513.21 | Risk: LOW       
  ACE.NS          | Price: 1092.50 | Entry: 1070.65 | Target: 1307.89 | Risk: LOW       
  JINDALSAW.NS    | Price:  269.75 | Entry:  264.36 | Target:  307.04 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  164.85 | Entry:  161.55 | Target:  192.24 | Risk: LOW       
  RITES.NS        | Price:  224.13 | Entry:  219.65 | Target:  254.53 | Risk: LOW       
  BLUEJET.NS      | Price:  587.65 | Entry:   575.9 | Target:  706.79 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1369.00 | Entry: 1341.62 | Target: 1694.06 | Risk: LOW       
  SBFC.NS         | Price:   93.82 | Entry:   91.94 | Target:  104.87 | Risk: LOW       
  CANHLIFE.NS     | Price:  147.28 | Entry:  144.33 | Target:  174.45 | Risk: LOW       
  CLEAN.NS        | Price:  804.85 | Entry:  788.75 | Target:  922.24 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4513.30 | Entry: 4423.03 | Target: 5384.84 | Risk: LOW       
  ALIVUS.NS       | Price: 1366.20 | Entry: 1338.88 | Target: 1641.52 | Risk: LOW       
  ENGINERSIN.NS   | Price:  240.42 | Entry:  235.61 | Target:  274.69 | Risk: LOW       
  OLECTRA.NS      | Price: 1399.00 | Entry: 1371.02 | Target: 1558.46 | Risk: LOW       
  RELAXO.NS       | Price:  420.65 | Entry:  412.24 | Target:  491.24 | Risk: LOW       
  PRUDENT.NS      | Price: 3347.00 | Entry: 3280.06 | Target: 4050.89 | Risk: LOW       
  BSOFT.NS        | Price:  314.70 | Entry:  308.41 | Target:  377.09 | Risk: LOW       
  GRAPHITE.NS     | Price:  734.70 | Entry:  720.01 | Target:  877.81 | Risk: LOW       
  BLACKBUCK.NS    | Price:  568.30 | Entry:  556.93 | Target:  667.71 | Risk: LOW       
  INOXINDIA.NS    | Price: 1924.40 | Entry: 1885.91 | Target: 2287.01 | Risk: LOW       
  HFCL.NS         | Price:  225.01 | Entry:  220.51 | Target:  277.41 | Risk: LOW       
  RUBICON.NS      | Price: 1666.60 | Entry: 1633.27 | Target: 1959.78 | Risk: LOW       
  PVRINOX.NS      | Price: 1185.60 | Entry: 1161.89 | Target: 1412.22 | Risk: LOW       
  SCI.NS          | Price:  298.95 | Entry:  292.97 | Target:  349.84 | Risk: LOW       
  VIJAYA.NS       | Price: 1512.10 | Entry: 1481.86 | Target: 1776.49 | Risk: LOW       
  SONATSOFTW.NS   | Price:  324.25 | Entry:  317.76 | Target:  409.73 | Risk: LOW       
  AETHER.NS       | Price: 1617.60 | Entry: 1585.25 | Target: 1887.49 | Risk: LOW       
  AZAD.NS         | Price: 2542.10 | Entry: 2491.26 | Target: 3035.28 | Risk: LOW       
  NAZARA.NS       | Price:  352.30 | Entry:  345.25 | Target:  414.35 | Risk: LOW       
  WESTLIFE.NS     | Price:  588.80 | Entry:  577.02 | Target:  719.34 | Risk: LOW       
  RKFORGE.NS      | Price:  747.20 | Entry:  732.26 | Target:  887.41 | Risk: LOW       
  HEG.NS          | Price:  684.35 | Entry:  670.66 | Target:  798.05 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1895.60 | Entry: 1857.69 | Target: 2246.89 | Risk: LOW       
  SHAILY.NS       | Price: 3468.40 | Entry: 3399.03 | Target: 4133.72 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  652.20 | Entry:  639.16 | Target:  819.21 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1081.50 | Entry: 1059.87 | Target: 1321.05 | Risk: LOW       
  AEQUS.NS        | Price:  240.15 | Entry:  235.35 | Target:  289.64 | Risk: LOW       
  TDPOWERSYS.NS   | Price: 1467.80 | Entry: 1438.44 | Target: 1868.20 | Risk: LOW       
  SAPPHIRE.NS     | Price:  231.32 | Entry:  226.69 | Target:  293.13 | Risk: LOW       
  UJJIVANSFB.NS   | Price:   71.76 | Entry:   70.32 | Target:   83.19 | Risk: LOW       
  HCG.NS          | Price:  728.10 | Entry:  713.54 | Target:  839.64 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 2038.60 | Entry: 1997.83 | Target: 2417.49 | Risk: LOW       
  HONASA.NS       | Price:  473.55 | Entry:  464.08 | Target:  540.76 | Risk: LOW       
  KRBL.NS         | Price:  373.00 | Entry:  365.54 | Target:  428.02 | Risk: LOW       
  VARROC.NS       | Price:  850.85 | Entry:  833.83 | Target: 1033.26 | Risk: LOW       
  SANSERA.NS      | Price: 3691.90 | Entry: 3618.06 | Target: 4428.86 | Risk: LOW       
  BLUESTONE.NS    | Price:  914.60 | Entry:  896.31 | Target: 1176.85 | Risk: LOW       
  TI.NS           | Price:  537.85 | Entry:  527.09 | Target:  637.85 | Risk: LOW       
  MARKSANS.NS     | Price:  318.45 | Entry:  312.08 | Target:  373.77 | Risk: LOW       
  PCJEWELLER.NS   | Price:    9.71 | Entry:    9.52 | Target:   11.29 | Risk: LOW       
  LUMAXTECH.NS    | Price: 2035.40 | Entry: 1994.69 | Target: 2424.78 | Risk: LOW       
  CORONA.NS       | Price: 2134.70 | Entry: 2092.01 | Target: 2521.41 | Risk: LOW       
  ARVIND.NS       | Price:  533.95 | Entry:  523.27 | Target:  635.91 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  608.35 | Entry:  596.18 | Target:  687.31 | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  393.65 | Entry:  385.78 | Target:  467.17 | Risk: LOW       
  BECTORFOOD.NS   | Price:  241.63 | Entry:   236.8 | Target:  286.52 | Risk: LOW       
  ESABINDIA.NS    | Price: 6013.50 | Entry: 5893.23 | Target: 6721.36 | Risk: LOW       
  VOLTAMP.NS      | Price: 10060.00 | Entry:  9858.8 | Target: 11485.72 | Risk: LOW       
  GALAXYSURF.NS   | Price: 2019.90 | Entry:  1979.5 | Target: 2307.97 | Risk: LOW       
  DIACABS.NS      | Price:  375.00 | Entry:   367.5 | Target:  481.32 | Risk: LOW       
  GRWRHITECH.NS   | Price: 7337.50 | Entry: 7190.75 | Target: 8896.07 | Risk: LOW       
  GSFC.NS         | Price:  164.00 | Entry:  160.72 | Target:  180.22 | Risk: LOW       
  GARFIBRES.NS    | Price:  769.30 | Entry:  753.91 | Target:  930.82 | Risk: LOW       
  SHILPAMED.NS    | Price:  806.05 | Entry:  789.93 | Target:  976.69 | Risk: LOW       
  THOMASCOOK.NS   | Price:  107.53 | Entry:  105.38 | Target:  129.90 | Risk: LOW       
  SUDEEPPHRM.NS   | Price: 1104.65 | Entry: 1082.56 | Target: 1402.65 | Risk: LOW       
  AARTIPHARM.NS   | Price:  892.80 | Entry:  874.94 | Target: 1076.76 | Risk: LOW       
  GNFC.NS         | Price:  555.75 | Entry:  544.63 | Target:  622.86 | Risk: LOW       
  AKUMS.NS        | Price:  758.45 | Entry:  743.28 | Target:  874.18 | Risk: LOW       
  ETHOSLTD.NS     | Price: 2780.20 | Entry:  2724.6 | Target: 3430.09 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   92.77 | Entry:   90.91 | Target:  113.74 | Risk: LOW       
  BALUFORGE.NS    | Price:  465.80 | Entry:  456.48 | Target:  539.57 | Risk: LOW       
  RATEGAIN.NS     | Price:  930.10 | Entry:   911.5 | Target: 1171.37 | Risk: LOW       
  KTKBANK.NS      | Price:  312.65 | Entry:   306.4 | Target:  363.22 | Risk: LOW       
  YATHARTH.NS     | Price:  862.25 | Entry:   845.0 | Target:  987.30 | Risk: LOW       
  EPL.NS          | Price:  244.96 | Entry:  240.06 | Target:  278.83 | Risk: LOW       
  THYROCARE.NS    | Price:  623.90 | Entry:  611.42 | Target:  756.15 | Risk: LOW       
  ELLEN.NS        | Price:  328.55 | Entry:  321.98 | Target:  406.09 | Risk: LOW       
  PGIL.NS         | Price: 2471.90 | Entry: 2422.46 | Target: 2975.94 | Risk: LOW       
  QPOWER.NS       | Price: 1315.20 | Entry:  1288.9 | Target: 1581.66 | Risk: LOW       
  CUPID.NS        | Price:  293.32 | Entry:  287.45 | Target:  347.97 | Risk: LOW       
  IFBIND.NS       | Price: 1365.60 | Entry: 1338.29 | Target: 1613.39 | Risk: LOW       
  BAJAJELEC.NS    | Price:  365.20 | Entry:   357.9 | Target:  443.04 | Risk: LOW       
  PRICOLLTD.NS    | Price:  777.65 | Entry:   762.1 | Target:  921.06 | Risk: LOW       
  AVALON.NS       | Price: 1968.80 | Entry: 1929.42 | Target: 2453.48 | Risk: LOW       
  HNDFDS.NS       | Price:  588.50 | Entry:  576.73 | Target:  679.43 | Risk: LOW       
  UTLSOLAR.NS     | Price:  394.00 | Entry:  386.12 | Target:  475.98 | Risk: LOW       
  SUPRAJIT.NS     | Price:  523.10 | Entry:  512.64 | Target:  610.65 | Risk: LOW       
