NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-25 02:57:23

BUY SIGNALS (722):
  KOTAKBANK.NS    | Price:  402.80 | Entry:  394.74 | Target:  434.89 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1886.00 | Entry: 1848.28 | Target: 2152.64 | Risk: LOW       
  COFORGE.NS      | Price: 1873.00 | Entry: 1835.54 | Target: 2082.11 | Risk: LOW       
  BDL.NS          | Price: 1368.00 | Entry: 1340.64 | Target: 1597.43 | Risk: LOW       
  MOTILALOFS.NS   | Price:  990.00 | Entry:   970.2 | Target: 1127.77 | Risk: LOW       
  GLENMARK.NS     | Price: 2390.70 | Entry: 2342.89 | Target: 2654.88 | Risk: LOW       
  MFSL.NS         | Price: 1585.00 | Entry:  1553.3 | Target: 1784.57 | Risk: LOW       
  SAIL.NS         | Price:  179.65 | Entry:  176.06 | Target:  209.06 | Risk: LOW       
  FEDERALBNK.NS   | Price:  361.00 | Entry:  353.78 | Target:  393.86 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1247.80 | Entry: 1222.84 | Target: 1406.37 | Risk: LOW       
  KALYANKJIL.NS   | Price:  607.95 | Entry:  595.79 | Target:  711.57 | Risk: LOW       
  SUPREMEIND.NS   | Price: 3642.00 | Entry: 3569.16 | Target: 4037.75 | Risk: LOW       
  APLAPOLLO.NS    | Price: 2139.00 | Entry: 2096.22 | Target: 2372.25 | Risk: LOW       
  GLAXO.NS        | Price: 2931.70 | Entry: 2873.07 | Target: 3380.45 | Risk: LOW       
  360ONE.NS       | Price: 1189.80 | Entry:  1166.0 | Target: 1340.91 | Risk: LOW       
  PETRONET.NS     | Price:  295.95 | Entry:  290.03 | Target:  326.33 | Risk: LOW       
  ANTHEM.NS       | Price:  883.35 | Entry:  865.68 | Target: 1002.26 | Risk: LOW       
  CONCOR.NS       | Price:  516.40 | Entry:  506.07 | Target:  577.10 | Risk: LOW       
  NATIONALUM.NS   | Price:  403.30 | Entry:  395.23 | Target:  469.23 | Risk: LOW       
  DALBHARAT.NS    | Price: 1880.00 | Entry:  1842.4 | Target: 2062.64 | Risk: LOW       
  JUBLFOOD.NS     | Price:  506.75 | Entry:  496.62 | Target:  591.30 | Risk: LOW       
  RADICO.NS       | Price: 4639.80 | Entry:  4547.0 | Target: 5140.26 | Risk: LOW       
  KAYNES.NS       | Price: 3840.20 | Entry:  3763.4 | Target: 4536.49 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 4621.90 | Entry: 4529.46 | Target: 5449.15 | Risk: LOW       
  ASTRAL.NS       | Price: 1528.50 | Entry: 1497.93 | Target: 1715.46 | Risk: LOW       
  IPCALAB.NS      | Price: 1920.40 | Entry: 1881.99 | Target: 2296.03 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 2180.80 | Entry: 2137.18 | Target: 2461.84 | Risk: LOW       
  APARINDS.NS     | Price: 16705.00 | Entry: 16370.9 | Target: 20577.50 | Risk: LOW       
  CDSL.NS         | Price: 1385.10 | Entry:  1357.4 | Target: 1513.56 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3639.80 | Entry:  3567.0 | Target: 4104.40 | Risk: LOW       
  COHANCE.NS      | Price:  463.00 | Entry:  453.74 | Target:  566.43 | Risk: LOW       
  GLAND.NS        | Price: 2819.30 | Entry: 2762.91 | Target: 3330.46 | Risk: LOW       
  NIACL.NS        | Price:  184.13 | Entry:  180.45 | Target:  213.99 | Risk: LOW       
  HINDCOPPER.NS   | Price:  574.15 | Entry:  562.67 | Target:  708.86 | Risk: LOW       
  AFFLE.NS        | Price: 1718.70 | Entry: 1684.33 | Target: 2001.88 | Risk: LOW       
  PPLPHARMA.NS    | Price:  213.67 | Entry:   209.4 | Target:  252.55 | Risk: LOW       
  MRPL.NS         | Price:  173.84 | Entry:  170.36 | Target:  210.65 | Risk: LOW       
  PTCIL.NS        | Price: 21672.00 | Entry: 21238.56 | Target: 25460.57 | Risk: LOW       
  ANANDRATHI.NS   | Price: 2188.00 | Entry: 2144.24 | Target: 2406.21 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1170.30 | Entry: 1146.89 | Target: 1340.05 | Risk: LOW       
  BRIGADE.NS      | Price:  654.10 | Entry:  641.02 | Target:  765.98 | Risk: LOW       
  WELCORP.NS      | Price: 2409.20 | Entry: 2361.02 | Target: 2796.81 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  965.75 | Entry:  946.43 | Target: 1102.91 | Risk: LOW       
  KARURVYSYA.NS   | Price:  338.15 | Entry:  331.39 | Target:  373.90 | Risk: LOW       
  JYOTICNC.NS     | Price:  980.25 | Entry:  960.64 | Target: 1186.77 | Risk: LOW       
  IIFL.NS         | Price:  696.40 | Entry:  682.47 | Target:  788.28 | Risk: LOW       
  REDINGTON.NS    | Price:  365.10 | Entry:   357.8 | Target:  439.53 | Risk: LOW       
  HATSUN.NS       | Price: 1044.50 | Entry: 1023.61 | Target: 1242.80 | Risk: LOW       
  URBANCO.NS      | Price:  168.84 | Entry:  165.46 | Target:  200.25 | Risk: LOW       
  KPIL.NS         | Price: 1404.50 | Entry: 1376.41 | Target: 1620.93 | Risk: LOW       
  SUNDRMFAST.NS   | Price: 1228.00 | Entry: 1203.44 | Target: 1426.27 | Risk: LOW       
  ABREL.NS        | Price: 1406.30 | Entry: 1378.17 | Target: 1636.84 | Risk: LOW       
  ANANTRAJ.NS     | Price:  614.60 | Entry:  602.31 | Target:  705.14 | Risk: LOW       
  ECLERX.NS       | Price: 1815.70 | Entry: 1779.39 | Target: 2176.40 | Risk: LOW       
  DCMSHRIRAM.NS   | Price: 1082.10 | Entry: 1060.46 | Target: 1215.31 | Risk: LOW       
  DEVYANI.NS      | Price:  144.40 | Entry:  141.51 | Target:  174.55 | Risk: LOW       
  NEULANDLAB.NS   | Price: 23301.00 | Entry: 22834.98 | Target: 27877.07 | Risk: LOW       
  EIDPARRY.NS     | Price:  823.95 | Entry:  807.47 | Target:  968.99 | Risk: LOW       
  KFINTECH.NS     | Price:  969.90 | Entry:   950.5 | Target: 1102.95 | Risk: LOW       
  SARDAEN.NS      | Price:  510.60 | Entry:  500.39 | Target:  586.57 | Risk: LOW       
  SKFINDIA.NS     | Price: 1586.40 | Entry: 1554.67 | Target: 1890.72 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1169.80 | Entry:  1146.4 | Target: 1417.44 | Risk: LOW       
  BEML.NS         | Price: 1935.40 | Entry: 1896.69 | Target: 2282.72 | Risk: LOW       
  MANYAVAR.NS     | Price:  544.15 | Entry:  533.27 | Target:  657.78 | Risk: LOW       
  NETWEB.NS       | Price: 5454.50 | Entry: 5345.41 | Target: 6771.20 | Risk: LOW       
  TBOTEK.NS       | Price: 1703.50 | Entry: 1669.43 | Target: 1999.68 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1571.30 | Entry: 1539.87 | Target: 1845.94 | Risk: LOW       
  LMW.NS          | Price: 19849.00 | Entry: 19452.02 | Target: 23164.36 | Risk: LOW       
  ACMESOLAR.NS    | Price:  409.15 | Entry:  400.97 | Target:  473.26 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 10644.50 | Entry: 10431.61 | Target: 12254.86 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  634.35 | Entry:  621.66 | Target:  728.26 | Risk: LOW       
  VGUARD.NS       | Price:  332.00 | Entry:  325.36 | Target:  394.29 | Risk: LOW       
  JMFINANCIL.NS   | Price:  129.50 | Entry:  126.91 | Target:  149.28 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4736.20 | Entry: 4641.48 | Target: 5571.13 | Risk: LOW       
  LTFOODS.NS      | Price:  459.00 | Entry:  449.82 | Target:  531.88 | Risk: LOW       
  RRKABEL.NS      | Price: 2869.90 | Entry:  2812.5 | Target: 3337.97 | Risk: LOW       
  IFCI.NS         | Price:   82.48 | Entry:   80.83 | Target:   95.51 | Risk: LOW       
  AARTIIND.NS     | Price:  543.15 | Entry:  532.29 | Target:  627.49 | Risk: LOW       
  THELEELA.NS     | Price:  561.70 | Entry:  550.47 | Target:  657.54 | Risk: LOW       
  ZENTEC.NS       | Price: 1926.30 | Entry: 1887.77 | Target: 2269.85 | Risk: LOW       
  GODREJAGRO.NS   | Price:  574.55 | Entry:  563.06 | Target:  655.10 | Risk: LOW       
  CYIENT.NS       | Price:  909.05 | Entry:  890.87 | Target: 1032.73 | Risk: LOW       
  INDGN.NS        | Price:  567.80 | Entry:  556.44 | Target:  655.46 | Risk: LOW       
  GRAVITA.NS      | Price: 1821.70 | Entry: 1785.27 | Target: 2065.27 | Risk: LOW       
  MGL.NS          | Price: 1127.70 | Entry: 1105.15 | Target: 1275.93 | Risk: LOW       
  TEGA.NS         | Price: 1704.30 | Entry: 1670.21 | Target: 2023.30 | Risk: LOW       
  NCC.NS          | Price:  147.35 | Entry:   144.4 | Target:  166.48 | Risk: LOW       
  FINCABLES.NS    | Price: 1291.60 | Entry: 1265.77 | Target: 1622.31 | Risk: LOW       
  SKFINDUS.NS     | Price: 2758.30 | Entry: 2703.13 | Target: 3289.98 | Risk: LOW       
  ACE.NS          | Price: 1182.20 | Entry: 1158.56 | Target: 1387.95 | Risk: LOW       
  EMBDL.NS        | Price:   64.87 | Entry:   63.57 | Target:   76.52 | Risk: LOW       
  JINDALSAW.NS    | Price:  287.25 | Entry:   281.5 | Target:  333.64 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  190.43 | Entry:  186.62 | Target:  231.83 | Risk: LOW       
  INGERRAND.NS    | Price: 4660.60 | Entry: 4567.39 | Target: 5406.56 | Risk: LOW       
  CARTRADE.NS     | Price: 3072.90 | Entry: 3011.44 | Target: 3508.58 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1412.10 | Entry: 1383.86 | Target: 1782.60 | Risk: LOW       
  CANHLIFE.NS     | Price:  155.24 | Entry:  152.14 | Target:  177.05 | Risk: LOW       
  CLEAN.NS        | Price:  828.25 | Entry:  811.68 | Target:  950.93 | Risk: LOW       
  JYOTHYLAB.NS    | Price:  212.57 | Entry:  208.32 | Target:  247.57 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4600.10 | Entry:  4508.1 | Target: 5488.81 | Risk: LOW       
  ALIVUS.NS       | Price: 1350.90 | Entry: 1323.88 | Target: 1613.58 | Risk: LOW       
  ENGINERSIN.NS   | Price:  254.83 | Entry:  249.73 | Target:  301.84 | Risk: LOW       
  BLACKBUCK.NS    | Price:  604.40 | Entry:  592.31 | Target:  709.49 | Risk: LOW       
  HFCL.NS         | Price:  238.42 | Entry:  233.65 | Target:  285.08 | Risk: LOW       
  RUBICON.NS      | Price: 1724.70 | Entry: 1690.21 | Target: 2105.88 | Risk: LOW       
  PVRINOX.NS      | Price: 1216.80 | Entry: 1192.46 | Target: 1418.16 | Risk: LOW       
  VIJAYA.NS       | Price: 1482.40 | Entry: 1452.75 | Target: 1767.11 | Risk: LOW       
  AETHER.NS       | Price: 1626.60 | Entry: 1594.07 | Target: 1893.39 | Risk: LOW       
  AZAD.NS         | Price: 2796.20 | Entry: 2740.28 | Target: 3417.09 | Risk: LOW       
  EDELWEISS.NS    | Price:  125.41 | Entry:   122.9 | Target:  149.84 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  695.50 | Entry:  681.59 | Target:  885.75 | Risk: LOW       
  RKFORGE.NS      | Price:  737.05 | Entry:  722.31 | Target:  854.48 | Risk: LOW       
  GENUSPOWER.NS   | Price:  339.60 | Entry:  332.81 | Target:  395.87 | Risk: LOW       
  HEG.NS          | Price:  722.75 | Entry:  708.29 | Target:  841.73 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 2052.70 | Entry: 2011.65 | Target: 2432.02 | Risk: LOW       
  SHAILY.NS       | Price: 3321.00 | Entry: 3254.58 | Target: 4013.21 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1215.10 | Entry:  1190.8 | Target: 1490.16 | Risk: LOW       
  AEQUS.NS        | Price:  256.07 | Entry:  250.95 | Target:  311.79 | Risk: LOW       
  TDPOWERSYS.NS   | Price:  780.10 | Entry:   764.5 | Target:  975.40 | Risk: LOW       
  SAPPHIRE.NS     | Price:  249.30 | Entry:  244.31 | Target:  305.65 | Risk: LOW       
  HCG.NS          | Price:  725.95 | Entry:  711.43 | Target:  853.06 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 2211.80 | Entry: 2167.56 | Target: 2680.51 | Risk: LOW       
  HONASA.NS       | Price:  490.80 | Entry:  480.98 | Target:  571.57 | Risk: LOW       
  KRBL.NS         | Price:  437.80 | Entry:  429.04 | Target:  515.71 | Risk: LOW       
  TI.NS           | Price:  578.60 | Entry:  567.03 | Target:  681.53 | Risk: LOW       
  MARKSANS.NS     | Price:  321.30 | Entry:  314.87 | Target:  396.76 | Risk: LOW       
  PCJEWELLER.NS   | Price:   11.12 | Entry:    10.9 | Target:   13.13 | Risk: LOW       
  LUMAXTECH.NS    | Price: 1964.30 | Entry: 1925.01 | Target: 2405.85 | Risk: LOW       
  CORONA.NS       | Price: 2142.60 | Entry: 2099.75 | Target: 2480.99 | Risk: LOW       
  MANORAMA.NS     | Price: 1927.30 | Entry: 1888.75 | Target: 2399.41 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  634.15 | Entry:  621.47 | Target:  725.33 | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  444.55 | Entry:  435.66 | Target:  537.96 | Risk: LOW       
  CAMPUS.NS       | Price:  228.15 | Entry:  223.59 | Target:  257.20 | Risk: LOW       
  BECTORFOOD.NS   | Price:  257.29 | Entry:  252.14 | Target:  312.68 | Risk: LOW       
  ESABINDIA.NS    | Price: 6210.00 | Entry:  6085.8 | Target: 7195.71 | Risk: LOW       
  VOLTAMP.NS      | Price: 11292.00 | Entry: 11066.16 | Target: 12882.54 | Risk: LOW       
  GALAXYSURF.NS   | Price: 2316.40 | Entry: 2270.07 | Target: 2950.90 | Risk: LOW       
  GPPL.NS         | Price:  163.54 | Entry:  160.27 | Target:  182.22 | Risk: LOW       
  DODLA.NS        | Price: 1138.40 | Entry: 1115.63 | Target: 1281.58 | Risk: LOW       
  GRWRHITECH.NS   | Price: 7234.50 | Entry: 7089.81 | Target: 8571.29 | Risk: LOW       
  SHILPAMED.NS    | Price:  855.80 | Entry:  838.68 | Target: 1047.60 | Risk: LOW       
  MAXESTATES.NS   | Price:  494.85 | Entry:  484.95 | Target:  600.40 | Risk: LOW       
  THOMASCOOK.NS   | Price:  113.43 | Entry:  111.16 | Target:  139.68 | Risk: LOW       
  SUDEEPPHRM.NS   | Price: 1111.80 | Entry: 1089.56 | Target: 1444.76 | Risk: LOW       
  AARTIPHARM.NS   | Price:  843.15 | Entry:  826.29 | Target: 1080.38 | Risk: LOW       
  GNFC.NS         | Price:  593.00 | Entry:  581.14 | Target:  675.23 | Risk: LOW       
  AKUMS.NS        | Price:  770.35 | Entry:  754.94 | Target:  921.58 | Risk: LOW       
  ETHOSLTD.NS     | Price: 2840.50 | Entry: 2783.69 | Target: 3440.61 | Risk: LOW       
  ATLANTAELE.NS   | Price: 1819.50 | Entry: 1783.11 | Target: 2266.75 | Risk: LOW       
  EPIGRAL.NS      | Price: 1126.00 | Entry: 1103.48 | Target: 1299.64 | Risk: LOW       
  BALUFORGE.NS    | Price:  632.20 | Entry:  619.56 | Target:  778.40 | Risk: LOW       
  GANESHHOU.NS    | Price:  809.65 | Entry:  793.46 | Target:  944.24 | Risk: LOW       
  PFOCUS.NS       | Price:  307.80 | Entry:  301.64 | Target:  382.34 | Risk: LOW       
  WELENT.NS       | Price:  631.45 | Entry:  618.82 | Target:  743.40 | Risk: LOW       
  PRAJIND.NS      | Price:  352.65 | Entry:   345.6 | Target:  420.50 | Risk: LOW       
  RATEGAIN.NS     | Price:  962.10 | Entry:  942.86 | Target: 1203.85 | Risk: LOW       
  KTKBANK.NS      | Price:  333.25 | Entry:  326.58 | Target:  385.86 | Risk: LOW       
  YATHARTH.NS     | Price:  907.55 | Entry:   889.4 | Target: 1050.70 | Risk: LOW       
  EPL.NS          | Price:  265.61 | Entry:   260.3 | Target:  313.79 | Risk: LOW       
  ELLEN.NS        | Price:  321.40 | Entry:  314.97 | Target:  402.83 | Risk: LOW       
  QPOWER.NS       | Price: 1305.60 | Entry: 1279.49 | Target: 1596.71 | Risk: LOW       
  CUPID.NS        | Price:  286.41 | Entry:  280.68 | Target:  372.88 | Risk: LOW       
  JKPAPER.NS      | Price:  393.30 | Entry:  385.43 | Target:  446.76 | Risk: LOW       
  PRICOLLTD.NS    | Price:  790.90 | Entry:  775.08 | Target:  918.40 | Risk: LOW       
  AVALON.NS       | Price: 2183.80 | Entry: 2140.12 | Target: 2770.05 | Risk: LOW       
  HNDFDS.NS       | Price:  644.80 | Entry:   631.9 | Target:  754.12 | Risk: LOW       
  UTLSOLAR.NS     | Price:  459.85 | Entry:  450.65 | Target:  579.39 | Risk: LOW       
  RENUKA.NS       | Price:   25.47 | Entry:   24.96 | Target:   31.22 | Risk: LOW       
  JAYNECOIND.NS   | Price:  104.22 | Entry:  102.14 | Target:  121.89 | Risk: LOW       
  VMART.NS        | Price:  838.85 | Entry:  822.07 | Target:  971.46 | Risk: LOW       
  JUNIPER.NS      | Price:  210.08 | Entry:  205.88 | Target:  249.52 | Risk: LOW       
  WAKEFIT.NS      | Price:  141.36 | Entry:  138.53 | Target:  169.55 | Risk: LOW       
  TIIL.NS         | Price: 3318.80 | Entry: 3252.42 | Target: 4185.91 | Risk: LOW       
  SMARTWORKS.NS   | Price:  550.50 | Entry:  539.49 | Target:  641.64 | Risk: LOW       
  PARAS.NS        | Price: 1499.60 | Entry: 1469.61 | Target: 1843.21 | Risk: LOW       
  GHCL.NS         | Price:  442.40 | Entry:  433.55 | Target:  484.61 | Risk: LOW       
  SKIPPER.NS      | Price:  554.00 | Entry:  542.92 | Target:  655.82 | Risk: LOW       
  ICIL.NS         | Price:  443.55 | Entry:  434.68 | Target:  574.30 | Risk: LOW       
  INDIGOPNTS.NS   | Price: 1151.80 | Entry: 1128.76 | Target: 1349.87 | Risk: LOW       
  AGI.NS          | Price:  753.60 | Entry:  738.53 | Target:  855.97 | Risk: LOW       
  UNIMECH.NS      | Price: 1491.40 | Entry: 1461.57 | Target: 1835.54 | Risk: LOW       
  DYNAMATECH.NS   | Price: 11588.00 | Entry: 11356.24 | Target: 14451.45 | Risk: LOW       
  E2E.NS          | Price:  612.90 | Entry:  600.64 | Target:  816.60 | Risk: LOW       
  GOKULAGRO.NS    | Price:  244.05 | Entry:  239.17 | Target:  286.23 | Risk: LOW       
  FEDFINA.NS      | Price:  156.84 | Entry:   153.7 | Target:  176.37 | Risk: LOW       
  OPTIEMUS.NS     | Price:  585.70 | Entry:  573.99 | Target:  720.43 | Risk: LOW       
  KINGFA.NS       | Price: 5813.50 | Entry: 5697.23 | Target: 7032.79 | Risk: LOW       
  KRN.NS          | Price: 1471.20 | Entry: 1441.78 | Target: 1767.56 | Risk: LOW       
  EMIL.NS         | Price:  183.48 | Entry:  179.81 | Target:  236.43 | Risk: LOW       
  GAEL.NS         | Price:  177.46 | Entry:  173.91 | Target:  214.52 | Risk: LOW       
  PDSL.NS         | Price:  369.70 | Entry:  362.31 | Target:  434.25 | Risk: LOW       
  VRLLOG.NS       | Price:  288.75 | Entry:  282.98 | Target:  343.25 | Risk: LOW       
  ENTERO.NS       | Price: 1423.60 | Entry: 1395.13 | Target: 1734.28 | Risk: LOW       
  JSFB.NS         | Price:  581.55 | Entry:  569.92 | Target:  711.82 | Risk: LOW       
  JKIL.NS         | Price:  506.30 | Entry:  496.17 | Target:  570.85 | Risk: LOW       
  SUVEN.NS        | Price:  369.75 | Entry:  362.36 | Target:  479.04 | Risk: LOW       
  LGBBROSLTD.NS   | Price: 1609.00 | Entry: 1576.82 | Target: 1778.67 | Risk: LOW       
  SKYGOLD.NS      | Price:  798.00 | Entry:  782.04 | Target:  976.11 | Risk: LOW       
  INNOVACAP.NS    | Price: 1088.50 | Entry: 1066.73 | Target: 1325.43 | Risk: LOW       
  BALAMINES.NS    | Price: 2224.50 | Entry: 2180.01 | Target: 2655.14 | Risk: LOW       
  DCBBANK.NS      | Price:  199.74 | Entry:  195.75 | Target:  233.48 | Risk: LOW       
  SJS.NS          | Price: 2497.40 | Entry: 2447.45 | Target: 3030.47 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1725.30 | Entry: 1690.79 | Target: 2118.09 | Risk: LOW       
  INDIQUBE.NS     | Price:  189.10 | Entry:  185.32 | Target:  228.51 | Risk: LOW       
  BANARISUG.NS    | Price: 4019.70 | Entry: 3939.31 | Target: 4722.70 | Risk: LOW       
  RAIN.NS         | Price:  213.69 | Entry:  209.42 | Target:  265.87 | Risk: LOW       
  HEIDELBERG.NS   | Price:  158.98 | Entry:   155.8 | Target:  171.23 | Risk: LOW       
  SGMART.NS       | Price:  820.35 | Entry:  803.94 | Target:  965.28 | Risk: LOW       
  HERITGFOOD.NS   | Price:  387.55 | Entry:   379.8 | Target:  446.34 | Risk: LOW       
  GUJTHEM.NS      | Price:  411.70 | Entry:  403.47 | Target:  498.18 | Risk: LOW       
  GOPAL.NS        | Price:  282.30 | Entry:  276.65 | Target:  324.78 | Risk: LOW       
  RBA.NS          | Price:  106.45 | Entry:  104.32 | Target:  137.36 | Risk: LOW       
  LUMAXIND.NS     | Price: 5880.00 | Entry:  5762.4 | Target: 6933.28 | Risk: LOW       
  GUJALKALI.NS    | Price:  684.25 | Entry:  670.56 | Target:  788.88 | Risk: LOW       
  SHANTIGEAR.NS   | Price:  464.25 | Entry:  454.96 | Target:  543.25 | Risk: LOW       
  BOROLTD.NS      | Price:  254.18 | Entry:   249.1 | Target:  303.45 | Risk: LOW       
  UFLEX.NS        | Price:  614.60 | Entry:  602.31 | Target:  741.14 | Risk: LOW       
  MCLOUD.NS       | Price:   29.58 | Entry:   28.99 | Target:   37.53 | Risk: LOW       
  EBGNG.NS        | Price:  606.20 | Entry:  594.08 | Target:  757.36 | Risk: LOW       
  QUESS.NS        | Price:  335.85 | Entry:  329.13 | Target:  408.60 | Risk: LOW       
  WONDERLA.NS     | Price:  511.95 | Entry:  501.71 | Target:  595.26 | Risk: LOW       
  PRECWIRE.NS     | Price:  438.50 | Entry:  429.73 | Target:  557.02 | Risk: LOW       
  MBAPL.NS        | Price:  168.91 | Entry:  165.53 | Target:  199.64 | Risk: LOW       
  HARSHA.NS       | Price:  437.60 | Entry:  428.85 | Target:  515.28 | Risk: LOW       
  GOCOLORS.NS     | Price:  353.30 | Entry:  346.23 | Target:  421.19 | Risk: LOW       
  KSL.NS          | Price:  881.15 | Entry:  863.53 | Target: 1061.72 | Risk: LOW       
  ROLEXRINGS.NS   | Price:  183.37 | Entry:   179.7 | Target:  228.06 | Risk: LOW       
  SHAREINDIA.NS   | Price:  174.13 | Entry:  170.65 | Target:  202.72 | Risk: LOW       
  GUFICBIO.NS     | Price:  431.50 | Entry:  422.87 | Target:  518.70 | Risk: LOW       
  UNICHEMLAB.NS   | Price:  526.15 | Entry:  515.63 | Target:  665.85 | Risk: LOW       
  MSTCLTD.NS      | Price:  730.60 | Entry:  715.99 | Target:  866.05 | Risk: LOW       
  JUBLCPL.NS      | Price: 2227.80 | Entry: 2183.24 | Target: 3003.84 | Risk: LOW       
  CYIENTDLM.NS    | Price:  721.15 | Entry:  706.73 | Target:  888.63 | Risk: LOW       
  RPEL.NS         | Price: 1689.80 | Entry:  1656.0 | Target: 2036.66 | Risk: LOW       
  ARTEMISMED.NS   | Price:  328.90 | Entry:  322.32 | Target:  388.20 | Risk: LOW       
