NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-24 03:03:22

BUY SIGNALS (731):
  BAJFINANCE.NS   | Price: 1095.00 | Entry:  1073.1 | Target: 1206.32 | Risk: LOW       
  GODREJAGRO.NS   | Price:  574.55 | Entry:  563.06 | Target:  655.10 | Risk: LOW       
  CYIENT.NS       | Price:  892.65 | Entry:   874.8 | Target: 1009.99 | Risk: LOW       
  INDGN.NS        | Price:  567.80 | Entry:  556.44 | Target:  655.46 | Risk: LOW       
  GRAVITA.NS      | Price: 1821.70 | Entry: 1785.27 | Target: 2065.27 | Risk: LOW       
  TEGA.NS         | Price: 1743.20 | Entry: 1708.34 | Target: 2056.49 | Risk: LOW       
  NCC.NS          | Price:  149.56 | Entry:  146.57 | Target:  167.82 | Risk: LOW       
  FINCABLES.NS    | Price: 1260.50 | Entry: 1235.29 | Target: 1580.41 | Risk: LOW       
  SKFINDUS.NS     | Price: 2758.30 | Entry: 2703.13 | Target: 3289.98 | Risk: LOW       
  ACE.NS          | Price: 1182.20 | Entry: 1158.56 | Target: 1387.95 | Risk: LOW       
  EMBDL.NS        | Price:   64.87 | Entry:   63.57 | Target:   76.52 | Risk: LOW       
  JINDALSAW.NS    | Price:  291.65 | Entry:  285.82 | Target:  337.20 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  189.22 | Entry:  185.44 | Target:  231.26 | Risk: LOW       
  INGERRAND.NS    | Price: 4660.60 | Entry: 4567.39 | Target: 5406.56 | Risk: LOW       
  CARTRADE.NS     | Price: 3072.90 | Entry: 3011.44 | Target: 3508.58 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1393.50 | Entry: 1365.63 | Target: 1758.18 | Risk: LOW       
  CANHLIFE.NS     | Price:  155.24 | Entry:  152.14 | Target:  177.05 | Risk: LOW       
  CLEAN.NS        | Price:  825.50 | Entry:  808.99 | Target:  945.29 | Risk: LOW       
  SHRIPISTON.NS   | Price: 4600.10 | Entry:  4508.1 | Target: 5488.81 | Risk: LOW       
  ALIVUS.NS       | Price: 1350.90 | Entry: 1323.88 | Target: 1613.58 | Risk: LOW       
  ENGINERSIN.NS   | Price:  244.91 | Entry:  240.01 | Target:  288.90 | Risk: LOW       
  BLACKBUCK.NS    | Price:  634.30 | Entry:  621.61 | Target:  730.55 | Risk: LOW       
  ZEEL.NS         | Price:  107.58 | Entry:  105.43 | Target:  132.68 | Risk: LOW       
  HFCL.NS         | Price:  228.01 | Entry:  223.45 | Target:  273.02 | Risk: LOW       
  RUBICON.NS      | Price: 1724.70 | Entry: 1690.21 | Target: 2105.88 | Risk: LOW       
  PVRINOX.NS      | Price: 1216.80 | Entry: 1192.46 | Target: 1418.16 | Risk: LOW       
  VIJAYA.NS       | Price: 1504.40 | Entry: 1474.31 | Target: 1796.29 | Risk: LOW       
  AETHER.NS       | Price: 1626.60 | Entry: 1594.07 | Target: 1893.39 | Risk: LOW       
  AZAD.NS         | Price: 2837.80 | Entry: 2781.04 | Target: 3464.91 | Risk: LOW       
  EDELWEISS.NS    | Price:  128.68 | Entry:  126.11 | Target:  152.45 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  729.35 | Entry:  714.76 | Target:  903.35 | Risk: LOW       
  RKFORGE.NS      | Price:  737.05 | Entry:  722.31 | Target:  854.48 | Risk: LOW       
  GENUSPOWER.NS   | Price:  337.95 | Entry:  331.19 | Target:  392.68 | Risk: LOW       
  HEG.NS          | Price:  710.75 | Entry:  696.53 | Target:  830.38 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 2052.70 | Entry: 2011.65 | Target: 2432.02 | Risk: LOW       
  SHAILY.NS       | Price: 3321.00 | Entry: 3254.58 | Target: 4013.21 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1215.10 | Entry:  1190.8 | Target: 1490.16 | Risk: LOW       
  AEQUS.NS        | Price:  259.22 | Entry:  254.04 | Target:  313.96 | Risk: LOW       
  TDPOWERSYS.NS   | Price:  767.40 | Entry:  752.05 | Target:  957.96 | Risk: LOW       
  SAPPHIRE.NS     | Price:  242.34 | Entry:  237.49 | Target:  299.07 | Risk: LOW       
  UJJIVANSFB.NS   | Price:   72.07 | Entry:   70.63 | Target:   81.98 | Risk: LOW       
  HCG.NS          | Price:  725.95 | Entry:  711.43 | Target:  853.06 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 2211.80 | Entry: 2167.56 | Target: 2680.51 | Risk: LOW       
  KRBL.NS         | Price:  406.95 | Entry:  398.81 | Target:  476.15 | Risk: LOW       
  BLUESTONE.NS    | Price:  846.40 | Entry:  829.47 | Target: 1072.79 | Risk: LOW       
  TI.NS           | Price:  575.65 | Entry:  564.14 | Target:  682.13 | Risk: LOW       
  MARKSANS.NS     | Price:  321.30 | Entry:  314.87 | Target:  396.76 | Risk: LOW       
  PCJEWELLER.NS   | Price:   10.22 | Entry:   10.02 | Target:   11.94 | Risk: LOW       
  LUMAXTECH.NS    | Price: 1988.80 | Entry: 1949.02 | Target: 2427.54 | Risk: LOW       
  CORONA.NS       | Price: 2142.60 | Entry: 2099.75 | Target: 2480.99 | Risk: LOW       
  MANORAMA.NS     | Price: 1927.30 | Entry: 1888.75 | Target: 2399.41 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  634.15 | Entry:  621.47 | Target:  725.33 | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  444.55 | Entry:  435.66 | Target:  537.96 | Risk: LOW       
  CAMPUS.NS       | Price:  228.15 | Entry:  223.59 | Target:  257.20 | Risk: LOW       
  BECTORFOOD.NS   | Price:  254.83 | Entry:  249.73 | Target:  308.15 | Risk: LOW       
  ESABINDIA.NS    | Price: 6210.00 | Entry:  6085.8 | Target: 7195.71 | Risk: LOW       
  VOLTAMP.NS      | Price: 10869.50 | Entry: 10652.11 | Target: 12254.32 | Risk: LOW       
  GALAXYSURF.NS   | Price: 2333.00 | Entry: 2286.34 | Target: 2968.71 | Risk: LOW       
  GPPL.NS         | Price:  163.54 | Entry:  160.27 | Target:  182.22 | Risk: LOW       
  DODLA.NS        | Price: 1138.40 | Entry: 1115.63 | Target: 1281.58 | Risk: LOW       
  GRWRHITECH.NS   | Price: 7123.50 | Entry: 6981.03 | Target: 8412.07 | Risk: LOW       
  SHILPAMED.NS    | Price:  814.95 | Entry:  798.65 | Target:  999.29 | Risk: LOW       
  MAXESTATES.NS   | Price:  494.85 | Entry:  484.95 | Target:  600.40 | Risk: LOW       
  THOMASCOOK.NS   | Price:  113.17 | Entry:  110.91 | Target:  139.42 | Risk: LOW       
  SUDEEPPHRM.NS   | Price: 1111.80 | Entry: 1089.56 | Target: 1444.76 | Risk: LOW       
  AARTIPHARM.NS   | Price:  816.80 | Entry:  800.46 | Target: 1045.46 | Risk: LOW       
  GNFC.NS         | Price:  582.80 | Entry:  571.14 | Target:  663.35 | Risk: LOW       
  AKUMS.NS        | Price:  750.00 | Entry:   735.0 | Target:  891.32 | Risk: LOW       
  ETHOSLTD.NS     | Price: 2840.50 | Entry: 2783.69 | Target: 3440.61 | Risk: LOW       
  ATLANTAELE.NS   | Price: 1846.90 | Entry: 1809.96 | Target: 2291.04 | Risk: LOW       
  EPIGRAL.NS      | Price: 1126.00 | Entry: 1103.48 | Target: 1299.64 | Risk: LOW       
  BALUFORGE.NS    | Price:  555.40 | Entry:  544.29 | Target:  675.85 | Risk: LOW       
  GANESHHOU.NS    | Price:  809.65 | Entry:  793.46 | Target:  944.24 | Risk: LOW       
  PFOCUS.NS       | Price:  296.95 | Entry:  291.01 | Target:  368.27 | Risk: LOW       
  WELENT.NS       | Price:  631.45 | Entry:  618.82 | Target:  743.40 | Risk: LOW       
  PRAJIND.NS      | Price:  344.35 | Entry:  337.46 | Target:  410.43 | Risk: LOW       
  RATEGAIN.NS     | Price:  990.05 | Entry:  970.25 | Target: 1224.84 | Risk: LOW       
  KTKBANK.NS      | Price:  328.30 | Entry:  321.73 | Target:  381.16 | Risk: LOW       
  EPL.NS          | Price:  265.61 | Entry:   260.3 | Target:  313.79 | Risk: LOW       
  ELLEN.NS        | Price:  328.50 | Entry:  321.93 | Target:  408.36 | Risk: LOW       
  QPOWER.NS       | Price: 1305.60 | Entry: 1279.49 | Target: 1596.71 | Risk: LOW       
  CUPID.NS        | Price:  284.58 | Entry:  278.89 | Target:  370.99 | Risk: LOW       
  JKPAPER.NS      | Price:  391.80 | Entry:  383.96 | Target:  445.63 | Risk: LOW       
  PRICOLLTD.NS    | Price:  797.20 | Entry:  781.26 | Target:  932.16 | Risk: LOW       
  AVALON.NS       | Price: 2183.80 | Entry: 2140.12 | Target: 2770.05 | Risk: LOW       
  HNDFDS.NS       | Price:  644.80 | Entry:   631.9 | Target:  754.12 | Risk: LOW       
  PURVA.NS        | Price:  219.36 | Entry:  214.97 | Target:  258.80 | Risk: LOW       
  UTLSOLAR.NS     | Price:  477.40 | Entry:  467.85 | Target:  593.15 | Risk: LOW       
  RENUKA.NS       | Price:   25.14 | Entry:   24.64 | Target:   30.14 | Risk: LOW       
  JAYNECOIND.NS   | Price:   99.89 | Entry:   97.89 | Target:  116.67 | Risk: LOW       
  VMART.NS        | Price:  838.85 | Entry:  822.07 | Target:  971.46 | Risk: LOW       
  JUNIPER.NS      | Price:  210.08 | Entry:  205.88 | Target:  249.52 | Risk: LOW       
  WAKEFIT.NS      | Price:  141.36 | Entry:  138.53 | Target:  169.55 | Risk: LOW       
  TIIL.NS         | Price: 3318.80 | Entry: 3252.42 | Target: 4185.91 | Risk: LOW       
  SMARTWORKS.NS   | Price:  523.25 | Entry:  512.78 | Target:  606.79 | Risk: LOW       
  PARAS.NS        | Price: 1499.60 | Entry: 1469.61 | Target: 1843.21 | Risk: LOW       
  GHCL.NS         | Price:  442.40 | Entry:  433.55 | Target:  484.61 | Risk: LOW       
  SKIPPER.NS      | Price:  554.00 | Entry:  542.92 | Target:  655.82 | Risk: LOW       
  ICIL.NS         | Price:  443.55 | Entry:  434.68 | Target:  574.30 | Risk: LOW       
  INDIGOPNTS.NS   | Price: 1151.80 | Entry: 1128.76 | Target: 1349.87 | Risk: LOW       
  AGI.NS          | Price:  753.60 | Entry:  738.53 | Target:  855.97 | Risk: LOW       
  UNIMECH.NS      | Price: 1491.40 | Entry: 1461.57 | Target: 1835.54 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1022.35 | Entry:  1001.9 | Target: 1237.81 | Risk: LOW       
  DYNAMATECH.NS   | Price: 11588.00 | Entry: 11356.24 | Target: 14451.45 | Risk: LOW       
  E2E.NS          | Price:  621.60 | Entry:  609.17 | Target:  821.96 | Risk: LOW       
  GOKULAGRO.NS    | Price:  242.80 | Entry:  237.94 | Target:  287.69 | Risk: LOW       
  FEDFINA.NS      | Price:  156.84 | Entry:   153.7 | Target:  176.37 | Risk: LOW       
  KINGFA.NS       | Price: 5813.50 | Entry: 5697.23 | Target: 7032.79 | Risk: LOW       
  KRN.NS          | Price: 1482.10 | Entry: 1452.46 | Target: 1774.96 | Risk: LOW       
  EMIL.NS         | Price:  186.71 | Entry:  182.98 | Target:  238.62 | Risk: LOW       
  GAEL.NS         | Price:  177.46 | Entry:  173.91 | Target:  214.52 | Risk: LOW       
  PDSL.NS         | Price:  369.70 | Entry:  362.31 | Target:  434.25 | Risk: LOW       
  VRLLOG.NS       | Price:  288.75 | Entry:  282.98 | Target:  343.25 | Risk: LOW       
  ENTERO.NS       | Price: 1423.60 | Entry: 1395.13 | Target: 1734.28 | Risk: LOW       
  JSFB.NS         | Price:  582.35 | Entry:   570.7 | Target:  709.67 | Risk: LOW       
  JKIL.NS         | Price:  506.30 | Entry:  496.17 | Target:  570.85 | Risk: LOW       
  SUVEN.NS        | Price:  373.15 | Entry:  365.69 | Target:  478.04 | Risk: LOW       
  LGBBROSLTD.NS   | Price: 1609.00 | Entry: 1576.82 | Target: 1778.67 | Risk: LOW       
  SKYGOLD.NS      | Price:  803.50 | Entry:  787.43 | Target:  979.89 | Risk: LOW       
  INNOVACAP.NS    | Price: 1088.50 | Entry: 1066.73 | Target: 1325.43 | Risk: LOW       
  DCBBANK.NS      | Price:  203.59 | Entry:  199.52 | Target:  235.88 | Risk: LOW       
  SJS.NS          | Price: 2497.40 | Entry: 2447.45 | Target: 3030.47 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1725.30 | Entry: 1690.79 | Target: 2118.09 | Risk: LOW       
  INDIQUBE.NS     | Price:  189.10 | Entry:  185.32 | Target:  228.51 | Risk: LOW       
  BANARISUG.NS    | Price: 4019.70 | Entry: 3939.31 | Target: 4722.70 | Risk: LOW       
  HEIDELBERG.NS   | Price:  158.98 | Entry:   155.8 | Target:  171.23 | Risk: LOW       
  SGMART.NS       | Price:  820.35 | Entry:  803.94 | Target:  965.28 | Risk: LOW       
  HERITGFOOD.NS   | Price:  380.85 | Entry:  373.23 | Target:  436.60 | Risk: LOW       
  GUJTHEM.NS      | Price:  381.20 | Entry:  373.58 | Target:  455.61 | Risk: LOW       
  GOPAL.NS        | Price:  282.30 | Entry:  276.65 | Target:  324.78 | Risk: LOW       
  RBA.NS          | Price:  104.24 | Entry:  102.16 | Target:  137.51 | Risk: LOW       
  LUMAXIND.NS     | Price: 5880.00 | Entry:  5762.4 | Target: 6933.28 | Risk: LOW       
  GUJALKALI.NS    | Price:  684.25 | Entry:  670.56 | Target:  788.88 | Risk: LOW       
  SHANTIGEAR.NS   | Price:  464.25 | Entry:  454.96 | Target:  543.25 | Risk: LOW       
  BOROLTD.NS      | Price:  254.18 | Entry:   249.1 | Target:  303.45 | Risk: LOW       
  UFLEX.NS        | Price:  614.60 | Entry:  602.31 | Target:  741.14 | Risk: LOW       
  RAYMOND.NS      | Price:  643.15 | Entry:  630.29 | Target:  760.13 | Risk: LOW       
  MCLOUD.NS       | Price:   30.27 | Entry:   29.66 | Target:   37.63 | Risk: LOW       
  VADILALIND.NS   | Price: 7417.50 | Entry: 7269.15 | Target: 9026.28 | Risk: LOW       
  EBGNG.NS        | Price:  606.20 | Entry:  594.08 | Target:  757.36 | Risk: LOW       
  QUESS.NS        | Price:  335.85 | Entry:  329.13 | Target:  408.60 | Risk: LOW       
  WONDERLA.NS     | Price:  519.20 | Entry:  508.82 | Target:  609.54 | Risk: LOW       
  NEOGEN.NS       | Price: 2230.10 | Entry:  2185.5 | Target: 2776.34 | Risk: LOW       
  PRECWIRE.NS     | Price:  438.50 | Entry:  429.73 | Target:  557.02 | Risk: LOW       
  KOLTEPATIL.NS   | Price:  468.55 | Entry:  459.18 | Target:  623.16 | Risk: LOW       
  MBAPL.NS        | Price:  169.52 | Entry:  166.13 | Target:  199.27 | Risk: LOW       
  HARSHA.NS       | Price:  437.60 | Entry:  428.85 | Target:  515.28 | Risk: LOW       
  KSL.NS          | Price:  881.15 | Entry:  863.53 | Target: 1061.72 | Risk: LOW       
  ROLEXRINGS.NS   | Price:  183.37 | Entry:   179.7 | Target:  228.06 | Risk: LOW       
  SHAREINDIA.NS   | Price:  174.13 | Entry:  170.65 | Target:  202.72 | Risk: LOW       
  GUFICBIO.NS     | Price:  431.50 | Entry:  422.87 | Target:  518.70 | Risk: LOW       
  UNICHEMLAB.NS   | Price:  526.15 | Entry:  515.63 | Target:  665.85 | Risk: LOW       
