NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-24 23:09:38

BUY SIGNALS (653):
  HDFCBANK.NS     | Price:  737.25 | Entry:   722.5 | Target:  799.41 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4085.70 | Entry: 4003.99 | Target: 4617.41 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1850.00 | Entry:  1813.0 | Target: 2099.68 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1993.20 | Entry: 1953.34 | Target: 2212.79 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   87.90 | Entry:   86.14 | Target:   95.21 | Risk: LOW       
  MOTILALOFS.NS   | Price: 1042.50 | Entry: 1021.65 | Target: 1182.50 | Risk: LOW       
  GLENMARK.NS     | Price: 2475.00 | Entry:  2425.5 | Target: 2729.25 | Risk: LOW       
  MFSL.NS         | Price: 1562.90 | Entry: 1531.64 | Target: 1766.08 | Risk: LOW       
  LAURUSLABS.NS   | Price: 2034.00 | Entry: 1993.32 | Target: 2278.21 | Risk: LOW       
  AIIL.NS         | Price:  561.45 | Entry:  550.22 | Target:  652.54 | Risk: LOW       
  APLAPOLLO.NS    | Price: 2195.00 | Entry:  2151.1 | Target: 2503.35 | Risk: LOW       
  JUBLFOOD.NS     | Price:  483.30 | Entry:  473.63 | Target:  540.39 | Risk: LOW       
  RADICO.NS       | Price: 4601.90 | Entry: 4509.86 | Target: 5121.29 | Risk: LOW       
  PWL.NS          | Price:  136.11 | Entry:  133.39 | Target:  163.99 | Risk: LOW       
  TATAINVEST.NS   | Price:  674.30 | Entry:  660.81 | Target:  824.25 | Risk: LOW       
  POONAWALLA.NS   | Price:  478.85 | Entry:  469.27 | Target:  548.23 | Risk: LOW       
  3MINDIA.NS      | Price: 34615.00 | Entry: 33922.7 | Target: 39182.86 | Risk: LOW       
  APARINDS.NS     | Price: 17876.00 | Entry: 17518.48 | Target: 21905.05 | Risk: LOW       
  MEDANTA.NS      | Price: 1496.10 | Entry: 1466.18 | Target: 1746.92 | Risk: LOW       
  CENTRALBK.NS    | Price:   31.63 | Entry:    31.0 | Target:   34.31 | Risk: LOW       
  COHANCE.NS      | Price:  461.45 | Entry:  452.22 | Target:  547.25 | Risk: LOW       
  LICHSGFIN.NS    | Price:  572.50 | Entry:  561.05 | Target:  658.88 | Risk: LOW       
  SONACOMS.NS     | Price:  833.00 | Entry:  816.34 | Target:  937.23 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  302.80 | Entry:  296.74 | Target:  368.60 | Risk: LOW       
  KIMS.NS         | Price:  798.05 | Entry:  782.09 | Target:  892.76 | Risk: LOW       
  PINELABS.NS     | Price:  188.30 | Entry:  184.53 | Target:  249.15 | Risk: LOW       
  IKS.NS          | Price: 1937.80 | Entry: 1899.04 | Target: 2225.94 | Risk: LOW       
  AEGISLOG.NS     | Price: 1404.50 | Entry: 1376.41 | Target: 1736.18 | Risk: LOW       
  BANDHANBNK.NS   | Price:  191.38 | Entry:  187.55 | Target:  219.10 | Risk: LOW       
  EMCURE.NS       | Price: 1981.70 | Entry: 1942.07 | Target: 2287.16 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1105.80 | Entry: 1083.68 | Target: 1252.01 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 2329.70 | Entry: 2283.11 | Target: 2819.84 | Risk: LOW       
  TIMKEN.NS       | Price: 3287.90 | Entry: 3222.14 | Target: 3831.69 | Risk: LOW       
  WELCORP.NS      | Price: 2796.80 | Entry: 2740.86 | Target: 3475.98 | Risk: LOW       
  TATACHEM.NS     | Price:  669.90 | Entry:   656.5 | Target:  871.06 | Risk: LOW       
  HBLENGINE.NS    | Price:  764.35 | Entry:  749.06 | Target:  904.99 | Risk: LOW       
  SUNTV.NS        | Price:  490.20 | Entry:   480.4 | Target:  572.97 | Risk: LOW       
  SAGILITY.NS     | Price:   45.99 | Entry:   45.07 | Target:   51.08 | Risk: LOW       
  JYOTICNC.NS     | Price: 1100.80 | Entry: 1078.78 | Target: 1317.69 | Risk: LOW       
  IIFL.NS         | Price:  633.30 | Entry:  620.63 | Target:  748.55 | Risk: LOW       
  REDINGTON.NS    | Price:  400.75 | Entry:  392.74 | Target:  477.50 | Risk: LOW       
  ONESOURCE.NS    | Price: 1596.70 | Entry: 1564.77 | Target: 1879.74 | Risk: LOW       
  OLAELEC.NS      | Price:   41.87 | Entry:   41.03 | Target:   49.78 | Risk: LOW       
  ANANTRAJ.NS     | Price:  631.80 | Entry:  619.16 | Target:  723.71 | Risk: LOW       
  CASTROLIND.NS   | Price:  193.23 | Entry:  189.37 | Target:  208.95 | Risk: LOW       
  DEVYANI.NS      | Price:  140.11 | Entry:  137.31 | Target:  159.61 | Risk: LOW       
  APLLTD.NS       | Price:  844.40 | Entry:  827.51 | Target:  960.31 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 13269.00 | Entry: 13003.62 | Target: 14851.72 | Risk: LOW       
  JUBLPHARMA.NS   | Price: 1058.00 | Entry: 1036.84 | Target: 1239.98 | Risk: LOW       
  FIVESTAR.NS     | Price:  549.70 | Entry:  538.71 | Target:  641.29 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1264.50 | Entry: 1239.21 | Target: 1518.04 | Risk: LOW       
  RBLBANK.NS      | Price:  428.00 | Entry:  419.44 | Target:  477.96 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1560.30 | Entry: 1529.09 | Target: 1820.12 | Risk: LOW       
  CPPLUS.NS       | Price: 3831.90 | Entry: 3755.26 | Target: 4647.33 | Risk: LOW       
  UTIAMC.NS       | Price:  909.95 | Entry:  891.75 | Target: 1002.74 | Risk: LOW       
  ACMESOLAR.NS    | Price:  452.30 | Entry:  443.25 | Target:  552.75 | Risk: LOW       
  GABRIEL.NS      | Price: 1428.10 | Entry: 1399.54 | Target: 1728.31 | Risk: LOW       
  TECHNOE.NS      | Price: 1012.05 | Entry:  991.81 | Target: 1161.37 | Risk: LOW       
  WHIRLPOOL.NS    | Price:  865.25 | Entry:  847.94 | Target: 1004.27 | Risk: LOW       
  ABDL.NS         | Price:  656.40 | Entry:  643.27 | Target:  755.19 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 2793.80 | Entry: 2737.92 | Target: 3262.33 | Risk: LOW       
  GESHIP.NS       | Price: 1483.80 | Entry: 1454.12 | Target: 1643.34 | Risk: LOW       
  SYRMA.NS        | Price: 1719.40 | Entry: 1685.01 | Target: 2128.01 | Risk: LOW       
  NUVOCO.NS       | Price:  344.75 | Entry:  337.86 | Target:  397.73 | Risk: LOW       
  EMMVEE.NS       | Price:  333.10 | Entry:  326.44 | Target:  398.23 | Risk: LOW       
  SPLPETRO.NS     | Price:  882.20 | Entry:  864.56 | Target: 1055.13 | Risk: LOW       
  PCBL.NS         | Price:  345.45 | Entry:  338.54 | Target:  405.45 | Risk: LOW       
  INDGN.NS        | Price:  598.40 | Entry:  586.43 | Target:  672.10 | Risk: LOW       
  BELRISE.NS      | Price:  249.78 | Entry:  244.78 | Target:  279.41 | Risk: LOW       
  USHAMART.NS     | Price:  535.05 | Entry:  524.35 | Target:  612.19 | Risk: LOW       
  TEGA.NS         | Price: 2078.80 | Entry: 2037.22 | Target: 2586.76 | Risk: LOW       
  FINCABLES.NS    | Price: 1470.20 | Entry:  1440.8 | Target: 1816.52 | Risk: LOW       
  ACE.NS          | Price: 1253.90 | Entry: 1228.82 | Target: 1457.26 | Risk: LOW       
  ELECON.NS       | Price:  466.60 | Entry:  457.27 | Target:  534.17 | Risk: LOW       
  EMBDL.NS        | Price:   61.22 | Entry:    60.0 | Target:   73.79 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  223.77 | Entry:  219.29 | Target:  261.32 | Risk: LOW       
  TSFINV.NS       | Price:  462.05 | Entry:  452.81 | Target:  530.80 | Risk: LOW       
  CLEAN.NS        | Price:  836.60 | Entry:  819.87 | Target:  955.56 | Risk: LOW       
  ENGINERSIN.NS   | Price:  303.70 | Entry:  297.63 | Target:  356.43 | Risk: LOW       
  PRUDENT.NS      | Price: 3352.70 | Entry: 3285.65 | Target: 3981.70 | Risk: LOW       
  BLACKBUCK.NS    | Price:  616.05 | Entry:  603.73 | Target:  733.91 | Risk: LOW       
  PVRINOX.NS      | Price: 1317.50 | Entry: 1291.15 | Target: 1577.21 | Risk: LOW       
  VIJAYA.NS       | Price: 1570.70 | Entry: 1539.29 | Target: 1853.56 | Risk: LOW       
  AETHER.NS       | Price: 1648.20 | Entry: 1615.24 | Target: 1904.13 | Risk: LOW       
  EDELWEISS.NS    | Price:  142.03 | Entry:  139.19 | Target:  173.13 | Risk: LOW       
  WESTLIFE.NS     | Price:  598.70 | Entry:  586.73 | Target:  712.16 | Risk: LOW       
  IIFLCAPS.NS     | Price:  353.05 | Entry:  345.99 | Target:  374.87 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  651.25 | Entry:  638.23 | Target:  768.98 | Risk: LOW       
  RHIM.NS         | Price:  388.85 | Entry:  381.07 | Target:  438.91 | Risk: LOW       
  AEQUS.NS        | Price:  243.94 | Entry:  239.06 | Target:  287.04 | Risk: LOW       
  TDPOWERSYS.NS   | Price:  765.50 | Entry:  750.19 | Target:  955.04 | Risk: LOW       
  KPIGREEN.NS     | Price:  350.05 | Entry:  343.05 | Target:  411.89 | Risk: LOW       
  TRANSRAILL.NS   | Price:  488.90 | Entry:  479.12 | Target:  568.50 | Risk: LOW       
  SAPPHIRE.NS     | Price:  231.48 | Entry:  226.85 | Target:  269.23 | Risk: LOW       
  HONASA.NS       | Price:  484.90 | Entry:   475.2 | Target:  560.33 | Risk: LOW       
  SANSERA.NS      | Price: 4621.40 | Entry: 4528.97 | Target: 5506.08 | Risk: LOW       
  TI.NS           | Price:  601.50 | Entry:  589.47 | Target:  708.35 | Risk: LOW       
  MARKSANS.NS     | Price:  347.60 | Entry:  340.65 | Target:  414.37 | Risk: LOW       
  BBOX.NS         | Price:  809.85 | Entry:  793.65 | Target: 1012.94 | Risk: LOW       
  SOUTHBANK.NS    | Price:   47.08 | Entry:   46.14 | Target:   52.88 | Risk: LOW       
  LOTUSDEV.NS     | Price:  224.46 | Entry:  219.97 | Target:  272.13 | Risk: LOW       
  PCJEWELLER.NS   | Price:   14.47 | Entry:   14.18 | Target:   19.29 | Risk: LOW       
  LUMAXTECH.NS    | Price: 2044.90 | Entry:  2004.0 | Target: 2441.72 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  702.75 | Entry:  688.69 | Target:  847.09 | Risk: LOW       
  GMRP&UI.NS      | Price:   98.13 | Entry:   96.17 | Target:  117.52 | Risk: LOW       
  STAR.NS         | Price: 1223.30 | Entry: 1198.83 | Target: 1482.55 | Risk: LOW       
  GPPL.NS         | Price:  164.12 | Entry:  160.84 | Target:  182.98 | Risk: LOW       
  DIACABS.NS      | Price:  377.85 | Entry:  370.29 | Target:  467.94 | Risk: LOW       
  SHILPAMED.NS    | Price: 1037.70 | Entry: 1016.95 | Target: 1269.91 | Risk: LOW       
  MAXESTATES.NS   | Price:  603.20 | Entry:  591.14 | Target:  715.88 | Risk: LOW       
  AARTIPHARM.NS   | Price:  940.10 | Entry:   921.3 | Target: 1137.88 | Risk: LOW       
  GNFC.NS         | Price:  623.05 | Entry:  610.59 | Target:  723.62 | Risk: LOW       
  PRSMJOHNSN.NS   | Price:  116.43 | Entry:   114.1 | Target:  129.51 | Risk: LOW       
  AKUMS.NS        | Price:  823.30 | Entry:  806.83 | Target:  964.66 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   91.52 | Entry:   89.69 | Target:  106.67 | Risk: LOW       
  TIPSMUSIC.NS    | Price:  670.50 | Entry:  657.09 | Target:  754.07 | Risk: LOW       
  PFOCUS.NS       | Price:  337.15 | Entry:  330.41 | Target:  413.15 | Risk: LOW       
  ISGEC.NS        | Price:  867.85 | Entry:  850.49 | Target: 1004.43 | Risk: LOW       
  KTKBANK.NS      | Price:  343.05 | Entry:  336.19 | Target:  389.55 | Risk: LOW       
  YATHARTH.NS     | Price: 1162.20 | Entry: 1138.96 | Target: 1377.74 | Risk: LOW       
  CSBBANK.NS      | Price:  336.40 | Entry:  329.67 | Target:  397.15 | Risk: LOW       
  ELLEN.NS        | Price:  371.30 | Entry:  363.87 | Target:  480.25 | Risk: LOW       
  PGIL.NS         | Price: 1300.80 | Entry: 1274.78 | Target: 1607.91 | Risk: LOW       
  QPOWER.NS       | Price: 1555.60 | Entry: 1524.49 | Target: 1933.27 | Risk: LOW       
  PARKHOSPS.NS    | Price:  286.55 | Entry:  280.82 | Target:  323.82 | Risk: LOW       
  JKPAPER.NS      | Price:  415.25 | Entry:  406.94 | Target:  487.66 | Risk: LOW       
  PRICOLLTD.NS    | Price:  763.65 | Entry:  748.38 | Target:  870.60 | Risk: LOW       
  AVALON.NS       | Price: 2445.60 | Entry: 2396.69 | Target: 3159.28 | Risk: LOW       
  JUNIPER.NS      | Price:  221.77 | Entry:  217.33 | Target:  259.66 | Risk: LOW       
  AXISCADES.NS    | Price: 1940.20 | Entry:  1901.4 | Target: 2383.16 | Risk: LOW       
  GULFOILLUB.NS   | Price: 1098.70 | Entry: 1076.73 | Target: 1241.77 | Risk: LOW       
  CHEMPLASTS.NS   | Price:  199.40 | Entry:  195.41 | Target:  251.95 | Risk: LOW       
  SHARDAMOTR.NS   | Price:  971.85 | Entry:  952.41 | Target: 1136.49 | Risk: LOW       
  SUPRIYA.NS      | Price: 1000.90 | Entry:  980.88 | Target: 1187.78 | Risk: LOW       
  SAATVIKGL.NS    | Price:  447.60 | Entry:  438.65 | Target:  524.98 | Risk: LOW       
  EMUDHRA.NS      | Price:  637.80 | Entry:  625.04 | Target:  823.55 | Risk: LOW       
  TEXRAIL.NS      | Price:  124.75 | Entry:  122.25 | Target:  149.58 | Risk: LOW       
  ICIL.NS         | Price:  476.55 | Entry:  467.02 | Target:  578.09 | Risk: LOW       
  INDIGOPNTS.NS   | Price: 1140.00 | Entry:  1117.2 | Target: 1316.39 | Risk: LOW       
  TVSSCS.NS       | Price:  132.48 | Entry:  129.83 | Target:  154.84 | Risk: LOW       
  LXCHEM.NS       | Price:  188.44 | Entry:  184.67 | Target:  226.07 | Risk: LOW       
  AGI.NS          | Price:  837.20 | Entry:  820.46 | Target: 1005.63 | Risk: LOW       
  CAPILLARY.NS    | Price:  545.55 | Entry:  534.64 | Target:  660.25 | Risk: LOW       
  UNIMECH.NS      | Price: 1716.10 | Entry: 1681.78 | Target: 2149.17 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1432.60 | Entry: 1403.95 | Target: 1775.21 | Risk: LOW       
  DYNAMATECH.NS   | Price: 12561.00 | Entry: 12309.78 | Target: 14806.71 | Risk: LOW       
  E2E.NS          | Price:  635.15 | Entry:  622.45 | Target:  772.54 | Risk: LOW       
  OPTIEMUS.NS     | Price:  828.35 | Entry:  811.78 | Target: 1030.98 | Risk: LOW       
  KINGFA.NS       | Price: 6240.50 | Entry: 6115.69 | Target: 7310.74 | Risk: LOW       
  EMIL.NS         | Price:  191.32 | Entry:  187.49 | Target:  239.60 | Risk: LOW       
  ITDC.NS         | Price:  702.65 | Entry:   688.6 | Target:  859.33 | Risk: LOW       
  PDSL.NS         | Price:  361.40 | Entry:  354.17 | Target:  415.03 | Risk: LOW       
  SMLMAH.NS       | Price: 6794.00 | Entry: 6658.12 | Target: 8374.00 | Risk: LOW       
  VRLLOG.NS       | Price:  291.75 | Entry:  285.92 | Target:  319.21 | Risk: LOW       
  SUNFLAG.NS      | Price:  390.55 | Entry:  382.74 | Target:  452.25 | Risk: LOW       
  JSFB.NS         | Price:  546.60 | Entry:  535.67 | Target:  659.90 | Risk: LOW       
  INNOVACAP.NS    | Price: 1297.60 | Entry: 1271.65 | Target: 1557.67 | Risk: LOW       
  NEPHROPLUS.NS   | Price:  741.90 | Entry:  727.06 | Target:  870.90 | Risk: LOW       
  SHREEJISPG.NS   | Price:  723.75 | Entry:  709.27 | Target:  841.07 | Risk: LOW       
  VSTTILLERS.NS   | Price: 4425.00 | Entry:  4336.5 | Target: 4983.83 | Risk: LOW       
  INDRAMEDCO.NS   | Price:  374.60 | Entry:  367.11 | Target:  422.62 | Risk: LOW       
  CEIGALL.NS      | Price:  388.85 | Entry:  381.07 | Target:  457.69 | Risk: LOW       
  HERITGFOOD.NS   | Price:  424.05 | Entry:  415.57 | Target:  508.12 | Risk: LOW       
  AARTIDRUGS.NS   | Price:  436.25 | Entry:  427.52 | Target:  507.61 | Risk: LOW       
  ZOTA.NS         | Price: 1390.60 | Entry: 1362.79 | Target: 1665.80 | Risk: LOW       
  RAYMONDREL.NS   | Price:  671.45 | Entry:  658.02 | Target:  830.72 | Risk: LOW       
  SANATHAN.NS     | Price:  506.35 | Entry:  496.22 | Target:  612.33 | Risk: LOW       
  NORTHARC.NS     | Price:  313.80 | Entry:  307.52 | Target:  364.53 | Risk: LOW       
  JAMNAAUTO.NS    | Price:  129.55 | Entry:  126.96 | Target:  155.02 | Risk: LOW       
  BOROLTD.NS      | Price:  267.50 | Entry:  262.15 | Target:  315.68 | Risk: LOW       
  RPGLIFE.NS      | Price: 3025.40 | Entry: 2964.89 | Target: 3751.61 | Risk: LOW       
  RAYMOND.NS      | Price: 1114.65 | Entry: 1092.36 | Target: 1533.67 | Risk: LOW       
  ORCHPHARMA.NS   | Price: 1102.05 | Entry: 1080.01 | Target: 1339.50 | Risk: LOW       
  AJMERA.NS       | Price:  120.63 | Entry:  118.22 | Target:  140.37 | Risk: LOW       
  GOODLUCK.NS     | Price:  537.10 | Entry:  526.36 | Target:  637.16 | Risk: LOW       
  EBGNG.NS        | Price:  715.15 | Entry:  700.85 | Target:  896.69 | Risk: LOW       
  QUESS.NS        | Price:  359.00 | Entry:  351.82 | Target:  439.29 | Risk: LOW       
  GREENPLY.NS     | Price:  298.40 | Entry:  292.43 | Target:  347.36 | Risk: LOW       
  NEOGEN.NS       | Price: 2392.10 | Entry: 2344.26 | Target: 2957.92 | Risk: LOW       
  PRECWIRE.NS     | Price:  498.85 | Entry:  488.87 | Target:  607.40 | Risk: LOW       
  MBAPL.NS        | Price:  167.51 | Entry:  164.16 | Target:  197.32 | Risk: LOW       
  NPST.NS         | Price: 1844.70 | Entry: 1807.81 | Target: 2303.60 | Risk: LOW       
  CENTUM.NS       | Price: 4826.10 | Entry: 4729.58 | Target: 6043.67 | Risk: LOW       
  HARSHA.NS       | Price:  464.50 | Entry:  455.21 | Target:  543.98 | Risk: LOW       
  KSL.NS          | Price:  998.25 | Entry:  978.28 | Target: 1216.25 | Risk: LOW       
  ROLEXRINGS.NS   | Price:  183.58 | Entry:  179.91 | Target:  215.49 | Risk: LOW       
  SHAREINDIA.NS   | Price:  219.98 | Entry:  215.58 | Target:  278.57 | Risk: LOW       
  UNICHEMLAB.NS   | Price:  573.20 | Entry:  561.74 | Target:  702.97 | Risk: LOW       
  JUBLCPL.NS      | Price: 2202.40 | Entry: 2158.35 | Target: 2697.83 | Risk: LOW       
  CYIENTDLM.NS    | Price:  963.50 | Entry:  944.23 | Target: 1237.57 | Risk: LOW       
  RPEL.NS         | Price: 1711.70 | Entry: 1677.47 | Target: 2265.49 | Risk: LOW       
  FOSECOIND.NS    | Price: 6555.00 | Entry:  6423.9 | Target: 8057.14 | Risk: LOW       
  DPABHUSHAN.NS   | Price: 1455.90 | Entry: 1426.78 | Target: 1734.04 | Risk: LOW       
  PROTEAN.NS      | Price:  636.20 | Entry:  623.48 | Target:  769.49 | Risk: LOW       
  VISHNU.NS       | Price:  723.95 | Entry:  709.47 | Target:  852.25 | Risk: LOW       
  SAMBHV.NS       | Price:  158.22 | Entry:  155.06 | Target:  194.21 | Risk: LOW       
  SWANDEF.NS      | Price: 2776.20 | Entry: 2720.68 | Target: 3397.77 | Risk: LOW       
  PARAGMILK.NS    | Price:  268.90 | Entry:  263.52 | Target:  340.48 | Risk: LOW       
  HLEGLAS.NS      | Price:  446.85 | Entry:  437.91 | Target:  591.53 | Risk: LOW       
  KIRIINDUS.NS    | Price:  572.75 | Entry:  561.29 | Target:  725.00 | Risk: LOW       
  MAHLOG.NS       | Price:  416.55 | Entry:  408.22 | Target:  470.23 | Risk: LOW       
  KRISHANA.NS     | Price:  188.15 | Entry:  184.39 | Target:  221.14 | Risk: LOW       
  JASH.NS         | Price:  588.95 | Entry:  577.17 | Target:  713.15 | Risk: LOW       
  PAISALO.NS      | Price:   90.39 | Entry:   88.58 | Target:  109.29 | Risk: LOW       
  PENIND.NS       | Price:  183.31 | Entry:  179.64 | Target:  213.31 | Risk: LOW       
  WSTCSTPAPR.NS   | Price:  747.25 | Entry:   732.3 | Target:  897.11 | Risk: LOW       
  KDDL.NS         | Price: 4251.90 | Entry: 4166.86 | Target: 4889.23 | Risk: LOW       
  ASHIANA.NS      | Price:  391.05 | Entry:  383.23 | Target:  465.18 | Risk: LOW       
  TCPLPACK.NS     | Price: 4003.00 | Entry: 3922.94 | Target: 4832.14 | Risk: LOW       
  RAMRAT.NS       | Price:  558.65 | Entry:  547.48 | Target:  686.44 | Risk: LOW       
  SUNDROP.NS      | Price:  744.30 | Entry:  729.41 | Target:  860.05 | Risk: LOW       
  NOCIL.NS        | Price:  206.30 | Entry:  202.17 | Target:  249.76 | Risk: LOW       
  PREMEXPLN.NS    | Price:  675.15 | Entry:  661.65 | Target:  712.98 | Risk: LOW       
  MANINDS.NS      | Price:  986.70 | Entry:  966.97 | Target: 1289.75 | Risk: LOW       
  TIRUMALCHM.NS   | Price:  165.22 | Entry:  161.92 | Target:  192.56 | Risk: LOW       
  SBCL.NS         | Price: 1156.00 | Entry: 1132.88 | Target: 1475.39 | Risk: LOW       
  MARINE.NS       | Price:  425.80 | Entry:  417.28 | Target:  556.74 | Risk: LOW       
  ARVSMART.NS     | Price:  634.05 | Entry:  621.37 | Target:  761.78 | Risk: LOW       
  TATVA.NS        | Price: 1778.10 | Entry: 1742.54 | Target: 2177.39 | Risk: LOW       
  EPACKPEB.NS     | Price:  253.95 | Entry:  248.87 | Target:  311.20 | Risk: LOW       
  JTLIND.NS       | Price:   91.31 | Entry:   89.48 | Target:  111.65 | Risk: LOW       
  CARRARO.NS      | Price:  554.60 | Entry:  543.51 | Target:  637.53 | Risk: LOW       
  NRBBEARING.NS   | Price:  541.05 | Entry:  530.23 | Target:  662.44 | Risk: LOW       
  MOREPENLAB.NS   | Price:  122.35 | Entry:   119.9 | Target:  158.20 | Risk: LOW       
  VENUSPIPES.NS   | Price: 2235.50 | Entry: 2190.79 | Target: 2836.18 | Risk: LOW       
  SOTL.NS         | Price:  715.60 | Entry:  701.29 | Target:  894.89 | Risk: LOW       
  JAYKAY.NS       | Price:  212.76 | Entry:   208.5 | Target:  272.93 | Risk: LOW       
  INDOCO.NS       | Price:  251.16 | Entry:  246.14 | Target:  332.81 | Risk: LOW       
  VSSL.NS         | Price:  413.60 | Entry:  405.33 | Target:  508.85 | Risk: LOW       
  KMEW.NS         | Price: 2996.60 | Entry: 2936.67 | Target: 3680.17 | Risk: LOW       
  ROSSTECH.NS     | Price: 1449.80 | Entry:  1420.8 | Target: 1847.43 | Risk: LOW       
  FILATEX.NS      | Price:  108.72 | Entry:  106.55 | Target:  140.05 | Risk: LOW       
  JINDALPOLY.NS   | Price:  715.20 | Entry:   700.9 | Target:  882.00 | Risk: LOW       
  SMSPHARMA.NS    | Price:  482.95 | Entry:  473.29 | Target:  629.71 | Risk: LOW       
  TASTYBITE.NS    | Price: 10180.00 | Entry:  9976.4 | Target: 11614.64 | Risk: LOW       
  ORIENTHOT.NS    | Price:  143.58 | Entry:  140.71 | Target:  161.43 | Risk: LOW       
  STEELCAS.NS     | Price:  359.70 | Entry:  352.51 | Target:  440.41 | Risk: LOW       
  GENESYS.NS      | Price:  281.62 | Entry:  275.99 | Target:  400.79 | Risk: LOW       
  SOLARA.NS       | Price:  722.90 | Entry:  708.44 | Target:  924.11 | Risk: LOW       
  SPECTRUM.NS     | Price: 3241.60 | Entry: 3176.77 | Target: 4067.71 | Risk: LOW       
  SYSTMTXC.NS     | Price:   77.50 | Entry:   75.95 | Target:   88.47 | Risk: LOW       
  DELTACORP.NS    | Price:   68.65 | Entry:   67.28 | Target:   81.70 | Risk: LOW       
  GEOJITFSL.NS    | Price:   81.98 | Entry:   80.34 | Target:   96.10 | Risk: LOW       
  RPTECH.NS       | Price:  898.70 | Entry:  880.73 | Target: 1100.04 | Risk: LOW       
  TIL.NS          | Price:  259.09 | Entry:  253.91 | Target:  315.04 | Risk: LOW       
