NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-27 19:27:34

BUY SIGNALS (1061):
  BAJFINANCE.NS   | Price:  930.20 | Entry:   911.6 | Target: 1043.47 | Risk: LOW       
  SHREECEM.NS     | Price: 25180.00 | Entry: 24676.4 | Target: 27888.93 | Risk: LOW       
  BSE.NS          | Price: 4403.30 | Entry: 4315.23 | Target: 5043.62 | Risk: LOW       
  MANKIND.NS      | Price: 2423.60 | Entry: 2375.13 | Target: 2871.49 | Risk: LOW       
  INDUSTOWER.NS   | Price:  433.25 | Entry:  424.58 | Target:  492.52 | Risk: LOW       
  GMRAIRPORT.NS   | Price:   96.23 | Entry:   94.31 | Target:  109.03 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1079.05 | Entry: 1057.47 | Target: 1237.73 | Risk: LOW       
  ICICIGI.NS      | Price: 1860.30 | Entry: 1823.09 | Target: 2089.19 | Risk: LOW       
  DIXON.NS        | Price: 11673.00 | Entry: 11439.54 | Target: 14013.71 | Risk: LOW       
  IDEA.NS         | Price:   14.14 | Entry:   13.86 | Target:   16.96 | Risk: LOW       
  HINDPETRO.NS    | Price:  398.00 | Entry:  390.04 | Target:  468.73 | Risk: LOW       
  BAJAJHFL.NS     | Price:   85.05 | Entry:   83.35 | Target:   93.33 | Risk: LOW       
  JSWENERGY.NS    | Price:  576.00 | Entry:  564.48 | Target:  663.20 | Risk: LOW       
  PERSISTENT.NS   | Price: 5105.80 | Entry: 5003.68 | Target: 5965.44 | Risk: LOW       
  BHARTIHEXA.NS   | Price: 1558.00 | Entry: 1526.84 | Target: 1764.00 | Risk: LOW       
  SRF.NS          | Price: 2749.70 | Entry: 2694.71 | Target: 3099.70 | Risk: LOW       
  BHEL.NS         | Price:  417.75 | Entry:  409.39 | Target:  484.29 | Risk: LOW       
  POWERINDIA.NS   | Price: 35995.00 | Entry: 35275.1 | Target: 43341.43 | Risk: LOW       
  MEESHO.NS       | Price:  193.21 | Entry:  189.35 | Target:  239.01 | Risk: LOW       
  POLICYBZR.NS    | Price: 1789.00 | Entry: 1753.22 | Target: 2111.89 | Risk: LOW       
  SUZLON.NS       | Price:   54.58 | Entry:   53.49 | Target:   63.01 | Risk: LOW       
  ABCAPITAL.NS    | Price:  363.05 | Entry:  355.79 | Target:  414.66 | Risk: LOW       
  OFSS.NS         | Price: 9882.00 | Entry: 9684.36 | Target: 11395.75 | Risk: LOW       
  GVT&D.NS        | Price: 4848.30 | Entry: 4751.33 | Target: 5971.87 | Risk: LOW       
  PRESTIGE.NS     | Price: 1402.20 | Entry: 1374.16 | Target: 1661.20 | Risk: LOW       
  LLOYDSME.NS     | Price: 1853.70 | Entry: 1816.63 | Target: 2148.59 | Risk: LOW       
  FORTIS.NS       | Price:  966.60 | Entry:  947.27 | Target: 1083.87 | Risk: LOW       
  NYKAA.NS        | Price:  266.35 | Entry:  261.02 | Target:  309.73 | Risk: LOW       
  ATGL.NS         | Price:  713.10 | Entry:  698.84 | Target:  859.76 | Risk: LOW       
  GICRE.NS        | Price:  393.45 | Entry:  385.58 | Target:  438.66 | Risk: LOW       
  YESBANK.NS      | Price:   22.83 | Entry:   22.37 | Target:   26.33 | Risk: LOW       
  VMM.NS          | Price:  121.08 | Entry:  118.66 | Target:  138.29 | Risk: LOW       
  NMDC.NS         | Price:   90.67 | Entry:   88.86 | Target:  102.64 | Risk: LOW       
  BERGEPAINT.NS   | Price:  515.55 | Entry:  505.24 | Target:  627.32 | Risk: LOW       
  GODREJPROP.NS   | Price: 1760.20 | Entry:  1725.0 | Target: 2037.74 | Risk: LOW       
  LTF.NS          | Price:  282.70 | Entry:  277.05 | Target:  327.74 | Risk: LOW       
  JSWINFRA.NS     | Price:  278.95 | Entry:  273.37 | Target:  326.11 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4196.10 | Entry: 4112.18 | Target: 4769.53 | Risk: LOW       
  INDUSINDBK.NS   | Price:  932.30 | Entry:  913.65 | Target: 1041.87 | Risk: LOW       
  AUBANK.NS       | Price: 1011.80 | Entry:  991.56 | Target: 1136.76 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1693.70 | Entry: 1659.83 | Target: 1940.22 | Risk: LOW       
  FACT.NS         | Price:  903.40 | Entry:  885.33 | Target: 1041.17 | Risk: LOW       
  COFORGE.NS      | Price: 1422.80 | Entry: 1394.34 | Target: 1687.19 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1785.40 | Entry: 1749.69 | Target: 2031.90 | Risk: LOW       
  TIINDIA.NS      | Price: 3039.10 | Entry: 2978.32 | Target: 3603.89 | Risk: LOW       
  UPL.NS          | Price:  655.00 | Entry:   641.9 | Target:  749.12 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   70.22 | Entry:   68.82 | Target:   77.97 | Risk: LOW       
  MOTILALOFS.NS   | Price:  870.55 | Entry:  853.14 | Target:  991.60 | Risk: LOW       
  GLENMARK.NS     | Price: 2351.40 | Entry: 2304.37 | Target: 2725.44 | Risk: LOW       
  MFSL.NS         | Price: 1725.60 | Entry: 1691.09 | Target: 1979.78 | Risk: LOW       
  SAIL.NS         | Price:  203.84 | Entry:  199.76 | Target:  244.18 | Risk: LOW       
  FEDERALBNK.NS   | Price:  290.20 | Entry:   284.4 | Target:  324.49 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1095.70 | Entry: 1073.79 | Target: 1267.63 | Risk: LOW       
  MPHASIS.NS      | Price: 2265.30 | Entry: 2219.99 | Target: 2590.19 | Risk: LOW       
  BIOCON.NS       | Price:  436.15 | Entry:  427.43 | Target:  499.24 | Risk: LOW       
  TATACOMM.NS     | Price: 2009.10 | Entry: 1968.92 | Target: 2410.56 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1373.90 | Entry: 1346.42 | Target: 1536.56 | Risk: LOW       
  AIIL.NS         | Price:  494.85 | Entry:  484.95 | Target:  609.96 | Risk: LOW       
  PAGEIND.NS      | Price: 38155.00 | Entry: 37391.9 | Target: 44213.33 | Risk: LOW       
  PREMIERENE.NS   | Price: 1016.80 | Entry:  996.46 | Target: 1180.94 | Risk: LOW       
  HEXT.NS         | Price:  507.90 | Entry:  497.74 | Target:  608.78 | Risk: LOW       
  360ONE.NS       | Price: 1125.30 | Entry: 1102.79 | Target: 1286.91 | Risk: LOW       
  MAHABANK.NS     | Price:   80.18 | Entry:   78.58 | Target:   91.75 | Risk: LOW       
  PETRONET.NS     | Price:  280.20 | Entry:   274.6 | Target:  316.36 | Risk: LOW       
  IREDA.NS        | Price:  129.54 | Entry:  126.95 | Target:  147.42 | Risk: LOW       
  NATIONALUM.NS   | Price:  416.20 | Entry:  407.88 | Target:  472.65 | Risk: LOW       
  RADICO.NS       | Price: 3578.40 | Entry: 3506.83 | Target: 4060.65 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 3784.20 | Entry: 3708.52 | Target: 4324.99 | Risk: LOW       
  ENDURANCE.NS    | Price: 2732.90 | Entry: 2678.24 | Target: 3310.51 | Risk: LOW       
  KEI.NS          | Price: 5305.50 | Entry: 5199.39 | Target: 6132.04 | Risk: LOW       
  PWL.NS          | Price:  112.03 | Entry:  109.79 | Target:  135.82 | Risk: LOW       
  NH.NS           | Price: 1891.40 | Entry: 1853.57 | Target: 2203.86 | Risk: LOW       
  TATAINVEST.NS   | Price:  694.60 | Entry:  680.71 | Target:  792.12 | Risk: LOW       
  GODREJIND.NS    | Price: 1140.45 | Entry: 1117.64 | Target: 1510.79 | Risk: LOW       
  KPRMILL.NS      | Price:  946.25 | Entry:  927.32 | Target: 1100.59 | Risk: LOW       
  3MINDIA.NS      | Price: 33100.00 | Entry: 32438.0 | Target: 38264.29 | Risk: LOW       
  IPCALAB.NS      | Price: 1578.00 | Entry: 1546.44 | Target: 1834.11 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1949.20 | Entry: 1910.22 | Target: 2247.66 | Risk: LOW       
  MEDANTA.NS      | Price: 1228.80 | Entry: 1204.22 | Target: 1431.44 | Risk: LOW       
  ACC.NS          | Price: 1412.60 | Entry: 1384.35 | Target: 1564.03 | Risk: LOW       
  TATAELXSI.NS    | Price: 4335.60 | Entry: 4248.89 | Target: 4829.35 | Risk: LOW       
  NLCINDIA.NS     | Price:  343.40 | Entry:  336.53 | Target:  438.38 | Risk: LOW       
  KPITTECH.NS     | Price:  784.70 | Entry:  769.01 | Target:  916.24 | Risk: LOW       
  ASTERDM.NS      | Price:  757.60 | Entry:  742.45 | Target:  866.81 | Risk: LOW       
  EXIDEIND.NS     | Price:  366.25 | Entry:  358.93 | Target:  417.50 | Risk: LOW       
  HONAUT.NS       | Price: 35570.00 | Entry: 34858.6 | Target: 42730.71 | Risk: LOW       
  METROBRAND.NS   | Price: 1058.60 | Entry: 1037.43 | Target: 1263.74 | Risk: LOW       
  AIAENG.NS       | Price: 4143.40 | Entry: 4060.53 | Target: 4783.11 | Risk: LOW       
  GLAND.NS        | Price: 2307.90 | Entry: 2261.74 | Target: 2828.58 | Risk: LOW       
  NIACL.NS        | Price:  162.76 | Entry:   159.5 | Target:  194.15 | Risk: LOW       
  NBCC.NS         | Price:   95.55 | Entry:   93.64 | Target:  113.01 | Risk: LOW       
  ITI.NS          | Price:  300.30 | Entry:  294.29 | Target:  343.82 | Risk: LOW       
  IGL.NS          | Price:  166.01 | Entry:  162.69 | Target:  193.54 | Risk: LOW       
  SONACOMS.NS     | Price:  608.00 | Entry:  595.84 | Target:  699.02 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  208.33 | Entry:  204.16 | Target:  254.56 | Risk: LOW       
  KIMS.NS         | Price:  767.75 | Entry:  752.39 | Target:  932.50 | Risk: LOW       
  TATATECH.NS     | Price:  706.30 | Entry:  692.17 | Target:  808.59 | Risk: LOW       
  STARHEALTH.NS   | Price:  524.05 | Entry:  513.57 | Target:  597.78 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2190.00 | Entry:  2146.2 | Target: 2508.46 | Risk: LOW       
  IRB.NS          | Price:   21.66 | Entry:   21.23 | Target:   25.77 | Risk: LOW       
  SUMICHEM.NS     | Price:  489.05 | Entry:  479.27 | Target:  576.34 | Risk: LOW       
  AEGISLOG.NS     | Price:  715.10 | Entry:   700.8 | Target:  850.67 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 7396.00 | Entry: 7248.08 | Target: 8341.36 | Risk: LOW       
  BANDHANBNK.NS   | Price:  200.40 | Entry:  196.39 | Target:  228.80 | Risk: LOW       
  EMCURE.NS       | Price: 1698.50 | Entry: 1664.53 | Target: 1937.68 | Risk: LOW       
  LALPATHLAB.NS   | Price: 1604.00 | Entry: 1571.92 | Target: 1926.36 | Risk: LOW       
  PPLPHARMA.NS    | Price:  178.86 | Entry:  175.28 | Target:  220.21 | Risk: LOW       
  ZFCVINDIA.NS    | Price: 14884.00 | Entry: 14586.32 | Target: 17430.79 | Risk: LOW       
  SHYAMMETL.NS    | Price:  979.10 | Entry:  959.52 | Target: 1148.28 | Risk: LOW       
  FSL.NS          | Price:  277.72 | Entry:  272.17 | Target:  363.15 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1700.20 | Entry:  1666.2 | Target: 2043.31 | Risk: LOW       
  ANANDRATHI.NS   | Price: 3587.20 | Entry: 3515.46 | Target: 3963.75 | Risk: LOW       
  KIOCL.NS        | Price:  397.10 | Entry:  389.16 | Target:  469.12 | Risk: LOW       
  MANAPPURAM.NS   | Price:  330.25 | Entry:  323.64 | Target:  383.99 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1092.60 | Entry: 1070.75 | Target: 1224.89 | Risk: LOW       
  ANGELONE.NS     | Price:  344.45 | Entry:  337.56 | Target:  406.56 | Risk: LOW       
  TATACHEM.NS     | Price:  783.90 | Entry:  768.22 | Target:  915.72 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  891.60 | Entry:  873.77 | Target: 1017.62 | Risk: LOW       
  ASTRAZEN.NS     | Price: 8962.50 | Entry: 8783.25 | Target: 10144.64 | Risk: LOW       
  CESC.NS         | Price:  182.84 | Entry:  179.18 | Target:  209.19 | Risk: LOW       
  HBLENGINE.NS    | Price:  799.45 | Entry:  783.46 | Target:  958.02 | Risk: LOW       
  KARURVYSYA.NS   | Price:  293.35 | Entry:  287.48 | Target:  345.24 | Risk: LOW       
  IIFL.NS         | Price:  474.95 | Entry:  465.45 | Target:  571.34 | Risk: LOW       
  REDINGTON.NS    | Price:  224.51 | Entry:  220.02 | Target:  258.04 | Risk: LOW       
  PSB.NS          | Price:   24.19 | Entry:   23.71 | Target:   27.19 | Risk: LOW       
  KPIL.NS         | Price: 1297.10 | Entry: 1271.16 | Target: 1507.06 | Risk: LOW       
  ATHERENERG.NS   | Price:  950.60 | Entry:  931.59 | Target: 1156.30 | Risk: LOW       
  SUNDRMFAST.NS   | Price:  868.20 | Entry:  850.84 | Target:  993.94 | Risk: LOW       
  OLAELEC.NS      | Price:   37.58 | Entry:   36.83 | Target:   46.41 | Risk: LOW       
  CHALET.NS       | Price:  788.70 | Entry:  772.93 | Target:  912.95 | Risk: LOW       
  CHAMBLFERT.NS   | Price:  477.95 | Entry:  468.39 | Target:  549.72 | Risk: LOW       
  CASTROLIND.NS   | Price:  184.02 | Entry:  180.34 | Target:  193.20 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1376.80 | Entry: 1349.26 | Target: 1741.73 | Risk: LOW       
  KANSAINER.NS    | Price:  217.76 | Entry:   213.4 | Target:  256.81 | Risk: LOW       
  DEVYANI.NS      | Price:  116.39 | Entry:  114.06 | Target:  136.42 | Risk: LOW       
  CROMPTON.NS     | Price:  289.05 | Entry:  283.27 | Target:  337.73 | Risk: LOW       
  ATUL.NS         | Price: 7018.00 | Entry: 6877.64 | Target: 7917.82 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1448.70 | Entry: 1419.73 | Target: 1757.99 | Risk: LOW       
  JSWCEMENT.NS    | Price:  131.48 | Entry:  128.85 | Target:  155.99 | Risk: LOW       
  SAILIFE.NS      | Price: 1141.00 | Entry: 1118.18 | Target: 1423.64 | Risk: LOW       
  CGCL.NS         | Price:  190.79 | Entry:  186.97 | Target:  221.38 | Risk: LOW       
  ARE&M.NS        | Price:  889.30 | Entry:  871.51 | Target: 1034.51 | Risk: LOW       
  GRINDWELL.NS    | Price: 1913.40 | Entry: 1875.13 | Target: 2291.90 | Risk: LOW       
  SKFINDIA.NS     | Price: 1710.70 | Entry: 1676.49 | Target: 1982.27 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 13289.00 | Entry: 13023.22 | Target: 15841.14 | Risk: LOW       
  TRITURBINE.NS   | Price:  690.45 | Entry:  676.64 | Target:  870.81 | Risk: LOW       
  CARBORUNIV.NS   | Price: 1043.35 | Entry: 1022.48 | Target: 1271.51 | Risk: LOW       
  RBLBANK.NS      | Price:  344.25 | Entry:  337.37 | Target:  398.38 | Risk: LOW       
  BEML.NS         | Price: 1844.70 | Entry: 1807.81 | Target: 2220.70 | Risk: LOW       
  TBOTEK.NS       | Price: 1215.00 | Entry:  1190.7 | Target: 1469.64 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1138.80 | Entry: 1116.02 | Target: 1359.12 | Risk: LOW       
  CPPLUS.NS       | Price: 2648.70 | Entry: 2595.73 | Target: 3189.27 | Risk: LOW       
  SOBHA.NS        | Price: 1419.00 | Entry: 1390.62 | Target: 1622.61 | Risk: LOW       
  LMW.NS          | Price: 15278.00 | Entry: 14972.44 | Target: 17853.71 | Risk: LOW       
  ACMESOLAR.NS    | Price:  302.75 | Entry:  296.69 | Target:  364.59 | Risk: LOW       
  GMDCLTD.NS      | Price:  693.15 | Entry:  679.29 | Target:  821.51 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  563.00 | Entry:  551.74 | Target:  655.14 | Risk: LOW       
  CHOICEIN.NS     | Price:  687.60 | Entry:  673.85 | Target:  760.65 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 2035.80 | Entry: 1995.08 | Target: 2413.05 | Risk: LOW       
  IGIL.NS         | Price:  381.25 | Entry:  373.62 | Target:  456.34 | Risk: LOW       
  LTFOODS.NS      | Price:  410.45 | Entry:  402.24 | Target:  471.74 | Risk: LOW       
  AGARWALEYE.NS   | Price:  479.60 | Entry:  470.01 | Target:  557.19 | Risk: LOW       
  RRKABEL.NS      | Price: 1977.40 | Entry: 1937.85 | Target: 2395.83 | Risk: LOW       
  IFCI.NS         | Price:   64.40 | Entry:   63.11 | Target:   77.07 | Risk: LOW       
  GESHIP.NS       | Price: 1650.70 | Entry: 1617.69 | Target: 2085.50 | Risk: LOW       
  RAINBOW.NS      | Price: 1365.40 | Entry: 1338.09 | Target: 1567.76 | Risk: LOW       
  NUVOCO.NS       | Price:  327.50 | Entry:  320.95 | Target:  392.09 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1750.80 | Entry: 1715.78 | Target: 2158.59 | Risk: LOW       
  AARTIIND.NS     | Price:  491.00 | Entry:  481.18 | Target:  567.80 | Risk: LOW       
  EMMVEE.NS       | Price:  295.45 | Entry:  289.54 | Target:  357.06 | Risk: LOW       
  PCBL.NS         | Price:  289.60 | Entry:  283.81 | Target:  351.05 | Risk: LOW       
  JWL.NS          | Price:  289.75 | Entry:  283.95 | Target:  344.39 | Risk: LOW       
  CEMPRO.NS       | Price:  943.30 | Entry:  924.43 | Target: 1171.44 | Risk: LOW       
  IEX.NS          | Price:  127.47 | Entry:  124.92 | Target:  143.32 | Risk: LOW       
  BBTC.NS         | Price: 1533.20 | Entry: 1502.54 | Target: 1750.09 | Risk: LOW       
  CYIENT.NS       | Price:  925.55 | Entry:  907.04 | Target: 1048.43 | Risk: LOW       
  MINDACORP.NS    | Price:  594.95 | Entry:  583.05 | Target:  712.40 | Risk: LOW       
  BELRISE.NS      | Price:  217.28 | Entry:  212.93 | Target:  259.04 | Risk: LOW       
  JPPOWER.NS      | Price:   19.13 | Entry:   18.75 | Target:   23.65 | Risk: LOW       
  TARIL.NS        | Price:  321.00 | Entry:  314.58 | Target:  388.48 | Risk: LOW       
  GRANULES.NS     | Price:  756.50 | Entry:  741.37 | Target:  861.13 | Risk: LOW       
  MGL.NS          | Price: 1096.00 | Entry: 1074.08 | Target: 1294.89 | Risk: LOW       
  USHAMART.NS     | Price:  480.80 | Entry:  471.18 | Target:  559.96 | Risk: LOW       
  LEMONTREE.NS    | Price:  117.21 | Entry:  114.87 | Target:  133.48 | Risk: LOW       
  FINCABLES.NS    | Price: 1086.15 | Entry: 1064.43 | Target: 1330.76 | Risk: LOW       
  ACE.NS          | Price:  894.90 | Entry:   877.0 | Target: 1086.86 | Risk: LOW       
  ELECON.NS       | Price:  525.15 | Entry:  514.65 | Target:  637.01 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  138.81 | Entry:  136.03 | Target:  165.43 | Risk: LOW       
  NSLNISP.NS      | Price:   45.21 | Entry:   44.31 | Target:   54.07 | Risk: LOW       
  ACUTAAS.NS      | Price: 3034.80 | Entry:  2974.1 | Target: 3548.19 | Risk: LOW       
  FINPIPE.NS      | Price:  178.14 | Entry:  174.58 | Target:  205.07 | Risk: LOW       
  SAMMAANCAP.NS   | Price:  167.71 | Entry:  164.36 | Target:  201.52 | Risk: LOW       
  INGERRAND.NS    | Price: 4348.90 | Entry: 4261.92 | Target: 5098.33 | Risk: LOW       
  INDIACEM.NS     | Price:  404.60 | Entry:  396.51 | Target:  459.74 | Risk: LOW       
  BLUEJET.NS      | Price:  499.55 | Entry:  489.56 | Target:  623.94 | Risk: LOW       
  TSFINV.NS       | Price:  404.65 | Entry:  396.56 | Target:  480.85 | Risk: LOW       
  RAILTEL.NS      | Price:  324.05 | Entry:  317.57 | Target:  372.10 | Risk: LOW       
  TITAGARH.NS     | Price:  816.55 | Entry:  800.22 | Target:  965.39 | Risk: LOW       
  J&KBANK.NS      | Price:  140.16 | Entry:  137.36 | Target:  165.92 | Risk: LOW       
  WAAREERTL.NS    | Price:  992.80 | Entry:  972.94 | Target: 1145.26 | Risk: LOW       
  RELAXO.NS       | Price:  301.50 | Entry:  295.47 | Target:  352.46 | Risk: LOW       
  TTML.NS         | Price:   42.95 | Entry:   42.09 | Target:   50.12 | Risk: LOW       
  GRAPHITE.NS     | Price:  755.95 | Entry:  740.83 | Target:  914.50 | Risk: LOW       
  SAFARI.NS       | Price: 1540.70 | Entry: 1509.89 | Target: 1856.91 | Risk: LOW       
  INOXINDIA.NS    | Price: 1488.10 | Entry: 1458.34 | Target: 1837.56 | Risk: LOW       
  HFCL.NS         | Price:  161.80 | Entry:  158.56 | Target:  208.19 | Risk: LOW       
  RUBICON.NS      | Price:  977.75 | Entry:  958.19 | Target: 1163.88 | Risk: LOW       
  PRIVISCL.NS     | Price: 3342.30 | Entry: 3275.45 | Target: 4001.16 | Risk: LOW       
  NAZARA.NS       | Price:  290.55 | Entry:  284.74 | Target:  350.78 | Risk: LOW       
  GENUSPOWER.NS   | Price:  325.90 | Entry:  319.38 | Target:  394.72 | Risk: LOW       
  PGHL.NS         | Price: 5652.50 | Entry: 5539.45 | Target: 6360.18 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1730.50 | Entry: 1695.89 | Target: 2161.68 | Risk: LOW       
  TEJASNET.NS     | Price:  501.40 | Entry:  491.37 | Target:  673.70 | Risk: LOW       
  BANCOINDIA.NS   | Price:  622.65 | Entry:   610.2 | Target:  729.33 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  446.05 | Entry:  437.13 | Target:  519.84 | Risk: LOW       
  MEDPLUS.NS      | Price:  882.45 | Entry:   864.8 | Target: 1098.40 | Risk: LOW       
  ABFRL.NS        | Price:   64.87 | Entry:   63.57 | Target:   76.60 | Risk: LOW       
  MMTC.NS         | Price:   65.04 | Entry:   63.74 | Target:   77.51 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1003.15 | Entry:  983.09 | Target: 1261.20 | Risk: LOW       
  RHIM.NS         | Price:  405.60 | Entry:  397.49 | Target:  477.08 | Risk: LOW       
  AEQUS.NS        | Price:  211.63 | Entry:   207.4 | Target:  286.53 | Risk: LOW       
  JLHL.NS         | Price: 1337.70 | Entry: 1310.95 | Target: 1604.62 | Risk: LOW       
  ASTRAMICRO.NS   | Price: 1357.00 | Entry: 1329.86 | Target: 1640.75 | Risk: LOW       
  TDPOWERSYS.NS   | Price: 1367.20 | Entry: 1339.86 | Target: 1767.66 | Risk: LOW       
  SAPPHIRE.NS     | Price:  185.04 | Entry:  181.34 | Target:  219.57 | Risk: LOW       
  HCG.NS          | Price:  656.00 | Entry:  642.88 | Target:  784.54 | Risk: LOW       
