NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-13 19:27:45

BUY SIGNALS (170):
  HEXT.NS         | Price:  488.05 | Entry:  478.29 | Target:  565.89 | Risk: LOW       
  RAYMONDREL.NS   | Price:  574.15 | Entry:  562.67 | Target:  765.58 | Risk: LOW       
  JUBLCPL.NS      | Price: 1793.30 | Entry: 1757.43 | Target: 2190.94 | Risk: LOW       
  SUNCLAY.NS      | Price: 1450.80 | Entry: 1421.78 | Target: 1724.84 | Risk: LOW       
  ARTEMISMED.NS   | Price:  275.26 | Entry:  269.75 | Target:  330.32 | Risk: LOW       
  PRABHA.NS       | Price:  171.81 | Entry:  168.37 | Target:  213.24 | Risk: LOW       
  SUNDROP.NS      | Price:  674.00 | Entry:  660.52 | Target:  799.29 | Risk: LOW       
  KPEL.NS         | Price:  367.35 | Entry:   360.0 | Target:  477.81 | Risk: LOW       
  KMEW.NS         | Price: 1985.00 | Entry:  1945.3 | Target: 2694.11 | Risk: LOW       
  SCILAL.NS       | Price:   49.53 | Entry:   48.54 | Target:   61.86 | Risk: LOW       
  GVPIL.NS        | Price:  704.85 | Entry:  690.75 | Target:  906.58 | Risk: LOW       
  SGFIN.NS        | Price:  574.10 | Entry:  562.62 | Target:  718.14 | Risk: LOW       
  YASHO.NS        | Price: 1610.80 | Entry: 1578.58 | Target: 1970.16 | Risk: LOW       
  TINNARUBR.NS    | Price:  764.80 | Entry:   749.5 | Target:  968.93 | Risk: LOW       
  AIMTRON.NS      | Price: 1117.35 | Entry:  1095.0 | Target: 1471.96 | Risk: LOW       
  MASTERTR.NS     | Price:   87.70 | Entry:   85.95 | Target:  110.29 | Risk: LOW       
  BIRLANU.NS      | Price: 1455.50 | Entry: 1426.39 | Target: 1913.07 | Risk: LOW       
  CIFL.NS         | Price:   27.91 | Entry:   27.35 | Target:   36.13 | Risk: LOW       
  VMARCIND.NS     | Price: 1179.85 | Entry: 1156.25 | Target: 1484.58 | Risk: LOW       
  TAC.NS          | Price:  514.10 | Entry:  503.82 | Target:  641.85 | Risk: LOW       
  BLUSPRING.NS    | Price:   66.60 | Entry:   65.27 | Target:   82.80 | Risk: LOW       
  ANTELOPUS.NS    | Price:  755.30 | Entry:  740.19 | Target:  959.62 | Risk: LOW       
  AEROENTER.NS    | Price:  102.21 | Entry:  100.17 | Target:  132.95 | Risk: LOW       
  BHARATSE.NS     | Price:  188.66 | Entry:  184.89 | Target:  246.27 | Risk: LOW       
  CNL.NS          | Price:  674.00 | Entry:  660.52 | Target:  847.38 | Risk: LOW       
  KODYTECH.NS     | Price:  802.20 | Entry:  786.16 | Target:  870.16 | Risk: LOW       
  SASTASUNDR.NS   | Price:  283.05 | Entry:  277.39 | Target:  343.16 | Risk: LOW       
  REMUS.NS        | Price:  733.50 | Entry:  718.83 | Target:  895.18 | Risk: LOW       
  UFBL.NS         | Price:  349.25 | Entry:  342.26 | Target:  458.86 | Risk: LOW       
  ARFIN.NS        | Price:   96.02 | Entry:    94.1 | Target:  119.73 | Risk: LOW       
  TECHLABS.NS     | Price:  240.95 | Entry:  236.13 | Target:  305.95 | Risk: LOW       
  CELLECOR.NS     | Price:   40.45 | Entry:   39.64 | Target:   51.68 | Risk: LOW       
  ACCENTMIC.NS    | Price:  440.70 | Entry:  431.89 | Target:  536.36 | Risk: LOW       
  TIRUPATI.NS     | Price:  489.50 | Entry:  479.71 | Target:  502.50 | Risk: LOW       
  DPEL.NS         | Price:  525.05 | Entry:  514.55 | Target:  606.66 | Risk: LOW       
  EFFWA.NS        | Price:  252.90 | Entry:  247.84 | Target:  331.70 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  252.65 | Entry:   247.6 | Target:  329.40 | Risk: LOW       
  ATMASTCO.NS     | Price:  205.25 | Entry:  201.15 | Target:  254.80 | Risk: LOW       
  HIGREEN.NS      | Price:  150.85 | Entry:  147.83 | Target:  183.65 | Risk: LOW       
  SRGHFL.NS       | Price:  282.10 | Entry:  276.46 | Target:  383.49 | Risk: LOW       
  PCCL.NS         | Price:  289.60 | Entry:  283.81 | Target:  347.78 | Risk: LOW       
  TIGERLOGS.NS    | Price:   39.96 | Entry:   39.16 | Target:   57.26 | Risk: LOW       
  VISHNUINFR.NS   | Price:  158.00 | Entry:  154.84 | Target:  188.62 | Risk: LOW       
  INFINIUM.NS     | Price:  216.00 | Entry:  211.68 | Target:  253.89 | Risk: LOW       
  VGL.NS          | Price:   65.49 | Entry:   64.18 | Target:   88.86 | Risk: LOW       
  PROV.NS         | Price: 1345.00 | Entry:  1318.1 | Target: 1477.79 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1563.00 | Entry: 1531.74 | Target: 2130.46 | Risk: LOW       
  SKP.NS          | Price:  156.20 | Entry:  153.08 | Target:  183.70 | Risk: LOW       
  FROG.NS         | Price:  201.50 | Entry:  197.47 | Target:  262.71 | Risk: LOW       
  SHERA.NS        | Price:  149.30 | Entry:  146.31 | Target:  186.84 | Risk: LOW       
  SAAKSHI.NS      | Price:  237.25 | Entry:   232.5 | Target:  301.80 | Risk: LOW       
  AFIL.NS         | Price:    9.24 | Entry:    9.06 | Target:   11.29 | Risk: LOW       
  JAINAM.NS       | Price:  286.00 | Entry:  280.28 | Target:  339.25 | Risk: LOW       
  PRIZOR.NS       | Price:  657.60 | Entry:  644.45 | Target:  852.31 | Risk: LOW       
  UCAL.NS         | Price:  103.75 | Entry:  101.67 | Target:  123.41 | Risk: LOW       
  YASHOPTICS.NS   | Price:  135.40 | Entry:  132.69 | Target:  161.15 | Risk: LOW       
  RVTH.NS         | Price:  697.90 | Entry:  683.94 | Target:  910.47 | Risk: LOW       
  DUGLOBAL.NS     | Price:   44.50 | Entry:   43.61 | Target:   54.59 | Risk: LOW       
  PRATHAM.NS      | Price:  146.00 | Entry:  143.08 | Target:  182.25 | Risk: LOW       
  ANLON.NS        | Price:  556.00 | Entry:  544.88 | Target:  710.41 | Risk: LOW       
  COMMITTED.NS    | Price:  272.00 | Entry:  266.56 | Target:  329.77 | Risk: LOW       
  SHAH.NS         | Price:    5.48 | Entry:    5.37 | Target:    6.49 | Risk: LOW       
  FIDEL.NS        | Price:  193.00 | Entry:  189.14 | Target:  242.07 | Risk: LOW       
  PKTEA.NS        | Price:  860.00 | Entry:   842.8 | Target: 1106.63 | Risk: LOW       
  PRITIKA.NS      | Price:   73.35 | Entry:   71.88 | Target:   87.97 | Risk: LOW       
  GRCL.NS         | Price:  559.95 | Entry:  548.75 | Target:  683.72 | Risk: LOW       
  AKIKO.NS        | Price:  296.85 | Entry:  290.91 | Target:  357.69 | Risk: LOW       
  WINSOL.NS       | Price:  140.60 | Entry:  137.79 | Target:  167.51 | Risk: LOW       
  IBULLSLTD.NS    | Price:   19.55 | Entry:   19.16 | Target:   26.02 | Risk: LOW       
  PROPEQUITY.NS   | Price:  218.00 | Entry:  213.64 | Target:  234.34 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  163.50 | Entry:  160.23 | Target:  197.54 | Risk: LOW       
  DENEERS.NS      | Price:  205.75 | Entry:  201.63 | Target:  257.87 | Risk: LOW       
  TUNWAL.NS       | Price:   33.85 | Entry:   33.17 | Target:   40.08 | Risk: LOW       
  SHRITECH.NS     | Price:   66.20 | Entry:   64.88 | Target:   71.81 | Risk: LOW       
  KORE.NS         | Price:  146.95 | Entry:  144.01 | Target:  181.59 | Risk: LOW       
  ENSER.NS        | Price:   16.00 | Entry:   15.68 | Target:   18.11 | Risk: LOW       
  IBLFL.NS        | Price:   62.80 | Entry:   61.54 | Target:   77.34 | Risk: LOW       
  KHFM.NS         | Price:   56.75 | Entry:   55.62 | Target:   74.25 | Risk: LOW       
  GLOBALPET.NS    | Price:  135.00 | Entry:   132.3 | Target:  159.52 | Risk: LOW       
  SHEETAL.NS      | Price:  275.00 | Entry:   269.5 | Target:  301.70 | Risk: LOW       
  MASTER.NS       | Price:  349.70 | Entry:  342.71 | Target:  393.81 | Risk: LOW       
  MAL.NS          | Price:   41.10 | Entry:   40.28 | Target:   46.58 | Risk: LOW       
  GREENCHEF.NS    | Price:   53.15 | Entry:   52.09 | Target:   59.74 | Risk: LOW       
  REXPIPES.NS     | Price:  202.00 | Entry:  197.96 | Target:  207.29 | Risk: LOW       
  URBAN.NS        | Price:  149.65 | Entry:  146.66 | Target:  180.06 | Risk: LOW       
  ISHANCH.NS      | Price:   63.83 | Entry:   62.55 | Target:   81.77 | Risk: LOW       
  SHIGAN.NS       | Price:   77.15 | Entry:   75.61 | Target:   95.24 | Risk: LOW       
  SURANI.NS       | Price:  135.80 | Entry:  133.08 | Target:  144.18 | Risk: LOW       
  DELAPLEX.NS     | Price:  123.85 | Entry:  121.37 | Target:  166.03 | Risk: LOW       
  SIDDHIKA.NS     | Price:  241.00 | Entry:  236.18 | Target:  254.46 | Risk: LOW       
  DCG.NS          | Price:   66.30 | Entry:   64.97 | Target:   88.60 | Risk: LOW       
  MAXPOSURE.NS    | Price:   40.20 | Entry:    39.4 | Target:   46.27 | Risk: LOW       
  BEACON.NS       | Price:  104.75 | Entry:  102.66 | Target:  145.05 | Risk: LOW       
  DTL.NS          | Price:  126.00 | Entry:  123.48 | Target:  134.02 | Risk: LOW       
  MAHICKRA.NS     | Price:  239.00 | Entry:  234.22 | Target:  270.52 | Risk: LOW       
  OLIL.NS         | Price:  463.60 | Entry:  454.33 | Target:  607.06 | Risk: LOW       
  ROCKINGDCE.NS   | Price:  205.90 | Entry:  201.78 | Target:  259.60 | Risk: LOW       
  HOLMARC.NS      | Price:  102.00 | Entry:   99.96 | Target:  115.86 | Risk: LOW       
  HOACFOODS.NS    | Price:  489.40 | Entry:  479.61 | Target:  597.26 | Risk: LOW       
  KEL.NS          | Price:   92.00 | Entry:   90.16 | Target:  102.57 | Risk: LOW       
  PATTECH.NS      | Price:  116.85 | Entry:  114.51 | Target:  127.40 | Risk: LOW       
  PARAGON.NS      | Price:   43.50 | Entry:   42.63 | Target:   58.71 | Risk: LOW       
  SILKFLEX.NS     | Price:  213.60 | Entry:  209.33 | Target:  275.26 | Risk: LOW       
  KANDARP.NS      | Price:  152.00 | Entry:  148.96 | Target:  180.79 | Risk: LOW       
  KONSTELEC.NS    | Price:   43.25 | Entry:   42.38 | Target:   54.84 | Risk: LOW       
  SANGANI.NS      | Price:   54.30 | Entry:   53.21 | Target:   58.21 | Risk: LOW       
  PARTYCRUS.NS    | Price:   96.15 | Entry:   94.23 | Target:  109.22 | Risk: LOW       
  FCONSUMER.NS    | Price:    0.35 | Entry:    0.34 | Target:    0.37 | Risk: LOW       
  MEGAFLEX.NS     | Price:  148.00 | Entry:  145.04 | Target:  153.77 | Risk: LOW       
  HGM.NS          | Price:   60.95 | Entry:   59.73 | Target:   82.26 | Risk: LOW       
  ARISTO.NS       | Price:  122.00 | Entry:  119.56 | Target:  133.89 | Risk: LOW       
  ONDOOR.NS       | Price:  177.10 | Entry:  173.56 | Target:  209.05 | Risk: LOW       
  K2INFRA.NS      | Price:   54.20 | Entry:   53.12 | Target:   73.04 | Risk: LOW       
  AMEYA.NS        | Price:  128.45 | Entry:  125.88 | Target:  149.66 | Risk: LOW       
  ASLIND.NS       | Price:  134.00 | Entry:  131.32 | Target:  149.95 | Risk: LOW       
  LRRPL.NS        | Price:   78.50 | Entry:   76.93 | Target:   92.61 | Risk: LOW       
  GATECH.NS       | Price:    0.52 | Entry:    0.51 | Target:    0.69 | Risk: LOW       
  SWASTIK.NS      | Price:   23.55 | Entry:   23.08 | Target:   27.05 | Risk: LOW       
  DHANLAXMI.NS    | Price:   31.95 | Entry:   31.31 | Target:   46.00 | Risk: LOW       
  CADSYS.NS       | Price:   71.00 | Entry:   69.58 | Target:   83.45 | Risk: LOW       
  BMETRICS.NS     | Price:   41.50 | Entry:   40.67 | Target:   48.20 | Risk: LOW       
  SEL.NS          | Price:  222.95 | Entry:  218.49 | Target:  260.47 | Risk: LOW       
  MCON.NS         | Price:   51.50 | Entry:   50.47 | Target:   60.52 | Risk: LOW       
  VISHWAS.NS      | Price:   54.80 | Entry:    53.7 | Target:   65.19 | Risk: LOW       
  UCL.NS          | Price:  137.80 | Entry:  135.04 | Target:  152.03 | Risk: LOW       
  MOXSH.NS        | Price:  140.00 | Entry:   137.2 | Target:  144.57 | Risk: LOW       
  AATMAJ.NS       | Price:   20.55 | Entry:   20.14 | Target:   23.80 | Risk: LOW       
  PRECISION.NS    | Price:    8.30 | Entry:    8.13 | Target:    9.60 | Risk: LOW       
  KSR.NS          | Price:   36.90 | Entry:   36.16 | Target:   46.85 | Risk: LOW       
  NEUEON.NS       | Price:   26.10 | Entry:   25.58 | Target:   28.79 | Risk: LOW       
  SATIPOLY.NS     | Price:   39.50 | Entry:   38.71 | Target:   45.04 | Risk: LOW       
  TAPIFRUIT.NS    | Price:   60.00 | Entry:    58.8 | Target:   64.25 | Risk: LOW       
  VILINBIO.NS     | Price:   49.40 | Entry:   48.41 | Target:   57.22 | Risk: LOW       
  SKIL.NS         | Price:    1.00 | Entry:    0.98 | Target:    1.09 | Risk: LOW       
  ASPIRE.NS       | Price:   16.50 | Entry:   16.17 | Target:   19.07 | Risk: LOW       
  MICROPRO.NS     | Price:   19.60 | Entry:   19.21 | Target:   21.05 | Risk: LOW       
  GFSTEELS.NS     | Price:   12.97 | Entry:   12.71 | Target:   13.19 | Risk: LOW       
  MORARJEE.NS     | Price:    7.61 | Entry:    7.46 | Target:    8.07 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    4.34 | Entry:    4.25 | Target:    5.26 | Risk: LOW       
  AILIMITED.NS    | Price:   42.30 | Entry:   41.45 | Target:   46.39 | Risk: LOW       
  CMRSL.NS        | Price:   81.05 | Entry:   79.43 | Target:   85.09 | Risk: LOW       
  INSPIRE.NS      | Price:   11.45 | Entry:   11.22 | Target:   13.79 | Risk: LOW       
  DHTL.NS         | Price:   46.30 | Entry:   45.37 | Target:   47.84 | Risk: LOW       
  MPTODAY.NS      | Price:   46.00 | Entry:   45.08 | Target:   52.29 | Risk: LOW       
  SUNREST.NS      | Price:   40.30 | Entry:   39.49 | Target:   44.62 | Risk: LOW       
  JIWANRAM.NS     | Price:    5.85 | Entry:    5.73 | Target:    6.42 | Risk: LOW       
  EDUCOMP.NS      | Price:    0.99 | Entry:    0.97 | Target:    1.07 | Risk: LOW       
  RITEZONE.NS     | Price:   27.30 | Entry:   26.75 | Target:   31.19 | Risk: LOW       
  CLCIND.NS       | Price:   27.35 | Entry:    26.8 | Target:   28.26 | Risk: LOW       

HOLD SIGNALS (2349):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBIN.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INFY.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJFINANCE.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDUNILVR.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LICI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LT.NS           | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ITC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARUTI.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  M&M.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HCLTECH.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  KOTAKBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SUNPHARMA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AXISBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ULTRACEMCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJFINSV.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TITAN.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NTPC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPORTS.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ONGC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BEL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENT.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DMART.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JSWSTEEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WIPRO.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POWERGRID.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ASIANPAINT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  COALINDIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NESTLEIND.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIGO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IOC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATASTEEL.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDZINC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HYUNDAI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GRASIM.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBILIFE.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VEDL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: NORMAL    
  DLF.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  EICHERMOT.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TRENT.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDALCO.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIVISLAB.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCLIFE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IRFC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIGREEN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VBL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TVSMOTOR.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PIDILITIND.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BPCL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TECHM.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJHLDNG.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BRITANNIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AMBUJACEM.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATACAP.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BANKBARODA.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CHOLAFIN.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SHRIRAMFIN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMCV.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PNB.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIAMC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PFC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SOLARINDS.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MUTHOOTFIN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATAPOWER.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CIPLA.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TORNTPHARM.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GODREJCP.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LODHA.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCAMC.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GAIL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CANBK.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MAXHEALTH.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ENRIN.NS        | Price: 3112.60 | Trend:   5.75% | Mom:  -3.74% | Risk: LOW       
  SIEMENS.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MAZDOCK.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BOSCHLTD.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ABB.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MOTHERSON.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CUMMINSIND.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATACONSUM.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LGEINDIA.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POLYCAB.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  CGPOWER.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  UNIONBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENSOL.NS   | Price: 1318.20 | Trend:  15.63% | Mom:  -8.17% | Risk: LOW       
  APOLLOHOSP.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDHOTEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HEROMOTOCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DRREDDY.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SHREECEM.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JINDALSTEL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IDBI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SWIGGY.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BSE.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MANKIND.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIANB.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDUSTOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GMRAIRPORT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  RECLTD.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ZYDUSLIFE.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIGI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GROWW.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIXON.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IDEA.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAVELLS.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARICO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDPETRO.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WAAREEENER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJHFL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
