NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-11 19:21:45

BUY SIGNALS (230):
  JSWINFRA.NS     | Price:  287.35 | Entry:   281.6 | Target:  328.35 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1466.10 | Entry: 1436.78 | Target: 1705.28 | Risk: LOW       
  CEIGALL.NS      | Price:  366.70 | Entry:  359.37 | Target:  444.66 | Risk: LOW       
  GUJTHEM.NS      | Price:  385.50 | Entry:  377.79 | Target:  492.56 | Risk: LOW       
  AVANTEL.NS      | Price:  166.33 | Entry:   163.0 | Target:  200.14 | Risk: LOW       
  RAYMONDREL.NS   | Price:  589.60 | Entry:  577.81 | Target:  760.65 | Risk: LOW       
  JUBLCPL.NS      | Price: 1836.60 | Entry: 1799.87 | Target: 2245.74 | Risk: LOW       
  ARTEMISMED.NS   | Price:  281.12 | Entry:   275.5 | Target:  330.78 | Risk: LOW       
  SWANDEF.NS      | Price: 1925.90 | Entry: 1887.38 | Target: 2332.76 | Risk: LOW       
  PRABHA.NS       | Price:  170.62 | Entry:  167.21 | Target:  208.07 | Risk: LOW       
  SUNDROP.NS      | Price:  703.25 | Entry:  689.18 | Target:  818.07 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  188.60 | Entry:  184.83 | Target:  245.13 | Risk: LOW       
  KPEL.NS         | Price:  378.60 | Entry:  371.03 | Target:  481.48 | Risk: LOW       
  EPACKPEB.NS     | Price:  199.02 | Entry:  195.04 | Target:  251.42 | Risk: LOW       
  DIGITIDE.NS     | Price:  103.51 | Entry:  101.44 | Target:  128.26 | Risk: LOW       
  SERVOTECH.NS    | Price:   96.50 | Entry:   94.57 | Target:  122.67 | Risk: LOW       
  KMEW.NS         | Price: 2197.40 | Entry: 2153.45 | Target: 2821.04 | Risk: LOW       
  SCILAL.NS       | Price:   51.62 | Entry:   50.59 | Target:   62.80 | Risk: LOW       
  GVPIL.NS        | Price:  639.35 | Entry:  626.56 | Target:  822.24 | Risk: LOW       
  SGFIN.NS        | Price:  573.50 | Entry:  562.03 | Target:  728.96 | Risk: LOW       
  YASHO.NS        | Price: 1713.80 | Entry: 1679.52 | Target: 2035.16 | Risk: LOW       
  ADOR.NS         | Price: 1053.10 | Entry: 1032.04 | Target: 1274.03 | Risk: LOW       
  SOLEX.NS        | Price: 1319.30 | Entry: 1292.91 | Target: 1679.07 | Risk: LOW       
  TINNARUBR.NS    | Price:  808.70 | Entry:  792.53 | Target:  997.18 | Risk: LOW       
  PUNJABCHEM.NS   | Price: 1115.90 | Entry: 1093.58 | Target: 1323.79 | Risk: LOW       
  AIMTRON.NS      | Price: 1091.90 | Entry: 1070.06 | Target: 1417.81 | Risk: LOW       
  MASTERTR.NS     | Price:   87.79 | Entry:   86.03 | Target:  107.19 | Risk: LOW       
  BIRLANU.NS      | Price: 1643.60 | Entry: 1610.73 | Target: 2046.31 | Risk: LOW       
  CIFL.NS         | Price:   29.63 | Entry:   29.04 | Target:   37.87 | Risk: LOW       
  VMARCIND.NS     | Price: 1019.00 | Entry:  998.62 | Target: 1276.80 | Risk: LOW       
  BOROSCI.NS      | Price:  118.50 | Entry:  116.13 | Target:  138.80 | Risk: LOW       
  BLUSPRING.NS    | Price:   69.82 | Entry:   68.42 | Target:   85.22 | Risk: LOW       
  ANTELOPUS.NS    | Price:  685.10 | Entry:   671.4 | Target:  887.30 | Risk: LOW       
  GGBL.NS         | Price:  347.00 | Entry:  340.06 | Target:  423.21 | Risk: LOW       
  AEROENTER.NS    | Price:  104.57 | Entry:  102.48 | Target:  133.10 | Risk: LOW       
  BHARATSE.NS     | Price:  204.33 | Entry:  200.24 | Target:  256.50 | Risk: LOW       
  DENTALKART.NS   | Price:  436.25 | Entry:  427.52 | Target:  572.41 | Risk: LOW       
  CNL.NS          | Price:  677.00 | Entry:  663.46 | Target:  828.39 | Risk: LOW       
  KODYTECH.NS     | Price:  771.10 | Entry:  755.68 | Target:  830.92 | Risk: LOW       
  BASILIC.NS      | Price:  239.05 | Entry:  234.27 | Target:  288.14 | Risk: LOW       
  SASTASUNDR.NS   | Price:  300.55 | Entry:  294.54 | Target:  355.85 | Risk: LOW       
  REMUS.NS        | Price:  773.95 | Entry:  758.47 | Target:  933.50 | Risk: LOW       
  UFBL.NS         | Price:  371.55 | Entry:  364.12 | Target:  474.00 | Risk: LOW       
  BESTAGRO.NS     | Price:   18.99 | Entry:   18.61 | Target:   25.08 | Risk: LOW       
  ANUHPHR.NS      | Price:   82.68 | Entry:   81.03 | Target:   97.35 | Risk: LOW       
  ZTECH.NS        | Price:  620.30 | Entry:  607.89 | Target:  722.07 | Risk: LOW       
  TECHLABS.NS     | Price:  238.50 | Entry:  233.73 | Target:  301.68 | Risk: LOW       
  ATL.NS          | Price:   26.55 | Entry:   26.02 | Target:   32.11 | Risk: LOW       
  TREL.NS         | Price:   27.83 | Entry:   27.27 | Target:   33.16 | Risk: LOW       
  CELLECOR.NS     | Price:   43.25 | Entry:   42.38 | Target:   53.48 | Risk: LOW       
  ACCENTMIC.NS    | Price:  470.00 | Entry:   460.6 | Target:  553.93 | Risk: LOW       
  DBEIL.NS        | Price:   81.82 | Entry:   80.18 | Target:  102.52 | Risk: LOW       
  OCCLLTD.NS      | Price:  101.49 | Entry:   99.46 | Target:  128.89 | Risk: LOW       
  BAHETI.NS       | Price:  605.65 | Entry:  593.54 | Target:  717.86 | Risk: LOW       
  EMAMIPAP.NS     | Price:   80.70 | Entry:   79.09 | Target:   99.92 | Risk: LOW       
  DPEL.NS         | Price:  520.45 | Entry:  510.04 | Target:  601.38 | Risk: LOW       
  EFFWA.NS        | Price:  271.30 | Entry:  265.87 | Target:  346.21 | Risk: LOW       
  MEGATHERM.NS    | Price:  285.95 | Entry:  280.23 | Target:  365.70 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  252.85 | Entry:  247.79 | Target:  325.69 | Risk: LOW       
  ATMASTCO.NS     | Price:  194.90 | Entry:   191.0 | Target:  241.13 | Risk: LOW       
  ABSMARINE.NS    | Price:  248.25 | Entry:  243.28 | Target:  308.55 | Risk: LOW       
  HIGREEN.NS      | Price:  144.70 | Entry:  141.81 | Target:  170.45 | Risk: LOW       
  SAHAJSOLAR.NS   | Price:  154.75 | Entry:  151.66 | Target:  188.70 | Risk: LOW       
  ORIENTCER.NS    | Price:   41.39 | Entry:   40.56 | Target:   48.93 | Risk: LOW       
  SRGHFL.NS       | Price:  320.00 | Entry:   313.6 | Target:  413.92 | Risk: LOW       
  PCCL.NS         | Price:  296.00 | Entry:  290.08 | Target:  353.86 | Risk: LOW       
  TIGERLOGS.NS    | Price:   43.01 | Entry:   42.15 | Target:   58.69 | Risk: LOW       
  VISHNUINFR.NS   | Price:  171.00 | Entry:  167.58 | Target:  201.09 | Risk: LOW       
  INFINIUM.NS     | Price:  215.00 | Entry:   210.7 | Target:  251.29 | Risk: LOW       
  SHREEKARNI.NS   | Price:  442.00 | Entry:  433.16 | Target:  508.73 | Risk: LOW       
  SYSTANGO.NS     | Price:  276.55 | Entry:  271.02 | Target:  327.85 | Risk: LOW       
  PROV.NS         | Price: 1320.00 | Entry:  1293.6 | Target: 1479.91 | Risk: LOW       
  BALAJEE.NS      | Price:   32.79 | Entry:   32.13 | Target:   40.73 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1599.80 | Entry:  1567.8 | Target: 2090.34 | Risk: LOW       
  EFACTOR.NS      | Price:  245.00 | Entry:   240.1 | Target:  301.25 | Risk: LOW       
  SKP.NS          | Price:  160.00 | Entry:   156.8 | Target:  188.43 | Risk: LOW       
  FROG.NS         | Price:  189.70 | Entry:  185.91 | Target:  234.72 | Risk: LOW       
  SHERA.NS        | Price:  156.20 | Entry:  153.08 | Target:  188.36 | Risk: LOW       
  SAAKSHI.NS      | Price:  269.05 | Entry:  263.67 | Target:  325.48 | Risk: LOW       
  JAINAM.NS       | Price:  295.00 | Entry:   289.1 | Target:  335.32 | Risk: LOW       
  PRIZOR.NS       | Price:  708.40 | Entry:  694.23 | Target:  894.29 | Risk: LOW       
  GOYALSALT.NS    | Price:  128.00 | Entry:  125.44 | Target:  143.68 | Risk: LOW       
  UCAL.NS         | Price:  105.24 | Entry:  103.14 | Target:  124.53 | Risk: LOW       
  UYFINCORP.NS    | Price:   14.42 | Entry:   14.13 | Target:   16.78 | Risk: LOW       
  YASHOPTICS.NS   | Price:  128.25 | Entry:  125.69 | Target:  149.55 | Risk: LOW       
  GSMFOILS.NS     | Price:  205.00 | Entry:   200.9 | Target:  266.41 | Risk: LOW       
  NDLVENTURE.NS   | Price:  124.77 | Entry:  122.27 | Target:  153.53 | Risk: LOW       
  RVTH.NS         | Price:  698.30 | Entry:  684.33 | Target:  906.94 | Risk: LOW       
  CHAVDA.NS       | Price:  105.10 | Entry:   103.0 | Target:  122.74 | Risk: LOW       
  MADHAVBAUG.NS   | Price:  253.00 | Entry:  247.94 | Target:  348.89 | Risk: LOW       
  PRATHAM.NS      | Price:  146.15 | Entry:  143.23 | Target:  184.47 | Risk: LOW       
  TCL.NS          | Price:   97.10 | Entry:   95.16 | Target:  120.01 | Risk: LOW       
  ANLON.NS        | Price:  563.00 | Entry:  551.74 | Target:  699.55 | Risk: LOW       
  ESCONET.NS      | Price:  148.55 | Entry:  145.58 | Target:  188.57 | Risk: LOW       
  COMMITTED.NS    | Price:  288.00 | Entry:  282.24 | Target:  348.14 | Risk: LOW       
  CPCAP.NS        | Price:   96.02 | Entry:    94.1 | Target:  122.04 | Risk: LOW       
  SHAH.NS         | Price:    5.68 | Entry:    5.57 | Target:    6.69 | Risk: LOW       
  FIDEL.NS        | Price:  195.00 | Entry:   191.1 | Target:  244.54 | Risk: LOW       
  NEPHROCARE.NS   | Price:   86.30 | Entry:   84.57 | Target:  108.35 | Risk: LOW       
  PRITIKA.NS      | Price:   71.90 | Entry:   70.46 | Target:   85.20 | Risk: LOW       
  GRCL.NS         | Price:  536.50 | Entry:  525.77 | Target:  627.50 | Risk: LOW       
  AKIKO.NS        | Price:  295.65 | Entry:  289.74 | Target:  356.44 | Risk: LOW       
  WINSOL.NS       | Price:  148.00 | Entry:  145.04 | Target:  175.70 | Risk: LOW       
  IBULLSLTD.NS    | Price:   20.85 | Entry:   20.43 | Target:   27.52 | Risk: LOW       
  KAVDEFENCE.NS   | Price:   65.92 | Entry:    64.6 | Target:   81.20 | Risk: LOW       
  PROPEQUITY.NS   | Price:  215.55 | Entry:  211.24 | Target:  233.80 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  160.00 | Entry:   156.8 | Target:  192.96 | Risk: LOW       
  ENFUSE.NS       | Price:  196.00 | Entry:  192.08 | Target:  217.89 | Risk: LOW       
  DENEERS.NS      | Price:  206.65 | Entry:  202.52 | Target:  255.94 | Risk: LOW       
  PRLIND.NS       | Price:   66.00 | Entry:   64.68 | Target:   78.95 | Risk: LOW       
  PURVFLEXI.NS    | Price:   65.40 | Entry:   64.09 | Target:   81.06 | Risk: LOW       
  IEML.NS         | Price:   82.00 | Entry:   80.36 | Target:  108.21 | Risk: LOW       
  TUNWAL.NS       | Price:   34.55 | Entry:   33.86 | Target:   40.55 | Risk: LOW       
  SHRITECH.NS     | Price:   66.20 | Entry:   64.88 | Target:   72.18 | Risk: LOW       
  QMSMEDI.NS      | Price:   89.00 | Entry:   87.22 | Target:  109.93 | Risk: LOW       
  ENSER.NS        | Price:   16.05 | Entry:   15.73 | Target:   18.57 | Risk: LOW       
  IBLFL.NS        | Price:   63.65 | Entry:   62.38 | Target:   78.11 | Risk: LOW       
  UMIYA-MRO.NS    | Price:   88.64 | Entry:   86.87 | Target:  105.50 | Risk: LOW       
  GLOBALPET.NS    | Price:  136.00 | Entry:  133.28 | Target:  157.41 | Risk: LOW       
  SHEETAL.NS      | Price:  268.90 | Entry:  263.52 | Target:  291.72 | Risk: LOW       
  SADHAV.NS       | Price:  118.00 | Entry:  115.64 | Target:  146.91 | Risk: LOW       
  QUESTLAB.NS     | Price:  129.85 | Entry:  127.25 | Target:  167.56 | Risk: LOW       
  MASTER.NS       | Price:  349.90 | Entry:   342.9 | Target:  390.83 | Risk: LOW       
  GREENCHEF.NS    | Price:   55.10 | Entry:    54.0 | Target:   61.56 | Risk: LOW       
  REXPIPES.NS     | Price:  202.00 | Entry:  197.96 | Target:  208.59 | Risk: LOW       
  URBAN.NS        | Price:  148.70 | Entry:  145.73 | Target:  177.20 | Risk: LOW       
  ISHANCH.NS      | Price:   63.96 | Entry:   62.68 | Target:   83.31 | Risk: LOW       
  SURANI.NS       | Price:  136.00 | Entry:  133.28 | Target:  146.23 | Risk: LOW       
  DELAPLEX.NS     | Price:  138.00 | Entry:  135.24 | Target:  175.52 | Risk: LOW       
  SIDDHIKA.NS     | Price:  231.90 | Entry:  227.26 | Target:  241.40 | Risk: LOW       
  OMFURN.NS       | Price:   67.00 | Entry:   65.66 | Target:   81.32 | Risk: LOW       
  DCG.NS          | Price:   71.95 | Entry:   70.51 | Target:   91.63 | Risk: LOW       
  MAXPOSURE.NS    | Price:   40.90 | Entry:   40.08 | Target:   48.63 | Risk: LOW       
  BEACON.NS       | Price:  111.35 | Entry:  109.12 | Target:  152.72 | Risk: LOW       
  CRAYONS.NS      | Price:   36.00 | Entry:   35.28 | Target:   45.43 | Risk: LOW       
  DTL.NS          | Price:  124.00 | Entry:  121.52 | Target:  131.30 | Risk: LOW       
  MAHICKRA.NS     | Price:  252.00 | Entry:  246.96 | Target:  282.27 | Risk: LOW       
  OLIL.NS         | Price:  456.30 | Entry:  447.17 | Target:  592.69 | Risk: LOW       
  ROCKINGDCE.NS   | Price:  206.55 | Entry:  202.42 | Target:  265.71 | Risk: LOW       
  REFRACTORY.NS   | Price:   41.55 | Entry:   40.72 | Target:   50.30 | Risk: LOW       
  HOLMARC.NS      | Price:  102.60 | Entry:  100.55 | Target:  120.76 | Risk: LOW       
  HOACFOODS.NS    | Price:  508.65 | Entry:  498.48 | Target:  601.56 | Risk: LOW       
  MARC.NS         | Price:   92.80 | Entry:   90.94 | Target:  119.64 | Risk: LOW       
  MAGSON.NS       | Price:  179.00 | Entry:  175.42 | Target:  212.14 | Risk: LOW       
  KEL.NS          | Price:   85.00 | Entry:    83.3 | Target:   93.07 | Risk: LOW       
  PATTECH.NS      | Price:  116.85 | Entry:  114.51 | Target:  130.24 | Risk: LOW       
  PARAGON.NS      | Price:   45.50 | Entry:   44.59 | Target:   59.57 | Risk: LOW       
  SILKFLEX.NS     | Price:  200.25 | Entry:  196.25 | Target:  256.37 | Risk: LOW       
  KANDARP.NS      | Price:  151.00 | Entry:  147.98 | Target:  183.71 | Risk: LOW       
  MHHL.NS         | Price:   43.00 | Entry:   42.14 | Target:   50.02 | Risk: LOW       
  KONSTELEC.NS    | Price:   45.50 | Entry:   44.59 | Target:   57.89 | Risk: LOW       
  SANGANI.NS      | Price:   54.90 | Entry:    53.8 | Target:   59.04 | Risk: LOW       
  PARTYCRUS.NS    | Price:   99.65 | Entry:   97.66 | Target:  112.47 | Risk: LOW       
  HGM.NS          | Price:   61.51 | Entry:   60.28 | Target:   80.68 | Risk: LOW       
  ARISTO.NS       | Price:  122.00 | Entry:  119.56 | Target:  137.13 | Risk: LOW       
  ONDOOR.NS       | Price:  182.00 | Entry:  178.36 | Target:  213.91 | Risk: LOW       
  ARABIAN.NS      | Price:   73.70 | Entry:   72.23 | Target:   76.45 | Risk: LOW       
  K2INFRA.NS      | Price:   60.60 | Entry:   59.39 | Target:   77.31 | Risk: LOW       
  AMEYA.NS        | Price:  121.00 | Entry:  118.58 | Target:  139.25 | Risk: LOW       
  ASLIND.NS       | Price:  124.95 | Entry:  122.45 | Target:  137.15 | Risk: LOW       
  GATECH.NS       | Price:    0.58 | Entry:    0.57 | Target:    0.71 | Risk: LOW       
  SWASTIK.NS      | Price:   23.55 | Entry:   23.08 | Target:   27.41 | Risk: LOW       
  GRAPHISAD.NS    | Price:   36.35 | Entry:   35.62 | Target:   41.89 | Risk: LOW       
  DHANLAXMI.NS    | Price:   35.95 | Entry:   35.23 | Target:   47.82 | Risk: LOW       
  CADSYS.NS       | Price:   71.00 | Entry:   69.58 | Target:   87.11 | Risk: LOW       
  SEL.NS          | Price:  206.15 | Entry:  202.03 | Target:  236.54 | Risk: LOW       
  MCON.NS         | Price:   57.00 | Entry:   55.86 | Target:   65.48 | Risk: LOW       
  VISHWAS.NS      | Price:   56.30 | Entry:   55.17 | Target:   65.00 | Risk: LOW       
  DKEGL.NS        | Price:   77.95 | Entry:   76.39 | Target:   84.84 | Risk: LOW       
  RULKA.NS        | Price:  120.95 | Entry:  118.53 | Target:  157.77 | Risk: LOW       
  UCL.NS          | Price:  135.15 | Entry:  132.45 | Target:  148.88 | Risk: LOW       
  ITALIANE.NS     | Price:   40.80 | Entry:   39.98 | Target:   44.23 | Risk: LOW       
  UMA.NS          | Price:   20.75 | Entry:   20.34 | Target:   24.39 | Risk: LOW       
  AATMAJ.NS       | Price:   22.45 | Entry:    22.0 | Target:   25.02 | Risk: LOW       
  AGARWALFT.NS    | Price:   39.60 | Entry:   38.81 | Target:   45.83 | Risk: LOW       
  MONOPHARMA.NS   | Price:   13.10 | Entry:   12.84 | Target:   14.14 | Risk: LOW       
  KSR.NS          | Price:   37.15 | Entry:   36.41 | Target:   46.72 | Risk: LOW       
  KKVAPOW.NS      | Price:  644.00 | Entry:  631.12 | Target:  654.71 | Risk: LOW       
  SATIPOLY.NS     | Price:   41.00 | Entry:   40.18 | Target:   46.61 | Risk: LOW       
  TAPIFRUIT.NS    | Price:   60.00 | Entry:    58.8 | Target:   64.25 | Risk: LOW       
  VILINBIO.NS     | Price:   49.40 | Entry:   48.41 | Target:   55.06 | Risk: LOW       
  ASPIRE.NS       | Price:   17.35 | Entry:    17.0 | Target:   20.14 | Risk: LOW       
  YUDIZ.NS        | Price:   28.70 | Entry:   28.13 | Target:   32.86 | Risk: LOW       
  MICROPRO.NS     | Price:   20.10 | Entry:    19.7 | Target:   21.69 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    4.36 | Entry:    4.27 | Target:    5.25 | Risk: LOW       
  AILIMITED.NS    | Price:   44.50 | Entry:   43.61 | Target:   47.80 | Risk: LOW       
  GTECJAINX.NS    | Price:   19.90 | Entry:    19.5 | Target:   26.02 | Risk: LOW       
  YCCL.NS         | Price:   11.00 | Entry:   10.78 | Target:   12.09 | Risk: LOW       
  CMRSL.NS        | Price:   81.05 | Entry:   79.43 | Target:   85.26 | Risk: LOW       
  INSPIRE.NS      | Price:   11.45 | Entry:   11.22 | Target:   14.16 | Risk: LOW       
  MARINETRAN.NS   | Price:   18.50 | Entry:   18.13 | Target:   19.09 | Risk: LOW       
  ISHAN.NS        | Price:    0.70 | Entry:    0.69 | Target:    0.84 | Risk: LOW       
  JIWANRAM.NS     | Price:    5.95 | Entry:    5.83 | Target:    6.59 | Risk: LOW       
  RITEZONE.NS     | Price:   27.30 | Entry:   26.75 | Target:   31.19 | Risk: LOW       

HOLD SIGNALS (2331):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBIN.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INFY.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJFINANCE.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDUNILVR.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LICI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LT.NS           | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ITC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARUTI.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  M&M.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HCLTECH.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  KOTAKBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SUNPHARMA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AXISBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ULTRACEMCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJFINSV.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TITAN.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NTPC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPORTS.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ONGC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ETERNAL.NS      | Price:  245.87 | Trend:   1.35% | Mom:  -4.25% | Risk: LOW       
  BEL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENT.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DMART.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JSWSTEEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WIPRO.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POWERGRID.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ASIANPAINT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  COALINDIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NESTLEIND.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIGO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IOC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATASTEEL.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMPV.NS         | Price:  346.00 | Trend:   1.54% | Mom:  -1.28% | Risk: LOW       
  HINDZINC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HYUNDAI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GRASIM.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBILIFE.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VEDL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: NORMAL    
  DLF.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  EICHERMOT.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TRENT.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDALCO.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIVISLAB.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCLIFE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IRFC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
