NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-21 02:57:57

BUY SIGNALS (706):
  TITAN.NS        | Price: 5068.00 | Entry: 4966.64 | Target: 5556.46 | Risk: LOW       
  BEML.NS         | Price: 1962.80 | Entry: 1923.54 | Target: 2306.01 | Risk: LOW       
  MANYAVAR.NS     | Price:  542.60 | Entry:  531.75 | Target:  655.56 | Risk: LOW       
  NETWEB.NS       | Price: 5419.80 | Entry:  5311.4 | Target: 6625.94 | Risk: LOW       
  TBOTEK.NS       | Price: 1702.60 | Entry: 1668.55 | Target: 2063.53 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1576.70 | Entry: 1545.17 | Target: 1861.45 | Risk: LOW       
  LMW.NS          | Price: 19665.00 | Entry: 19271.7 | Target: 22829.29 | Risk: LOW       
  ACMESOLAR.NS    | Price:  397.40 | Entry:  389.45 | Target:  460.65 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 10779.00 | Entry: 10563.42 | Target: 12625.07 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  632.45 | Entry:   619.8 | Target:  724.15 | Risk: LOW       
  VGUARD.NS       | Price:  333.35 | Entry:  326.68 | Target:  406.25 | Risk: LOW       
  JMFINANCIL.NS   | Price:  129.16 | Entry:  126.58 | Target:  151.15 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 2571.00 | Entry: 2519.58 | Target: 2977.43 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4700.20 | Entry:  4606.2 | Target: 5508.88 | Risk: LOW       
  LTFOODS.NS      | Price:  431.00 | Entry:  422.38 | Target:  485.63 | Risk: LOW       
  RRKABEL.NS      | Price: 2894.20 | Entry: 2836.32 | Target: 3345.95 | Risk: LOW       
  IFCI.NS         | Price:   81.76 | Entry:   80.12 | Target:   94.86 | Risk: LOW       
  SYRMA.NS        | Price: 1443.70 | Entry: 1414.83 | Target: 1725.91 | Risk: LOW       
  FINEORG.NS      | Price: 5066.20 | Entry: 4964.88 | Target: 6020.27 | Risk: LOW       
  BATAINDIA.NS    | Price:  721.30 | Entry:  706.87 | Target:  841.89 | Risk: LOW       
  BLS.NS          | Price:  273.92 | Entry:  268.44 | Target:  322.44 | Risk: LOW       
  AARTIIND.NS     | Price:  520.05 | Entry:  509.65 | Target:  597.96 | Risk: LOW       
  THELEELA.NS     | Price:  539.70 | Entry:  528.91 | Target:  632.61 | Risk: LOW       
  ZENTEC.NS       | Price: 1908.10 | Entry: 1869.94 | Target: 2245.60 | Risk: LOW       
  GODREJAGRO.NS   | Price:  581.65 | Entry:  570.02 | Target:  661.22 | Risk: LOW       
  CYIENT.NS       | Price:  894.50 | Entry:  876.61 | Target: 1012.88 | Risk: LOW       
  INDGN.NS        | Price:  566.70 | Entry:  555.37 | Target:  664.81 | Risk: LOW       
  MINDACORP.NS    | Price:  743.30 | Entry:  728.43 | Target:  885.06 | Risk: LOW       
  GRAVITA.NS      | Price: 1793.10 | Entry: 1757.24 | Target: 2042.28 | Risk: LOW       
  MGL.NS          | Price: 1137.80 | Entry: 1115.04 | Target: 1277.16 | Risk: LOW       
  TEGA.NS         | Price: 1776.50 | Entry: 1740.97 | Target: 2119.29 | Risk: LOW       
  FINCABLES.NS    | Price: 1291.20 | Entry: 1265.38 | Target: 1607.65 | Risk: LOW       
  SKFINDUS.NS     | Price: 2800.40 | Entry: 2744.39 | Target: 3308.06 | Risk: LOW       
  ACE.NS          | Price: 1164.40 | Entry: 1141.11 | Target: 1375.04 | Risk: LOW       
  JINDALSAW.NS    | Price:  268.70 | Entry:  263.33 | Target:  305.91 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  188.69 | Entry:  184.92 | Target:  231.34 | Risk: LOW       
  INGERRAND.NS    | Price: 4641.40 | Entry: 4548.57 | Target: 5400.69 | Risk: LOW       
  CARTRADE.NS     | Price: 2895.20 | Entry:  2837.3 | Target: 3268.45 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1390.50 | Entry: 1362.69 | Target: 1773.38 | Risk: LOW       
  CANHLIFE.NS     | Price:  151.69 | Entry:  148.66 | Target:  174.30 | Risk: LOW       
  CLEAN.NS        | Price:  819.30 | Entry:  802.91 | Target:  952.75 | Risk: LOW       
  JYOTHYLAB.NS    | Price:  207.88 | Entry:  203.72 | Target:  242.04 | Risk: LOW       
  ALIVUS.NS       | Price: 1370.00 | Entry:  1342.6 | Target: 1636.75 | Risk: LOW       
  PRUDENT.NS      | Price: 3393.60 | Entry: 3325.73 | Target: 4024.85 | Risk: LOW       
  BLACKBUCK.NS    | Price:  616.35 | Entry:  604.02 | Target:  720.92 | Risk: LOW       
  ZEEL.NS         | Price:  108.03 | Entry:  105.87 | Target:  138.04 | Risk: LOW       
  HFCL.NS         | Price:  223.90 | Entry:  219.42 | Target:  273.60 | Risk: LOW       
  RUBICON.NS      | Price: 1760.60 | Entry: 1725.39 | Target: 2129.26 | Risk: LOW       
  PVRINOX.NS      | Price: 1200.90 | Entry: 1176.88 | Target: 1395.70 | Risk: LOW       
  VIJAYA.NS       | Price: 1490.00 | Entry:  1460.2 | Target: 1780.32 | Risk: LOW       
  AETHER.NS       | Price: 1640.10 | Entry:  1607.3 | Target: 1927.92 | Risk: LOW       
  AZAD.NS         | Price: 2828.40 | Entry: 2771.83 | Target: 3457.01 | Risk: LOW       
  EDELWEISS.NS    | Price:  126.62 | Entry:  124.09 | Target:  149.35 | Risk: LOW       
  NAZARA.NS       | Price:  357.35 | Entry:   350.2 | Target:  421.58 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  767.10 | Entry:  751.76 | Target:  950.15 | Risk: LOW       
  RKFORGE.NS      | Price:  745.40 | Entry:  730.49 | Target:  872.74 | Risk: LOW       
  GENUSPOWER.NS   | Price:  334.25 | Entry:  327.56 | Target:  389.18 | Risk: LOW       
  HEG.NS          | Price:  711.95 | Entry:  697.71 | Target:  832.43 | Risk: LOW       
  ALKYLAMINE.NS   | Price: 1956.10 | Entry: 1916.98 | Target: 2293.64 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  646.35 | Entry:  633.42 | Target:  831.56 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1186.50 | Entry: 1162.77 | Target: 1457.34 | Risk: LOW       
  AEQUS.NS        | Price:  260.09 | Entry:  254.89 | Target:  316.61 | Risk: LOW       
  TDPOWERSYS.NS   | Price: 1507.50 | Entry: 1477.35 | Target: 1904.56 | Risk: LOW       
  SAPPHIRE.NS     | Price:  233.71 | Entry:  229.04 | Target:  289.51 | Risk: LOW       
  HCG.NS          | Price:  745.25 | Entry:  730.35 | Target:  875.14 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 2307.90 | Entry: 2261.74 | Target: 2756.51 | Risk: LOW       
  HONASA.NS       | Price:  483.80 | Entry:  474.12 | Target:  568.76 | Risk: LOW       
  KRBL.NS         | Price:  399.60 | Entry:  391.61 | Target:  469.55 | Risk: LOW       
  VARROC.NS       | Price:  830.90 | Entry:  814.28 | Target: 1026.56 | Risk: LOW       
  SANSERA.NS      | Price: 3894.30 | Entry: 3816.41 | Target: 4738.30 | Risk: LOW       
  WABAG.NS        | Price: 2057.90 | Entry: 2016.74 | Target: 2394.69 | Risk: LOW       
  TI.NS           | Price:  582.45 | Entry:   570.8 | Target:  690.90 | Risk: LOW       
  MARKSANS.NS     | Price:  326.10 | Entry:  319.58 | Target:  395.00 | Risk: LOW       
  JAIBALAJI.NS    | Price:   66.39 | Entry:   65.06 | Target:   84.41 | Risk: LOW       
  LUMAXTECH.NS    | Price: 2043.70 | Entry: 2002.83 | Target: 2481.70 | Risk: LOW       
  CORONA.NS       | Price: 2121.40 | Entry: 2078.97 | Target: 2495.76 | Risk: LOW       
  MANORAMA.NS     | Price: 1958.70 | Entry: 1919.53 | Target: 2420.02 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  613.90 | Entry:  601.62 | Target:  694.11 | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  410.40 | Entry:  402.19 | Target:  493.95 | Risk: LOW       
  BECTORFOOD.NS   | Price:  258.02 | Entry:  252.86 | Target:  310.54 | Risk: LOW       
  ESABINDIA.NS    | Price: 6057.50 | Entry: 5936.35 | Target: 6987.68 | Risk: LOW       
  VOLTAMP.NS      | Price: 10313.50 | Entry: 10107.23 | Target: 11858.14 | Risk: LOW       
  GALAXYSURF.NS   | Price: 2318.20 | Entry: 2271.84 | Target: 2966.13 | Risk: LOW       
  GPPL.NS         | Price:  164.81 | Entry:  161.51 | Target:  183.51 | Risk: LOW       
  DODLA.NS        | Price: 1102.00 | Entry: 1079.96 | Target: 1233.79 | Risk: LOW       
  DIACABS.NS      | Price:  353.90 | Entry:  346.82 | Target:  447.99 | Risk: LOW       
  SHILPAMED.NS    | Price:  820.95 | Entry:  804.53 | Target: 1009.61 | Risk: LOW       
  MAXESTATES.NS   | Price:  490.15 | Entry:  480.35 | Target:  594.10 | Risk: LOW       
  SUDEEPPHRM.NS   | Price: 1107.80 | Entry: 1085.64 | Target: 1439.71 | Risk: LOW       
  AARTIPHARM.NS   | Price:  829.25 | Entry:  812.66 | Target: 1054.98 | Risk: LOW       
  GNFC.NS         | Price:  592.80 | Entry:  580.94 | Target:  682.23 | Risk: LOW       
  AKUMS.NS        | Price:  753.30 | Entry:  738.23 | Target:  893.57 | Risk: LOW       
  ETHOSLTD.NS     | Price: 2899.90 | Entry:  2841.9 | Target: 3670.69 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   92.25 | Entry:   90.41 | Target:  112.80 | Risk: LOW       
  EPIGRAL.NS      | Price: 1120.50 | Entry: 1098.09 | Target: 1301.68 | Risk: LOW       
  BALUFORGE.NS    | Price:  537.50 | Entry:  526.75 | Target:  652.23 | Risk: LOW       
  GANESHHOU.NS    | Price:  825.90 | Entry:  809.38 | Target:  971.47 | Risk: LOW       
  PRAJIND.NS      | Price:  358.45 | Entry:  351.28 | Target:  420.49 | Risk: LOW       
  KTKBANK.NS      | Price:  335.05 | Entry:  328.35 | Target:  387.09 | Risk: LOW       
  EPL.NS          | Price:  270.10 | Entry:   264.7 | Target:  315.57 | Risk: LOW       
  ELLEN.NS        | Price:  324.35 | Entry:  317.86 | Target:  408.37 | Risk: LOW       
  PGIL.NS         | Price: 2413.70 | Entry: 2365.43 | Target: 2923.88 | Risk: LOW       
  QPOWER.NS       | Price: 1295.30 | Entry: 1269.39 | Target: 1597.47 | Risk: LOW       
  CUPID.NS        | Price:  282.43 | Entry:  276.78 | Target:  368.61 | Risk: LOW       
  BAJAJELEC.NS    | Price:  353.55 | Entry:  346.48 | Target:  441.60 | Risk: LOW       
  JKPAPER.NS      | Price:  389.60 | Entry:  381.81 | Target:  443.30 | Risk: LOW       
  PRICOLLTD.NS    | Price:  804.60 | Entry:  788.51 | Target:  952.97 | Risk: LOW       
  AVALON.NS       | Price: 2245.60 | Entry: 2200.69 | Target: 2819.14 | Risk: LOW       
  HNDFDS.NS       | Price:  643.25 | Entry:  630.38 | Target:  751.61 | Risk: LOW       
  UTLSOLAR.NS     | Price:  483.95 | Entry:  474.27 | Target:  597.15 | Risk: LOW       
  RENUKA.NS       | Price:   26.13 | Entry:   25.61 | Target:   30.88 | Risk: LOW       
  JAYNECOIND.NS   | Price:   93.68 | Entry:   91.81 | Target:  108.78 | Risk: LOW       
  JUNIPER.NS      | Price:  205.21 | Entry:  201.11 | Target:  242.81 | Risk: LOW       
  WAKEFIT.NS      | Price:  136.64 | Entry:  133.91 | Target:  164.46 | Risk: LOW       
  MTARTECH.NS     | Price: 7113.50 | Entry: 6971.23 | Target: 8798.50 | Risk: LOW       
  SHARDAMOTR.NS   | Price:  943.00 | Entry:  924.14 | Target: 1139.63 | Risk: LOW       
  TIIL.NS         | Price: 3127.50 | Entry: 3064.95 | Target: 3949.14 | Risk: LOW       
  SMARTWORKS.NS   | Price:  502.35 | Entry:   492.3 | Target:  588.80 | Risk: LOW       
  PARAS.NS        | Price: 1502.00 | Entry: 1471.96 | Target: 1833.18 | Risk: LOW       
  EMUDHRA.NS      | Price:  545.20 | Entry:   534.3 | Target:  668.36 | Risk: LOW       
  SKIPPER.NS      | Price:  555.45 | Entry:  544.34 | Target:  662.40 | Risk: LOW       
  STLTECH.NS      | Price:  621.20 | Entry:  608.78 | Target:  777.79 | Risk: LOW       
  FISCHER.NS      | Price:   38.95 | Entry:   38.17 | Target:   46.89 | Risk: LOW       
  STYL.NS         | Price:  401.35 | Entry:  393.32 | Target:  500.69 | Risk: LOW       
  ICIL.NS         | Price:  435.10 | Entry:   426.4 | Target:  562.48 | Risk: LOW       
  SHOPERSTOP.NS   | Price:  417.15 | Entry:  408.81 | Target:  503.20 | Risk: LOW       
  INDIGOPNTS.NS   | Price: 1148.80 | Entry: 1125.82 | Target: 1342.55 | Risk: LOW       
  UNIMECH.NS      | Price: 1508.30 | Entry: 1478.13 | Target: 1882.41 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1019.85 | Entry:  999.45 | Target: 1248.85 | Risk: LOW       
  DYNAMATECH.NS   | Price: 11765.00 | Entry: 11529.7 | Target: 14775.88 | Risk: LOW       
  E2E.NS          | Price:  631.35 | Entry:  618.72 | Target:  833.71 | Risk: LOW       
  GOKULAGRO.NS    | Price:  243.69 | Entry:  238.82 | Target:  290.39 | Risk: LOW       
  KINGFA.NS       | Price: 5780.00 | Entry:  5664.4 | Target: 6967.14 | Risk: LOW       
  KRN.NS          | Price: 1518.30 | Entry: 1487.93 | Target: 1809.16 | Risk: LOW       
  EMIL.NS         | Price:  191.24 | Entry:  187.42 | Target:  243.28 | Risk: LOW       
  GAEL.NS         | Price:  183.36 | Entry:  179.69 | Target:  221.02 | Risk: LOW       
  PDSL.NS         | Price:  361.90 | Entry:  354.66 | Target:  434.28 | Risk: LOW       
  VRLLOG.NS       | Price:  295.10 | Entry:   289.2 | Target:  352.59 | Risk: LOW       
  ENTERO.NS       | Price: 1386.80 | Entry: 1359.06 | Target: 1701.87 | Risk: LOW       
  JKIL.NS         | Price:  504.70 | Entry:  494.61 | Target:  568.13 | Risk: LOW       
  SUVEN.NS        | Price:  373.60 | Entry:  366.13 | Target:  474.14 | Risk: LOW       
  LGBBROSLTD.NS   | Price: 1599.60 | Entry: 1567.61 | Target: 1771.81 | Risk: LOW       
  SKYGOLD.NS      | Price:  777.75 | Entry:  762.19 | Target:  962.41 | Risk: LOW       
  INNOVACAP.NS    | Price: 1039.75 | Entry: 1018.95 | Target: 1262.82 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1772.00 | Entry: 1736.56 | Target: 2174.14 | Risk: LOW       
  INDIQUBE.NS     | Price:  192.17 | Entry:  188.33 | Target:  231.41 | Risk: LOW       
  BANARISUG.NS    | Price: 3617.40 | Entry: 3545.05 | Target: 3983.86 | Risk: LOW       
  HEIDELBERG.NS   | Price:  158.10 | Entry:  154.94 | Target:  170.93 | Risk: LOW       
  SGMART.NS       | Price:  805.20 | Entry:   789.1 | Target:  946.52 | Risk: LOW       
  HERITGFOOD.NS   | Price:  378.75 | Entry:  371.18 | Target:  432.86 | Risk: LOW       
  GOPAL.NS        | Price:  288.45 | Entry:  282.68 | Target:  336.18 | Risk: LOW       
  RBA.NS          | Price:  105.21 | Entry:  103.11 | Target:  138.32 | Risk: LOW       
  HUBTOWN.NS      | Price:  198.81 | Entry:  194.83 | Target:  239.98 | Risk: LOW       
  BOROLTD.NS      | Price:  248.11 | Entry:  243.15 | Target:  296.31 | Risk: LOW       
  UFLEX.NS        | Price:  620.95 | Entry:  608.53 | Target:  740.41 | Risk: LOW       
  RAYMOND.NS      | Price:  656.65 | Entry:  643.52 | Target:  778.15 | Risk: LOW       
  MPSLTD.NS       | Price: 2929.60 | Entry: 2871.01 | Target: 3520.64 | Risk: LOW       
  MCLOUD.NS       | Price:   29.57 | Entry:   28.98 | Target:   35.98 | Risk: LOW       
  TRUALT.NS       | Price:  472.00 | Entry:  462.56 | Target:  557.23 | Risk: LOW       
  VADILALIND.NS   | Price: 7401.50 | Entry: 7253.47 | Target: 9060.61 | Risk: LOW       
  EBGNG.NS        | Price:  624.75 | Entry:  612.25 | Target:  777.64 | Risk: LOW       
  QUESS.NS        | Price:  336.55 | Entry:  329.82 | Target:  422.29 | Risk: LOW       
  WONDERLA.NS     | Price:  490.10 | Entry:   480.3 | Target:  571.97 | Risk: LOW       
  NEOGEN.NS       | Price: 2259.10 | Entry: 2213.92 | Target: 2801.79 | Risk: LOW       
  PRECWIRE.NS     | Price:  429.70 | Entry:  421.11 | Target:  556.94 | Risk: LOW       
  KOLTEPATIL.NS   | Price:  465.90 | Entry:  456.58 | Target:  620.27 | Risk: LOW       
  MBAPL.NS        | Price:  163.63 | Entry:  160.36 | Target:  193.12 | Risk: LOW       
  NPST.NS         | Price: 1606.90 | Entry: 1574.76 | Target: 2035.26 | Risk: LOW       
  HARSHA.NS       | Price:  438.05 | Entry:  429.29 | Target:  516.21 | Risk: LOW       
  ROLEXRINGS.NS   | Price:  185.82 | Entry:   182.1 | Target:  229.57 | Risk: LOW       
  GUFICBIO.NS     | Price:  421.75 | Entry:  413.31 | Target:  503.07 | Risk: LOW       
  UNICHEMLAB.NS   | Price:  512.90 | Entry:  502.64 | Target:  656.97 | Risk: LOW       
  MSTCLTD.NS      | Price:  692.35 | Entry:   678.5 | Target:  819.14 | Risk: LOW       
  JUBLCPL.NS      | Price: 2312.30 | Entry: 2266.05 | Target: 3071.12 | Risk: LOW       
  CYIENTDLM.NS    | Price:  730.25 | Entry:  715.64 | Target:  893.96 | Risk: LOW       
  RPEL.NS         | Price: 1637.40 | Entry: 1604.65 | Target: 1954.83 | Risk: LOW       
  PRINCEPIPE.NS   | Price:  282.80 | Entry:  277.14 | Target:  328.14 | Risk: LOW       
  PITTIENG.NS     | Price: 1069.35 | Entry: 1047.96 | Target: 1261.26 | Risk: LOW       
