NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-10 06:37:09

BUY SIGNALS (727):
  HAL.NS          | Price: 4971.20 | Entry: 4871.78 | Target: 5499.06 | Risk: LOW       
  METROPOLIS.NS   | Price:  594.75 | Entry:  582.86 | Target:  670.77 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  703.70 | Entry:  689.63 | Target:  913.04 | Risk: LOW       
  TEJASNET.NS     | Price:  563.10 | Entry:  551.84 | Target:  704.71 | Risk: LOW       
  SHAILY.NS       | Price: 3417.10 | Entry: 3348.76 | Target: 3936.89 | Risk: LOW       
  IIFLCAPS.NS     | Price:  338.75 | Entry:  331.97 | Target:  359.52 | Risk: LOW       
  SUDARSCHEM.NS   | Price: 1276.90 | Entry: 1251.36 | Target: 1500.79 | Risk: LOW       
  TDPOWERSYS.NS   | Price:  766.60 | Entry:  751.27 | Target:  935.19 | Risk: LOW       
  NESCO.NS        | Price: 1095.90 | Entry: 1073.98 | Target: 1240.97 | Risk: LOW       
  HAPPYFORGE.NS   | Price: 2246.00 | Entry: 2201.08 | Target: 2770.18 | Risk: LOW       
  HONASA.NS       | Price:  478.00 | Entry:  468.44 | Target:  554.92 | Risk: LOW       
  KRBL.NS         | Price:  428.40 | Entry:  419.83 | Target:  512.27 | Risk: LOW       
  VARROC.NS       | Price:  872.50 | Entry:  855.05 | Target: 1055.38 | Risk: LOW       
  SANSERA.NS      | Price: 4108.20 | Entry: 4026.04 | Target: 4832.31 | Risk: LOW       
  BLUESTONE.NS    | Price:  862.40 | Entry:  845.15 | Target: 1024.76 | Risk: LOW       
  WABAG.NS        | Price: 2200.20 | Entry:  2156.2 | Target: 2608.74 | Risk: LOW       
  LOTUSDEV.NS     | Price:  207.88 | Entry:  203.72 | Target:  252.30 | Risk: LOW       
  SAREGAMA.NS     | Price:  513.35 | Entry:  503.08 | Target:  600.08 | Risk: LOW       
  PCJEWELLER.NS   | Price:   13.97 | Entry:   13.69 | Target:   18.26 | Risk: LOW       
  LUMAXTECH.NS    | Price: 1968.60 | Entry: 1929.23 | Target: 2326.21 | Risk: LOW       
  CORONA.NS       | Price: 2209.70 | Entry: 2165.51 | Target: 2503.09 | Risk: LOW       
  MANORAMA.NS     | Price: 2117.80 | Entry: 2075.44 | Target: 2477.09 | Risk: LOW       
  ARVIND.NS       | Price:  573.55 | Entry:  562.08 | Target:  673.23 | Risk: LOW       
  APOLLO.NS       | Price:  409.80 | Entry:   401.6 | Target:  467.62 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  692.85 | Entry:  678.99 | Target:  811.61 | Risk: LOW       
  RELIGARE.NS     | Price:  255.87 | Entry:  250.75 | Target:  292.27 | Risk: LOW       
  BECTORFOOD.NS   | Price:  247.15 | Entry:  242.21 | Target:  295.72 | Risk: LOW       
  STAR.NS         | Price: 1200.00 | Entry:  1176.0 | Target: 1396.46 | Risk: LOW       
  DIACABS.NS      | Price:  351.50 | Entry:  344.47 | Target:  429.64 | Risk: LOW       
  SHILPAMED.NS    | Price:  963.70 | Entry:  944.43 | Target: 1170.53 | Risk: LOW       
  SUDEEPPHRM.NS   | Price: 1213.50 | Entry: 1189.23 | Target: 1499.25 | Risk: LOW       
  GNFC.NS         | Price:  569.20 | Entry:  557.82 | Target:  639.67 | Risk: LOW       
  PRSMJOHNSN.NS   | Price:  115.50 | Entry:  113.19 | Target:  128.26 | Risk: LOW       
  AJAXENGG.NS     | Price:  587.35 | Entry:   575.6 | Target:  669.96 | Risk: LOW       
  TMB.NS          | Price:  922.80 | Entry:  904.34 | Target: 1055.71 | Risk: LOW       
  ATLANTAELE.NS   | Price: 1817.40 | Entry: 1781.05 | Target: 2249.01 | Risk: LOW       
  PFOCUS.NS       | Price:  314.65 | Entry:  308.36 | Target:  380.06 | Risk: LOW       
  WELENT.NS       | Price:  793.85 | Entry:  777.97 | Target:  980.03 | Risk: LOW       
  MIDHANI.NS      | Price:  468.80 | Entry:  459.42 | Target:  551.03 | Risk: LOW       
  KTKBANK.NS      | Price:  333.50 | Entry:  326.83 | Target:  379.32 | Risk: LOW       
  YATHARTH.NS     | Price:  986.60 | Entry:  966.87 | Target: 1177.53 | Risk: LOW       
  ELLEN.NS        | Price:  355.50 | Entry:  348.39 | Target:  433.00 | Risk: LOW       
  PGIL.NS         | Price: 2420.00 | Entry:  2371.6 | Target: 2915.54 | Risk: LOW       
  QPOWER.NS       | Price: 1504.70 | Entry: 1474.61 | Target: 1838.88 | Risk: LOW       
  CUPID.NS        | Price:  281.70 | Entry:  276.07 | Target:  327.89 | Risk: LOW       
  JKPAPER.NS      | Price:  417.80 | Entry:  409.44 | Target:  488.69 | Risk: LOW       
  AVALON.NS       | Price: 2267.90 | Entry: 2222.54 | Target: 2864.01 | Risk: LOW       
  RENUKA.NS       | Price:   24.99 | Entry:   24.49 | Target:   31.45 | Risk: LOW       
  IONEXCHANG.NS   | Price:  440.65 | Entry:  431.84 | Target:  516.04 | Risk: LOW       
  JUNIPER.NS      | Price:  227.43 | Entry:  222.88 | Target:  262.19 | Risk: LOW       
  WAKEFIT.NS      | Price:  153.70 | Entry:  150.63 | Target:  188.77 | Risk: LOW       
  AXISCADES.NS    | Price: 1875.50 | Entry: 1837.99 | Target: 2229.61 | Risk: LOW       
  MTARTECH.NS     | Price: 7305.50 | Entry: 7159.39 | Target: 8762.46 | Risk: LOW       
  SHARDAMOTR.NS   | Price:  911.00 | Entry:  892.78 | Target: 1029.18 | Risk: LOW       
  MANINFRA.NS     | Price:  128.90 | Entry:  126.32 | Target:  150.74 | Risk: LOW       
  ELECTCAST.NS    | Price:   79.60 | Entry:   78.01 | Target:   96.30 | Risk: LOW       
  SUPRIYA.NS      | Price:  915.30 | Entry:  896.99 | Target: 1052.63 | Risk: LOW       
  PARAS.NS        | Price: 1473.20 | Entry: 1443.74 | Target: 1828.15 | Risk: LOW       
  TEXRAIL.NS      | Price:  117.93 | Entry:  115.57 | Target:  139.42 | Risk: LOW       
  SKIPPER.NS      | Price:  580.85 | Entry:  569.23 | Target:  714.14 | Risk: LOW       
  STLTECH.NS      | Price:  861.00 | Entry:  843.78 | Target: 1072.73 | Risk: LOW       
  ICIL.NS         | Price:  442.60 | Entry:  433.75 | Target:  568.69 | Risk: LOW       
  RESPONIND.NS    | Price:  173.60 | Entry:  170.13 | Target:  220.05 | Risk: LOW       
  AGI.NS          | Price:  773.50 | Entry:  758.03 | Target:  936.77 | Risk: LOW       
  UNIMECH.NS      | Price: 1575.40 | Entry: 1543.89 | Target: 1889.22 | Risk: LOW       
  GMMPFAUDLR.NS   | Price: 1303.10 | Entry: 1277.04 | Target: 1557.87 | Risk: LOW       
  DYNAMATECH.NS   | Price: 11700.00 | Entry: 11466.0 | Target: 13509.38 | Risk: LOW       
  KINGFA.NS       | Price: 6158.50 | Entry: 6035.33 | Target: 7061.00 | Risk: LOW       
  KRN.NS          | Price: 1596.80 | Entry: 1564.86 | Target: 1978.69 | Risk: LOW       
  ITDC.NS         | Price:  708.40 | Entry:  694.23 | Target:  833.69 | Risk: LOW       
  SMLMAH.NS       | Price: 6387.00 | Entry: 6259.26 | Target: 7707.18 | Risk: LOW       
  ENTERO.NS       | Price: 1800.00 | Entry:  1764.0 | Target: 2231.00 | Risk: LOW       
  CARERATING.NS   | Price: 1713.20 | Entry: 1678.94 | Target: 1989.13 | Risk: LOW       
  LGBBROSLTD.NS   | Price: 1723.60 | Entry: 1689.13 | Target: 1940.46 | Risk: LOW       
  TARC.NS         | Price:  128.26 | Entry:  125.69 | Target:  152.01 | Risk: LOW       
  INNOVACAP.NS    | Price: 1175.90 | Entry: 1152.38 | Target: 1412.29 | Risk: LOW       
  NEPHROPLUS.NS   | Price:  737.90 | Entry:  723.14 | Target:  855.20 | Risk: LOW       
  DCBBANK.NS      | Price:  227.86 | Entry:   223.3 | Target:  266.92 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1765.70 | Entry: 1730.39 | Target: 2115.24 | Risk: LOW       
  INDIQUBE.NS     | Price:  204.00 | Entry:  199.92 | Target:  240.79 | Risk: LOW       
  SHREEJISPG.NS   | Price:  715.90 | Entry:  701.58 | Target:  826.24 | Risk: LOW       
  RAIN.NS         | Price:  220.22 | Entry:  215.82 | Target:  266.39 | Risk: LOW       
  CEIGALL.NS      | Price:  381.05 | Entry:  373.43 | Target:  446.05 | Risk: LOW       
  AARTIDRUGS.NS   | Price:  433.65 | Entry:  424.98 | Target:  499.74 | Risk: LOW       
  GUJTHEM.NS      | Price:  432.05 | Entry:  423.41 | Target:  553.75 | Risk: LOW       
  LUMAXIND.NS     | Price: 6176.50 | Entry: 6052.97 | Target: 7404.00 | Risk: LOW       
  SANATHAN.NS     | Price:  485.15 | Entry:  475.45 | Target:  585.56 | Risk: LOW       
  NORTHARC.NS     | Price:  313.20 | Entry:  306.94 | Target:  375.77 | Risk: LOW       
  JAMNAAUTO.NS    | Price:  132.98 | Entry:  130.32 | Target:  151.04 | Risk: LOW       
  63MOONS.NS      | Price:  905.45 | Entry:  887.34 | Target: 1091.31 | Risk: LOW       
  SHANTIGEAR.NS   | Price:  732.00 | Entry:  717.36 | Target:  964.16 | Risk: LOW       
  BOROLTD.NS      | Price:  271.26 | Entry:  265.83 | Target:  342.52 | Risk: LOW       
  MARATHON.NS     | Price:  441.00 | Entry:  432.18 | Target:  567.25 | Risk: LOW       
  UFLEX.NS        | Price:  674.00 | Entry:  660.52 | Target:  830.64 | Risk: LOW       
  UEL.NS          | Price:  196.80 | Entry:  192.86 | Target:  257.91 | Risk: LOW       
  RPGLIFE.NS      | Price: 2754.20 | Entry: 2699.12 | Target: 3252.27 | Risk: LOW       
  RAYMOND.NS      | Price:  822.15 | Entry:  805.71 | Target: 1017.13 | Risk: LOW       
  ORCHPHARMA.NS   | Price: 1025.35 | Entry: 1004.84 | Target: 1261.40 | Risk: LOW       
  MPSLTD.NS       | Price: 2743.60 | Entry: 2688.73 | Target: 3213.67 | Risk: LOW       
  GOODLUCK.NS     | Price:  532.95 | Entry:  522.29 | Target:  654.83 | Risk: LOW       
  EBGNG.NS        | Price:  678.80 | Entry:  665.22 | Target:  864.80 | Risk: LOW       
  NEOGEN.NS       | Price: 2328.00 | Entry: 2281.44 | Target: 2762.25 | Risk: LOW       
  PRECWIRE.NS     | Price:  470.30 | Entry:  460.89 | Target:  600.60 | Risk: LOW       
  JINDWORLD.NS    | Price:   55.50 | Entry:   54.39 | Target:   76.23 | Risk: LOW       
  NPST.NS         | Price: 1739.70 | Entry: 1704.91 | Target: 2122.74 | Risk: LOW       
  CENTUM.NS       | Price: 4233.70 | Entry: 4149.03 | Target: 5079.63 | Risk: LOW       
  HARSHA.NS       | Price:  451.90 | Entry:  442.86 | Target:  527.31 | Risk: LOW       
  KSL.NS          | Price:  983.60 | Entry:  963.93 | Target: 1208.23 | Risk: LOW       
  SHAREINDIA.NS   | Price:  209.00 | Entry:  204.82 | Target:  243.93 | Risk: LOW       
  GUFICBIO.NS     | Price:  424.00 | Entry:  415.52 | Target:  508.31 | Risk: LOW       
  CYIENTDLM.NS    | Price:  946.80 | Entry:  927.86 | Target: 1176.00 | Risk: LOW       
  RPEL.NS         | Price: 1792.00 | Entry: 1756.16 | Target: 2316.57 | Risk: LOW       
  ARTEMISMED.NS   | Price:  348.60 | Entry:  341.63 | Target:  407.67 | Risk: LOW       
  PITTIENG.NS     | Price: 1167.30 | Entry: 1143.95 | Target: 1410.10 | Risk: LOW       
  FOSECOIND.NS    | Price: 6219.50 | Entry: 6095.11 | Target: 7678.61 | Risk: LOW       
  SSWL.NS         | Price:  367.95 | Entry:  360.59 | Target:  447.59 | Risk: LOW       
  VISHNU.NS       | Price:  721.55 | Entry:  707.12 | Target:  835.99 | Risk: LOW       
  SAMBHV.NS       | Price:  132.91 | Entry:  130.25 | Target:  159.80 | Risk: LOW       
  SWANDEF.NS      | Price: 2642.00 | Entry: 2589.16 | Target: 3259.57 | Risk: LOW       
  PARAGMILK.NS    | Price:  268.70 | Entry:  263.33 | Target:  334.51 | Risk: LOW       
  HLEGLAS.NS      | Price:  385.90 | Entry:  378.18 | Target:  450.40 | Risk: LOW       
  HIKAL.NS        | Price:  237.67 | Entry:  232.92 | Target:  304.75 | Risk: LOW       
  KIRIINDUS.NS    | Price:  532.75 | Entry:   522.1 | Target:  718.43 | Risk: LOW       
  PRABHA.NS       | Price:  247.38 | Entry:  242.43 | Target:  319.92 | Risk: LOW       
  IMAGICAA.NS     | Price:   53.96 | Entry:   52.88 | Target:   68.85 | Risk: LOW       
  JASH.NS         | Price:  525.00 | Entry:   514.5 | Target:  609.88 | Risk: LOW       
  PAISALO.NS      | Price:   82.50 | Entry:   80.85 | Target:   96.24 | Risk: LOW       
  PENIND.NS       | Price:  178.47 | Entry:   174.9 | Target:  208.15 | Risk: LOW       
  WSTCSTPAPR.NS   | Price:  711.00 | Entry:  696.78 | Target:  857.39 | Risk: LOW       
  MAITHANALL.NS   | Price: 1073.00 | Entry: 1051.54 | Target: 1270.20 | Risk: LOW       
  DEEPINDS.NS     | Price:  788.60 | Entry:  772.83 | Target:  981.21 | Risk: LOW       
  RAMRAT.NS       | Price:  546.50 | Entry:  535.57 | Target:  699.21 | Risk: LOW       
  SUNDROP.NS      | Price:  676.60 | Entry:  663.07 | Target:  757.71 | Risk: LOW       
  NOCIL.NS        | Price:  197.51 | Entry:  193.56 | Target:  231.20 | Risk: LOW       
  MANINDS.NS      | Price:  777.45 | Entry:   761.9 | Target:  974.02 | Risk: LOW       
  SBCL.NS         | Price: 1120.30 | Entry: 1097.89 | Target: 1422.79 | Risk: LOW       
  FCL.NS          | Price:   59.16 | Entry:   57.98 | Target:   75.09 | Risk: LOW       
  VIMTALABS.NS    | Price:  637.10 | Entry:  624.36 | Target:  758.31 | Risk: LOW       
  MARINE.NS       | Price:  413.85 | Entry:  405.57 | Target:  510.87 | Risk: LOW       
  GIPCL.NS        | Price:  202.27 | Entry:  198.22 | Target:  242.48 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  924.90 | Entry:   906.4 | Target: 1109.10 | Risk: LOW       
  BCG.NS          | Price:   10.18 | Entry:    9.98 | Target:   11.88 | Risk: LOW       
  TATVA.NS        | Price: 1684.10 | Entry: 1650.42 | Target: 2026.24 | Risk: LOW       
  IOLCP.NS        | Price:  211.53 | Entry:   207.3 | Target:  265.92 | Risk: LOW       
  BAJAJHIND.NS    | Price:   21.45 | Entry:   21.02 | Target:   28.22 | Risk: LOW       
  BFUTILITIE.NS   | Price:  566.50 | Entry:  555.17 | Target:  680.61 | Risk: LOW       
  TVSSRICHAK.NS   | Price: 5223.00 | Entry: 5118.54 | Target: 6450.89 | Risk: LOW       
  JTLIND.NS       | Price:   89.95 | Entry:   88.15 | Target:  110.78 | Risk: LOW       
  EVEREADY.NS     | Price:  358.00 | Entry:  350.84 | Target:  421.21 | Risk: LOW       
  CARRARO.NS      | Price:  555.50 | Entry:  544.39 | Target:  643.10 | Risk: LOW       
  NRBBEARING.NS   | Price:  502.00 | Entry:  491.96 | Target:  587.82 | Risk: LOW       
  MOREPENLAB.NS   | Price:  117.10 | Entry:  114.76 | Target:  150.43 | Risk: LOW       
  HIRECT.NS       | Price: 1285.60 | Entry: 1259.89 | Target: 1503.56 | Risk: LOW       
  VENUSPIPES.NS   | Price: 1962.10 | Entry: 1922.86 | Target: 2380.64 | Risk: LOW       
  ALEMBICLTD.NS   | Price:  107.30 | Entry:  105.15 | Target:  134.46 | Risk: LOW       
  JAYKAY.NS       | Price:  164.62 | Entry:  161.33 | Target:  217.38 | Risk: LOW       
  VSSL.NS         | Price:  420.40 | Entry:  411.99 | Target:  512.39 | Risk: LOW       
  CARYSIL.NS      | Price: 1196.00 | Entry: 1172.08 | Target: 1397.32 | Risk: LOW       
  BEPL.NS         | Price:  131.96 | Entry:  129.32 | Target:  157.61 | Risk: LOW       
  XPROINDIA.NS    | Price: 1296.90 | Entry: 1270.96 | Target: 1615.54 | Risk: LOW       
  ROSSTECH.NS     | Price: 1212.00 | Entry: 1187.76 | Target: 1461.29 | Risk: LOW       
  FILATEX.NS      | Price:   76.01 | Entry:   74.49 | Target:   95.53 | Risk: LOW       
  JINDALPOLY.NS   | Price:  682.85 | Entry:  669.19 | Target:  792.53 | Risk: LOW       
  SMSPHARMA.NS    | Price:  409.05 | Entry:  400.87 | Target:  492.34 | Risk: LOW       
  AEROFLEX.NS     | Price:  554.00 | Entry:  542.92 | Target:  694.39 | Risk: LOW       
  KSHINTL.NS      | Price: 1176.55 | Entry: 1153.02 | Target: 1406.28 | Risk: LOW       
  SEAMECLTD.NS    | Price: 1796.90 | Entry: 1760.96 | Target: 2083.65 | Risk: LOW       
  RML.NS          | Price: 1377.00 | Entry: 1349.46 | Target: 1645.54 | Risk: LOW       
  YATRA.NS        | Price:  114.60 | Entry:  112.31 | Target:  136.65 | Risk: LOW       
  GENESYS.NS      | Price:  311.31 | Entry:  305.08 | Target:  428.28 | Risk: LOW       
  SOLARA.NS       | Price:  711.35 | Entry:  697.12 | Target:  878.12 | Risk: LOW       
  SPECTRUM.NS     | Price: 2878.60 | Entry: 2821.03 | Target: 3553.96 | Risk: LOW       
  SIMPLEXINF.NS   | Price:  260.50 | Entry:  255.29 | Target:  319.44 | Risk: LOW       
  SYSTMTXC.NS     | Price:   71.11 | Entry:   69.69 | Target:   84.29 | Risk: LOW       
  HINDOILEXP.NS   | Price:  188.72 | Entry:  184.95 | Target:  227.53 | Risk: LOW       
