NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-07 19:14:39

BUY SIGNALS (225):
  JIOFIN.NS       | Price:  251.02 | Entry:   246.0 | Target:  286.32 | Risk: LOW       
  EPIGRAL.NS      | Price: 1369.80 | Entry:  1342.4 | Target: 1637.69 | Risk: LOW       
  GANESHHOU.NS    | Price:  698.15 | Entry:  684.19 | Target:  823.81 | Risk: LOW       
  HNDFDS.NS       | Price:  547.65 | Entry:   536.7 | Target:  625.44 | Risk: LOW       
  UTLSOLAR.NS     | Price:  286.35 | Entry:  280.62 | Target:  359.70 | Risk: LOW       
  AVL.NS          | Price:  556.20 | Entry:  545.08 | Target:  663.43 | Risk: LOW       
  SAATVIKGL.NS    | Price:  478.00 | Entry:  468.44 | Target:  591.11 | Risk: LOW       
  TVSSCS.NS       | Price:  122.06 | Entry:  119.62 | Target:  144.39 | Risk: LOW       
  BANSALWIRE.NS   | Price:  326.35 | Entry:  319.82 | Target:  393.16 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1446.30 | Entry: 1417.37 | Target: 1681.98 | Risk: LOW       
  CEIGALL.NS      | Price:  366.15 | Entry:  358.83 | Target:  439.88 | Risk: LOW       
  GUJTHEM.NS      | Price:  399.15 | Entry:  391.17 | Target:  506.17 | Risk: LOW       
  RAYMONDREL.NS   | Price:  635.20 | Entry:   622.5 | Target:  794.81 | Risk: LOW       
  TRUALT.NS       | Price:  477.05 | Entry:  467.51 | Target:  590.32 | Risk: LOW       
  ARTEMISMED.NS   | Price:  264.81 | Entry:  259.51 | Target:  308.31 | Risk: LOW       
  SUNDROP.NS      | Price:  669.95 | Entry:  656.55 | Target:  766.40 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  208.50 | Entry:  204.33 | Target:  259.74 | Risk: LOW       
  KPEL.NS         | Price:  409.00 | Entry:  400.82 | Target:  504.22 | Risk: LOW       
  ALPEXSOLAR.NS   | Price: 1064.55 | Entry: 1043.26 | Target: 1299.01 | Risk: LOW       
  EPACKPEB.NS     | Price:  213.11 | Entry:  208.85 | Target:  265.03 | Risk: LOW       
  JTLIND.NS       | Price:   82.23 | Entry:   80.59 | Target:  106.78 | Risk: LOW       
  DIGITIDE.NS     | Price:  100.83 | Entry:   98.81 | Target:  123.50 | Risk: LOW       
  SERVOTECH.NS    | Price:   95.91 | Entry:   93.99 | Target:  120.52 | Risk: LOW       
  KMEW.NS         | Price: 2161.40 | Entry: 2118.17 | Target: 2773.29 | Risk: LOW       
  ROSSTECH.NS     | Price: 1043.05 | Entry: 1022.19 | Target: 1365.71 | Risk: LOW       
  SCILAL.NS       | Price:   52.07 | Entry:   51.03 | Target:   63.02 | Risk: LOW       
  GVPIL.NS        | Price:  667.65 | Entry:   654.3 | Target:  832.04 | Risk: LOW       
  SGFIN.NS        | Price:  605.15 | Entry:  593.05 | Target:  760.81 | Risk: LOW       
  YASHO.NS        | Price: 1555.60 | Entry: 1524.49 | Target: 1812.81 | Risk: LOW       
  ADOR.NS         | Price: 1086.60 | Entry: 1064.87 | Target: 1326.49 | Risk: LOW       
  TINNARUBR.NS    | Price:  822.95 | Entry:  806.49 | Target: 1004.29 | Risk: LOW       
  PUNJABCHEM.NS   | Price: 1112.90 | Entry: 1090.64 | Target: 1326.28 | Risk: LOW       
  AIMTRON.NS      | Price: 1079.65 | Entry: 1058.06 | Target: 1390.99 | Risk: LOW       
  MASTERTR.NS     | Price:   86.82 | Entry:   85.08 | Target:  105.24 | Risk: LOW       
  HMAAGRO.NS      | Price:   24.65 | Entry:   24.16 | Target:   29.69 | Risk: LOW       
  BIRLANU.NS      | Price: 1591.10 | Entry: 1559.28 | Target: 1935.67 | Risk: LOW       
  CIFL.NS         | Price:   30.13 | Entry:   29.53 | Target:   39.54 | Risk: LOW       
  VMARCIND.NS     | Price:  986.75 | Entry:  967.01 | Target: 1244.25 | Risk: LOW       
  BOROSCI.NS      | Price:  123.45 | Entry:  120.98 | Target:  143.28 | Risk: LOW       
  BAJAJINDEF.NS   | Price:  303.55 | Entry:  297.48 | Target:  389.31 | Risk: LOW       
  VILAS.NS        | Price:  455.80 | Entry:  446.68 | Target:  587.05 | Risk: LOW       
  RACLGEAR.NS     | Price: 1323.30 | Entry: 1296.83 | Target: 1652.69 | Risk: LOW       
  BLUSPRING.NS    | Price:   68.14 | Entry:   66.78 | Target:   83.63 | Risk: LOW       
  ANTELOPUS.NS    | Price:  669.05 | Entry:  655.67 | Target:  862.37 | Risk: LOW       
  GGBL.NS         | Price:  338.65 | Entry:  331.88 | Target:  426.35 | Risk: LOW       
  AEROENTER.NS    | Price:  111.29 | Entry:  109.06 | Target:  139.27 | Risk: LOW       
  BHARATSE.NS     | Price:  200.69 | Entry:  196.68 | Target:  249.35 | Risk: LOW       
  DENTALKART.NS   | Price:  430.95 | Entry:  422.33 | Target:  561.74 | Risk: LOW       
  CNL.NS          | Price:  631.05 | Entry:  618.43 | Target:  759.16 | Risk: LOW       
  SASTASUNDR.NS   | Price:  284.25 | Entry:  278.56 | Target:  335.70 | Risk: LOW       
  REMUS.NS        | Price:  715.40 | Entry:  701.09 | Target:  860.79 | Risk: LOW       
  UFBL.NS         | Price:  372.65 | Entry:   365.2 | Target:  466.59 | Risk: LOW       
  BESTAGRO.NS     | Price:   19.75 | Entry:   19.36 | Target:   26.11 | Risk: LOW       
  ANUHPHR.NS      | Price:   82.98 | Entry:   81.32 | Target:   97.69 | Risk: LOW       
  SVLL.NS         | Price:  598.35 | Entry:  586.38 | Target:  753.72 | Risk: LOW       
  ZTECH.NS        | Price:  606.20 | Entry:  594.08 | Target:  706.68 | Risk: LOW       
  TECHLABS.NS     | Price:  245.30 | Entry:  240.39 | Target:  309.75 | Risk: LOW       
  ATL.NS          | Price:   27.29 | Entry:   26.74 | Target:   32.24 | Risk: LOW       
  TREL.NS         | Price:   28.08 | Entry:   27.52 | Target:   33.83 | Risk: LOW       
  CELLECOR.NS     | Price:   37.95 | Entry:   37.19 | Target:   47.31 | Risk: LOW       
  ACCENTMIC.NS    | Price:  450.10 | Entry:   441.1 | Target:  528.35 | Risk: LOW       
  DBEIL.NS        | Price:   84.30 | Entry:   82.61 | Target:  105.53 | Risk: LOW       
  GIRIRAJ.NS      | Price:  189.65 | Entry:  185.86 | Target:  239.95 | Risk: LOW       
  BAHETI.NS       | Price:  615.45 | Entry:  603.14 | Target:  720.61 | Risk: LOW       
  EMAMIPAP.NS     | Price:   81.72 | Entry:   80.09 | Target:  100.40 | Risk: LOW       
  ZODIAC.NS       | Price:  321.60 | Entry:  315.17 | Target:  444.80 | Risk: LOW       
  VINSYS.NS       | Price:  325.00 | Entry:   318.5 | Target:  402.61 | Risk: LOW       
  ALLETEC.NS      | Price:  163.00 | Entry:  159.74 | Target:  210.21 | Risk: LOW       
  DPEL.NS         | Price:  506.50 | Entry:  496.37 | Target:  592.12 | Risk: LOW       
  EFFWA.NS        | Price:  265.40 | Entry:  260.09 | Target:  336.56 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  280.15 | Entry:  274.55 | Target:  351.53 | Risk: LOW       
  ATMASTCO.NS     | Price:  162.30 | Entry:  159.05 | Target:  199.66 | Risk: LOW       
  ABSMARINE.NS    | Price:  235.40 | Entry:  230.69 | Target:  300.11 | Risk: LOW       
  HIGREEN.NS      | Price:  138.50 | Entry:  135.73 | Target:  163.25 | Risk: LOW       
  SRGHFL.NS       | Price:  299.90 | Entry:   293.9 | Target:  384.57 | Risk: LOW       
  PCCL.NS         | Price:  308.85 | Entry:  302.67 | Target:  367.76 | Risk: LOW       
  TIGERLOGS.NS    | Price:   41.57 | Entry:   40.74 | Target:   54.07 | Risk: LOW       
  RUBFILA.NS      | Price:   74.58 | Entry:   73.09 | Target:   89.52 | Risk: LOW       
  VISHNUINFR.NS   | Price:  171.20 | Entry:  167.78 | Target:  203.38 | Risk: LOW       
  SHREEKARNI.NS   | Price:  450.00 | Entry:   441.0 | Target:  511.29 | Risk: LOW       
  SYSTANGO.NS     | Price:  281.95 | Entry:  276.31 | Target:  337.15 | Risk: LOW       
  PROV.NS         | Price: 1320.00 | Entry:  1293.6 | Target: 1554.91 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1616.00 | Entry: 1583.68 | Target: 2019.21 | Risk: LOW       
  SKP.NS          | Price:  159.25 | Entry:  156.06 | Target:  188.04 | Risk: LOW       
  CMNL.NS         | Price:  131.00 | Entry:  128.38 | Target:  167.70 | Risk: LOW       
  SHERA.NS        | Price:  164.50 | Entry:  161.21 | Target:  194.52 | Risk: LOW       
  SAAKSHI.NS      | Price:  257.00 | Entry:  251.86 | Target:  307.87 | Risk: LOW       
  JAINAM.NS       | Price:  268.90 | Entry:  263.52 | Target:  302.83 | Risk: LOW       
  PRIZOR.NS       | Price:  710.75 | Entry:  696.53 | Target:  886.23 | Risk: LOW       
  KRISHCA.NS      | Price:  181.70 | Entry:  178.07 | Target:  224.97 | Risk: LOW       
  UYFINCORP.NS    | Price:   14.56 | Entry:   14.27 | Target:   17.08 | Risk: LOW       
  YASHOPTICS.NS   | Price:  128.65 | Entry:  126.08 | Target:  147.58 | Risk: LOW       
  RVTH.NS         | Price:  629.80 | Entry:   617.2 | Target:  805.80 | Risk: LOW       
  DUGLOBAL.NS     | Price:   43.50 | Entry:   42.63 | Target:   52.32 | Risk: LOW       
  MADHAVBAUG.NS   | Price:  279.20 | Entry:  273.62 | Target:  359.58 | Risk: LOW       
  PRATHAM.NS      | Price:  139.50 | Entry:  136.71 | Target:  180.64 | Risk: LOW       
  FELIX.NS        | Price:  220.00 | Entry:   215.6 | Target:  284.37 | Risk: LOW       
  ANLON.NS        | Price:  591.50 | Entry:  579.67 | Target:  713.21 | Risk: LOW       
  ESCONET.NS      | Price:  147.00 | Entry:  144.06 | Target:  184.70 | Risk: LOW       
  COMMITTED.NS    | Price:  287.70 | Entry:  281.95 | Target:  345.49 | Risk: LOW       
  SHAH.NS         | Price:    5.74 | Entry:    5.63 | Target:    6.74 | Risk: LOW       
  FIDEL.NS        | Price:  191.45 | Entry:  187.62 | Target:  242.22 | Risk: LOW       
  PRITIKA.NS      | Price:   70.00 | Entry:    68.6 | Target:   84.68 | Risk: LOW       
  GRCL.NS         | Price:  489.00 | Entry:  479.22 | Target:  571.23 | Risk: LOW       
  AKIKO.NS        | Price:  268.50 | Entry:  263.13 | Target:  326.87 | Risk: LOW       
  WINSOL.NS       | Price:  144.95 | Entry:  142.05 | Target:  170.38 | Risk: LOW       
  IBULLSLTD.NS    | Price:   20.00 | Entry:    19.6 | Target:   26.49 | Risk: LOW       
  PROPEQUITY.NS   | Price:  210.00 | Entry:   205.8 | Target:  226.27 | Risk: LOW       
  LLOYDS.NS       | Price:   93.15 | Entry:   91.29 | Target:  107.63 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  156.55 | Entry:  153.42 | Target:  187.57 | Risk: LOW       
  DENEERS.NS      | Price:  199.50 | Entry:  195.51 | Target:  243.48 | Risk: LOW       
  PRLIND.NS       | Price:   69.25 | Entry:   67.86 | Target:   84.91 | Risk: LOW       
  TUNWAL.NS       | Price:   34.80 | Entry:    34.1 | Target:   40.01 | Risk: LOW       
  SHRITECH.NS     | Price:   65.00 | Entry:    63.7 | Target:   68.66 | Risk: LOW       
  QMSMEDI.NS      | Price:   89.60 | Entry:   87.81 | Target:  109.69 | Risk: LOW       
  IBLFL.NS        | Price:   70.50 | Entry:   69.09 | Target:   83.11 | Risk: LOW       
  UMIYA-MRO.NS    | Price:   88.43 | Entry:   86.66 | Target:  104.94 | Risk: LOW       
  GLOBALPET.NS    | Price:  121.00 | Entry:  118.58 | Target:  133.68 | Risk: LOW       
  USASEEDS.NS     | Price:  108.95 | Entry:  106.77 | Target:  112.50 | Risk: LOW       
  SHEETAL.NS      | Price:  260.00 | Entry:   254.8 | Target:  287.43 | Risk: LOW       
  QUESTLAB.NS     | Price:  143.80 | Entry:  140.92 | Target:  177.71 | Risk: LOW       
  VEEKAYEM.NS     | Price:  146.00 | Entry:  143.08 | Target:  180.71 | Risk: LOW       
  MASTER.NS       | Price:  350.70 | Entry:  343.69 | Target:  384.97 | Risk: LOW       
  MAL.NS          | Price:   41.20 | Entry:   40.38 | Target:   47.24 | Risk: LOW       
  REXPIPES.NS     | Price:  202.00 | Entry:  197.96 | Target:  209.30 | Risk: LOW       
  TRU.NS          | Price:    6.25 | Entry:    6.12 | Target:    7.96 | Risk: LOW       
  URBAN.NS        | Price:  157.20 | Entry:  154.06 | Target:  182.38 | Risk: LOW       
  SHIGAN.NS       | Price:   76.30 | Entry:   74.77 | Target:   94.32 | Risk: LOW       
  SURANI.NS       | Price:  134.00 | Entry:  131.32 | Target:  145.96 | Risk: LOW       
  DELAPLEX.NS     | Price:  129.85 | Entry:  127.25 | Target:  161.30 | Risk: LOW       
  SIDDHIKA.NS     | Price:  232.00 | Entry:  227.36 | Target:  246.95 | Risk: LOW       
  OMFURN.NS       | Price:   63.20 | Entry:   61.94 | Target:   76.79 | Risk: LOW       
  DCG.NS          | Price:   73.25 | Entry:   71.78 | Target:   91.41 | Risk: LOW       
  BEACON.NS       | Price:  106.00 | Entry:  103.88 | Target:  144.48 | Risk: LOW       
  DTL.NS          | Price:  126.05 | Entry:  123.53 | Target:  132.62 | Risk: LOW       
  MAHICKRA.NS     | Price:  233.00 | Entry:  228.34 | Target:  255.91 | Risk: LOW       
  OLIL.NS         | Price:  471.90 | Entry:  462.46 | Target:  597.54 | Risk: LOW       
  ROCKINGDCE.NS   | Price:  208.00 | Entry:  203.84 | Target:  271.09 | Risk: LOW       
  HOLMARC.NS      | Price:   96.85 | Entry:   94.91 | Target:  115.42 | Risk: LOW       
  HOACFOODS.NS    | Price:  461.40 | Entry:  452.17 | Target:  542.08 | Risk: LOW       
  MARC.NS         | Price:   90.60 | Entry:   88.79 | Target:  117.64 | Risk: LOW       
  PATTECH.NS      | Price:  116.85 | Entry:  114.51 | Target:  130.24 | Risk: LOW       
  PARAGON.NS      | Price:   52.25 | Entry:    51.2 | Target:   63.37 | Risk: LOW       
  AMBEY.NS        | Price:   31.50 | Entry:   30.87 | Target:   44.59 | Risk: LOW       
  SILKFLEX.NS     | Price:  214.70 | Entry:  210.41 | Target:  268.20 | Risk: LOW       
  KANDARP.NS      | Price:  153.85 | Entry:  150.77 | Target:  194.47 | Risk: LOW       
  MHHL.NS         | Price:   42.55 | Entry:    41.7 | Target:   51.67 | Risk: LOW       
  SANGANI.NS      | Price:   55.00 | Entry:    53.9 | Target:   60.79 | Risk: LOW       
  VIAZ.NS         | Price:   62.95 | Entry:   61.69 | Target:   65.61 | Risk: LOW       
  PARTYCRUS.NS    | Price:   93.90 | Entry:   92.02 | Target:  107.56 | Risk: LOW       
  FCONSUMER.NS    | Price:    0.35 | Entry:    0.34 | Target:    0.37 | Risk: LOW       
  HGM.NS          | Price:   61.28 | Entry:   60.05 | Target:   80.79 | Risk: LOW       
  ARISTO.NS       | Price:  122.00 | Entry:  119.56 | Target:  138.64 | Risk: LOW       
  ONDOOR.NS       | Price:  170.10 | Entry:   166.7 | Target:  202.51 | Risk: LOW       
  K2INFRA.NS      | Price:   54.05 | Entry:   52.97 | Target:   67.66 | Risk: LOW       
  TPHQ.NS         | Price:    0.58 | Entry:    0.57 | Target:    0.69 | Risk: LOW       
  SHEKHAWATI.NS   | Price:   15.30 | Entry:   14.99 | Target:   22.47 | Risk: LOW       
  ASLIND.NS       | Price:  120.00 | Entry:   117.6 | Target:  133.32 | Risk: LOW       
  LRRPL.NS        | Price:   76.50 | Entry:   74.97 | Target:   93.64 | Risk: LOW       
  SWASTIK.NS      | Price:   24.00 | Entry:   23.52 | Target:   28.68 | Risk: LOW       
  JAIPURKURT.NS   | Price:   32.93 | Entry:   32.27 | Target:   43.11 | Risk: LOW       
  GRAPHISAD.NS    | Price:   36.50 | Entry:   35.77 | Target:   41.25 | Risk: LOW       
  DHANLAXMI.NS    | Price:   33.00 | Entry:   32.34 | Target:   42.98 | Risk: LOW       
  CADSYS.NS       | Price:   68.30 | Entry:   66.93 | Target:   85.21 | Risk: LOW       
  BMETRICS.NS     | Price:   40.85 | Entry:   40.03 | Target:   47.53 | Risk: LOW       
  SEL.NS          | Price:  187.00 | Entry:  183.26 | Target:  210.55 | Risk: LOW       
  MCON.NS         | Price:   57.05 | Entry:   55.91 | Target:   65.69 | Risk: LOW       
  VISHWAS.NS      | Price:   51.45 | Entry:   50.42 | Target:   58.29 | Risk: LOW       
  RULKA.NS        | Price:  113.50 | Entry:  111.23 | Target:  158.12 | Risk: LOW       
  UCL.NS          | Price:  129.95 | Entry:  127.35 | Target:  142.36 | Risk: LOW       
  UMA.NS          | Price:   20.50 | Entry:   20.09 | Target:   23.86 | Risk: LOW       
  MONOPHARMA.NS   | Price:   13.10 | Entry:   12.84 | Target:   14.58 | Risk: LOW       
  KSR.NS          | Price:   36.00 | Entry:   35.28 | Target:   44.87 | Risk: LOW       
  SATIPOLY.NS     | Price:   38.70 | Entry:   37.93 | Target:   43.40 | Risk: LOW       
  VILINBIO.NS     | Price:   44.85 | Entry:   43.95 | Target:   49.22 | Risk: LOW       
  ASPIRE.NS       | Price:   17.35 | Entry:    17.0 | Target:   20.64 | Risk: LOW       
  MICROPRO.NS     | Price:   19.90 | Entry:    19.5 | Target:   21.79 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    3.97 | Entry:    3.89 | Target:    4.84 | Risk: LOW       
  AILIMITED.NS    | Price:   44.50 | Entry:   43.61 | Target:   48.43 | Risk: LOW       
  YCCL.NS         | Price:   11.00 | Entry:   10.78 | Target:   12.09 | Risk: LOW       
  CMRSL.NS        | Price:   76.60 | Entry:   75.07 | Target:   80.05 | Risk: LOW       
  INSPIRE.NS      | Price:   11.65 | Entry:   11.42 | Target:   14.63 | Risk: LOW       
  DHTL.NS         | Price:   44.10 | Entry:   43.22 | Target:   45.56 | Risk: LOW       
  MARINETRAN.NS   | Price:   18.50 | Entry:   18.13 | Target:   19.09 | Risk: LOW       
  JIWANRAM.NS     | Price:    5.45 | Entry:    5.34 | Target:    5.97 | Risk: LOW       
  RITEZONE.NS     | Price:   25.00 | Entry:    24.5 | Target:   29.11 | Risk: LOW       
  SETUINFRA.NS    | Price:    0.62 | Entry:    0.61 | Target:    0.70 | Risk: LOW       
  BGLOBAL.NS      | Price:    3.24 | Entry:    3.18 | Target:    3.44 | Risk: LOW       
  CLCIND.NS       | Price:   26.05 | Entry:   25.53 | Target:   26.91 | Risk: LOW       

HOLD SIGNALS (2335):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBIN.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INFY.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJFINANCE.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDUNILVR.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LICI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LT.NS           | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ITC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARUTI.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  M&M.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HCLTECH.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  KOTAKBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SUNPHARMA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AXISBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ULTRACEMCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJFINSV.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TITAN.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NTPC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPORTS.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ONGC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ETERNAL.NS      | Price:  257.42 | Trend:   5.77% | Mom:  -2.12% | Risk: LOW       
  BEL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENT.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DMART.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JSWSTEEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WIPRO.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POWERGRID.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ASIANPAINT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  COALINDIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NESTLEIND.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIGO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IOC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATASTEEL.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMPV.NS         | Price:  359.25 | Trend:   5.10% | Mom:  -0.72% | Risk: LOW       
  HINDZINC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HYUNDAI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GRASIM.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBILIFE.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VEDL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: NORMAL    
  DLF.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  EICHERMOT.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TRENT.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDALCO.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIVISLAB.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCLIFE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IRFC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIGREEN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VBL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TVSMOTOR.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  PIDILITIND.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BPCL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
