NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-17 18:54:40

BUY SIGNALS (311):
  TMPV.NS         | Price:  360.10 | Entry:   352.9 | Target:  420.89 | Risk: LOW       
  VINSYS.NS       | Price:  321.35 | Entry:  314.92 | Target:  456.55 | Risk: LOW       
  ALLETEC.NS      | Price:  180.00 | Entry:   176.4 | Target:  249.80 | Risk: LOW       
  HILINFRA.NS     | Price:   57.21 | Entry:   56.07 | Target:   72.71 | Risk: LOW       
  ANNAPURNA.NS    | Price:  180.30 | Entry:  176.69 | Target:  254.53 | Risk: LOW       
  TRANSWORLD.NS   | Price:  158.92 | Entry:  155.74 | Target:  208.06 | Risk: LOW       
  DPEL.NS         | Price:  444.80 | Entry:   435.9 | Target:  536.51 | Risk: LOW       
  EFFWA.NS        | Price:  227.95 | Entry:  223.39 | Target:  292.75 | Risk: LOW       
  MEGATHERM.NS    | Price:  250.25 | Entry:  245.25 | Target:  320.00 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  210.45 | Entry:  206.24 | Target:  276.88 | Risk: LOW       
  CGRAPHICS.NS    | Price:  177.45 | Entry:   173.9 | Target:  243.38 | Risk: LOW       
  ATMASTCO.NS     | Price:  153.85 | Entry:  150.77 | Target:  216.98 | Risk: LOW       
  ABSMARINE.NS    | Price:  203.95 | Entry:  199.87 | Target:  275.99 | Risk: LOW       
  XTGLOBAL.NS     | Price:   33.65 | Entry:   32.98 | Target:   45.62 | Risk: LOW       
  HIGREEN.NS      | Price:  141.65 | Entry:  138.82 | Target:  186.44 | Risk: LOW       
  SAHAJSOLAR.NS   | Price:  146.10 | Entry:  143.18 | Target:  205.67 | Risk: LOW       
  ORIENTCER.NS    | Price:   43.11 | Entry:   42.25 | Target:   55.15 | Risk: LOW       
  LORDSCHLO.NS    | Price:  157.74 | Entry:  154.59 | Target:  207.84 | Risk: LOW       
  SRGHFL.NS       | Price:  282.16 | Entry:  276.52 | Target:  360.11 | Risk: LOW       
  PCCL.NS         | Price:  261.45 | Entry:  256.22 | Target:  312.40 | Risk: LOW       
  RBMINFRA.NS     | Price:  413.35 | Entry:  405.08 | Target:  563.46 | Risk: LOW       
  TIGERLOGS.NS    | Price:   32.64 | Entry:   31.99 | Target:   43.69 | Risk: LOW       
  FILATFASH.NS    | Price:    0.25 | Entry:    0.24 | Target:    0.31 | Risk: LOW       
  RUBFILA.NS      | Price:   70.52 | Entry:   69.11 | Target:   86.29 | Risk: LOW       
  VISHNUINFR.NS   | Price:  173.10 | Entry:  169.64 | Target:  227.42 | Risk: LOW       
  AVPINFRA.NS     | Price:  106.00 | Entry:  103.88 | Target:  136.61 | Risk: LOW       
  PHANTOMFX.NS    | Price:  229.95 | Entry:  225.35 | Target:  292.40 | Risk: LOW       
  INFINIUM.NS     | Price:  212.95 | Entry:  208.69 | Target:  254.22 | Risk: LOW       
  SHREEKARNI.NS   | Price:  425.00 | Entry:   416.5 | Target:  527.12 | Risk: LOW       
  SYSTANGO.NS     | Price:  281.10 | Entry:  275.48 | Target:  365.73 | Risk: LOW       
  VGL.NS          | Price:   63.09 | Entry:   61.83 | Target:   93.18 | Risk: LOW       
  PROV.NS         | Price: 1286.40 | Entry: 1260.67 | Target: 1557.13 | Risk: LOW       
  BALAJEE.NS      | Price:   33.12 | Entry:   32.46 | Target:   45.23 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1293.90 | Entry: 1268.02 | Target: 1531.54 | Risk: LOW       
  EFACTOR.NS      | Price:  229.00 | Entry:  224.42 | Target:  294.82 | Risk: LOW       
  CMNL.NS         | Price:  112.00 | Entry:  109.76 | Target:  134.59 | Risk: LOW       
  VLEGOV.NS       | Price:   16.35 | Entry:   16.02 | Target:   20.92 | Risk: LOW       
  MASON.NS        | Price:  164.50 | Entry:  161.21 | Target:  210.68 | Risk: LOW       
  AFFORDABLE.NS   | Price:  186.93 | Entry:  183.19 | Target:  251.47 | Risk: LOW       
  FROG.NS         | Price:  160.25 | Entry:  157.04 | Target:  237.93 | Risk: LOW       
  SHERA.NS        | Price:  132.00 | Entry:  129.36 | Target:  166.75 | Risk: LOW       
  DIAMINESQ.NS    | Price:  262.29 | Entry:  257.04 | Target:  343.55 | Risk: LOW       
  SAAKSHI.NS      | Price:  195.15 | Entry:  191.25 | Target:  239.13 | Risk: LOW       
  AFIL.NS         | Price:    9.81 | Entry:    9.61 | Target:   12.26 | Risk: LOW       
  PRAMARA.NS      | Price:  356.15 | Entry:  349.03 | Target:  407.35 | Risk: LOW       
  PRIZOR.NS       | Price:  492.15 | Entry:  482.31 | Target:  615.61 | Risk: LOW       
  UNIHEALTH.NS    | Price:  483.95 | Entry:  474.27 | Target:  601.00 | Risk: LOW       
  KRISHCA.NS      | Price:  179.40 | Entry:  175.81 | Target:  246.06 | Risk: LOW       
  GOYALSALT.NS    | Price:  125.35 | Entry:  122.84 | Target:  162.90 | Risk: LOW       
  KCEIL.NS        | Price:  136.00 | Entry:  133.28 | Target:  183.43 | Risk: LOW       
  UYFINCORP.NS    | Price:   14.40 | Entry:   14.11 | Target:   18.58 | Risk: LOW       
  YASHOPTICS.NS   | Price:  119.00 | Entry:  116.62 | Target:  142.50 | Risk: LOW       
  GSMFOILS.NS     | Price:  223.40 | Entry:  218.93 | Target:  293.01 | Risk: LOW       
  RVTH.NS         | Price:  625.20 | Entry:   612.7 | Target:  798.59 | Risk: LOW       
  DUGLOBAL.NS     | Price:   36.90 | Entry:   36.16 | Target:   48.44 | Risk: LOW       
  RBS.NS          | Price:  105.75 | Entry:  103.64 | Target:  139.89 | Risk: LOW       
  KDL.NS          | Price:  155.65 | Entry:  152.54 | Target:  192.74 | Risk: LOW       
  PRATHAM.NS      | Price:  140.70 | Entry:  137.89 | Target:  201.97 | Risk: LOW       
  TCL.NS          | Price:   93.35 | Entry:   91.48 | Target:  113.94 | Risk: LOW       
  FELIX.NS        | Price:  187.20 | Entry:  183.46 | Target:  244.15 | Risk: LOW       
  ANLON.NS        | Price:  409.00 | Entry:  400.82 | Target:  502.36 | Risk: LOW       
  RUDRA.NS        | Price:   23.28 | Entry:   22.81 | Target:   31.18 | Risk: LOW       
  ESCONET.NS      | Price:  138.00 | Entry:  135.24 | Target:  178.91 | Risk: LOW       
  COMMITTED.NS    | Price:  257.00 | Entry:  251.86 | Target:  333.18 | Risk: LOW       
  CPCAP.NS        | Price:   96.00 | Entry:   94.08 | Target:  131.51 | Risk: LOW       
  SHAH.NS         | Price:    5.08 | Entry:    4.98 | Target:    5.89 | Risk: LOW       
  FIDEL.NS        | Price:  140.00 | Entry:   137.2 | Target:  171.25 | Risk: LOW       
  DHARAN.NS       | Price:    0.16 | Entry:    0.16 | Target:    0.22 | Risk: LOW       
  NEPHROCARE.NS   | Price:   83.05 | Entry:   81.39 | Target:  120.12 | Risk: LOW       
  AKIKO.NS        | Price:  212.70 | Entry:  208.45 | Target:  257.61 | Risk: LOW       
  GOLDSTAR.NS     | Price:    7.30 | Entry:    7.15 | Target:    8.76 | Risk: LOW       
  WINSOL.NS       | Price:  127.30 | Entry:  124.75 | Target:  168.84 | Risk: LOW       
  IBULLSLTD.NS    | Price:   17.58 | Entry:   17.23 | Target:   23.82 | Risk: LOW       
  EMMIL.NS        | Price:  160.00 | Entry:   156.8 | Target:  217.07 | Risk: LOW       
  KAVDEFENCE.NS   | Price:   71.64 | Entry:   70.21 | Target:   87.28 | Risk: LOW       
  DRONE.NS        | Price:   56.20 | Entry:   55.08 | Target:   77.70 | Risk: LOW       
  PROPEQUITY.NS   | Price:  200.65 | Entry:  196.64 | Target:  250.60 | Risk: LOW       
  LLOYDS.NS       | Price:   77.60 | Entry:   76.05 | Target:  109.26 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  153.05 | Entry:  149.99 | Target:  183.94 | Risk: LOW       
  DENEERS.NS      | Price:  166.75 | Entry:  163.41 | Target:  219.71 | Risk: LOW       
  PRLIND.NS       | Price:   64.00 | Entry:   62.72 | Target:   84.02 | Risk: LOW       
  PURVFLEXI.NS    | Price:   63.70 | Entry:   62.43 | Target:   76.90 | Risk: LOW       
  IEML.NS         | Price:   83.70 | Entry:   82.03 | Target:  113.41 | Risk: LOW       
  TUNWAL.NS       | Price:   33.75 | Entry:   33.08 | Target:   41.87 | Risk: LOW       
  KORE.NS         | Price:  126.65 | Entry:  124.12 | Target:  149.78 | Risk: LOW       
  DYNAMIC.NS      | Price:  135.00 | Entry:   132.3 | Target:  176.04 | Risk: LOW       
  EMKAYTOOLS.NS   | Price:  120.00 | Entry:   117.6 | Target:  148.20 | Risk: LOW       
  TBI.NS          | Price:   71.45 | Entry:   70.02 | Target:   93.93 | Risk: LOW       
  ENSER.NS        | Price:   15.55 | Entry:   15.24 | Target:   22.17 | Risk: LOW       
  VR.NS           | Price:  155.00 | Entry:   151.9 | Target:  183.27 | Risk: LOW       
  IBLFL.NS        | Price:   49.10 | Entry:   48.12 | Target:   53.55 | Risk: LOW       
  WOMANCART.NS    | Price:  187.25 | Entry:   183.5 | Target:  253.41 | Risk: LOW       
  UMIYA-MRO.NS    | Price:   87.18 | Entry:   85.44 | Target:  120.25 | Risk: LOW       
  SHREEOSFM.NS    | Price:   79.15 | Entry:   77.57 | Target:  109.88 | Risk: LOW       
  GLOBALPET.NS    | Price:  108.95 | Entry:  106.77 | Target:  131.04 | Risk: LOW       
  SHEETAL.NS      | Price:  256.00 | Entry:  250.88 | Target:  298.93 | Risk: LOW       
  SADHAV.NS       | Price:  111.45 | Entry:  109.22 | Target:  140.95 | Risk: LOW       
  SLONE.NS        | Price:  217.25 | Entry:  212.91 | Target:  274.55 | Risk: LOW       
  QUESTLAB.NS     | Price:  121.45 | Entry:  119.02 | Target:  141.95 | Risk: LOW       
  ZEAL.NS         | Price:   90.00 | Entry:    88.2 | Target:  120.41 | Risk: LOW       
  VEEKAYEM.NS     | Price:  131.00 | Entry:  128.38 | Target:  153.05 | Risk: LOW       
  MASTER.NS       | Price:  327.80 | Entry:  321.24 | Target:  364.35 | Risk: LOW       
  MAL.NS          | Price:   40.55 | Entry:   39.74 | Target:   49.91 | Risk: LOW       
  VISAMAN.NS      | Price:  122.75 | Entry:   120.3 | Target:  138.84 | Risk: LOW       
  GREENCHEF.NS    | Price:   50.35 | Entry:   49.34 | Target:   60.60 | Risk: LOW       
  REXPIPES.NS     | Price:  201.50 | Entry:  197.47 | Target:  210.82 | Risk: LOW       
  URBAN.NS        | Price:  140.45 | Entry:  137.64 | Target:  188.40 | Risk: LOW       
  SYLVANPLY.NS    | Price:   57.50 | Entry:   56.35 | Target:   77.23 | Risk: LOW       
  TRUST.NS        | Price:   41.35 | Entry:   40.52 | Target:   54.97 | Risk: LOW       
  ISHANCH.NS      | Price:   67.08 | Entry:   65.74 | Target:   89.62 | Risk: LOW       
  SURANI.NS       | Price:  128.00 | Entry:  125.44 | Target:  164.77 | Risk: LOW       
  DELAPLEX.NS     | Price:  108.95 | Entry:  106.77 | Target:  136.24 | Risk: LOW       
  GENSOL.NS       | Price:   25.64 | Entry:   25.13 | Target:   30.88 | Risk: LOW       
  SIDDHIKA.NS     | Price:  225.00 | Entry:   220.5 | Target:  244.96 | Risk: LOW       
  OMFURN.NS       | Price:   55.50 | Entry:   54.39 | Target:   78.29 | Risk: LOW       
  NEWJAISA.NS     | Price:   27.40 | Entry:   26.85 | Target:   32.81 | Risk: LOW       
  DCG.NS          | Price:   65.00 | Entry:    63.7 | Target:   84.39 | Risk: LOW       
  MAXPOSURE.NS    | Price:   41.20 | Entry:   40.38 | Target:   48.90 | Risk: LOW       
  BEACON.NS       | Price:   90.00 | Entry:    88.2 | Target:  115.32 | Risk: LOW       
  CRAYONS.NS      | Price:   38.15 | Entry:   37.39 | Target:   55.76 | Risk: LOW       
  MAHICKRA.NS     | Price:  225.00 | Entry:   220.5 | Target:  270.82 | Risk: LOW       
  ASCOM.NS        | Price:  265.00 | Entry:   259.7 | Target:  306.07 | Risk: LOW       
  OLIL.NS         | Price:  316.45 | Entry:  310.12 | Target:  368.18 | Risk: LOW       
  ROCKINGDCE.NS   | Price:  191.50 | Entry:  187.67 | Target:  255.34 | Risk: LOW       
  REFRACTORY.NS   | Price:   46.00 | Entry:   45.08 | Target:   57.82 | Risk: LOW       
  KLL.NS          | Price:   42.80 | Entry:   41.94 | Target:   56.59 | Risk: LOW       
  HOLMARC.NS      | Price:   91.95 | Entry:   90.11 | Target:  110.82 | Risk: LOW       
  HOACFOODS.NS    | Price:  450.60 | Entry:  441.59 | Target:  533.65 | Risk: LOW       
  NAMAN.NS        | Price:   57.40 | Entry:   56.25 | Target:   71.10 | Risk: LOW       
  MARC.NS         | Price:   72.15 | Entry:   70.71 | Target:   84.94 | Risk: LOW       
  MAGSON.NS       | Price:  191.30 | Entry:  187.47 | Target:  237.82 | Risk: LOW       
  ROXHITECH.NS    | Price:   40.30 | Entry:   39.49 | Target:   53.41 | Risk: LOW       
  DIGJAMLMTD.NS   | Price:   47.40 | Entry:   46.45 | Target:   65.27 | Risk: LOW       
  NIRMAN.NS       | Price:   52.25 | Entry:    51.2 | Target:   66.84 | Risk: LOW       
  SILKFLEX.NS     | Price:  139.60 | Entry:  136.81 | Target:  165.23 | Risk: LOW       
  EFORCE.NS       | Price:   28.00 | Entry:   27.44 | Target:   39.84 | Risk: LOW       
  SONAMAC.NS      | Price:   45.00 | Entry:    44.1 | Target:   64.27 | Risk: LOW       
  MHHL.NS         | Price:   39.55 | Entry:   38.76 | Target:   49.67 | Risk: LOW       
  KONSTELEC.NS    | Price:   42.60 | Entry:   41.75 | Target:   50.78 | Risk: LOW       
  SANGANI.NS      | Price:   46.20 | Entry:   45.28 | Target:   53.95 | Risk: LOW       
  AURIGROW.NS     | Price:    0.33 | Entry:    0.32 | Target:    0.39 | Risk: LOW       
  PARTYCRUS.NS    | Price:   83.00 | Entry:   81.34 | Target:  103.57 | Risk: LOW       
  BAWEJA.NS       | Price:   32.00 | Entry:   31.36 | Target:   45.63 | Risk: LOW       
  HGM.NS          | Price:   54.43 | Entry:   53.34 | Target:   74.88 | Risk: LOW       
  SRIVASAVI.NS    | Price:   59.00 | Entry:   57.82 | Target:   73.89 | Risk: LOW       
  ONDOOR.NS       | Price:  177.40 | Entry:  173.85 | Target:  233.83 | Risk: LOW       
  ARABIAN.NS      | Price:   72.05 | Entry:   70.61 | Target:   81.94 | Risk: LOW       
  AMEYA.NS        | Price:  107.05 | Entry:  104.91 | Target:  117.57 | Risk: LOW       
  MARCO.NS        | Price:   40.15 | Entry:   39.35 | Target:   51.70 | Risk: LOW       
  VELS.NS         | Price:   65.75 | Entry:   64.44 | Target:   76.95 | Risk: LOW       
  TPHQ.NS         | Price:    0.58 | Entry:    0.57 | Target:    0.76 | Risk: LOW       
  SHEKHAWATI.NS   | Price:   14.17 | Entry:   13.89 | Target:   20.62 | Risk: LOW       
  SAIFL.NS        | Price:   10.90 | Entry:   10.68 | Target:   16.56 | Risk: LOW       
  SYNOPTICS.NS    | Price:   53.20 | Entry:   52.14 | Target:   61.36 | Risk: LOW       
  BIRDYS.NS       | Price:  122.00 | Entry:  119.56 | Target:  128.82 | Risk: LOW       
  LRRPL.NS        | Price:   78.00 | Entry:   76.44 | Target:   91.38 | Risk: LOW       
  SWASTIK.NS      | Price:   21.65 | Entry:   21.22 | Target:   29.36 | Risk: LOW       
  DURLAX.NS       | Price:   50.50 | Entry:   49.49 | Target:   63.96 | Risk: LOW       
  DHANLAXMI.NS    | Price:   28.45 | Entry:   27.88 | Target:   38.33 | Risk: LOW       
  BLUEPEBBLE.NS   | Price:  138.00 | Entry:  135.24 | Target:  173.77 | Risk: LOW       
  CADSYS.NS       | Price:   52.45 | Entry:    51.4 | Target:   66.27 | Risk: LOW       
  BABAFP.NS       | Price:   28.45 | Entry:   27.88 | Target:   36.47 | Risk: LOW       
  BMETRICS.NS     | Price:   41.95 | Entry:   41.11 | Target:   48.68 | Risk: LOW       
  AUROIMPEX.NS    | Price:   36.00 | Entry:   35.28 | Target:   46.84 | Risk: LOW       
  RCDL.NS         | Price:   23.50 | Entry:   23.03 | Target:   32.29 | Risk: LOW       
  SEL.NS          | Price:  189.00 | Entry:  185.22 | Target:  252.07 | Risk: LOW       
  MCON.NS         | Price:   52.50 | Entry:   51.45 | Target:   65.59 | Risk: LOW       
  VISHWAS.NS      | Price:   40.00 | Entry:    39.2 | Target:   45.95 | Risk: LOW       
  DKEGL.NS        | Price:   81.90 | Entry:   80.26 | Target:   97.36 | Risk: LOW       
  PENTAGON.NS     | Price:   67.20 | Entry:   65.86 | Target:   84.77 | Risk: LOW       
  RULKA.NS        | Price:  117.55 | Entry:   115.2 | Target:  155.55 | Risk: LOW       
  UCL.NS          | Price:  102.75 | Entry:  100.69 | Target:  113.39 | Risk: LOW       
