NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-10 19:03:44

BUY SIGNALS (225):
  ENRIN.NS        | Price: 2813.50 | Entry: 2757.23 | Target: 3304.04 | Risk: LOW       
  ZAGGLE.NS       | Price:  251.47 | Entry:  246.44 | Target:  332.38 | Risk: LOW       
  ORIANA.NS       | Price: 1934.85 | Entry: 1896.15 | Target: 2476.80 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1334.80 | Entry:  1308.1 | Target: 1670.37 | Risk: LOW       
  CEIGALL.NS      | Price:  300.10 | Entry:   294.1 | Target:  354.55 | Risk: LOW       
  AVANTEL.NS      | Price:  152.69 | Entry:  149.64 | Target:  191.12 | Risk: LOW       
  RAYMONDREL.NS   | Price:  434.30 | Entry:  425.61 | Target:  563.85 | Risk: LOW       
  TRUALT.NS       | Price:  417.25 | Entry:   408.9 | Target:  514.91 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  169.12 | Entry:  165.74 | Target:  215.31 | Risk: LOW       
  KPEL.NS         | Price:  301.60 | Entry:  295.57 | Target:  378.91 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  916.40 | Entry:  898.07 | Target: 1161.58 | Risk: LOW       
  EPACKPEB.NS     | Price:  177.28 | Entry:  173.73 | Target:  228.75 | Risk: LOW       
  JTLIND.NS       | Price:   64.38 | Entry:   63.09 | Target:   89.20 | Risk: LOW       
  SERVOTECH.NS    | Price:   79.97 | Entry:   78.37 | Target:  102.91 | Risk: LOW       
  KMEW.NS         | Price: 1774.60 | Entry: 1739.11 | Target: 2239.06 | Risk: LOW       
  ROSSTECH.NS     | Price:  916.40 | Entry:  898.07 | Target: 1153.60 | Risk: LOW       
  GVPIL.NS        | Price:  461.60 | Entry:  452.37 | Target:  561.90 | Risk: LOW       
  SGFIN.NS        | Price:  461.15 | Entry:  451.93 | Target:  592.54 | Risk: LOW       
  SOLEX.NS        | Price: 1282.40 | Entry: 1256.75 | Target: 1694.45 | Risk: LOW       
  AIMTRON.NS      | Price:  916.05 | Entry:  897.73 | Target: 1143.30 | Risk: LOW       
  ALLDIGI.NS      | Price:  826.50 | Entry:  809.97 | Target: 1031.98 | Risk: LOW       
  VMARCIND.NS     | Price:  761.00 | Entry:  745.78 | Target: 1005.32 | Risk: LOW       
  TAC.NS          | Price:  556.90 | Entry:  545.76 | Target:  728.83 | Risk: LOW       
  BOROSCI.NS      | Price:  116.04 | Entry:  113.72 | Target:  141.65 | Risk: LOW       
  BAJAJINDEF.NS   | Price:  265.27 | Entry:  259.96 | Target:  347.46 | Risk: LOW       
  STLNETWORK.NS   | Price:   21.27 | Entry:   20.84 | Target:   27.17 | Risk: LOW       
  ARISINFRA.NS    | Price:  113.08 | Entry:  110.82 | Target:  139.06 | Risk: LOW       
  VILAS.NS        | Price:  409.85 | Entry:  401.65 | Target:  539.22 | Risk: LOW       
  RACLGEAR.NS     | Price: 1300.00 | Entry:  1274.0 | Target: 1673.68 | Risk: LOW       
  BLUSPRING.NS    | Price:   64.61 | Entry:   63.32 | Target:   89.16 | Risk: LOW       
  MEGASOFT.NS     | Price:  170.89 | Entry:  167.47 | Target:  215.09 | Risk: LOW       
  ANTELOPUS.NS    | Price:  602.05 | Entry:  590.01 | Target:  809.57 | Risk: LOW       
  AEROENTER.NS    | Price:   84.67 | Entry:   82.98 | Target:  111.61 | Risk: LOW       
  BHARATSE.NS     | Price:  176.93 | Entry:  173.39 | Target:  234.29 | Risk: LOW       
  KODYTECH.NS     | Price:  785.20 | Entry:   769.5 | Target:  912.79 | Risk: LOW       
  KARNIKA.NS      | Price:  127.00 | Entry:  124.46 | Target:  151.75 | Risk: LOW       
  APS.NS          | Price:  355.95 | Entry:  348.83 | Target:  465.11 | Risk: LOW       
  BASILIC.NS      | Price:  232.30 | Entry:  227.65 | Target:  311.82 | Risk: LOW       
  UFBL.NS         | Price:  281.15 | Entry:  275.53 | Target:  386.97 | Risk: LOW       
  BESTAGRO.NS     | Price:   17.27 | Entry:   16.92 | Target:   21.27 | Risk: LOW       
  ANUHPHR.NS      | Price:   79.75 | Entry:   78.16 | Target:   99.05 | Risk: LOW       
  VIVIANA.NS      | Price:  743.70 | Entry:  728.83 | Target:  975.54 | Risk: LOW       
  ARFIN.NS        | Price:   89.26 | Entry:   87.47 | Target:  108.80 | Risk: LOW       
  ZTECH.NS        | Price:  548.55 | Entry:  537.58 | Target:  658.01 | Risk: LOW       
  TECHLABS.NS     | Price:  212.65 | Entry:   208.4 | Target:  273.13 | Risk: LOW       
  ATL.NS          | Price:   24.94 | Entry:   24.44 | Target:   33.64 | Risk: LOW       
  ESFL.NS         | Price:  142.40 | Entry:  139.55 | Target:  177.06 | Risk: LOW       
  TREL.NS         | Price:   26.85 | Entry:   26.31 | Target:   32.49 | Risk: LOW       
  MVKAGRO.NS      | Price:  571.50 | Entry:  560.07 | Target:  776.36 | Risk: LOW       
  CELLECOR.NS     | Price:   31.50 | Entry:   30.87 | Target:   41.61 | Risk: LOW       
  ACCENTMIC.NS    | Price:  418.20 | Entry:  409.84 | Target:  519.27 | Risk: LOW       
  GPECO.NS        | Price:  358.00 | Entry:  350.84 | Target:  474.80 | Risk: LOW       
  OCCLLTD.NS      | Price:   93.64 | Entry:   91.77 | Target:  120.63 | Risk: LOW       
  ZODIAC.NS       | Price:  279.90 | Entry:   274.3 | Target:  377.65 | Risk: LOW       
  VINSYS.NS       | Price:  320.00 | Entry:   313.6 | Target:  452.82 | Risk: LOW       
  ALLETEC.NS      | Price:  191.35 | Entry:  187.52 | Target:  258.98 | Risk: LOW       
  ANNAPURNA.NS    | Price:  185.00 | Entry:   181.3 | Target:  260.57 | Risk: LOW       
  DPEL.NS         | Price:  464.75 | Entry:  455.45 | Target:  557.13 | Risk: LOW       
  EFFWA.NS        | Price:  224.10 | Entry:  219.62 | Target:  290.96 | Risk: LOW       
  MEGATHERM.NS    | Price:  228.50 | Entry:  223.93 | Target:  284.30 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  179.80 | Entry:   176.2 | Target:  242.48 | Risk: LOW       
  CGRAPHICS.NS    | Price:  162.40 | Entry:  159.15 | Target:  218.45 | Risk: LOW       
  ATMASTCO.NS     | Price:  144.25 | Entry:  141.37 | Target:  202.39 | Risk: LOW       
  ABSMARINE.NS    | Price:  192.00 | Entry:  188.16 | Target:  255.68 | Risk: LOW       
  HIGREEN.NS      | Price:  144.55 | Entry:  141.66 | Target:  189.66 | Risk: LOW       
  SAHAJSOLAR.NS   | Price:  143.10 | Entry:  140.24 | Target:  196.30 | Risk: LOW       
  ORIENTCER.NS    | Price:   41.54 | Entry:   40.71 | Target:   54.17 | Risk: LOW       
  LORDSCHLO.NS    | Price:  154.46 | Entry:  151.37 | Target:  198.41 | Risk: LOW       
  SRGHFL.NS       | Price:  271.34 | Entry:  265.91 | Target:  352.22 | Risk: LOW       
  RBMINFRA.NS     | Price:  398.20 | Entry:  390.24 | Target:  542.04 | Risk: LOW       
  SWARAJ.NS       | Price:  295.35 | Entry:  289.44 | Target:  340.73 | Risk: LOW       
  TIGERLOGS.NS    | Price:   29.97 | Entry:   29.37 | Target:   40.84 | Risk: LOW       
  RUBFILA.NS      | Price:   67.92 | Entry:   66.56 | Target:   83.29 | Risk: LOW       
  AVPINFRA.NS     | Price:  102.90 | Entry:  100.84 | Target:  131.65 | Risk: LOW       
  INFINIUM.NS     | Price:  219.95 | Entry:  215.55 | Target:  259.93 | Risk: LOW       
  SYSTANGO.NS     | Price:  268.85 | Entry:  263.47 | Target:  350.30 | Risk: LOW       
  WTICAB.NS       | Price:  110.00 | Entry:   107.8 | Target:  149.18 | Risk: LOW       
  BALAJEE.NS      | Price:   34.38 | Entry:   33.69 | Target:   45.93 | Risk: LOW       
  VLEGOV.NS       | Price:   13.84 | Entry:   13.56 | Target:   18.79 | Risk: LOW       
  FROG.NS         | Price:  178.50 | Entry:  174.93 | Target:  245.13 | Risk: LOW       
  DIAMINESQ.NS    | Price:  256.89 | Entry:  251.75 | Target:  329.41 | Risk: LOW       
  SAAKSHI.NS      | Price:  191.00 | Entry:  187.18 | Target:  239.32 | Risk: LOW       
  AFIL.NS         | Price:    9.00 | Entry:    8.82 | Target:   11.60 | Risk: LOW       
  GRETEX.NS       | Price:  301.00 | Entry:  294.98 | Target:  319.36 | Risk: LOW       
  PRIZOR.NS       | Price:  405.00 | Entry:   396.9 | Target:  522.82 | Risk: LOW       
  UNIHEALTH.NS    | Price:  434.35 | Entry:  425.66 | Target:  542.23 | Risk: LOW       
  UYFINCORP.NS    | Price:   13.73 | Entry:   13.46 | Target:   18.37 | Risk: LOW       
  YASHOPTICS.NS   | Price:  116.25 | Entry:  113.92 | Target:  145.29 | Risk: LOW       
  TRANSTEEL.NS    | Price:  144.85 | Entry:  141.95 | Target:  183.47 | Risk: LOW       
  NDLVENTURE.NS   | Price:  121.29 | Entry:  118.86 | Target:  149.19 | Risk: LOW       
  RVTH.NS         | Price:  618.35 | Entry:  605.98 | Target:  841.94 | Risk: LOW       
  DUGLOBAL.NS     | Price:   38.90 | Entry:   38.12 | Target:   49.04 | Risk: LOW       
  PRATHAM.NS      | Price:  130.00 | Entry:   127.4 | Target:  180.02 | Risk: LOW       
  ANLON.NS        | Price:  378.00 | Entry:  370.44 | Target:  476.36 | Risk: LOW       
  RUDRA.NS        | Price:   18.18 | Entry:   17.82 | Target:   23.71 | Risk: LOW       
  ESCONET.NS      | Price:  132.25 | Entry:   129.6 | Target:  166.57 | Risk: LOW       
  DUCOL.NS        | Price:  125.20 | Entry:   122.7 | Target:  171.29 | Risk: LOW       
  ARIHANTACA.NS   | Price:  480.00 | Entry:   470.4 | Target:  595.82 | Risk: LOW       
  SHAH.NS         | Price:    4.97 | Entry:    4.87 | Target:    6.04 | Risk: LOW       
  DHARAN.NS       | Price:    0.17 | Entry:    0.17 | Target:    0.23 | Risk: LOW       
  NEPHROCARE.NS   | Price:   83.85 | Entry:   82.17 | Target:  116.55 | Risk: LOW       
  GRCL.NS         | Price:  393.90 | Entry:  386.02 | Target:  490.06 | Risk: LOW       
  IBULLSLTD.NS    | Price:   12.15 | Entry:   11.91 | Target:   16.59 | Risk: LOW       
  EMMIL.NS        | Price:  149.00 | Entry:  146.02 | Target:  193.71 | Risk: LOW       
  KAVDEFENCE.NS   | Price:   64.30 | Entry:   63.01 | Target:   79.97 | Risk: LOW       
  DRONE.NS        | Price:   49.70 | Entry:   48.71 | Target:   71.31 | Risk: LOW       
  LLOYDS.NS       | Price:   63.25 | Entry:   61.98 | Target:   92.61 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  154.95 | Entry:  151.85 | Target:  184.40 | Risk: LOW       
  DENEERS.NS      | Price:  159.85 | Entry:  156.65 | Target:  212.55 | Risk: LOW       
  PRLIND.NS       | Price:   66.00 | Entry:   64.68 | Target:   85.27 | Risk: LOW       
  IEML.NS         | Price:   80.60 | Entry:   78.99 | Target:  113.80 | Risk: LOW       
  TUNWAL.NS       | Price:   33.05 | Entry:   32.39 | Target:   40.44 | Risk: LOW       
  SHRITECH.NS     | Price:   62.00 | Entry:   60.76 | Target:   70.32 | Risk: LOW       
  DYNAMIC.NS      | Price:  131.85 | Entry:  129.21 | Target:  177.56 | Risk: LOW       
  EMKAYTOOLS.NS   | Price:  101.50 | Entry:   99.47 | Target:  126.27 | Risk: LOW       
  TBI.NS          | Price:   69.90 | Entry:    68.5 | Target:   92.63 | Risk: LOW       
  ENSER.NS        | Price:   15.55 | Entry:   15.24 | Target:   22.91 | Risk: LOW       
  VR.NS           | Price:  149.10 | Entry:  146.12 | Target:  169.48 | Risk: LOW       
  IBLFL.NS        | Price:   51.20 | Entry:   50.18 | Target:   56.58 | Risk: LOW       
  WOMANCART.NS    | Price:  191.00 | Entry:  187.18 | Target:  252.46 | Risk: LOW       
  UMIYA-MRO.NS    | Price:   86.33 | Entry:    84.6 | Target:  118.09 | Risk: LOW       
  SHREEOSFM.NS    | Price:   85.95 | Entry:   84.23 | Target:  116.20 | Risk: LOW       
  IWARE.NS        | Price:   56.00 | Entry:   54.88 | Target:   78.48 | Risk: LOW       
  SHEETAL.NS      | Price:  250.00 | Entry:   245.0 | Target:  287.07 | Risk: LOW       
  SADHAV.NS       | Price:  113.50 | Entry:  111.23 | Target:  142.29 | Risk: LOW       
  SLONE.NS        | Price:  209.20 | Entry:  205.02 | Target:  258.22 | Risk: LOW       
  ZEAL.NS         | Price:   80.85 | Entry:   79.23 | Target:  109.44 | Risk: LOW       
  MASTER.NS       | Price:  320.00 | Entry:   313.6 | Target:  351.04 | Risk: LOW       
  VISAMAN.NS      | Price:  127.80 | Entry:  125.24 | Target:  153.12 | Risk: LOW       
  GREENCHEF.NS    | Price:   49.50 | Entry:   48.51 | Target:   62.66 | Risk: LOW       
  REXPIPES.NS     | Price:  202.00 | Entry:  197.96 | Target:  216.80 | Risk: LOW       
  URBAN.NS        | Price:  139.95 | Entry:  137.15 | Target:  183.79 | Risk: LOW       
  TRUST.NS        | Price:   40.95 | Entry:   40.13 | Target:   54.81 | Risk: LOW       
  SURANI.NS       | Price:  125.80 | Entry:  123.28 | Target:  176.50 | Risk: LOW       
  DRSDILIP.NS     | Price:  119.50 | Entry:  117.11 | Target:  125.61 | Risk: LOW       
  SIDDHIKA.NS     | Price:  217.00 | Entry:  212.66 | Target:  240.88 | Risk: LOW       
  OMFURN.NS       | Price:   55.80 | Entry:   54.68 | Target:   73.67 | Risk: LOW       
  NEWJAISA.NS     | Price:   22.70 | Entry:   22.25 | Target:   27.75 | Risk: LOW       
  DCG.NS          | Price:   63.05 | Entry:   61.79 | Target:   81.07 | Risk: LOW       
  MAXPOSURE.NS    | Price:   43.70 | Entry:   42.83 | Target:   52.24 | Risk: LOW       
  MAHICKRA.NS     | Price:  224.00 | Entry:  219.52 | Target:  273.79 | Risk: LOW       
  ASCOM.NS        | Price:  240.30 | Entry:  235.49 | Target:  258.09 | Risk: LOW       
  KLL.NS          | Price:   41.05 | Entry:   40.23 | Target:   54.64 | Risk: LOW       
  HOACFOODS.NS    | Price:  398.00 | Entry:  390.04 | Target:  461.23 | Risk: LOW       
  NAMAN.NS        | Price:   54.80 | Entry:    53.7 | Target:   69.48 | Risk: LOW       
  MARC.NS         | Price:   68.40 | Entry:   67.03 | Target:   80.40 | Risk: LOW       
  MAGSON.NS       | Price:  177.85 | Entry:  174.29 | Target:  213.14 | Risk: LOW       
  ROXHITECH.NS    | Price:   35.35 | Entry:   34.64 | Target:   48.47 | Risk: LOW       
  DIGJAMLMTD.NS   | Price:   45.34 | Entry:   44.43 | Target:   62.43 | Risk: LOW       
  SILKFLEX.NS     | Price:  131.90 | Entry:  129.26 | Target:  152.88 | Risk: LOW       
  EFORCE.NS       | Price:   26.95 | Entry:   26.41 | Target:   38.20 | Risk: LOW       
  SONAMAC.NS      | Price:   42.00 | Entry:   41.16 | Target:   58.21 | Risk: LOW       
  MHHL.NS         | Price:   38.55 | Entry:   37.78 | Target:   48.26 | Risk: LOW       
  PARTYCRUS.NS    | Price:   85.00 | Entry:    83.3 | Target:  105.77 | Risk: LOW       
  SRIVASAVI.NS    | Price:   50.50 | Entry:   49.49 | Target:   63.09 | Risk: LOW       
  ONDOOR.NS       | Price:  177.10 | Entry:  173.56 | Target:  224.26 | Risk: LOW       
  PULZ.NS         | Price:   27.90 | Entry:   27.34 | Target:   33.15 | Risk: LOW       
  ARABIAN.NS      | Price:   73.00 | Entry:   71.54 | Target:   82.79 | Risk: LOW       
  AMEYA.NS        | Price:  105.75 | Entry:  103.64 | Target:  118.09 | Risk: LOW       
  MARCO.NS        | Price:   37.95 | Entry:   37.19 | Target:   49.75 | Risk: LOW       
  VELS.NS         | Price:   60.40 | Entry:   59.19 | Target:   73.19 | Risk: LOW       
  TPHQ.NS         | Price:    0.60 | Entry:    0.59 | Target:    0.76 | Risk: LOW       
  SAIFL.NS        | Price:   14.45 | Entry:   14.16 | Target:   18.95 | Risk: LOW       
  LRRPL.NS        | Price:   73.30 | Entry:   71.83 | Target:   87.75 | Risk: LOW       
  GATECH.NS       | Price:    0.49 | Entry:    0.48 | Target:    0.63 | Risk: LOW       
  SWASTIK.NS      | Price:   18.50 | Entry:   18.13 | Target:   24.64 | Risk: LOW       
  DHANLAXMI.NS    | Price:   26.90 | Entry:   26.36 | Target:   37.69 | Risk: LOW       
  BLUEPEBBLE.NS   | Price:  147.20 | Entry:  144.26 | Target:  184.15 | Risk: LOW       
  BABAFP.NS       | Price:   25.10 | Entry:    24.6 | Target:   34.01 | Risk: LOW       
  BMETRICS.NS     | Price:   42.95 | Entry:   42.09 | Target:   50.65 | Risk: LOW       
  AUROIMPEX.NS    | Price:   32.10 | Entry:   31.46 | Target:   44.33 | Risk: LOW       
  SEL.NS          | Price:  207.05 | Entry:  202.91 | Target:  274.34 | Risk: LOW       
  MCON.NS         | Price:   52.75 | Entry:    51.7 | Target:   62.86 | Risk: LOW       
  VISHWAS.NS      | Price:   39.60 | Entry:   38.81 | Target:   47.78 | Risk: LOW       
  PENTAGON.NS     | Price:   64.95 | Entry:   63.65 | Target:   75.91 | Risk: LOW       
  RULKA.NS        | Price:   94.95 | Entry:   93.05 | Target:  121.97 | Risk: LOW       
  UCL.NS          | Price:   95.00 | Entry:    93.1 | Target:  110.04 | Risk: LOW       
  AGNI.NS         | Price:   19.05 | Entry:   18.67 | Target:   22.57 | Risk: LOW       
  MOXSH.NS        | Price:  133.85 | Entry:  131.17 | Target:  137.83 | Risk: LOW       
  MILTON.NS       | Price:   50.30 | Entry:   49.29 | Target:   51.12 | Risk: LOW       
  DEEM.NS         | Price:   40.95 | Entry:   40.13 | Target:   54.27 | Risk: LOW       
  KONTOR.NS       | Price:   69.95 | Entry:   68.55 | Target:   97.06 | Risk: LOW       
  AGARWALFT.NS    | Price:   30.85 | Entry:   30.23 | Target:   36.69 | Risk: LOW       
  MEDIORG.NS      | Price:   30.65 | Entry:   30.04 | Target:   38.69 | Risk: LOW       
  NEUEON.NS       | Price:   16.86 | Entry:   16.52 | Target:   18.36 | Risk: LOW       
  CELLPOINT.NS    | Price:   15.60 | Entry:   15.29 | Target:   21.46 | Risk: LOW       
  VSCL.NS         | Price:   26.60 | Entry:   26.07 | Target:   29.06 | Risk: LOW       
  MICROPRO.NS     | Price:   20.80 | Entry:   20.38 | Target:   28.07 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    2.73 | Entry:    2.68 | Target:    3.41 | Risk: LOW       
  MANDEEP.NS      | Price:   20.50 | Entry:   20.09 | Target:   23.96 | Risk: LOW       
  GTECJAINX.NS    | Price:   20.70 | Entry:   20.29 | Target:   28.76 | Risk: LOW       
  ISHAN.NS        | Price:    0.75 | Entry:    0.73 | Target:    0.89 | Risk: LOW       
  GSTL.NS         | Price:   35.05 | Entry:   34.35 | Target:   38.17 | Risk: LOW       
  VIVO.NS         | Price:   76.00 | Entry:   74.48 | Target:   77.21 | Risk: LOW       
  CBAZAAR.NS      | Price:    5.00 | Entry:     4.9 | Target:    5.66 | Risk: LOW       
  ACCORD.NS       | Price:   33.10 | Entry:   32.44 | Target:   36.28 | Risk: LOW       
  AMJUMBO.NS      | Price:   11.45 | Entry:   11.22 | Target:   11.52 | Risk: LOW       

HOLD SIGNALS (2342):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBIN.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INFY.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJFINANCE.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDUNILVR.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LICI.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LT.NS           | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ITC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  MARUTI.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  M&M.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HCLTECH.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  KOTAKBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SUNPHARMA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  AXISBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ULTRACEMCO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJFINSV.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TITAN.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NTPC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HAL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPORTS.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ONGC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ETERNAL.NS      | Price:  240.23 | Trend:  -5.21% | Mom:   0.96% | Risk: LOW       
  BEL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIENT.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DMART.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JSWSTEEL.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIPOWER.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  WIPRO.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  POWERGRID.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ASIANPAINT.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  COALINDIA.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  NESTLEIND.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  INDIGO.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  IOC.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TATASTEEL.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TMPV.NS         | Price:  342.60 | Trend:  -1.44% | Mom:  10.09% | Risk: LOW       
  HINDZINC.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  JIOFIN.NS       | Price:  243.20 | Trend:  -2.20% | Mom:   4.51% | Risk: LOW       
  HYUNDAI.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  GRASIM.NS       | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  SBILIFE.NS      | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VEDL.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DLF.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  EICHERMOT.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TRENT.NS        | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HINDALCO.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  DIVISLAB.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCLIFE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  LTIM.NS         | Price: 4572.00 | Trend:  -5.16% | Mom:  11.36% | Risk: LOW       
  IRFC.NS         | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ADANIGREEN.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  VBL.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TVSMOTOR.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
