NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-25 18:59:52

BUY SIGNALS (1487):
  HINDUNILVR.NS   | Price: 2327.30 | Entry: 2280.75 | Target: 2654.94 | Risk: LOW       
  PFC.NS          | Price:  469.35 | Entry:  459.96 | Target:  532.78 | Risk: LOW       
  SOLARINDS.NS    | Price: 15056.00 | Entry: 14754.88 | Target: 17538.14 | Risk: LOW       
  MUTHOOTFIN.NS   | Price: 3493.50 | Entry: 3423.63 | Target: 4053.22 | Risk: LOW       
  TATAPOWER.NS    | Price:  435.00 | Entry:   426.3 | Target:  489.43 | Risk: LOW       
  CIPLA.NS        | Price: 1295.00 | Entry:  1269.1 | Target: 1430.39 | Risk: LOW       
  HDFCAMC.NS      | Price: 2735.00 | Entry:  2680.3 | Target: 3216.36 | Risk: LOW       
  GAIL.NS         | Price:  165.61 | Entry:   162.3 | Target:  187.62 | Risk: LOW       
  ENRIN.NS        | Price: 3205.10 | Entry:  3141.0 | Target: 3753.21 | Risk: LOW       
  SIEMENS.NS      | Price: 3808.90 | Entry: 3732.72 | Target: 4457.36 | Risk: LOW       
  MAZDOCK.NS      | Price: 2680.40 | Entry: 2626.79 | Target: 3110.58 | Risk: LOW       
  ABB.NS          | Price: 7328.50 | Entry: 7181.93 | Target: 8557.07 | Risk: LOW       
  MOTHERSON.NS    | Price:  125.70 | Entry:  123.19 | Target:  151.23 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5232.00 | Entry: 5127.36 | Target: 6002.96 | Risk: LOW       
  TATACONSUM.NS   | Price: 1174.00 | Entry: 1150.52 | Target: 1320.00 | Risk: LOW       
  LGEINDIA.NS     | Price: 1577.90 | Entry: 1546.34 | Target: 1897.36 | Risk: LOW       
  POLYCAB.NS      | Price: 8033.00 | Entry: 7872.34 | Target: 9312.64 | Risk: LOW       
  CGPOWER.NS      | Price:  823.15 | Entry:  806.69 | Target:  955.38 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1411.95 | Entry: 1383.71 | Target: 1734.61 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7732.50 | Entry: 7577.85 | Target: 8531.25 | Risk: LOW       
  DRREDDY.NS      | Price: 1317.10 | Entry: 1290.76 | Target: 1503.81 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1256.00 | Entry: 1230.88 | Target: 1459.46 | Risk: LOW       
  BSE.NS          | Price: 3446.00 | Entry: 3377.08 | Target: 3991.43 | Risk: LOW       
  MANKIND.NS      | Price: 2267.40 | Entry: 2222.05 | Target: 2570.47 | Risk: LOW       
  UNITDSPR.NS     | Price: 1391.90 | Entry: 1364.06 | Target: 1560.36 | Risk: LOW       
  RECLTD.NS       | Price:  374.00 | Entry:  366.52 | Target:  430.32 | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  927.40 | Entry:  908.85 | Target: 1034.15 | Risk: LOW       
  GROWW.NS        | Price:  218.02 | Entry:  213.66 | Target:  276.98 | Risk: LOW       
  DIXON.NS        | Price: 10815.50 | Entry: 10599.19 | Target: 12484.79 | Risk: LOW       
  MARICO.NS       | Price:  783.30 | Entry:  767.63 | Target:  868.80 | Risk: LOW       
  WAAREEENER.NS   | Price: 3305.70 | Entry: 3239.59 | Target: 3829.13 | Risk: LOW       
  BAJAJHFL.NS     | Price:   89.39 | Entry:    87.6 | Target:  102.77 | Risk: LOW       
  JSWENERGY.NS    | Price:  544.95 | Entry:  534.05 | Target:  640.68 | Risk: LOW       
  BHEL.NS         | Price:  337.39 | Entry:  330.64 | Target:  399.53 | Risk: LOW       
  POWERINDIA.NS   | Price: 32200.00 | Entry: 31556.0 | Target: 37408.93 | Risk: LOW       
  MEESHO.NS       | Price:  180.69 | Entry:  177.08 | Target:  223.47 | Risk: LOW       
  NTPCGREEN.NS    | Price:  110.31 | Entry:   108.1 | Target:  129.60 | Risk: LOW       
  NHPC.NS         | Price:   80.66 | Entry:   79.05 | Target:   91.91 | Risk: LOW       
  POLICYBZR.NS    | Price: 1696.70 | Entry: 1662.77 | Target: 1968.70 | Risk: LOW       
  SUZLON.NS       | Price:   53.91 | Entry:   52.83 | Target:   63.43 | Risk: LOW       
  ABCAPITAL.NS    | Price:  340.60 | Entry:  333.79 | Target:  399.65 | Risk: LOW       
  PAYTM.NS        | Price: 1147.35 | Entry:  1124.4 | Target: 1325.55 | Risk: LOW       
  IOB.NS          | Price:   35.01 | Entry:   34.31 | Target:   39.07 | Risk: LOW       
  OFSS.NS         | Price: 8949.00 | Entry: 8770.02 | Target: 10360.61 | Risk: LOW       
  LENSKART.NS     | Price:  533.85 | Entry:  523.17 | Target:  632.78 | Risk: LOW       
  GVT&D.NS        | Price: 4598.30 | Entry: 4506.33 | Target: 5474.12 | Risk: LOW       
  RVNL.NS         | Price:  303.44 | Entry:  297.37 | Target:  358.24 | Risk: LOW       
  PRESTIGE.NS     | Price: 1373.20 | Entry: 1345.74 | Target: 1639.09 | Risk: LOW       
  LLOYDSME.NS     | Price: 1695.60 | Entry: 1661.69 | Target: 1921.53 | Risk: LOW       
  FORTIS.NS       | Price:  929.30 | Entry:  910.71 | Target: 1067.85 | Risk: LOW       
  NYKAA.NS        | Price:  262.79 | Entry:  257.53 | Target:  298.98 | Risk: LOW       
  ATGL.NS         | Price:  626.85 | Entry:  614.31 | Target:  765.92 | Risk: LOW       
  GICRE.NS        | Price:  397.90 | Entry:  389.94 | Target:  457.83 | Risk: LOW       
  YESBANK.NS      | Price:   19.84 | Entry:   19.44 | Target:   22.42 | Risk: LOW       
  VMM.NS          | Price:  123.34 | Entry:  120.87 | Target:  146.01 | Risk: LOW       
  TORNTPOWER.NS   | Price: 1699.50 | Entry: 1665.51 | Target: 1967.39 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1413.80 | Entry: 1385.52 | Target: 1578.51 | Risk: LOW       
  NMDC.NS         | Price:   89.29 | Entry:    87.5 | Target:  102.13 | Risk: LOW       
  BERGEPAINT.NS   | Price:  460.40 | Entry:  451.19 | Target:  542.74 | Risk: LOW       
  GODREJPROP.NS   | Price: 1769.40 | Entry: 1734.01 | Target: 2090.22 | Risk: LOW       
  HDBFS.NS        | Price:  674.75 | Entry:  661.25 | Target:  805.95 | Risk: LOW       
  LTF.NS          | Price:  290.05 | Entry:  284.25 | Target:  340.33 | Risk: LOW       
  JSWINFRA.NS     | Price:  279.03 | Entry:  273.45 | Target:  325.54 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4286.60 | Entry: 4200.87 | Target: 4951.85 | Risk: LOW       
  JSL.NS          | Price:  766.30 | Entry:  750.97 | Target:  866.07 | Risk: LOW       
  AUBANK.NS       | Price: 1065.65 | Entry: 1044.34 | Target: 1217.56 | Risk: LOW       
  COLPAL.NS       | Price: 2171.30 | Entry: 2127.87 | Target: 2474.84 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1687.00 | Entry: 1653.26 | Target: 1950.25 | Risk: LOW       
  BHARATFORG.NS   | Price: 1856.00 | Entry: 1818.88 | Target: 2158.18 | Risk: LOW       
  FACT.NS         | Price:  889.60 | Entry:  871.81 | Target: 1091.06 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1775.90 | Entry: 1740.38 | Target: 2062.79 | Risk: LOW       
  TIINDIA.NS      | Price: 2968.70 | Entry: 2909.33 | Target: 3535.84 | Risk: LOW       
  BDL.NS          | Price: 1400.40 | Entry: 1372.39 | Target: 1631.61 | Risk: LOW       
  PIIND.NS        | Price: 3081.20 | Entry: 3019.58 | Target: 3545.20 | Risk: LOW       
  MOTILALOFS.NS   | Price:  781.05 | Entry:  765.43 | Target:  930.59 | Risk: LOW       
  GLENMARK.NS     | Price: 2299.50 | Entry: 2253.51 | Target: 2621.96 | Risk: LOW       
  SAIL.NS         | Price:  178.46 | Entry:  174.89 | Target:  206.40 | Risk: LOW       
  FEDERALBNK.NS   | Price:  293.00 | Entry:  287.14 | Target:  331.96 | Risk: LOW       
  NAM-INDIA.NS    | Price:  979.35 | Entry:  959.76 | Target: 1203.15 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1113.45 | Entry: 1091.18 | Target: 1258.61 | Risk: LOW       
  AIIL.NS         | Price:  486.95 | Entry:  477.21 | Target:  588.97 | Risk: LOW       
  GODFRYPHLP.NS   | Price: 2107.20 | Entry: 2065.06 | Target: 2521.84 | Risk: LOW       
  PAGEIND.NS      | Price: 37665.00 | Entry: 36911.7 | Target: 42263.21 | Risk: LOW       
  COCHINSHIP.NS   | Price: 1664.70 | Entry: 1631.41 | Target: 1982.20 | Risk: LOW       
  PREMIERENE.NS   | Price: 1007.55 | Entry:   987.4 | Target: 1176.23 | Risk: LOW       
  VOLTAS.NS       | Price: 1464.00 | Entry: 1434.72 | Target: 1714.29 | Risk: LOW       
  HUDCO.NS        | Price:  211.37 | Entry:  207.14 | Target:  246.56 | Risk: LOW       
  MAHABANK.NS     | Price:   77.90 | Entry:   76.34 | Target:   92.74 | Risk: LOW       
  IREDA.NS        | Price:  135.89 | Entry:  133.17 | Target:  161.00 | Risk: LOW       
  ANTHEM.NS       | Price:  739.55 | Entry:  724.76 | Target:  871.18 | Risk: LOW       
  CONCOR.NS       | Price:  502.80 | Entry:  492.74 | Target:  572.30 | Risk: LOW       
  NATIONALUM.NS   | Price:  437.05 | Entry:  428.31 | Target:  505.76 | Risk: LOW       
  JUBLFOOD.NS     | Price:  491.95 | Entry:  482.11 | Target:  598.59 | Risk: LOW       
  RADICO.NS       | Price: 3187.20 | Entry: 3123.46 | Target: 3813.34 | Risk: LOW       
  KAYNES.NS       | Price: 4266.80 | Entry: 4181.46 | Target: 5078.84 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 3383.30 | Entry: 3315.63 | Target: 3884.66 | Risk: LOW       
  KEI.NS          | Price: 4816.10 | Entry: 4719.78 | Target: 5731.89 | Risk: LOW       
  THERMAX.NS      | Price: 4006.50 | Entry: 3926.37 | Target: 4872.93 | Risk: LOW       
  PWL.NS          | Price:  109.22 | Entry:  107.04 | Target:  132.24 | Risk: LOW       
  NH.NS           | Price: 1768.30 | Entry: 1732.93 | Target: 2019.26 | Risk: LOW       
  TATAINVEST.NS   | Price:  704.15 | Entry:  690.07 | Target:  861.83 | Risk: LOW       
  GODREJIND.NS    | Price:  990.55 | Entry:  970.74 | Target: 1171.32 | Risk: LOW       
  CRISIL.NS       | Price: 4269.40 | Entry: 4184.01 | Target: 4975.95 | Risk: LOW       
  KPRMILL.NS      | Price:  930.60 | Entry:  911.99 | Target: 1063.06 | Risk: LOW       
  IPCALAB.NS      | Price: 1555.90 | Entry: 1524.78 | Target: 1753.19 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1863.00 | Entry: 1825.74 | Target: 2193.96 | Risk: LOW       
  APARINDS.NS     | Price: 11532.00 | Entry: 11301.36 | Target: 14059.14 | Risk: LOW       
  SJVN.NS         | Price:   77.85 | Entry:   76.29 | Target:   91.62 | Risk: LOW       
  MEDANTA.NS      | Price: 1105.55 | Entry: 1083.44 | Target: 1265.43 | Risk: LOW       
  NLCINDIA.NS     | Price:  299.10 | Entry:  293.12 | Target:  357.23 | Risk: LOW       
  AWL.NS          | Price:  197.74 | Entry:  193.79 | Target:  228.36 | Risk: LOW       
  CDSL.NS         | Price: 1312.80 | Entry: 1286.54 | Target: 1514.66 | Risk: LOW       
  ASTERDM.NS      | Price:  705.25 | Entry:  691.14 | Target:  789.86 | Risk: LOW       
  EXIDEIND.NS     | Price:  342.80 | Entry:  335.94 | Target:  402.89 | Risk: LOW       
  HONAUT.NS       | Price: 31365.00 | Entry: 30737.7 | Target: 36566.79 | Risk: LOW       
  METROBRAND.NS   | Price: 1042.45 | Entry:  1021.6 | Target: 1248.36 | Risk: LOW       
  AIAENG.NS       | Price: 4014.30 | Entry: 3934.01 | Target: 4594.55 | Risk: LOW       
  COHANCE.NS      | Price:  360.10 | Entry:   352.9 | Target:  466.83 | Risk: LOW       
  LICHSGFIN.NS    | Price:  540.75 | Entry:  529.93 | Target:  610.18 | Risk: LOW       
  NIACL.NS        | Price:  163.95 | Entry:  160.67 | Target:  209.12 | Risk: LOW       
  NBCC.NS         | Price:   93.20 | Entry:   91.34 | Target:  106.26 | Risk: LOW       
  HINDCOPPER.NS   | Price:  541.50 | Entry:  530.67 | Target:  636.34 | Risk: LOW       
  GRSE.NS         | Price: 2878.70 | Entry: 2821.13 | Target: 3489.09 | Risk: LOW       
  GUJGASLTD.NS    | Price:  383.85 | Entry:  376.17 | Target:  450.31 | Risk: LOW       
  IGL.NS          | Price:  164.61 | Entry:  161.32 | Target:  191.74 | Risk: LOW       
  SONACOMS.NS     | Price:  564.85 | Entry:  553.55 | Target:  671.42 | Risk: LOW       
  PINELABS.NS     | Price:  195.84 | Entry:  191.92 | Target:  247.06 | Risk: LOW       
  STARHEALTH.NS   | Price:  512.65 | Entry:   502.4 | Target:  586.92 | Risk: LOW       
  IRB.NS          | Price:   21.63 | Entry:    21.2 | Target:   25.09 | Risk: LOW       
  SUMICHEM.NS     | Price:  434.70 | Entry:  426.01 | Target:  513.13 | Risk: LOW       
  AEGISLOG.NS     | Price:  714.50 | Entry:  700.21 | Target:  901.34 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 6452.00 | Entry: 6322.96 | Target: 7518.96 | Risk: LOW       
  BANDHANBNK.NS   | Price:  174.67 | Entry:  171.18 | Target:  207.92 | Risk: LOW       
  EMCURE.NS       | Price: 1637.20 | Entry: 1604.46 | Target: 1935.38 | Risk: LOW       
  AMBER.NS        | Price: 7753.50 | Entry: 7598.43 | Target: 9184.04 | Risk: LOW       
  PPLPHARMA.NS    | Price:  165.47 | Entry:  162.16 | Target:  191.85 | Risk: LOW       
  ZFCVINDIA.NS    | Price: 15002.00 | Entry: 14701.96 | Target: 17446.64 | Risk: LOW       
  NUVAMA.NS       | Price: 1346.00 | Entry: 1319.08 | Target: 1574.21 | Risk: LOW       
  EMAMILTD.NS     | Price:  460.15 | Entry:  450.95 | Target:  535.27 | Risk: LOW       
  DEEPAKNTR.NS    | Price: 1690.30 | Entry: 1656.49 | Target: 2026.76 | Risk: LOW       
  INOXWIND.NS     | Price:  100.13 | Entry:   98.13 | Target:  122.12 | Risk: LOW       
  EIHOTEL.NS      | Price:  326.40 | Entry:  319.87 | Target:  389.90 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1405.20 | Entry:  1377.1 | Target: 1688.84 | Risk: LOW       
  KIOCL.NS        | Price:  399.65 | Entry:  391.66 | Target:  494.06 | Risk: LOW       
  MANAPPURAM.NS   | Price:  289.40 | Entry:  283.61 | Target:  334.83 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1033.65 | Entry: 1012.98 | Target: 1228.97 | Risk: LOW       
  BRIGADE.NS      | Price:  775.50 | Entry:  759.99 | Target:  927.05 | Risk: LOW       
  ABSLAMC.NS      | Price: 1067.65 | Entry:  1046.3 | Target: 1298.95 | Risk: LOW       
  TIMKEN.NS       | Price: 3517.60 | Entry: 3447.25 | Target: 4134.64 | Risk: LOW       
  HSCL.NS         | Price:  566.15 | Entry:  554.83 | Target:  673.70 | Risk: LOW       
  WELCORP.NS      | Price: 1207.45 | Entry:  1183.3 | Target: 1446.90 | Risk: LOW       
  ANGELONE.NS     | Price:  314.52 | Entry:  308.23 | Target:  381.95 | Risk: LOW       
  TATACHEM.NS     | Price:  693.25 | Entry:  679.38 | Target:  839.93 | Risk: LOW       
  CESC.NS         | Price:  180.58 | Entry:  176.97 | Target:  206.79 | Risk: LOW       
  HBLENGINE.NS    | Price:  798.35 | Entry:  782.38 | Target:  948.94 | Risk: LOW       
  AADHARHFC.NS    | Price:  488.10 | Entry:  478.34 | Target:  572.67 | Risk: LOW       
  HATSUN.NS       | Price:  991.20 | Entry:  971.38 | Target: 1126.13 | Risk: LOW       
  URBANCO.NS      | Price:  142.42 | Entry:  139.57 | Target:  172.02 | Risk: LOW       
  ONESOURCE.NS    | Price: 1824.30 | Entry: 1787.81 | Target: 2247.91 | Risk: LOW       
  KPIL.NS         | Price: 1240.80 | Entry: 1215.98 | Target: 1419.19 | Risk: LOW       
  ATHERENERG.NS   | Price:  883.00 | Entry:  865.34 | Target: 1136.95 | Risk: LOW       
  ABREL.NS        | Price: 1413.70 | Entry: 1385.43 | Target: 1722.84 | Risk: LOW       
  CHALET.NS       | Price:  797.60 | Entry:  781.65 | Target:  929.21 | Risk: LOW       
  CASTROLIND.NS   | Price:  182.79 | Entry:  179.13 | Target:  197.46 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1180.10 | Entry:  1156.5 | Target: 1462.55 | Risk: LOW       
  DCMSHRIRAM.NS   | Price: 1187.10 | Entry: 1163.36 | Target: 1393.78 | Risk: LOW       
  BASF.NS         | Price: 3650.20 | Entry:  3577.2 | Target: 4225.56 | Risk: LOW       
  KANSAINER.NS    | Price:  197.15 | Entry:  193.21 | Target:  231.24 | Risk: LOW       
  CAMS.NS         | Price:  760.80 | Entry:  745.58 | Target:  873.98 | Risk: LOW       
  KFINTECH.NS     | Price:  956.05 | Entry:  936.93 | Target: 1116.30 | Risk: LOW       
  RPOWER.NS       | Price:   28.40 | Entry:   27.83 | Target:   37.15 | Risk: LOW       
  BIKAJI.NS       | Price:  659.30 | Entry:  646.11 | Target:  763.23 | Risk: LOW       
  KAJARIACER.NS   | Price: 1211.15 | Entry: 1186.93 | Target: 1419.79 | Risk: LOW       
  ATUL.NS         | Price: 6680.50 | Entry: 6546.89 | Target: 7597.29 | Risk: LOW       
  SARDAEN.NS      | Price:  581.40 | Entry:  569.77 | Target:  672.20 | Risk: LOW       
  APLLTD.NS       | Price:  751.05 | Entry:  736.03 | Target:  887.00 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1221.90 | Entry: 1197.46 | Target: 1499.51 | Risk: LOW       
  SAILIFE.NS      | Price: 1024.95 | Entry: 1004.45 | Target: 1199.86 | Risk: LOW       
  CGCL.NS         | Price:  183.38 | Entry:  179.71 | Target:  217.03 | Risk: LOW       
  ARE&M.NS        | Price:  880.20 | Entry:   862.6 | Target: 1065.04 | Risk: LOW       
  GRINDWELL.NS    | Price: 1609.80 | Entry:  1577.6 | Target: 1872.80 | Risk: LOW       
  SKFINDIA.NS     | Price: 1701.60 | Entry: 1667.57 | Target: 1948.46 | Risk: LOW       
  JUBLPHARMA.NS   | Price:  945.40 | Entry:  926.49 | Target: 1083.78 | Risk: LOW       
  FIVESTAR.NS     | Price:  493.25 | Entry:  483.38 | Target:  613.20 | Risk: LOW       
  TRITURBINE.NS   | Price:  569.85 | Entry:  558.45 | Target:  705.60 | Risk: LOW       
  CARBORUNIV.NS   | Price:  926.15 | Entry:  907.63 | Target: 1092.22 | Risk: LOW       
  RBLBANK.NS      | Price:  321.40 | Entry:  314.97 | Target:  369.65 | Risk: LOW       
  GSPL.NS         | Price:  276.79 | Entry:  271.25 | Target:  328.13 | Risk: LOW       
  RATNAMANI.NS    | Price: 2605.80 | Entry: 2553.68 | Target: 3041.80 | Risk: LOW       
  NAVA.NS         | Price:  656.35 | Entry:  643.22 | Target:  809.15 | Risk: LOW       
  CENTURYPLY.NS   | Price:  781.95 | Entry:  766.31 | Target:  898.95 | Risk: LOW       
  BEML.NS         | Price: 1792.40 | Entry: 1756.55 | Target: 2131.97 | Risk: LOW       
  MANYAVAR.NS     | Price:  450.05 | Entry:  441.05 | Target:  551.80 | Risk: LOW       
  ABLBL.NS        | Price:  105.16 | Entry:  103.06 | Target:  124.11 | Risk: LOW       
  NETWEB.NS       | Price: 3824.80 | Entry:  3748.3 | Target: 4708.48 | Risk: LOW       
  CPPLUS.NS       | Price: 2273.20 | Entry: 2227.74 | Target: 2806.63 | Risk: LOW       
  SOBHA.NS        | Price: 1417.00 | Entry: 1388.66 | Target: 1673.04 | Risk: LOW       
  ACMESOLAR.NS    | Price:  305.30 | Entry:  299.19 | Target:  365.07 | Risk: LOW       
  IRCON.NS        | Price:  150.22 | Entry:  147.22 | Target:  183.22 | Risk: LOW       
  GABRIEL.NS      | Price:  973.00 | Entry:  953.54 | Target: 1160.91 | Risk: LOW       
  GMDCLTD.NS      | Price:  669.85 | Entry:  656.45 | Target:  844.94 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 7570.00 | Entry:  7418.6 | Target: 8743.57 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  547.30 | Entry:  536.35 | Target:  632.07 | Risk: LOW       
  CHOICEIN.NS     | Price:  701.10 | Entry:  687.08 | Target:  812.21 | Risk: LOW       
  APTUS.NS        | Price:  257.46 | Entry:  252.31 | Target:  303.17 | Risk: LOW       
  TECHNOE.NS      | Price: 1223.50 | Entry: 1199.03 | Target: 1460.21 | Risk: LOW       
  WHIRLPOOL.NS    | Price:  952.55 | Entry:   933.5 | Target: 1120.10 | Risk: LOW       
  JMFINANCIL.NS   | Price:  138.71 | Entry:  135.94 | Target:  165.59 | Risk: LOW       
  GPIL.NS         | Price:  289.95 | Entry:  284.15 | Target:  340.84 | Risk: LOW       
  AFCONS.NS       | Price:  314.55 | Entry:  308.26 | Target:  398.32 | Risk: LOW       
  ABDL.NS         | Price:  558.30 | Entry:  547.13 | Target:  682.60 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 1719.50 | Entry: 1685.11 | Target: 1968.00 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4077.70 | Entry: 3996.15 | Target: 5093.81 | Risk: LOW       
  IGIL.NS         | Price:  347.60 | Entry:  340.65 | Target:  417.06 | Risk: LOW       
  LTFOODS.NS      | Price:  420.05 | Entry:  411.65 | Target:  478.39 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1645.00 | Entry:  1612.1 | Target: 2071.82 | Risk: LOW       
  JBMA.NS         | Price:  612.85 | Entry:  600.59 | Target:  729.65 | Risk: LOW       
  RRKABEL.NS      | Price: 1442.40 | Entry: 1413.55 | Target: 1696.65 | Risk: LOW       
  GALLANTT.NS     | Price:  828.70 | Entry:  812.13 | Target: 1159.99 | Risk: LOW       
  IFCI.NS         | Price:   59.50 | Entry:   58.31 | Target:   72.44 | Risk: LOW       
  NIVABUPA.NS     | Price:   77.07 | Entry:   75.53 | Target:   90.33 | Risk: LOW       
  PARADEEP.NS     | Price:  133.67 | Entry:   131.0 | Target:  160.48 | Risk: LOW       
  TRIDENT.NS      | Price:   25.45 | Entry:   24.94 | Target:   28.81 | Risk: LOW       
  INTELLECT.NS    | Price:  688.70 | Entry:  674.93 | Target:  821.70 | Risk: LOW       
  SYRMA.NS        | Price:  969.60 | Entry:  950.21 | Target: 1161.92 | Risk: LOW       
  FINEORG.NS      | Price: 4851.50 | Entry: 4754.47 | Target: 5663.29 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1591.10 | Entry: 1559.28 | Target: 1924.24 | Risk: LOW       
  AARTIIND.NS     | Price:  472.75 | Entry:   463.3 | Target:  548.68 | Risk: LOW       
  EMMVEE.NS       | Price:  256.71 | Entry:  251.58 | Target:  335.93 | Risk: LOW       
  SPLPETRO.NS     | Price:  812.00 | Entry:  795.76 | Target:  979.95 | Risk: LOW       
  KSB.NS          | Price:  971.50 | Entry:  952.07 | Target: 1141.05 | Risk: LOW       
  PCBL.NS         | Price:  282.08 | Entry:  276.44 | Target:  334.92 | Risk: LOW       
  JWL.NS          | Price:  279.12 | Entry:  273.54 | Target:  336.98 | Risk: LOW       
  CEMPRO.NS       | Price:  648.60 | Entry:  635.63 | Target:  788.85 | Risk: LOW       
  ZENTEC.NS       | Price: 1674.40 | Entry: 1640.91 | Target: 2061.61 | Risk: LOW       
  AAVAS.NS        | Price: 1411.30 | Entry: 1383.07 | Target: 1668.37 | Risk: LOW       
  BELRISE.NS      | Price:  212.76 | Entry:   208.5 | Target:  249.86 | Risk: LOW       
  JPPOWER.NS      | Price:   19.29 | Entry:    18.9 | Target:   24.97 | Risk: LOW       
  TARIL.NS        | Price:  323.45 | Entry:  316.98 | Target:  404.18 | Risk: LOW       
  ANURAS.NS       | Price: 1341.00 | Entry: 1314.18 | Target: 1514.00 | Risk: LOW       
  GRANULES.NS     | Price:  689.45 | Entry:  675.66 | Target:  802.22 | Risk: LOW       
  GRAVITA.NS      | Price: 1568.00 | Entry: 1536.64 | Target: 1889.64 | Risk: LOW       
  HOMEFIRST.NS    | Price: 1136.00 | Entry: 1113.28 | Target: 1339.93 | Risk: LOW       
  MGL.NS          | Price: 1130.15 | Entry: 1107.55 | Target: 1313.58 | Risk: LOW       
  USHAMART.NS     | Price:  444.00 | Entry:  435.12 | Target:  508.09 | Risk: LOW       
  LEMONTREE.NS    | Price:  117.34 | Entry:  114.99 | Target:  140.51 | Risk: LOW       
  VTL.NS          | Price:  590.05 | Entry:  578.25 | Target:  698.26 | Risk: LOW       
  NCC.NS          | Price:  161.99 | Entry:  158.75 | Target:  187.59 | Risk: LOW       
  FINCABLES.NS    | Price:  972.70 | Entry:  953.25 | Target: 1140.18 | Risk: LOW       
